"OHI_region_est","year","tot_annual_prod_kg","mean_prod_2018_2022","ratio","AQRM_score_prop","AQRM_score","region_exclude_include","median_regional_prod_kg","OHI_region_name"
"region_8",2023,1186007,529885,2.23823471130528,0,0,"include",508206,"Sinaloa Coast"
"region_8",2024,1204143.31,529885,2.27246159072252,0,0,"include",508206,"Sinaloa Coast"
"region_9",2018,3889,2491.4,1.56096973589147,0.439030264108534,43.9030264108534,"exclude",1768,"Southeastern Gulf"
"region_9",2019,5063,2491.4,2.0321907361323,0,0,"exclude",1768,"Southeastern Gulf"
"region_9",2020,965,2491.4,0.387332423536967,0.387332423536967,38.7332423536967,"exclude",1768,"Southeastern Gulf"
"region_9",2021,1768,2491.4,0.709641165609697,0.709641165609697,70.9641165609697,"exclude",1768,"Southeastern Gulf"
"region_9",2022,772,2491.4,0.309865938829574,0.309865938829574,30.9865938829574,"exclude",1768,"Southeastern Gulf"
"region_9",2023,998,2491.4,0.400577988279682,0.400577988279682,40.0577988279682,"exclude",1768,"Southeastern Gulf"
"region_9",2024,4410,2491.4,1.77008910652645,0.229910893473549,22.9910893473549,"exclude",1768,"Southeastern Gulf"
NA,2018,18900,6943.66666666667,2.72190485334357,0,0,"exclude",1271,NA
NA,2020,1271,6943.66666666667,0.18304450098411,0.18304450098411,18.304450098411,"exclude",1271,NA
NA,2022,660,6943.66666666667,0.0950506456723153,0.0950506456723153,9.50506456723153,"exclude",1271,NA
