common_name_clean,recorded_taxa_group,estimated_taxa_group,estimated_species_name,species_est_certainty,species_est_reasoning,estimated_genus_name,genus_est_reasoning,IHH_functional_major_groups_sm,Major_Functional_Group,Manual_Classification_Notes,ornamentalFLAG_1,Assignment_for_Major_Functional_Group
cangrejo ara√±a,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Crustaceans,Spider crab,NO,Assigned_Manually: OTRAS treated differently than other major groups
cangrejo ermita√±o,OTRAS,NA,Pagurus bernhardus,high confidence,match to Hem's key,Pagurus,genus derived from known species,NA,Crustaceans,Common hermit crab,POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
cangrejo ermitaÔøΩo,OTRAS,NA,unknown,not applicable,no data in keys,Pagurus,manual entry,NA,Crustaceans,Hermit crab,POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
cangrejo gallo,OTRAS,NA,Calappa granulata,high confidence,match to Hem's key,Calappa,genus derived from known species,NA,Crustaceans,Red-spotted box crab,NO,Assigned_Manually: OTRAS treated differently than other major groups
cangrejo moro manglar,OTRAS,NA,Ucides cordatus,high confidence,manual entry; extremely high confidence,Ucides,manual entry,NA,Crustaceans,Mangrove crab; ask experts if ornamental use,POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
cangrejo moteado roca,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Crustaceans,Rock crab; ask experts if ornamental use,POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
cangrejo pulpa,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Crustaceans,Most likely Callinectes but cannot say for certain.,NO,Assigned_Manually: OTRAS treated differently than other major groups
cangrejo rey,OTRAS,NA,Chaceon affinis,high confidence,match to Hem's key,Chaceon,genus derived from known species,NA,Crustaceans,Deep-sea red crab,NO,Assigned_Manually: OTRAS treated differently than other major groups
cangrejo rojo roca,OTRAS,NA,Grapsus grapsus,high confidence,manual entry; extremely high confidence,Grapsus,manual entry,NA,Crustaceans,Red rock crab; ask experts if ornamental use,POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
charchina,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is… an urchin perhaps?,NA,Assigned_Manually: OTRAS treated differently than other major groups
charrito,OTRAS,NA,unknown,not applicable,conflicting matches in Hem's key and no data from IHH,NA,manual entry,NA,Pelagic marine fishes,Likely some form of jack mackerel or lookdown,NO,Assigned_Manually: OTRAS treated differently than other major groups
charrito,OTRAS,NA,Trachurus Symmetricus,virtually certain,name was recorded in CONAPESCA,Trachurus,genus derived from known species,NA,Pelagic marine fishes,Pacific jack mackerel,NO,Assigned_Manually: OTRAS treated differently than other major groups
chencay,OTRAS,NA,Hemirhamphus brasiliensis,high confidence,match to Hem's key,Hemirhamphus,genus derived from known species,NA,Pelagic marine fishes,Brazilian halfbeak,NO,Assigned_Manually: OTRAS treated differently than other major groups
chicharro,OTRAS,NA,Selar crumenophthalmus,high confidence,match to Hem's key,Selar,genus derived from known species,NA,Pelagic marine fishes,Bigeye scad,NO,Assigned_Manually: OTRAS treated differently than other major groups
chopa amarilla,OTRAS,NA,Spondyliosoma cantharus,high confidence,match to Hem's key,Spondyliosoma,genus derived from known species,NA,Demersal marine fishes,Black seabream,NO,Assigned_Manually: OTRAS treated differently than other major groups
chopa espina,OTRAS,NA,Spondyliosoma cantharus,high confidence,match to Hem's key,Spondyliosoma,genus derived from known species,NA,Demersal marine fishes,Black seabream,NO,Assigned_Manually: OTRAS treated differently than other major groups
chupalodo,OTRAS,NA,Gillichthys mirabilis,high confidence,match to Hem's key,Gillichthys,genus derived from known species,NA,Demersal marine fishes,"Longjaw mudsucker, large bogy",NO,Assigned_Manually: OTRAS treated differently than other major groups
cocodrilo,OTRAS,NA,Pseudocarcharias kamoharai,high confidence,match to Hem's key,Pseudocarcharias,genus derived from known species,NA,Sharks,Mackerel shark,NO,Assigned_Manually: OTRAS treated differently than other major groups
cocuyo,OTRAS,NA,Bairdiella ronchus,high confidence,match to Hem's key,Bairdiella,genus derived from known species,NA,Demersal marine fishes,Gulf croaker,NO,Assigned_Manually: OTRAS treated differently than other major groups
codorniz,OTRAS,NA,Cheilotrema saturnum,high confidence,match to Hem's key,Cheilotrema,genus derived from known species,NA,Demersal marine fishes,Blackcroaker,NO,Assigned_Manually: OTRAS treated differently than other major groups
cojinete,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is… A fish of some sort?,NO,Assigned_Manually: OTRAS treated differently than other major groups
congrio,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Demersal marine fishes,An eel of some sort,NO,Assigned_Manually: OTRAS treated differently than other major groups
coral,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Other marine invertebrates,Coral; likely ornamental?,POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
