"estimated_genus_name","Major_Functional_Group","estimated_taxa_group","family_from_previous.keys","family_from_taxize","new_estimated_family_name","new_family_est_reasoning"
"Diplodus","Demersal marine fishes","OTRAS",NA,"Sparidae","Sparidae","family name was estimated from genus name using taxize function"
"Dosidicus","Cephalopods","CALAMAR","Ommastrephidae","Ommastrephidae","Ommastrephidae","family name was estimated from previous keys"
"Dosinia","Molluscs excl. Cephalopods","ALMEJA","Veneridae","Veneridae","Veneridae","family name was estimated from previous keys"
"Echinorhinus","Sharks","TIBURON","Echinorhinidae","Echinorhinidae","Echinorhinidae","family name was estimated from previous keys"
"Elops","Demersal marine fishes","OTRAS","Elopidae","Elopidae","Elopidae","family name was estimated from previous keys"
"Engraulis","Anchovy & Sardine (small pelagics)","ANCHOVETA","Engraulidae","Engraulidae","Engraulidae","family name was estimated from previous keys"
"Epinephelus","Demersal marine fishes","MERO","Serranidae","Serranidae","Serranidae","family name was estimated from previous keys"
"Especies","Echinoderms","PEPINO DE MAR",NA,NA,NA,"family name will need to be logged manually"
"Ethmidium","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",NA,"Clupeidae","Clupeidae","family name was estimated from genus name using taxize function"
"Etrumeus","Anchovy & Sardine (small pelagics)","SARDINA",NA,"Dussumieriidae","Dussumieriidae","family name was estimated from genus name using taxize function"
"Eucheuma","Marine algae","ALGAS",NA,"Solieriaceae","Solieriaceae","family name was estimated from genus name using taxize function"
"Eucinostomus","Demersal marine fishes","MOJARRA","Gerreidae","Gerreidae","Gerreidae","family name was estimated from previous keys"
"Eugerres","Demersal marine fishes","MOJARRA","Gerreidae","Gerreidae","Gerreidae","family name was estimated from previous keys"
"Euthynnus","Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae","Scombridae","Scombridae","family name was estimated from previous keys"
"Evibacus","Crustaceans","OTRAS","Scyllaridae","Scyllaridae","Scyllaridae","family name was estimated from previous keys"
"Farfantepenaeus","Shrimps, prawns","CAMARON",NA,"Penaeidae","Penaeidae","family name was estimated from genus name using taxize function"
"Fistularia","Demersal marine fishes","OTRAS","Fistulariidae","Fistulariidae","Fistulariidae","family name was estimated from previous keys"
"Galeocerdo","Sharks","TIBURON","Carcharhinidae","Carcharhinidae","Carcharhinidae","family name was estimated from previous keys"
"Galeorhinus","Sharks","TIBURON","Triakidae","Triakidae","Triakidae","family name was estimated from previous keys"
"Gelidium","Marine algae","ALGAS",NA,"Gelidiaceae","Gelidiaceae","family name was estimated from genus name using taxize function"
"Gerres","Demersal marine fishes","BANDERA","Gerreidae","Gerreidae","Gerreidae","family name was estimated from previous keys"
"Gillichthys","Demersal marine fishes","OTRAS",NA,"Gobiidae","Gobiidae","family name was estimated from genus name using taxize function"
"Ginglymostoma","Sharks","TIBURON","Ginglymostomatidae","Ginglymostomatidae","Ginglymostomatidae","family name was estimated from previous keys"
"Gnathanodon","Pelagic marine fish (excl. anchovy & sardine)","PAMPANO","Carangidae","Carangidae","Carangidae","family name was estimated from previous keys"
"Grapsus","Crustaceans","OTRAS",NA,"Grapsidae","Grapsidae","family name was estimated from genus name using taxize function"
"Gymnura","Demersal marine fishes","RAYA Y SIMILARES","Gymnuridae","Gymnuridae","Gymnuridae","family name was estimated from previous keys"
"Haemulon","Demersal marine fishes","RUBIO","Haemulidae","Haemulidae","Haemulidae","family name was estimated from previous keys"
"Haemulopsis","Demersal marine fishes","RONCO","Haemulidae","Haemulidae","Haemulidae","family name was estimated from previous keys"
"Haliotis","Molluscs excl. Cephalopods","ABULON","Haliotidae","Haliotidae","Haliotidae","family name was estimated from previous keys"
"Harengula","Anchovy & Sardine (small pelagics)","SARDINA",NA,"Clupeidae","Clupeidae","family name was estimated from genus name using taxize function"
"Helicolenus","Demersal marine fishes","OTRAS",NA,"Sebastidae","Sebastidae","family name was estimated from genus name using taxize function"
"Hemicaranx","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Carangidae","Carangidae","Carangidae","family name was estimated from previous keys"
"Hemiramphus","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",NA,"Hemiramphidae","Hemiramphidae","family name was estimated from genus name using taxize function"
"Hemirhamphus","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",NA,NA,NA,"family name will need to be logged manually"
"Hexaplex","Molluscs excl. Cephalopods","CARACOL","Muricidae","Muricidae","Muricidae","family name was estimated from previous keys"
"Holocentrus","Demersal marine fishes","OTRAS",NA,"Holocentridae","Holocentridae","family name was estimated from genus name using taxize function"
"Hoplopagrus","Demersal marine fishes","PARGO","Lutjanidae","Lutjanidae","Lutjanidae","family name was estimated from previous keys"
"Hypanus","Demersal marine fishes","RAYA Y SIMILARES","Dasyatidae","Dasyatidae","Dasyatidae","family name was estimated from previous keys"
"Hyporthodus","Demersal marine fishes","BAQUETA","Serranidae","Serranidae","Serranidae","family name was estimated from previous keys"
