"year","OHI_region_est","FP_landings_kg","FIS_landings_kg","MAR_landings_kg","w_fisheries","FIS_Score","w_mariculture","MAR_Score","FP_score"
2018,"region_1",2138952.44,2138952.44,0,1,93.7367262494456,0,NA,93.7367262494456
2018,"region_2",7352741.882,7312741.882,40000,0.994559852549982,90.0896328627715,0.00544014745001761,0,89.5995319762801
2018,"region_3",6457668.75,5400518.75,1057150,0.836295412334366,87.6321020182991,0.163704587665634,42.922736595986,80.3129737870472
2018,"region_4",11439290.338,8825684.338,2613606,0.77152376390711,89.0392095797929,0.22847623609289,25.3485663365647,74.4874111372451
2018,"region_5",79611497.7,79611497.7,0,1,86.4115263424305,0,NA,86.4115263424305
2018,"region_6",37221737.7,5841925.7,31379812,0.156949300623329,90.824500784939,0.843050699376671,14.5674443626561,26.5359360357271
2018,"region_7",570930151.95,542790643.85,28139508.1,0.950712870910933,83.021118938925,0.0492871290890665,16.4334721942275,79.7392049980819
2018,"region_8",288414498.351,223512980.421,64901517.93,0.774971375221869,98.1227354837619,0.225028624778131,16.5239842871039,79.7606807183651
2018,"region_9",34807581.66,27060580.81,7747000.85,0.777433522223043,80.2331560461006,0.222566477776957,31.3885173039331,69.3619768429685
2019,"region_1",2428205.2,2428205.2,0,1,96.7945935157221,0,NA,96.7945935157221
2019,"region_2",12701714.678,12700714.678,1000,0.999921270472109,90.189618065358,0.0000787295278905965,0,90.1825174793071
2019,"region_3",4718361.487,3773436.487,944925,0.79973450474207,92.4171897486771,0.20026549525793,38.3659388585149,81.5925892198481
2019,"region_4",10123787.52,7872936.62,2250850.9,0.777667113661429,92.9742916550672,0.222332886338571,21.017073797935,76.9758357159977
2019,"region_5",60836274.79,60826893.79,9381,0.999845799236847,97.0502018768747,0.000154200763152941,0,97.0352366616811
2019,"region_6",47203880.1,9692413.1,37511467,0.205330855842081,92.6665247595506,0.794669144157918,17.5665278275714,32.9868744713524
2019,"region_7",580513784.57,541995606.07,38518178.5,0.933648124258529,79.1081014374664,0.0663518757414715,22.5665349670521,75.3564624447933
2019,"region_8",311016573.819,236131098.869,74885474.95,0.759223522944534,95.9407523772515,0.240776477055466,19.0969380372079,77.4385694769515
