"scientific_name_clean","main_species_group","recorded_species_name","keyword_1","keyword_2","keyword_3","keyword_4","keyword_5","recorded_species_name_clean","scientific_name","species","genus","family"
NA,"ALMEJA","ALMEJA BURRA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA BURRA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA BURRA CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA BURRA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA BURRA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA BURRA C.",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA C.",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CALLO DE ARBOL ENT FCA","ENT","FCA",NA,NA,NA,"ALMEJA CALLO DE ARBOL",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CALLO DE ARBOL",NA,NA,NA,NA,NA,"ALMEJA CALLO DE ARBOL",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CATARINA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA CATARINA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CATARINA CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA CATARINA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CATARINA DE CULTIVO ENT FCA","DE CULTIVO","ENT","FCA",NA,NA,"ALMEJA CATARINA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CATARINA",NA,NA,NA,NA,NA,"ALMEJA CATARINA",NA,NA,NA,NA
NA,"OTRAS","BALLUSA DESV. FCA.","DESV.","FCA.",NA,NA,NA,"BALLUSA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CATARINA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA CATARINA C.",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CHOCOLATA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA CHOCOLATA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CHOCOLATA CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA CHOCOLATA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CHOCOLATA DE CULTIVO ENT FCA","DE CULTIVO","ENT","FCA",NA,NA,"ALMEJA CHOCOLATA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CHOCOLATA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA CHOCOLATA C.",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CHOCOLATA CAFE ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA CHOCOLATA CAFE",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CHOCOLATA CAFE CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA CHOCOLATA CAFE",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CHOCOLATA CAFE DE CULTIVO ENT FCA","DE CULTIVO","ENT","FCA",NA,NA,"ALMEJA CHOCOLATA CAFE",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CHOCOLATA CAFE S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA CHOCOLATA CAFE C.",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CHOCOLATA ROJA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA CHOCOLATA ROJA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA CONCHA ESPINA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA CONCHA ESPINA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA DE AGUA DULCE ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA DE AGUA DULCE",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA GENEROSA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA GENEROSA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA GENEROSA DE CULTIVO ENT. FCA.","DE CULTIVO","ENT.","FCA.",NA,NA,"ALMEJA GENEROSA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA GENEROSA",NA,NA,NA,NA,NA,"ALMEJA GENEROSA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA GENEROSA VIVA",NA,NA,NA,NA,NA,"ALMEJA GENEROSA VIVA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA GLOBOSA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA GLOBOSA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA GLOBOSA VIVA",NA,NA,NA,NA,NA,"ALMEJA GLOBOSA VIVA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA LODERA DE CULTIVO","DE CULTIVO",NA,NA,NA,NA,"ALMEJA LODERA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA MANO DE LEON ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA MANO DE LEON",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA MANO DE LEON S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA MANO DE LEON C.",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA MANO DE LEON DE CULTIVO S.C. FCA.","DE CULTIVO","S.","FCA.",NA,NA,"ALMEJA MANO DE LEON C.",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PARDA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA PARDA",NA,NA,NA,NA
