rgn_num,rgn_id,estado,ecorgn,shore_class,km_2010,km_2015,km_2020,change_2010_2020_km
1,Region_1,Baja_California,Upper_Gulf,artificial,5.011072864800362,5.011072864800362,5.028654132097439,0.017581267297076764
1,Region_1,Baja_California,Upper_Gulf,estuary,0.173199557446185,0.173199557446185,0.173199557446185,0
1,Region_1,Baja_California,Upper_Gulf,rocky,7.471125549096446,11.865489744922114,10.123335704690387,2.6522101555939406
1,Region_1,Baja_California,Upper_Gulf,sandy,30.179022186893384,30.179022186893384,31.425913197611507,1.246891010718123
2,Region_2,Baja_California,Midriff_Region,artificial,3.1562448446746387,3.1562448446746387,1.14933701924779,-2.0069078254268486
2,Region_2,Baja_California,Midriff_Region,biogenic,5.716187394427954,5.716187394427954,4.17601365295616,-1.5401737414717944
2,Region_2,Baja_California,Midriff_Region,estuary,0.06199976919464807,0.06199976919464807,0.06199976919464807,0
2,Region_2,Baja_California,Midriff_Region,muddy,0.44446629156823103,0.44446629156823103,1.7813119279250285,1.3368456363567973
2,Region_2,Baja_California,Midriff_Region,rocky,173.5992043544269,173.5992043544269,190.49753717454053,16.898332820113637
2,Region_2,Baja_California,Midriff_Region,sandy,337.0003145070682,337.48776122965944,324.9347077443891,-12.065606762679124
3,Region_3,Baja_California_Sur,Central_Gulf,artificial,25.85533595371735,23.747218863268813,9.687369118723822,-16.16796683499353
3,Region_3,Baja_California_Sur,Central_Gulf,estuary,0.07155332529022257,0.07155332529022257,0.07155332529022257,0
3,Region_3,Baja_California_Sur,Central_Gulf,muddy,0,0,0.016718845476584036,0.016718845476584036
3,Region_3,Baja_California_Sur,Central_Gulf,rocky,87.9422716974026,87.9422716974026,106.98028909719251,19.038017399789908
3,Region_3,Baja_California_Sur,Central_Gulf,sandy,148.0408972900336,148.0408972900336,143.57425642182025,-4.4666408682133465
4,Region_4,Baja_California_Sur,Southern_Gulf,artificial,50.17917424446674,50.17917424446674,50.09909366811626,-0.0800805763504826
4,Region_4,Baja_California_Sur,Southern_Gulf,biogenic,6.752604668482477,6.752604668482477,6.752604796521586,1.280391090929811e-7
4,Region_4,Baja_California_Sur,Southern_Gulf,muddy,0.9861502403151962,0.9861502403151962,0.9861502403151962,0
4,Region_4,Baja_California_Sur,Southern_Gulf,rocky,296.22116081569374,283.79350627331974,295.86231565222397,-0.35884516346976625
4,Region_4,Baja_California_Sur,Southern_Gulf,sandy,376.63143616209084,376.6313566257868,376.1348139704945,-0.49662219159631604
5,Region_5,Sonora,Upper_Gulf,artificial,6.343562967789199,6.343562967789199,8.052036782433289,1.7084738146440897
5,Region_5,Sonora,Upper_Gulf,biogenic,14.385057094392808,14.385057094392808,14.649829721341803,0.2647726269489947
5,Region_5,Sonora,Upper_Gulf,muddy,23.847600481072643,23.847600481072643,11.863449286470747,-11.984151194601896
5,Region_5,Sonora,Upper_Gulf,rocky,33.25934233495107,33.25934233495107,54.75973427082156,21.50039193587049
5,Region_5,Sonora,Upper_Gulf,sandy,28.056978804156216,28.056978804156216,50.85510437709405,22.798125572937835
6,Region_6,Sonora,Midriff_Region,artificial,17.647494219311046,17.647494219311046,15.558525793392601,-2.088968425918445
6,Region_6,Sonora,Midriff_Region,biogenic,23.73255091127552,23.73255091127552,29.83493292166804,6.102382010392521
6,Region_6,Sonora,Midriff_Region,estuary,0.07030295470514689,0.07030295470514689,0,-0.07030295470514689
6,Region_6,Sonora,Midriff_Region,muddy,47.946620354046836,50.1201950024004,46.48730164206304,-1.4593187119837978
6,Region_6,Sonora,Midriff_Region,rocky,80.75239137221736,80.84367910441084,116.39615624821081,35.643764875993455
6,Region_6,Sonora,Midriff_Region,sandy,229.88466697061182,229.88466697061182,192.2802534027568,-37.604413567855005
7,Region_7,Sonora,Central_Gulf,artificial,71.55329488433743,71.55329488433743,59.27449686244502,-12.278798021892413
7,Region_7,Sonora,Central_Gulf,biogenic,168.6549623266615,167.65923488939183,234.95114642348008,66.29618409681859
7,Region_7,Sonora,Central_Gulf,estuary,0.5392548429101349,0.5392548429101349,0.5005760069637805,-0.03867883594635446
7,Region_7,Sonora,Central_Gulf,muddy,79.43460713184773,67.99080493999448,47.73610221405172,-31.698504917796008
7,Region_7,Sonora,Central_Gulf,rocky,126.62315660816313,126.62315660816313,133.5544306192419,6.931274011078784
7,Region_7,Sonora,Central_Gulf,sandy,303.9144222628264,303.96099471681856,282.3920768443738,-21.52234541845263
8,Region_8,Sinaloa,Southern_Gulf,artificial,145.56297727996932,140.12687941299723,116.43494323340154,-29.128034046567777
8,Region_8,Sinaloa,Southern_Gulf,biogenic,508.1345495925991,505.46239488371407,581.3443548236852,73.20980523108608
8,Region_8,Sinaloa,Southern_Gulf,estuary,2.6372368503712185,2.6372368503712185,2.659483930906416,0.02224708053519775
8,Region_8,Sinaloa,Southern_Gulf,muddy,25.570151011715236,19.149007437608734,18.224817168087927,-7.345333843627309
8,Region_8,Sinaloa,Southern_Gulf,rocky,269.6952577771289,270.82959411898906,278.35448835712594,8.659230579997029
8,Region_8,Sinaloa,Southern_Gulf,sandy,446.65637019722,437.012519983662,436.44689943269736,-10.20947076452262
9,Region_9,Nayarit,Southern_Gulf,artificial,70.0647743099747,34.606019529755955,90.76386124601208,20.69908693603739
9,Region_9,Nayarit,Southern_Gulf,biogenic,20.55204830440925,7.737669615431254,21.893122747547345,1.341074443138094
9,Region_9,Nayarit,Southern_Gulf,estuary,1.0974969915418382,1.1672752282099226,0.985881878432907,-0.11161511310893124
9,Region_9,Nayarit,Southern_Gulf,rocky,86.98706902312095,87.26879649602347,80.97033533275433,-6.016733690366621
9,Region_9,Nayarit,Southern_Gulf,sandy,179.06808828716404,180.85420085118105,161.69340061834768,-17.374687668816364
