"OHI_region_est","yr","GeoMean_StockStatus"
"region_1",2018,1
"region_1",2019,0.997291756955106
"region_1",2020,0.996528760068671
"region_1",2021,0.719254703643087
"region_1",2022,0.501919175972873
"region_1",2023,0.441504835571732
"region_1",2024,0.420286389908227
"region_2",2018,0.848848802779967
"region_2",2019,0.767751524795217
"region_2",2020,0.86933398441587
"region_2",2021,0.908845568736794
"region_2",2022,0.895178817995754
"region_2",2023,0.880780770429144
"region_2",2024,0.769195893521278
"region_3",2018,0.764417576677747
"region_3",2019,0.927169147841451
"region_3",2020,0.830174496760006
"region_3",2021,0.557373848718696
"region_3",2022,0.606742819101169
"region_3",2023,0.602795603343235
"region_3",2024,0.481024192751355
"region_4",2018,0.678588136579853
"region_4",2019,0.815297123098174
"region_4",2020,0.805870139373044
"region_4",2021,0.62476026948351
"region_4",2022,0.422279704878957
"region_4",2023,0.529340568856098
"region_4",2024,0.620989442370308
"region_5",2018,0.781368747495334
"region_5",2019,0.991911384227365
"region_5",2020,0.996385507610513
"region_5",2021,0.684183722707949
"region_5",2022,0.801676589174652
"region_5",2023,0.874587154306282
"region_5",2024,0.854650674407884
"region_6",2018,0.997111307106833
"region_6",2019,0.992624294889554
"region_6",2020,0.985421733072772
"region_6",2021,0.913972108375044
"region_6",2022,0.85923892364544
"region_6",2023,0.9911023828764
"region_6",2024,0.991483909315228
"region_7",2018,0.701540157398571
"region_7",2019,0.660269059579535
"region_7",2020,0.681003972098263
"region_7",2021,0.838784560033496
"region_7",2022,0.641094458025674
"region_7",2023,0.693190618974328
"region_7",2024,0.63484733904523
"region_8",2018,0.963635596081539
"region_8",2019,0.829617840025666
"region_8",2020,0.474901159304327
"region_8",2021,0.684790456416587
"region_8",2022,0.551080789454158
"region_8",2023,0.935802106490365
"region_8",2024,0.723649497836979
"region_9",2018,0.494013417594443
"region_9",2019,0.68291193471559
"region_9",2020,0.849619151752537
"region_9",2021,0.913328628303191
"region_9",2022,0.979040311121036
"region_9",2023,0.707812833754717
"region_9",2024,0.514542707429968
NA,2000,1
NA,2001,1
NA,2002,1
NA,2003,1
NA,2004,1
NA,2005,1
NA,2006,1
NA,2007,1
NA,2008,1
NA,2009,1
NA,2010,1
NA,2011,1
NA,2012,1
NA,2013,1
NA,2014,1
NA,2015,1
NA,2016,1
NA,2017,1
NA,2018,1
NA,2019,1
NA,2020,1
NA,2021,1
NA,2022,1
NA,2023,1
NA,2024,1
