"Year","OHI_Region","Annual_Catch_kg","n_stocks","weighted_StockStatus","weighted_StockStatus_capped"
2014,"region_1",3696671.71,17,0.737115594736117,0.737115594736117
2014,"region_1_2_baja_tbd",1624.5,2,0.665466442980917,0.665466442980917
2014,"region_2",824334.3,22,0.908126163385576,0.908126163385576
2014,"region_3",1339346,23,0.981571368688005,0.981571368688005
2014,"region_4",2482460.55,21,0.966929649011354,0.966929649011354
2014,"region_4_5_6_sonora_tbd",138279.2,12,0.825770946804415,0.825770946804415
2014,"region_5",7453730.3,13,0.775764014975212,0.775764014975212
2014,"region_6",780470.35,12,0.881689487967269,0.881689487967269
2014,"region_7",2778728.4,17,0.857268198336407,0.857268198336407
2014,"region_8",9071464.17,24,0.860284894334904,0.860284894334904
2014,"region_9",4145546.15,21,0.876570974469746,0.876570974469746
2015,"region_1",2448645.9,19,0.711263094616516,0.711263094616516
2015,"region_1_2_baja_tbd",355197.2,7,0.850720299955369,0.850720299955369
2015,"region_2",1227558,20,0.96923068553548,0.96923068553548
2015,"region_3",1650057.95,23,0.975267700113358,0.975267700113358
2015,"region_3_4_bcs_tbd",3191,4,0.951643949103729,0.951643949103729
2015,"region_4",2761024.88,22,0.96404656952952,0.96404656952952
2015,"region_4_5_6_sonora_tbd",10060,7,0.733401969526839,0.733401969526839
2015,"region_5",5270958.5,15,0.70188544417454,0.70188544417454
2015,"region_6",2166294.17,16,0.928592118051774,0.928592118051774
2015,"region_7",3755923.9,21,0.849480683519092,0.849480683519092
2015,"region_8",10405167.3055,24,0.865607853907684,0.865607853907684
2015,"region_9",5520403.731,22,0.89739780214585,0.89739780214585
2016,"region_1",1124280.2,15,0.804760297717824,0.804760297717824
2016,"region_1_2_baja_tbd",3501,4,0.914324487597829,0.914324487597829
2016,"region_2",2098467.46,23,0.981222487477567,0.981222487477567
2016,"region_3",1647421.6,23,0.971580522685295,0.971580522685295
2016,"region_3_4_bcs_tbd",24.2,2,0.565606999,0.565606999
2016,"region_4",2844018.7,21,0.972765600998364,0.972765600998364
2016,"region_4_5_6_sonora_tbd",18155.4,5,0.778421869424634,0.778421869424634
2016,"region_5",3861491.4,14,0.696072889994955,0.696072889994955
2016,"region_6",2003322.6,14,0.917063964193925,0.917063964193925
2016,"region_7",5721038.6,18,0.90872687336103,0.90872687336103
2016,"region_8",12941423.89,25,0.862363412524003,0.862363412524003
2016,"region_9",9799395.46,23,0.94640238646702,0.94640238646702
2017,"region_1",779880.5,17,0.723641678267427,0.723641678267427
2017,"region_1_2_baja_tbd",4487.5,5,0.88931900277961,0.88931900277961
2017,"region_2",4350872.55,20,0.962317188835386,0.962317188835386
2017,"region_3",2353290.1,22,0.987320947459864,0.987320947459864
2017,"region_3_4_bcs_tbd",5555,2,0.994801707831683,0.994801707831683
2017,"region_4",2993615.642,22,0.982933906938148,0.982933906938148
2017,"region_4_5_6_sonora_tbd",110234.2,7,0.742364315577848,0.742364315577848
2017,"region_5",2744006.7,15,0.696994773053074,0.696994773053074
2017,"region_6",1799432.45,14,0.93274455679711,0.93274455679711
2017,"region_7",4910315.25,18,0.864883274189769,0.864883274189769
2017,"region_8",14448845.21,23,0.869328532486023,0.869328532486023
2017,"region_9",13215862.02,20,0.953915203465955,0.953915203465955
2018,"region_1",473392.42,16,0.67739716765017,0.67739716765017
2018,"region_1_2_baja_tbd",642.4,3,0.903079665753425,0.903079665753425
2018,"region_2",4894549.78,22,0.912438038337952,0.912438038337952
2018,"region_3",1892415.48,24,0.980544656820509,0.980544656820509
2018,"region_4",2525150.28,21,0.975823981151653,0.975823981151653
2018,"region_4_5_6_sonora_tbd",120170,7,0.751700076181243,0.751700076181243
2018,"region_5",2774124.25,15,0.789544209140744,0.789544209140744
2018,"region_6",1659514.65,17,0.92408794180982,0.92408794180982
2018,"region_7",4145424.65,18,0.81076192782059,0.81076192782059
2018,"region_8",13524422.223,24,0.849609140806393,0.849609140806393
2018,"region_9",11730349.96,21,0.943129076088895,0.943129076088895
2019,"region_1",354033.35,19,0.845737560301131,0.845737560301131
2019,"region_1_2_baja_tbd",16966.6,8,0.659800378958866,0.659800378958866
2019,"region_2",8049466.572,27,0.836248601261118,0.836248601261118
2019,"region_3",2030391.55,31,0.981611203207449,0.981611203207449
2019,"region_3_4_bcs_tbd",0,1,NA,NA
2019,"region_4",2625771.95,26,0.976765100681687,0.976765100681687
2019,"region_4_5_6_sonora_tbd",22031.1,10,0.882305380257908,0.882305380257908
2019,"region_5",2657258.9,20,0.765124140520696,0.765124140520696
2019,"region_6",4507711.9,26,0.933828965786112,0.933828965786112
2019,"region_7",4971325.6,34,0.825673805285826,0.825673805285826
2019,"region_8",16051946.185,33,0.843998056746003,0.843998056746003
2019,"region_9",9077582.9,30,0.935388308650515,0.935388308650515
2020,"region_1",399966.9,22,0.801951797075536,0.801951797075536
2020,"region_1_2_baja_tbd",4119.4,10,0.835799705749332,0.835799705749332
2020,"region_2",4709868.85,32,0.904648738777861,0.904648738777861
2020,"region_3",1902440.85,33,0.950366715191234,0.950366715191234
2020,"region_3_4_bcs_tbd",0,1,NA,NA
2020,"region_4",2977102.65,28,0.93281794100553,0.93281794100553
2020,"region_4_5_6_sonora_tbd",58447.55,6,0.999943533562916,0.999943533562916
2020,"region_5",1297534.05,22,0.852193329627992,0.852193329627992
2020,"region_6",3443711.15,29,0.914591128278451,0.914591128278451
2020,"region_7",4045190.35,33,0.876801285370521,0.876801285370521
2020,"region_8",16768824.671,35,0.85241333689282,0.85241333689282
2020,"region_9",4803134.35,31,0.863543205783231,0.863543205783231
2021,"region_1",3851891.15,20,0.777412233462821,0.777412233462821
2021,"region_1_2_baja_tbd",40965.6,10,0.806687844168273,0.806687844168273
2021,"region_2",4500779.1,35,0.891613768093231,0.891613768093231
2021,"region_3",2324077.5,32,0.921306751356735,0.921306751356735
2021,"region_3_4_bcs_tbd",0,1,NA,NA
2021,"region_4",2968612.27,30,0.886266871798246,0.886266871798246
2021,"region_4_5_6_sonora_tbd",2196860,9,0.747369070582572,0.747369070582572
2021,"region_5",4979675.25,23,0.81598753515643,0.81598753515643
2021,"region_6",3519006.65,29,0.911218162342957,0.911218162342957
2021,"region_7",4952600.24,33,0.84318837986962,0.84318837986962
2021,"region_8",16818950.6,37,0.828009026715849,0.828009026715849
2021,"region_9",4282525.05,29,0.795413924017617,0.795413924017617
2022,"region_1",3205696.5,27,0.778647068764487,0.778647068764487
2022,"region_1_2_baja_tbd",38139,7,0.744503442861428,0.744503442861428
2022,"region_2",4303180,36,0.8564081916391,0.8564081916391
2022,"region_3",2424115.4,31,0.910274105406037,0.910274105406037
2022,"region_4",3433056.58,27,0.850978477438011,0.850978477438011
2022,"region_4_5_6_sonora_tbd",1059174.9,16,0.694038247422152,0.694038247422152
2022,"region_5",7531713.78,25,0.821119531092647,0.821119531092647
2022,"region_6",3028819.95,31,0.893320886655279,0.893320886655279
2022,"region_7",4572652.4,32,0.815039714713549,0.815039714713549
2022,"region_8",15489875.82,37,0.77156315456595,0.77156315456595
2022,"region_9",3988100.9,30,0.752041313356545,0.752041313356545
2023,"region_1",4025619,22,0.71098152412253,0.71098152412253
2023,"region_1_2_baja_tbd",500,1,0.686531783,0.686531783
2023,"region_2",4257465,29,0.800819315262424,0.800819315262424
2023,"region_3",2168662,31,0.876641432502596,0.876641432502596
2023,"region_3_4_bcs_tbd",12890,7,0.970817543801397,0.970817543801397
2023,"region_4",3775502,28,0.866646257372336,0.866646257372336
2023,"region_4_5_6_sonora_tbd",735102,13,0.683884206218251,0.683884206218251
2023,"region_5",11105345,28,0.761327580821413,0.761327580821413
2023,"region_6",3153044,26,0.844881711865761,0.844881711865761
2023,"region_7",4701195,32,0.743643021900179,0.743643021900179
2023,"region_8",16455354,34,0.793045020807927,0.793045020807927
2023,"region_9",3508129,30,0.706483534300067,0.706483534300067
2024,"region_1",4094479.7,20,0.622284959940816,0.622284959940816
2024,"region_1_2_baja_tbd",15540.9,9,0.598966766066412,0.598966766066412
2024,"region_2",5627915.3,29,0.719095368490856,0.719095368490856
2024,"region_3",1176035.92,31,0.825009582566913,0.825009582566913
2024,"region_3_4_bcs_tbd",9629.6,6,0.802743073608613,0.802743073608613
2024,"region_4",4945592.951,31,0.847228827345894,0.847228827345894
2024,"region_4_5_6_sonora_tbd",776560,12,0.573502937447473,0.573502937447473
2024,"region_5",9794158.92,26,0.644164320821108,0.644164320821108
2024,"region_6",3001217.201,25,0.783323967741279,0.783323967741279
2024,"region_7",3997343.25,28,0.673867705069119,0.673867705069119
2024,"region_8",23852957.8585,34,0.76025190593924,0.76025190593924
2024,"region_9",3719092.11,26,0.604414788728443,0.604414788728443
