Participant,Major_Functional_Group,Status_of_Major_Functional_Group,Common_Name,estimated_taxa_group,Stock,estimated_family_name,Fishery_Status_in_2024_v_Historic,Notes_1,Fishery_Status_in_2000_v_Historic,Notes_2,Population_Resilience,Notes_3,IUU_Estimate,Notes_4
Amy,molluscs excl. cephalopods,,abalones,abulon,haliotis,haliotidae,,NOT FOUND IN THE GULF,,,,,,
Amy,molluscs excl. cephalopods,,geoducks,almeja,panopea,hiatellidae,,,,,,,,
Amy,molluscs excl. cephalopods,,murex snails,caracol,hexaplex,muricidae,,,,,,,,
Amy,molluscs excl. cephalopods,,scallops,almeja,argopecten,pectinidae,,,,,,,,
Amy,molluscs excl. cephalopods,,conchs,caracol,lobatus,strombidae,,,,,,,,
Amy,molluscs excl. cephalopods,,turban snails,caracol,turbo,turbinidae,,,,,,,,
Amy,molluscs excl. cephalopods,,venus clams,almeja,chione,veneridae,,,,,,,,
Amy,molluscs excl. cephalopods,,venus clams,almeja,dosinia,veneridae,,,,,,,,
Amy,molluscs excl. cephalopods,,chocolate clams,almeja,megapitaria,veneridae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,needlefish,otras,ablennes,belonidae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,jacks,bonito,caranx,carangidae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,bonitos,bonito,sarda,carangidae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,amberjacks / yellowtails,esmedregal,seriola,carangidae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,pompano,pampano,trachinotus,carangidae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,moonfish / lookdowns,ronco,selene,carangidae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,mahi-mahi,otras,coryphaena,coryphaenidae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,sailfish,otras,istiophorus,istiophoridae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,true tunas,atun,thunnus,scombridae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,little tunas,barrilete,euthynnus,scombridae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,skipjack tuna,barrilete,katsuwonus,scombridae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,mackerels,macarela,scomber,scombridae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,Spanish mackerels,sierra,scomberomorus,scombridae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,barracudas,otras,sphyraena,sphyraenidae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,cutlassfishes,cintilla,trichiurus,trichiuridae,,,,,,,,
Amy,pelagic marine fish (excl. anchovy & sardine),,swordfish,otras,xiphias,xiphiidae,,,,,,,,
Amy,sharks,,thresher sharks,tiburon,alopias,alopiidae,,,,,,,,
Amy,sharks,,requiem sharks,tiburon,carcharhinus,carcharhinidae,,,,,,,,
Amy,sharks,,tiger shark,tiburon,galeocerdo,carcharhinidae,,,,,,,,
Amy,sharks,,whitetip reef shark,tiburon,nasolamia,carcharhinidae,,,,,,,,
Amy,sharks,,blue shark,tiburon,prionace,carcharhinidae,,,,,,,,
Amy,sharks,,nurse sharks,tiburon,ginglymostoma,ginglymostomatidae,,,,,,,,
Amy,sharks,,mako sharks,tiburon,isurus,lamnidae,,,,,,,,
Amy,sharks,,salmon sharks,tiburon,lamna,lamnidae,,,,,,,,
Amy,sharks,,hammerhead sharks,tiburon,sphyrna,sphyrnidae,,,,,,,,
Amy,sharks,,angel sharks,tiburon,squatina,squatinidae,,,,,,,,
Amy,sharks,,smoothhounds,tiburon,mustelus,triakidae,,,,,,,,
Amy,"shrimps, prawns",,penaeid shrimp,camaron,farfantepenaeus,penaeidae,,,,,,,,
Amy,"shrimps, prawns",,white shrimp,camaron,litopenaeus / penaus,penaeidae,,,,,,,,
Amy,"shrimps, prawns",,rough shrimp,camaron,rimapenaeus,penaeidae,,,,,,,,
