Participant,Major_Functional_Group,Status_of_Major_Functional_Group,Common_Name,estimated_taxa_group,Stock,estimated_family_name,Fishery_Status_in_2024_v_Historic,Notes_1,Fishery_Status_in_2000_v_Historic,Notes_2,Population_Resilience,Notes_3,IUU_Estimate,Notes_4
Adrian,molluscs excl. cephalopods,,turban snails,caracol,turbo,turbinidae,,,,,,,,
Adrian,molluscs excl. cephalopods,,venus clams,almeja,chione,veneridae,,,,,,,,
Adrian,molluscs excl. cephalopods,,venus clams,almeja,dosinia,veneridae,,,,,,,,
Adrian,molluscs excl. cephalopods,,chocolate clams,almeja,megapitaria,veneridae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,needlefish,otras,ablennes,belonidae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,jacks,bonito,caranx,carangidae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,bonitos,bonito,sarda,carangidae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,amberjacks / yellowtails,esmedregal,seriola,carangidae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,pompano,pampano,trachinotus,carangidae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,moonfish / lookdowns,ronco,selene,carangidae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,mahi-mahi,otras,coryphaena,coryphaenidae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,sailfish,otras,istiophorus,istiophoridae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,true tunas,atun,thunnus,scombridae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,little tunas,barrilete,euthynnus,scombridae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,skipjack tuna,barrilete,katsuwonus,scombridae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,mackerels,macarela,scomber,scombridae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,Spanish mackerels,sierra,scomberomorus,scombridae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,barracudas,otras,sphyraena,sphyraenidae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,cutlassfishes,cintilla,trichiurus,trichiuridae,,,,,,,,
Adrian,pelagic marine fish (excl. anchovy & sardine),,swordfish,otras,xiphias,xiphiidae,,,,,,,,
Adrian,sharks,,thresher sharks,tiburon,alopias,alopiidae,,,,,,,,
Adrian,sharks,,requiem sharks,tiburon,carcharhinus,carcharhinidae,,,,,,,,
Adrian,sharks,,tiger shark,tiburon,galeocerdo,carcharhinidae,,,,,,,,
Adrian,sharks,,whitetip reef shark,tiburon,nasolamia,carcharhinidae,,,,,,,,
Adrian,sharks,,blue shark,tiburon,prionace,carcharhinidae,,,,,,,,
Adrian,sharks,,nurse sharks,tiburon,ginglymostoma,ginglymostomatidae,,,,,,,,
Adrian,sharks,,mako sharks,tiburon,isurus,lamnidae,,,,,,,,
Adrian,sharks,,salmon sharks,tiburon,lamna,lamnidae,,,,,,,,
Adrian,sharks,,hammerhead sharks,tiburon,sphyrna,sphyrnidae,,,,,,,,
Adrian,sharks,,angel sharks,tiburon,squatina,squatinidae,,,,,,,,
Adrian,sharks,,smoothhounds,tiburon,mustelus,triakidae,,,,,,,,
Adrian,"shrimps, prawns",,penaeid shrimp,camaron,farfantepenaeus,penaeidae,,,,,,,,
Adrian,"shrimps, prawns",,white shrimp,camaron,litopenaeus / penaus,penaeidae,,,,,,,,
Adrian,"shrimps, prawns",,rough shrimp,camaron,rimapenaeus,penaeidae,,,,,,,,
