"Year","OHI_Region","Stock_genera","Annual_Catch_kg","Avg_Catch_Ref2018.2022","n_Years_Ref2018.2022","Carta_est.Status","CMSY_est.B","RAM_n_Assessments","Carta_StockStatus","CMSY_StockStatus","RAM_StockStatus","StockStatus_Pick","StockStatus_capped"
2022,"region_1","brotula",4282.8,NA,NA,NA,4454.913523,NA,NA,0.573389688,NA,0.573389688,0.573389688
2023,"region_1","brotula",2668,NA,NA,NA,3938.065106,NA,NA,0.506866387,NA,0.506866387,0.506866387
2024,"region_1","brotula",13821,NA,NA,NA,3220.122794,NA,NA,0.414460391,NA,0.414460391,0.414460391
2022,"region_1_2_baja_tbd","brotula",48,NA,NA,NA,4454.913523,NA,NA,0.573389688,NA,0.573389688,0.573389688
2018,"region_2","brotula",5456.8,NA,NA,NA,4940.336165,NA,NA,0.635868193,NA,0.635868193,0.635868193
2019,"region_2","brotula",154,NA,NA,NA,4829.811522,NA,NA,0.621642621,NA,0.621642621,0.621642621
2020,"region_2","brotula",1264.4,NA,NA,NA,4756.771713,NA,NA,0.612241704,NA,0.612241704,0.612241704
2021,"region_2","brotula",11597.8,NA,NA,NA,4718.426624,NA,NA,0.607306327,NA,0.607306327,0.607306327
2022,"region_2","brotula",4259.4,NA,NA,NA,4454.913523,NA,NA,0.573389688,NA,0.573389688,0.573389688
2023,"region_2","brotula",11738,NA,NA,NA,3938.065106,NA,NA,0.506866387,NA,0.506866387,0.506866387
2024,"region_2","brotula",15983.1,NA,NA,NA,3220.122794,NA,NA,0.414460391,NA,0.414460391,0.414460391
2018,"region_3","brotula",2292.8,NA,NA,NA,4940.336165,NA,NA,0.635868193,NA,0.635868193,0.635868193
2019,"region_3","brotula",193.1,NA,NA,NA,4829.811522,NA,NA,0.621642621,NA,0.621642621,0.621642621
2020,"region_3","brotula",2363.9,NA,NA,NA,4756.771713,NA,NA,0.612241704,NA,0.612241704,0.612241704
