event_name,lat,lon,syndrome_name,toxin,causative_species_name0,causative_species_name1,additional_species_name0
MX-06-004,24.2,-110.3,ASP,NA,Pseudo-nitzschia seriata,Pseudo-nitzschia spp.,Chaetoceros spp.
MX-06-001,24.2,-110.3,PSP,Saxitoxins,Gymnodinium catenatum Graham 1943,NA,NA
MX-05-001,25.58,-109.04,PSP,NA,Pyrodinium bahamense Plate 1906 var. Bahamense,NA,NA
MX-04-003,24.52,-110.37,PSP,NA,Pyrodinium bahamense var. compressum,NA,Pseudo-nitzschia spp.
MX-04-002,24.5,-110.37,NA,NA,Gonyaulax polygramma,NA,NA
MX-03-003,28.83,-111.94,PSP,NA,Chattonella marina,NA,Gymnodinium catenatum
MX-03-001,29.02,-112.22,NA,NA,Chattonella marina,NA,NA
MX-02-002,24.2,-110.3,PSP,Saxitoxins,Alexandrium affine (Inoue et Kukuyo) Balech 1992,Ceratium furca (Ehrenberg) ClaparËde et Lachmann 1859,Gymnodinium catenatum Graham 1943
MX-02-001,26.76,-111.88,PSP,NA,Gymnodinium catenatum,NA,NA
MX-01-002,26.76,-111.88,PSP,NA,Gymnodinium catenatum Graham 1943,NA,NA
MX-01-001,24.2,-110.3,PSP,Saxitoxins,Alexandrium affine (Inoue et Kukuyo) Balech 1992,Ceratium furca (Ehrenberg) ClaparËde et Lachmann 1859,NA
MX-00-003,26.76,-111.88,PSP,Saxitoxins,Gymnodinium catenatum Graham 1943,NA,NA
MX-00-002,26.76,-111.88,PSP,Saxitoxins,Gymnodinium catenatum Graham 1943,NA,NA
MX-00-001,24.2,-110.3,OTHER,NA,Cochlodinium polykrikoides,NA,NA
