"year","OHI_region_est","fillet_mt","ref_point_mt","residue_mt","RESD_score_prop","RESD_SubScore","RESD_SubScore_alt"
2018,"region_1",252.12358,84.0411933333333,17.8,0.211800895418033,21.1800895418033,42.3601790836065
2018,"region_2",414.80232,138.26744,27.793,0.20100900110684,20.100900110684,40.2018002213681
2018,"region_3",1144.6185,381.5395,0.613,0.00160664885287107,0.160664885287107,0.321329770574213
2018,"region_4",1736.59118,578.863726666667,4.535,0.00783431365809424,0.783431365809424,1.56686273161885
2018,"region_5",7962.266,2654.08866666667,459.086,0.172973120968327,17.2973120968327,34.5946241936655
2018,"region_6",327.365,109.121666666667,6.013,0.0551036305041773,5.51036305041773,11.0207261008355
2018,"region_7",5882.8633,1960.95443333333,126.768,0.0646460712422129,6.46460712422129,12.9292142484426
2018,"region_8",16494.72091,5498.24030333333,100.521,0.0182823948125837,1.82823948125837,3.65647896251674
2018,"region_9",5342.7056,1780.90186666667,129.793,0.0728804896155985,7.28804896155985,14.5760979231197
2018,NA,80.87,26.9566666666667,NA,NA,NA,NA
2019,"region_1",438.44,146.146666666667,22.744,0.155624486816896,15.5624486816896,31.1248973633793
2019,"region_2",438.56086,146.186953333333,23.496,0.160725697227062,16.0725697227062,32.1451394454124
2019,"region_3",1023.937,341.312333333333,10.407,0.0304911337318605,3.04911337318605,6.09822674637209
2019,"region_4",1501.7973,500.5991,8.14,0.0162605166489512,1.62605166489512,3.25210332979025
2019,"region_5",7953.614,2651.20466666667,476.28979,0.179650328768784,17.9650328768784,35.9300657537567
2019,"region_6",1269.302,423.100666666667,6.092,0.0143984646679829,1.43984646679829,2.87969293359658
2019,"region_7",6470.77,2156.92333333333,116.465,0.0539958922972073,5.39958922972073,10.7991784594415
2019,"region_8",16168.43856,5389.47952,100.256,0.0186021673573407,1.86021673573407,3.72043347146813
2019,"region_9",4323.8007,1441.2669,58.476,0.0405726378646453,4.05726378646453,8.11452757292907
2019,NA,144.29,48.0966666666667,NA,NA,NA,NA
2020,"region_1",1455.922,485.307333333333,9.838,0.0202716903790176,2.02716903790176,4.05433807580351
2020,"region_2",3392.7496,1130.91653333333,22.104,0.0195452089950876,1.95452089950876,3.90904179901753
2020,"region_3",1295.851,431.950333333333,9.252,0.0214191292054411,2.14191292054411,4.28382584108821
2020,"region_4",1727.682,575.894,3.448,0.00598721292460071,0.598721292460071,1.19744258492014
2020,"region_5",8952.189,2984.063,288.0317,0.0965233307741827,9.65233307741827,19.3046661548365
2020,"region_6",2197.668,732.556,15.726,0.0214673007933864,2.14673007933864,4.29346015867729
2020,"region_7",7482.789,2494.263,119.569,0.0479376072210509,4.79376072210509,9.58752144421017
2020,"region_8",12263.34975,4087.78325,105.979,0.0259257875279958,2.59257875279958,5.18515750559915
2020,"region_9",2509.488,836.496,78.861,0.0942754059792276,9.42754059792276,18.8550811958455
2020,NA,315.483,105.161,NA,NA,NA,NA
2021,"region_1",2861.079,953.693,29.601,0.0310382900996442,3.10382900996442,6.20765801992884
2021,"region_2",666.656,222.218666666667,17.617,0.0792777684442951,7.92777684442951,15.855553688859
2021,"region_3",1804.799,601.599666666667,8.007,0.0133095153532332,1.33095153532332,2.66190307064665
2021,"region_4",1787.855,595.951666666667,21.781,0.0365482659387926,3.65482659387926,7.30965318775851
2021,"region_5",11219.289,3739.763,327.149,0.0874785380784825,8.74785380784825,17.4957076156965
2021,"region_6",2724.146,908.048666666667,48.973,0.0539321313909019,5.39321313909019,10.7864262781804
2021,"region_7",5870.236,1956.74533333333,208.905,0.106761465808189,10.6761465808189,21.3522931616378
2021,"region_8",15099.021,5033.007,90.822,0.0180452759155709,1.80452759155709,3.60905518311419
2021,"region_9",2703.899,901.299666666667,179.249,0.198878360471305,19.8878360471305,39.7756720942609
2021,NA,457.307,152.435666666667,NA,NA,NA,NA
2022,"region_1",2209.328,736.442666666667,29.787,0.0404471404879674,4.04471404879674,8.08942809759348
2022,"region_2",461.541,153.847,13.548,0.0880615156616639,8.80615156616638,17.6123031323328
2022,"region_3",1711.21,570.403333333333,39.416,0.0691019804699598,6.91019804699598,13.820396093992
2022,"region_4",2315.909,771.969666666667,23.216,0.0300737205131981,3.00737205131981,6.01474410263961
