"estimated_genus_name","Major_Functional_Group","estimated_family_name","yr","B","B.Bmsy","lcl.B.Bmsy","ucl.B.Bmsy","F.Fmsy","lcl.F.Fmsy","ucl.F.Fmsy"
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2000,21467.3347016286,0.677733374354129,0.592402143403218,0.959889832135341,0.528739971293046,0.373318596471825,0.604901128212892
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2001,27389.5602133267,0.86470068704175,0.72939645212305,1.20148670668517,0.0304627293687902,0.0219237906402089,0.0361136154935889
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2003,36129.4187651939,1.1406219371672,0.969288913789209,1.4714789591466,0.609296562570519,0.47229830993408,0.716996775287204
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2004,42883.2787740407,1.35384432351979,1.15661067294137,1.63690094882791,0.520540985277029,0.430527857278916,0.609307413949854
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2005,47071.7142198759,1.4860751070532,1.31798517101877,1.68425314434145,0.397623643748404,0.350837165384268,0.448334785507143
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2006,47814.1546008137,1.50951428250853,1.36088198164261,1.65007081033715,0.38050040860824,0.348088577590869,0.42205776036596
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2007,48484.9877968266,1.53069278705424,1.42542467229076,1.63564100151529,0.200332424041817,0.187478423572052,0.215127044209986
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2008,50174.2203816014,1.5840226165678,1.4962216944533,1.66358663734119,0.0523507173843372,0.049846950239317,0.0554227496083985
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2009,53178.0553933965,1.6788550336723,1.62511675503596,1.71682750778731,0.0264303775801936,0.0258457953644722,0.0273043597051497
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2010,56758.2928793885,1.79188473512781,1.76779827783904,1.79944038904924,0.51970482176165,0.517522637901364,0.526785860446354
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2011,56928.633955094,1.79726247920427,1.75781950380272,1.83571949380665,0.0470967572793815,0.0461101137924388,0.0481535416846317
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2012,57048.930084724,1.80106028191192,1.76066338844372,1.84013221186172,0.096639114652327,0.0945871551823676,0.098856415270432
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2013,56526.2359850351,1.78455859500664,1.74570244452459,1.83459325764113,0.817637811785676,0.795338464560067,0.83583693727479
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2014,54521.7593190549,1.72127636861335,1.66080912326055,1.77304274778445,0.380438122116867,0.369330717004807,0.394289229356956
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2015,51438.8142898342,1.62394641281574,1.54461732969051,1.6757532886443,0.374497894664707,0.362920077059679,0.393731509389224
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2016,48205.8012695893,1.52187874330784,1.42931642588313,1.59009496765056,1.42488011234685,1.36375172480849,1.51715513477214
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2017,43994.5025647929,1.38892615644579,1.2761213522719,1.49428116813601,1.76156670230709,1.6373665956122,1.91728323078554
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2018,35387.4277766163,1.11719694923002,0.980036123046476,1.2343455677248,1.15870557526478,1.04873575730313,1.32087206103956
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2019,25888.276140802,0.817304476264868,0.695956787977692,0.952234763233182,1.32805624115177,1.13987259500948,1.55961739202066
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2020,19478.149702722,0.614933912741349,0.518780545382085,0.765977050771907,0.972780723128973,0.780957935632969,1.15308074220957
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2021,17833.1076410346,0.562999197839955,0.477786119020816,0.738202736698759,0.528451411049356,0.403029825991541,0.622700636694759
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2022,19475.8503147984,0.614861320034426,0.490761949000299,0.827366307464543,0.565112521322217,0.419966135547587,0.708012981723546
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2023,24248.9570484704,0.765550438070051,0.616014887079691,1.03652027824659,0.463315505020608,0.342194354782117,0.575783792360343
"etrumeus","Anchovy & Sardine (small pelagics)","Dussumieriidae",2024,31419.0577498085,0.991913729569302,0.814815434994108,1.26002783698813,0.410397738537527,0.323071554048056,0.499596760145455
"panulirus","Crustaceans","Palinuridae",2000,1338.23961365447,0.956767399847687,0.796108106390579,1.004952719434,1.66338147064476,1.58362590980394,1.99906162473218
"panulirus","Crustaceans","Palinuridae",2001,1206.68802840335,0.862715283259355,0.737550605218761,0.927047786814011,1.74235036906297,1.62143992312316,2.03803275537597
"panulirus","Crustaceans","Palinuridae",2002,1060.5363882824,0.758224933941309,0.65730168823145,0.837864687885271,1.93266678021789,1.74896515266667,2.22941180282695
"panulirus","Crustaceans","Palinuridae",2003,930.658221102703,0.665369218834983,0.573383014649822,0.739825560371513,2.67338386540406,2.40433343946201,3.102267225785
"panulirus","Crustaceans","Palinuridae",2004,771.257914100334,0.55140680454872,0.48769831867134,0.623331506968308,0.761818753080948,0.673914345072587,0.861335846771173
"panulirus","Crustaceans","Palinuridae",2005,666.527033647991,0.476530010324619,0.425638853541482,0.52635088950678,1.27037340405348,1.15012829543614,1.42226454731001
"panulirus","Crustaceans","Palinuridae",2006,605.97640080548,0.433239652639228,0.392978542729556,0.474192349824929,1.82029657141075,1.66309020925692,2.00678807759002
"panulirus","Crustaceans","Palinuridae",2007,607.369313257007,0.434235508098045,0.39725938790308,0.474928980843776,1.52247522886629,1.39202455785891,1.66418421994531
"panulirus","Crustaceans","Palinuridae",2008,601.592747926443,0.430105582982257,0.386949960125129,0.470239077881363,1.54025272797231,1.40879677735264,1.71203350761508
"panulirus","Crustaceans","Palinuridae",2009,590.682462902613,0.422305331870768,0.38321637708682,0.467221621287167,1.33140132847937,1.20340723600863,1.46720733636412
"panulirus","Crustaceans","Palinuridae",2010,597.233409467253,0.426988896792356,0.393030653820195,0.475560344697744,1.26505997897041,1.13585283301965,1.37436243088523
"panulirus","Crustaceans","Palinuridae",2011,610.216249276916,0.436270910088473,0.40085484856478,0.499157676834976,1.33823079312315,1.16963274956758,1.45646527194221
"panulirus","Crustaceans","Palinuridae",2012,634.867644435725,0.453895295892076,0.415103957484959,0.534093325380164,1.68474312941916,1.43176659376064,1.84218186177509
"panulirus","Crustaceans","Palinuridae",2013,654.752504376611,0.468111872316699,0.423245046612639,0.551096743075473,1.53758030366825,1.30604944382487,1.70057417221508
"panulirus","Crustaceans","Palinuridae",2014,659.88670047002,0.471782538912186,0.427654500454305,0.572736290228027,1.00577699663686,0.828493030996679,1.10955929272049
"panulirus","Crustaceans","Palinuridae",2015,667.552340685508,0.47726304821882,0.435854806378171,0.590233071410761,1.38133873914628,1.1169518774879,1.51257236956035
