"recorded_taxa_group","estimated_genus_name","estimated_taxa_group","Major_Functional_Group"
"CAMARON","Litopenaeus","CAMARON","Shrimps, prawns"
"CAMARON","Farfantepenaeus","CAMARON","Shrimps, prawns"
"LISA","NEI","LISA","Demersal marine fishes"
"MOJARRA","Diapterus","MOJARRA","Marine fishes NEI"
"LEBRANCHA","Mugil","LISA","Demersal marine fishes"
"ALMEJA","Dosinia","ALMEJA","Molluscs excl. Cephalopods"
"LANGOSTA","NEI","LANGOSTA","Crustaceans"
"CALAMAR",NA,"CALAMAR","Cephalopods"
"SARDINA","NEI","SARDINA","Pelagic marine fishes"
"OTRAS","Mycteroperca","CABRILLA","Demersal marine fishes"
"PARGO","Paralabrax","CABRILLA","Demersal marine fishes"
"ALMEJA","NEI","ALMEJA","Molluscs excl. Cephalopods"
"OTRAS","Nematistius","OTRAS","Demersal marine fishes"
"OTRAS","Trachinotus","PAMPANO","Pelagic marine fishes"
"RUBIA Y VILLAJAIBA","NEI","RUBIA Y VILLAJAIBA","Demersal marine fishes"
"MERO","NEI","MERO","Demersal marine fishes"
"OTRAS","Acanthurus","OTRAS","Demersal marine fishes"
"JUREL","Caranx","BONITO","Pelagic marine fishes"
"CARACOL","Megathura","CARACOL","Molluscs excl. Cephalopods"
"CARACOL","Lobatus","CARACOL","Molluscs excl. Cephalopods"
"OTRAS","Oligoplites","SARDINA","Pelagic marine fishes"
"OTRAS","Microlepidotus","OTRAS","Demersal marine fishes"
"OTRAS","Gillichthys","OTRAS",NA
"CARACOL","Triplofusus","CARACOL","Molluscs excl. Cephalopods"
"CABRILLA","Mycteroperca prionura","CABRILLA","Demersal marine fishes"
"OTRAS","Atrina","OTRAS",NA
"OTRAS","Pinna","OTRAS",NA
"RAYA Y SIMILARES","NEI","RAYA Y SIMILARES","Demersal marine fishes"
"TIBURON","Sphyrna","TIBURON","Sharks"
"OTRAS","Istiophorus","OTRAS","Pelagic marine fishes"
"PETO","Lamna","PETO","Sharks"
"OTRAS","Parapsettus","OTRAS","Demersal marine fishes"
"OTRAS","Scorpaenichthys","OTRAS","Demersal marine fishes"
"PAMPANO","Gnathanodon","PAMPANO","Pelagic marine fishes"
"LANGOSTINO","Macrobrachium","LANGOSTINO","Shrimps, prawns"
"OTRAS","Abudefduf","OTRAS","Pelagic marine fishes"
"OTRAS","Synodus","OTRAS","Demersal marine fishes"
