"Region","Stock","estimated_family_name","Major_Functional_Group","estimated_taxa_group","Source","Sufficient_No_Years","StartYear","EndYear","int_yr","btype","Flim","Fpa","Blim","Bpa","Bmsy","B40","FMSY","MSY","MSYBtrigger","M","Fofl","last_F","q.start","q.end","st_b.low","st_b.hi","int_b.low","int_b.hi","end_b.low","end_b.hi","r.low","r.hi","Resilience","Resilience_Source","Yes_Run","Comment","st_b_source","end_b_source"
"goc","balistes","balistidae","demersal marine fishes","carpa","CONAPESCA",TRUE,2000,2024,2007,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.1,0.3,0.136666666666667,0.316666666666667,NA,NA,"medium","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","centropomus","centropomidae","demersal marine fishes","robalo","CONAPESCA",TRUE,2000,2024,2011,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,"high","best_guess_centropomus.robalito","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","hypanus","dasyatidae","demersal marine fishes","raya y similares","CONAPESCA",TRUE,2000,2024,2013,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.6,0.9,0.233333333333333,0.466666666666667,NA,NA,"low","my_best_guess","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","parapsettus","ephippidae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2024,2009,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.1,0.3,NA,NA,"medium","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","gerres","gerreidae","demersal marine fishes","bandera","CONAPESCA",TRUE,2000,2024,2013,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.2,0.4,NA,NA,"high","best_guess_serranidae","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","diapterus","gerreidae","demersal marine fishes","mojarra","CONAPESCA",TRUE,2000,2024,2015,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.1,0.3,0.3,0.5,NA,NA,"high","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","eucinostomus","gerreidae","demersal marine fishes","mojarra","CONAPESCA",TRUE,2000,2024,2009,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.2,0.4,NA,NA,"high","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","eugerres","gerreidae","demersal marine fishes","mojarra","CONAPESCA",TRUE,2000,2024,2014,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.2,0.4,NA,NA,"medium","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","anisotremus","haemulidae","demersal marine fishes","mojarra","CONAPESCA",TRUE,2000,2024,2012,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0,0.2,0.4,0.65,NA,NA,"medium","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","microlepidotus","haemulidae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2024,2018,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0,0.2,0.5,0.8,NA,NA,"medium","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
