"year","Stock","Major_Functional_Group","estimated_taxa_group","new_estimated_family_name","total_biomass_kg","total_revenue"
2000,"Synodus","Demersal marine fishes","OTRAS","Synodontidae",42018,161432
2000,"Thunnus","Pelagic marine fish (excl. anchovy & sardine)","ATUN","Scombridae",52553965,309855057
2000,"Trachinotus","Pelagic marine fish (excl. anchovy & sardine)","PAMPANO","Carangidae",165207.1,751683
2000,"Xenichthys","Demersal marine fishes","OTRAS","Haemulidae",200,200
2000,"Xiphias","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Xiphiidae",38715.75,647210
2001,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae",1049,7960
2001,"Acanthurus","Demersal marine fishes","OTRAS","Acanthuridae",3661,67115
2001,"Aetobatus","Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae",3521.75,12832
2001,"Anisotremus","Demersal marine fishes","MOJARRA","Haemulidae",88559.6,1164942
2001,"Anoplopoma","Demersal marine fishes","OTRAS","Anoplopomatidae",49989,446901
2001,"Argopecten","Molluscs excl. Cephalopods","ALMEJA","Pectinidae",400926,1298522
2001,"Balistes","Demersal marine fishes","CARPA","Balistidae",680558.45,5488159
2001,"Brotula","Demersal marine fishes","LENGUADO","Ophidiidae",316427.8,3322446
2001,"Calamus","Demersal marine fishes","MOJARRA","Sparidae",14202,64226
2001,"Caranx","Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae",34208.5,2115487
2001,"Carcharhinus","Sharks","TIBURON","Carcharhinidae",132004.3,481583
2001,"Caulolatilus","Demersal marine fishes","PIERNA","Malacanthidae",405166.4,2351838
2001,"Centropomus","Demersal marine fishes","ROBALO","Centropomidae",397868.4,9406169
2001,"Cetengraulis","Anchovy & Sardine (small pelagics)","SARDINA","Engraulidae",121177569.52,7576806
2001,"Chanos","Diadromous fishes","OTRAS","Chanidae",7106,24605
2001,"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Coryphaenidae",114427.7,1321970
2001,"Cynoscion","Demersal marine fishes","CORVINA","Sciaenidae",4493599.85,38334472
2001,"Diapterus","Demersal marine fishes","MOJARRA","Gerreidae",22352,123122
2001,"Diplectrum","Demersal marine fishes","OTRAS","Serranidae",6885.15,131842
2001,"Dosidicus","Cephalopods","CALAMAR","Ommastrephidae",25673744.45,34337083
2001,"Dosinia","Molluscs excl. Cephalopods","ALMEJA","Veneridae",169168,859224
2001,"Epinephelus","Demersal marine fishes","MERO","Serranidae",31169.9,380009
2001,"Especies","Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea",411054,8461209
2001,"Etrumeus","Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae",304453.6,0
2001,"Eucinostomus","Demersal marine fishes","MOJARRA","Gerreidae",67450,453366
2001,"Eugerres","Demersal marine fishes","MOJARRA","Gerreidae",20487,108522
2001,"Farfantepenaeus","Shrimps, prawns","CAMARON","Penaeidae",6004.2,316515
2001,"Galeocerdo","Sharks","TIBURON","Carcharhinidae",1302.5,3757
2001,"Gerres","Demersal marine fishes","BANDERA","Gerreidae",126178.3,767266
2001,"Haemulon","Demersal marine fishes","RUBIO","Haemulidae",309357.5,1265387
2001,"Haemulopsis","Demersal marine fishes","RONCO","Haemulidae",66858.4,365021
2001,"Hexaplex","Molluscs excl. Cephalopods","CARACOL","Muricidae",20000,0
2001,"Hoplopagrus","Demersal marine fishes","PARGO","Lutjanidae",51824.7,641584
2001,"Hypanus","Demersal marine fishes","RAYA Y SIMILARES","Dasyatidae",1054826.3,6086815
2001,"Hyporthodus","Demersal marine fishes","BAQUETA","Serranidae",263103.6,6091710
2001,"Katsuwonus","Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae",2829756,14639835
2001,"Lamna","Demersal marine fishes","PETO","Lamnidae",2277.9,33111
2001,"Lobatus","Molluscs excl. Cephalopods","CARACOL","Strombidae",10000,0
2001,"Lutjanus","Demersal marine fishes","GUACHINANGO","Lutjanidae",2340451.75,45216623
2001,"Megapitaria","Molluscs excl. Cephalopods","ALMEJA","Veneridae",1116344,4511701
2001,"Menticirrhus","Demersal marine fishes","BERRUGATA","Sciaenidae",128288,445530
2001,"Merluccius","Demersal marine fishes","OTRAS","Merlucciidae",655859.3,3429189
2001,"Micropogonias","Demersal marine fishes","BERRUGATA","Sciaenidae",2208590.8,9686841
2001,"Mobula","Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae",858586.4,4771143
2001,"Mugil","Demersal marine fishes","LISA","Mugilidae",1926283,9740256
2001,"Mustelus","Sharks","TIBURON","Triakidae",107619.25,990301
2001,"Mycteroperca","Demersal marine fishes","CABRILLA","Serranidae",431186.3,5455065
2001,"Nematistius","Demersal marine fishes","OTRAS","Nematistiidae",1534.1,6908
2001,"Nicholsina","Demersal marine fishes","OTRAS","Scaridae",1442,19725
2001,"Oligoplites","Anchovy & Sardine (small pelagics)","SARDINA","Carangidae",204,766
2001,"Opisthonema","Anchovy & Sardine (small pelagics)","SARDINA","Clupeidae",41609943.56,5305000
2001,"Orthopristis","Demersal marine fishes","OTRAS","Haemulidae",43558,166173
2001,"Panulirus","Crustaceans","LANGOSTA","Palinuridae",377180,21545628
2001,"Paralabrax","Demersal marine fishes","CABRILLA","Serranidae",1429471.9,7358554
2001,"Parapsettus","Demersal marine fishes","OTRAS","Ephippidae",1744,8720
2001,"Penaeus","Shrimps, prawns","CAMARON","Penaeidae",4908841.8,302701496
2001,"Prionace","Sharks","TIBURON","Carcharhinidae",23415,138972
2001,"Pseudobatos","Demersal marine fishes","RAYA Y SIMILARES","Rhinobatidae",925436.15,7612574
2001,"Rimapenaeus","Shrimps, prawns","CAMARON","Penaeidae",232031.2,3484493
2001,"Sarda","Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae",5397.1,25520
2001,"Sardinops","Anchovy & Sardine (small pelagics)","SARDINA","Clupeidae",198890414.64,52874536
2001,"Scomber","Pelagic marine fish (excl. anchovy & sardine)","MACARELA","Scombridae",12022730.64,7629435
2001,"Scomberomorus","Pelagic marine fish (excl. anchovy & sardine)","SIERRA","Scombridae",4151028.52,31355662
2001,"Scorpaena","Demersal marine fishes","OTRAS","Scorpaenidae",45149.8,430946
2001,"Selene","Pelagic marine fish (excl. anchovy & sardine)","RONCO","Carangidae",48132,172993
2001,"Seriola","Pelagic marine fish (excl. anchovy & sardine)","ESMEDREGAL","Carangidae",459926.2,3980008
2001,"Sphoeroides","Demersal marine fishes","OTRAS","Tetraodontidae",261448.05,3933494
2001,"Sphyrna","Sharks","TIBURON","Sphyrnidae",2455.65,11598
2001,"Squatina","Sharks","TIBURON","Squatinidae",782729.45,6972201
2001,"Stereolepis","Demersal marine fishes","OTRAS","Polyprionidae",131.5,2469
2001,"Synodus","Demersal marine fishes","OTRAS","Synodontidae",22726,103462
2001,"Thunnus","Pelagic marine fish (excl. anchovy & sardine)","ATUN","Scombridae",67446997.8,449722002
2001,"Trachinotus","Pelagic marine fish (excl. anchovy & sardine)","PAMPANO","Carangidae",132167.9,647019
2001,"Xenichthys","Demersal marine fishes","OTRAS","Haemulidae",851,2602
2001,"Xiphias","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Xiphiidae",24281.25,863625
2002,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae",1418.5,8915
2002,"Acanthurus","Demersal marine fishes","OTRAS","Acanthuridae",10320,117300
2002,"Aetobatus","Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae",5125.3,25535
2002,"Alopias","Sharks","TIBURON","Alopiidae",20372,159952
2002,"Anisotremus","Demersal marine fishes","MOJARRA","Haemulidae",60205.6,376897
2002,"Anoplopoma","Demersal marine fishes","OTRAS","Anoplopomatidae",19657,138541
2002,"Argopecten","Molluscs excl. Cephalopods","ALMEJA","Pectinidae",139095,655160
2002,"Balistes","Demersal marine fishes","CARPA","Balistidae",391559.3,3120628
2002,"Brotula","Demersal marine fishes","LENGUADO","Ophidiidae",32246.6,352797
2002,"Calamus","Demersal marine fishes","MOJARRA","Sparidae",17714,89851
2002,"Caranx","Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae",38570,1838110
2002,"Carcharhinus","Sharks","TIBURON","Carcharhinidae",86126.3,278020
2002,"Caulolatilus","Demersal marine fishes","PIERNA","Malacanthidae",273605.15,1752864
2002,"Centropomus","Demersal marine fishes","ROBALO","Centropomidae",305276.6,7176921
2002,"Chanos","Diadromous fishes","OTRAS","Chanidae",33938.5,129680
2002,"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Coryphaenidae",115441.1,1476289
2002,"Cynoscion","Demersal marine fishes","CORVINA","Sciaenidae",4635872.25,34707982
2002,"Diapterus","Demersal marine fishes","MOJARRA","Gerreidae",8127,48389
2002,"Diplectrum","Demersal marine fishes","OTRAS","Serranidae",20356.45,415417
2002,"Dosidicus","Cephalopods","CALAMAR","Ommastrephidae",41700582.95,38926599
2002,"Dosinia","Molluscs excl. Cephalopods","ALMEJA","Veneridae",83341,262218
2002,"Epinephelus","Demersal marine fishes","MERO","Serranidae",17147.8,270957
2002,"Especies","Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea",260012,1724703
2002,"Eucinostomus","Demersal marine fishes","MOJARRA","Gerreidae",82568,614749
2002,"Eugerres","Demersal marine fishes","MOJARRA","Gerreidae",21979,119139
2002,"Galeocerdo","Sharks","TIBURON","Carcharhinidae",871.5,2716
2002,"Gerres","Demersal marine fishes","BANDERA","Gerreidae",78452.9,482693
2002,"Haemulon","Demersal marine fishes","RUBIO","Haemulidae",337228,1577838
2002,"Haemulopsis","Demersal marine fishes","RONCO","Haemulidae",57312.2,354516
2002,"Hexaplex","Molluscs excl. Cephalopods","CARACOL","Muricidae",51000,0
2002,"Hoplopagrus","Demersal marine fishes","PARGO","Lutjanidae",59235.9,807487
2002,"Hypanus","Demersal marine fishes","RAYA Y SIMILARES","Dasyatidae",734336.3,4842426
2002,"Hyporthodus","Demersal marine fishes","BAQUETA","Serranidae",258921.25,5978156
2002,"Istiophorus","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Istiophoridae",355,1720
2002,"Katsuwonus","Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae",10918,32960
2002,"Lamna","Demersal marine fishes","PETO","Lamnidae",9228.6,96787
2002,"Lobatus","Molluscs excl. Cephalopods","CARACOL","Strombidae",400,5200
2002,"Lutjanus","Demersal marine fishes","GUACHINANGO","Lutjanidae",2124002.6,41468956
2002,"Megapitaria","Molluscs excl. Cephalopods","ALMEJA","Veneridae",731386,3563269
2002,"Menticirrhus","Demersal marine fishes","BERRUGATA","Sciaenidae",80435.8,281365
2002,"Merluccius","Demersal marine fishes","OTRAS","Merlucciidae",38754,197213
2002,"Micropogonias","Demersal marine fishes","BERRUGATA","Sciaenidae",1131434.2,5512118
2002,"Mobula","Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae",718804.65,4291278
2002,"Mugil","Demersal marine fishes","LISA","Mugilidae",2694964,12354196
2002,"Mustelus","Sharks","TIBURON","Triakidae",89655.7,922792
2002,"Mycteroperca","Demersal marine fishes","CABRILLA","Serranidae",432058.75,6149447
2002,"Nematistius","Demersal marine fishes","OTRAS","Nematistiidae",531.9,4841
2002,"Nicholsina","Demersal marine fishes","OTRAS","Scaridae",92,552
2002,"Oligoplites","Anchovy & Sardine (small pelagics)","SARDINA","Carangidae",1183.2,4760
2002,"Orthopristis","Demersal marine fishes","OTRAS","Haemulidae",45712,190435
2002,"Panulirus","Crustaceans","LANGOSTA","Palinuridae",367706,20723584
2002,"Paralabrax","Demersal marine fishes","CABRILLA","Serranidae",1706387.2,7927743
2002,"Parapsettus","Demersal marine fishes","OTRAS","Ephippidae",890,4450
2002,"Penaeus","Shrimps, prawns","CAMARON","Penaeidae",2404789.8,137644803
2002,"Pseudobatos","Demersal marine fishes","RAYA Y SIMILARES","Rhinobatidae",712136.9,6197986
2002,"Rimapenaeus","Shrimps, prawns","CAMARON","Penaeidae",42712.2,515769
2002,"Sarda","Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae",4873.55,57388
2002,"Scomber","Pelagic marine fish (excl. anchovy & sardine)","MACARELA","Scombridae",5647,367364
2002,"Scomberomorus","Pelagic marine fish (excl. anchovy & sardine)","SIERRA","Scombridae",3483535.45,24769327
2002,"Scorpaena","Demersal marine fishes","OTRAS","Scorpaenidae",57640.2,723735
2002,"Selene","Pelagic marine fish (excl. anchovy & sardine)","RONCO","Carangidae",76788,376332
