"","cinfo.stock.i.","stock","yr","ct.raw","B","lcl.B","ucl.B","B.Bmsy","lcl.B.Bmsy","ucl.B.Bmsy","F.Fmsy","lcl.F.Fmsy","ucl.F.Fmsy"
"1","bandera","bandera",2000,0.524187,26.483618425898,20.6527774837379,30.8270837822382,0.866454523639388,0.675689106704672,1.00855803629957,0.638083595512099,0.548179081314986,0.818231953579785
"2","bandera","bandera",2001,0.702875,26.7693239681512,21.2260235965811,31.1766002801121,0.875801843765104,0.694443782883892,1.01999303531667,0.846465668115065,0.726805151751725,1.06752513463423
"3","bandera","bandera",2002,0.511101,26.9774338071858,21.7373122862097,31.45390053642,0.882610494627899,0.711171421490145,1.02906536288235,0.610765855969844,0.523842676746476,0.758000586004771
"4","bandera","bandera",2003,0.798363,27.2912210501935,22.2381082211148,31.813503329316,0.892876553132143,0.727555772610173,1.04083035139742,0.943074690389411,0.809016837153647,1.15736732577921
"5","bandera","bandera",2004,0.822058,27.467090602436,22.7510833279164,32.0964937584345,0.898630410730465,0.744338585088999,1.050088842194,0.964847010139359,0.825683342375147,1.16484739926511
"6","bandera","bandera",2005,0.96651,27.6153154125924,23.222361402677,32.4032623360348,0.903479825761684,0.759757211547122,1.06012527367771,1.12830106799172,0.961581878695769,1.34174080459209
"7","bandera","bandera",2006,0.589586,27.6154713140662,23.5788040548649,32.4369173328549,0.903484926331215,0.771418810934319,1.0612263514749,0.688277160044199,0.585971162866192,0.806109509417884
"8","bandera","bandera",2007,0.769421,27.6482546457584,23.9373953364242,32.5725227402134,0.904557486190213,0.7831507062157,1.06566290227948,0.897149811136812,0.76151996673814,1.03622913375044
"9","bandera","bandera",2008,0.998029,27.7408141536606,24.3096691134822,32.7760969204203,0.907585720589228,0.795330246525373,1.07232316170853,1.15982539435427,0.98164527623887,1.32352688822218
"10","bandera","bandera",2009,1.260349,27.8077018925594,24.553450931367,33.0150147536249,0.909774061434987,0.803305964023282,1.08013974606,1.46114857037226,1.2306880420579,1.65480542752322
"11","bandera","bandera",2010,1.581982,27.6029986592006,24.3765848749014,32.8909275958394,0.903076863201159,0.79751950417333,1.07608003346863,1.84762542013912,1.55057961944668,2.09217174007486
"12","bandera","bandera",2011,1.440304,27.1796712165742,23.7581411596067,32.5441432758487,0.889227019431863,0.777286115135773,1.06473442208158,1.70835696742134,1.426756891447,1.95438609372352
"13","bandera","bandera",2012,1.429399,26.6064547049236,22.836204890107,31.9875693680551,0.870473311703662,0.747123475032406,1.04652520412683,1.73194908375567,1.44059163476794,2.01789330013159
"14","bandera","bandera",2013,1.740685,26.0209924416665,21.8482722304397,31.3710990088873,0.851318964353481,0.714801656002468,1.02635637663504,2.1565770822783,1.78878897235755,2.56845371414091
"15","bandera","bandera",2014,1.6733525,25.4350788511482,20.6117111089659,30.727386936525,0.832149851100062,0.674345553659221,1.00529629231989,2.12091373168412,1.75561977050982,2.61723093811473
"16","bandera","bandera",2015,1.9845104,24.8155264836983,19.315429991398,30.0405666694558,0.811880190709414,0.631935614799556,0.982825853509027,2.57809277028172,2.12967784936649,3.31220839747543
"17","bandera","bandera",2016,2.3448456,23.9832072054953,17.7324670148288,29.2063696701849,0.784649515802619,0.580146414028532,0.955533745912512,3.15192334556738,2.58824467218017,4.26298442452286
"18","bandera","bandera",2017,1.9893874,22.8998821496127,15.7914557105182,28.1723579035721,0.749206779838582,0.516643081590751,0.921704374175232,2.80062377306902,2.27648514789571,4.06130729961562
"19","bandera","bandera",2018,2.020549,21.6493161645926,13.5046716747341,27.0380372285214,0.708292485673605,0.441827233524694,0.884593233833689,3.00880373402123,2.40914467143052,4.82340814230233
"20","bandera","bandera",2019,1.8040911,20.3321392068423,11.1006944195989,25.9611006455958,0.665198905516889,0.363177219242609,0.84935950712223,2.86051378433056,2.24028885601069,5.23934469932034
"21","bandera","bandera",2020,1.300172,19.2177408907263,8.71126684282223,25.1086540226669,0.628739557454745,0.285003221282335,0.821470333493464,2.1810575783288,1.66934473549394,4.8115848319598
"22","bandera","bandera",2021,1.062498,18.2824023413996,6.50544764809212,24.5148576689978,0.598138440033198,0.212836269287002,0.80204332286058,1.87354234956917,1.39722838700352,5.26525719540918
"23","bandera","bandera",2022,1.115029,17.6644503314073,4.65369743740154,24.2171840480915,0.577921137931974,0.152253258276163,0.792304447633841,2.03495443916554,1.48433242882131,7.72425627167279
"24","bandera","bandera",2023,0.973425,17.2439470374899,2.95704575849839,24.1769510591428,0.56416369076744,0.0967445472463879,0.790988160157048,1.81984529785678,1.29798483919255,10.6123876651145
"25","bandera","bandera",2024,1.0075381,16.9209953815069,1.4140895775727,24.2754858545115,0.55359780363135,0.0462642336713714,0.794211885775283,1.91957120413676,1.33801875992671,22.9695883449093
"26","berrugata","berrugata",2000,1.990975,209.671981379248,134.062501817189,289.068040481291,0.437533887905256,0.279755488818907,0.603213947752827,0.349826231404566,0.253742194934129,0.547123603414851
"27","berrugata","berrugata",2001,2.21962,214.889833150079,138.099647858387,296.032403976586,0.448422262006493,0.288180020279082,0.617746862531603,0.371290857360937,0.269519921862175,0.577746805482499
"28","berrugata","berrugata",2002,1.156961,220.153741584751,142.39981087601,303.178050612274,0.459406745044471,0.297153403519657,0.632658070665104,0.18438854662797,0.133894351400248,0.285069398588372
"29","berrugata","berrugata",2003,2.177761,226.108304511676,147.186457148675,311.355452240503,0.471832454245367,0.307141957736247,0.64972229786335,0.329036860347204,0.238948655241418,0.505467473408923
"30","berrugata","berrugata",2004,2.621305,232.368351820594,152.441930246572,319.657439489577,0.484895634263622,0.318108838299775,0.667046504629236,0.374999737776322,0.272598288778698,0.57161484940065
"31","berrugata","berrugata",2005,3.327338,238.86812748779,157.974530460146,328.255226434426,0.498459068440535,0.329654015036059,0.684987972652839,0.450451329445737,0.327789040125407,0.681112741881098
"32","berrugata","berrugata",2006,2.6778228,245.499530436602,163.157532654838,335.86971024858,0.512297176400282,0.340469666637899,0.700877528737932,0.351641257574238,0.257027534732798,0.529106822173138
"33","berrugata","berrugata",2007,2.598435,252.555927658799,168.974359547789,343.903439041944,0.527022142945275,0.352607954591315,0.717641946044501,0.331682796641172,0.243581328024926,0.495746553609422
"34","berrugata","berrugata",2008,3.483011,259.477490806608,175.133990547218,352.530726140616,0.541465743919146,0.365461590453929,0.735644973638013,0.432736782652598,0.318512532997288,0.641140273179281
