"","yr","OHI_Region_No","stock","total_catch_kg","B","B.Bmsy","lcl.B.Bmsy","ucl.B.Bmsy","F.Fmsy","lcl.F.Fmsy","ucl.F.Fmsy"
"1",2015,"Region_1","alopias",700,15790.63176,1.285316179,1.160526071,1.360324141,0.676475856,0.639175132,0.749216569
"2",2023,"Region_1","alopias",1760,12436.03306,1.012260607,0.712151296,1.218805189,2.704854928,2.246477219,3.844714049
"3",2014,"Region_2","alopias",7000,15509.91656,1.262466695,1.138517534,1.332020463,0.682167813,0.646547232,0.756434678
"4",2015,"Region_2","alopias",211.25,15790.63176,1.285316179,1.160526071,1.360324141,0.676475856,0.639175132,0.749216569
"5",2016,"Region_2","alopias",1655.75,15912.06132,1.295200228,1.169244734,1.377394052,1.061781762,0.998421605,1.176160936
"6",2018,"Region_2","alopias",3553,15230.50438,1.239723274,1.103182558,1.347579278,1.544622814,1.420996065,1.735800514
"7",2020,"Region_2","alopias",2802.5,13850.27686,1.127376359,0.927796148,1.274653894,1.671529941,1.478396094,2.031096317
"8",2021,"Region_2","alopias",1050,13312.84749,1.083631012,0.857050376,1.253693402,1.469651039,1.270294188,1.858186505
"9",2022,"Region_2","alopias",863.5,12899.67948,1.050000215,0.786101281,1.236635692,1.513063973,1.2847094,2.021008659
"10",2023,"Region_2","alopias",359,12436.03306,1.012260607,0.712151296,1.218805189,2.704854928,2.246477219,3.844714049
"11",2024,"Region_2","alopias",14760,11802.84722,0.960720934,0.614986387,1.191422575,1.506443433,1.214742587,2.353339475
"12",2014,"Region_3","alopias",7428,15509.91656,1.262466695,1.138517534,1.332020463,0.682167813,0.646547232,0.756434678
"13",2015,"Region_3","alopias",9334,15790.63176,1.285316179,1.160526071,1.360324141,0.676475856,0.639175132,0.749216569
"14",2016,"Region_3","alopias",66934.9,15912.06132,1.295200228,1.169244734,1.377394052,1.061781762,0.998421605,1.176160936
"15",2017,"Region_3","alopias",94274,15767.0351,1.283395472,1.15581201,1.374792088,2.110260922,1.969970104,2.343200528
"16",2018,"Region_3","alopias",71009,15230.50438,1.239723274,1.103182558,1.347579278,1.544622814,1.420996065,1.735800514
"17",2019,"Region_3","alopias",28567.6,14526.92676,1.182453893,1.018936222,1.310628455,1.224522494,1.104768773,1.421032405
"18",2020,"Region_3","alopias",4665.5,13850.27686,1.127376359,0.927796148,1.274653894,1.671529941,1.478396094,2.031096317
"19",2021,"Region_3","alopias",11425.4,13312.84749,1.083631012,0.857050376,1.253693402,1.469651039,1.270294188,1.858186505
"20",2022,"Region_3","alopias",4228,12899.67948,1.050000215,0.786101281,1.236635692,1.513063973,1.2847094,2.021008659
"21",2023,"Region_3","alopias",2854,12436.03306,1.012260607,0.712151296,1.218805189,2.704854928,2.246477219,3.844714049
"22",2024,"Region_3","alopias",4107.9,11802.84722,0.960720934,0.614986387,1.191422575,1.506443433,1.214742587,2.353339475
"23",2014,"Region_4","alopias",11529,15509.91656,1.262466695,1.138517534,1.332020463,0.682167813,0.646547232,0.756434678
"24",2015,"Region_4","alopias",8929,15790.63176,1.285316179,1.160526071,1.360324141,0.676475856,0.639175132,0.749216569
"25",2016,"Region_4","alopias",7220.25,15912.06132,1.295200228,1.169244734,1.377394052,1.061781762,0.998421605,1.176160936
"26",2017,"Region_4","alopias",20670,15767.0351,1.283395472,1.15581201,1.374792088,2.110260922,1.969970104,2.343200528
"27",2018,"Region_4","alopias",3803,15230.50438,1.239723274,1.103182558,1.347579278,1.544622814,1.420996065,1.735800514
"28",2019,"Region_4","alopias",33410,14526.92676,1.182453893,1.018936222,1.310628455,1.224522494,1.104768773,1.421032405
"29",2020,"Region_4","alopias",63615.45,13850.27686,1.127376359,0.927796148,1.274653894,1.671529941,1.478396094,2.031096317
"30",2021,"Region_4","alopias",258582.25,13312.84749,1.083631012,0.857050376,1.253693402,1.469651039,1.270294188,1.858186505
"31",2022,"Region_4","alopias",4014.5,12899.67948,1.050000215,0.786101281,1.236635692,1.513063973,1.2847094,2.021008659
"32",2023,"Region_4","alopias",76256,12436.03306,1.012260607,0.712151296,1.218805189,2.704854928,2.246477219,3.844714049
"33",2024,"Region_4","alopias",900,11802.84722,0.960720934,0.614986387,1.191422575,1.506443433,1.214742587,2.353339475
"34",2019,"Region_7","alopias",42125,14526.92676,1.182453893,1.018936222,1.310628455,1.224522494,1.104768773,1.421032405
"35",2020,"Region_7","alopias",56625,13850.27686,1.127376359,0.927796148,1.274653894,1.671529941,1.478396094,2.031096317
"36",2021,"Region_7","alopias",40625,13312.84749,1.083631012,0.857050376,1.253693402,1.469651039,1.270294188,1.858186505
"37",2022,"Region_7","alopias",133139,12899.67948,1.050000215,0.786101281,1.236635692,1.513063973,1.2847094,2.021008659
"38",2023,"Region_7","alopias",278008,12436.03306,1.012260607,0.712151296,1.218805189,2.704854928,2.246477219,3.844714049
"39",2024,"Region_7","alopias",251375,11802.84722,0.960720934,0.614986387,1.191422575,1.506443433,1.214742587,2.353339475
"40",2014,"Region_8","alopias",401197.95,15509.91656,1.262466695,1.138517534,1.332020463,0.682167813,0.646547232,0.756434678
"41",2015,"Region_8","alopias",407091.268,15790.63176,1.285316179,1.160526071,1.360324141,0.676475856,0.639175132,0.749216569
"42",2016,"Region_8","alopias",690179.1,15912.06132,1.295200228,1.169244734,1.377394052,1.061781762,0.998421605,1.176160936
"43",2017,"Region_8","alopias",665940.55,15767.0351,1.283395472,1.15581201,1.374792088,2.110260922,1.969970104,2.343200528
"44",2018,"Region_8","alopias",559732.7,15230.50438,1.239723274,1.103182558,1.347579278,1.544622814,1.420996065,1.735800514
"45",2019,"Region_8","alopias",615847.85,14526.92676,1.182453893,1.018936222,1.310628455,1.224522494,1.104768773,1.421032405
"46",2020,"Region_8","alopias",888356.55,13850.27686,1.127376359,0.927796148,1.274653894,1.671529941,1.478396094,2.031096317
"47",2021,"Region_8","alopias",632650.5,13312.84749,1.083631012,0.857050376,1.253693402,1.469651039,1.270294188,1.858186505
"48",2022,"Region_8","alopias",801424.55,12899.67948,1.050000215,0.786101281,1.236635692,1.513063973,1.2847094,2.021008659
"49",2023,"Region_8","alopias",1329739,12436.03306,1.012260607,0.712151296,1.218805189,2.704854928,2.246477219,3.844714049
"50",2024,"Region_8","alopias",608579.7,11802.84722,0.960720934,0.614986387,1.191422575,1.506443433,1.214742587,2.353339475
"51",2014,"Region_9","alopias",116659.5,15509.91656,1.262466695,1.138517534,1.332020463,0.682167813,0.646547232,0.756434678
"52",2015,"Region_9","alopias",122771.8,15790.63176,1.285316179,1.160526071,1.360324141,0.676475856,0.639175132,0.749216569
"53",2016,"Region_9","alopias",102393.9,15912.06132,1.295200228,1.169244734,1.377394052,1.061781762,0.998421605,1.176160936
"54",2017,"Region_9","alopias",929273.5,15767.0351,1.283395472,1.15581201,1.374792088,2.110260922,1.969970104,2.343200528
"55",2018,"Region_9","alopias",571070.7,15230.50438,1.239723274,1.103182558,1.347579278,1.544622814,1.420996065,1.735800514
"56",2019,"Region_9","alopias",194353.45,14526.92676,1.182453893,1.018936222,1.310628455,1.224522494,1.104768773,1.421032405
"57",2020,"Region_9","alopias",173868.45,13850.27686,1.127376359,0.927796148,1.274653894,1.671529941,1.478396094,2.031096317
"58",2021,"Region_9","alopias",61289.95,13312.84749,1.083631012,0.857050376,1.253693402,1.469651039,1.270294188,1.858186505
"59",2022,"Region_9","alopias",59527.55,12899.67948,1.050000215,0.786101281,1.236635692,1.513063973,1.2847094,2.021008659
"60",2023,"Region_9","alopias",39948,12436.03306,1.012260607,0.712151296,1.218805189,2.704854928,2.246477219,3.844714049
"61",2024,"Region_9","alopias",34158.45,11802.84722,0.960720934,0.614986387,1.191422575,1.506443433,1.214742587,2.353339475
"62",2014,"Region_9","ariopsis",3277.6,6.72229649,0.556938398,0.480671828,0.877639825,0.95106658,0.603534027,1.101969091
"63",2015,"Region_9","ariopsis",6177,6.666060791,0.552279303,0.452123993,0.936362161,1.807511067,1.066094929,2.207914127
"64",2016,"Region_9","ariopsis",931,5.514728261,0.456892065,0.379353625,0.987875549,0.360374943,0.166673274,0.434034211
"65",2019,"Region_9","ariopsis",3522.6,8.946721201,0.741230706,0.510554774,1.718549345,0.76801917,0.331255773,1.115021191
"66",2020,"Region_9","ariopsis",7800.4,11.3854306,0.943276377,0.655613652,1.757662123,1.336411016,0.7172055,1.922786291
"67",2021,"Region_9","ariopsis",10714.7,12.35434979,1.023550775,0.729623614,1.572486427,1.691736642,1.101172208,2.373248778
"68",2022,"Region_9","ariopsis",8059,10.83284828,0.89749525,0.644123286,1.247410037,1.451146065,1.044080665,2.021968043
"69",2023,"Region_9","ariopsis",43,8.122498723,0.672944348,0.36721173,0.793555253,0.010326459,0.008756961,0.018924048
"70",2014,"Region_1","brotula",47266,5347.346474,0.688254286,0.447466367,0.801526129,1.470412698,1.262613662,2.261662362
"71",2015,"Region_1","brotula",25481,5258.951912,0.676877066,0.447450481,0.799215893,1.277961693,1.082339539,1.93322613
"72",2016,"Region_1","brotula",27405,5204.775812,0.669904087,0.449421561,0.792701712,1.38277145,1.168565971,2.061147765
"73",2017,"Region_1","brotula",21218.2,5059.370272,0.651189013,0.445515763,0.777002883,1.438947503,1.205950229,2.103240521
"74",2018,"Region_1","brotula",13785,4940.336165,0.635868193,0.441609044,0.765032452,1.279296714,1.063306644,1.842045812
"75",2019,"Region_1","brotula",21860,4829.811522,0.621642621,0.443335579,0.766557126,1.201408155,0.974286833,1.684607665
"76",2020,"Region_1","brotula",10536.8,4756.771713,0.612241704,0.44205325,0.760537372,1.451756176,1.168681129,2.010675579
"77",2021,"Region_1","brotula",12017,4718.426624,0.607306327,0.432085179,0.766680638,2.50892846,1.987383079,3.526360542
"78",2022,"Region_1","brotula",4282.8,4454.913523,0.573389688,0.40387114,0.734809294,2.613265076,2.039194736,3.710141917
"79",2023,"Region_1","brotula",2668,3938.065106,0.506866387,0.331148735,0.664848228,2.890442078,2.2036126,4.424199094
"80",2024,"Region_1","brotula",13821,3220.122794,0.414460391,0.211592802,0.592337655,3.411541741,2.387065744,6.682405593
"81",2015,"Region_1_2_Baja_TBD","brotula",484,5258.951912,0.676877066,0.447450481,0.799215893,1.277961693,1.082339539,1.93322613
"82",2016,"Region_1_2_Baja_TBD","brotula",220,5204.775812,0.669904087,0.449421561,0.792701712,1.38277145,1.168565971,2.061147765
"83",2022,"Region_1_2_Baja_TBD","brotula",48,4454.913523,0.573389688,0.40387114,0.734809294,2.613265076,2.039194736,3.710141917
"84",2014,"Region_2","brotula",1445,5347.346474,0.688254286,0.447466367,0.801526129,1.470412698,1.262613662,2.261662362
"85",2015,"Region_2","brotula",846,5258.951912,0.676877066,0.447450481,0.799215893,1.277961693,1.082339539,1.93322613
"86",2016,"Region_2","brotula",24.2,5204.775812,0.669904087,0.449421561,0.792701712,1.38277145,1.168565971,2.061147765
"87",2017,"Region_2","brotula",20,5059.370272,0.651189013,0.445515763,0.777002883,1.438947503,1.205950229,2.103240521
"88",2018,"Region_2","brotula",5456.8,4940.336165,0.635868193,0.441609044,0.765032452,1.279296714,1.063306644,1.842045812
"89",2019,"Region_2","brotula",154,4829.811522,0.621642621,0.443335579,0.766557126,1.201408155,0.974286833,1.684607665
"90",2020,"Region_2","brotula",1264.4,4756.771713,0.612241704,0.44205325,0.760537372,1.451756176,1.168681129,2.010675579
"91",2021,"Region_2","brotula",11597.8,4718.426624,0.607306327,0.432085179,0.766680638,2.50892846,1.987383079,3.526360542
"92",2022,"Region_2","brotula",4259.4,4454.913523,0.573389688,0.40387114,0.734809294,2.613265076,2.039194736,3.710141917
"93",2023,"Region_2","brotula",11738,3938.065106,0.506866387,0.331148735,0.664848228,2.890442078,2.2036126,4.424199094
"94",2024,"Region_2","brotula",15983.1,3220.122794,0.414460391,0.211592802,0.592337655,3.411541741,2.387065744,6.682405593
"95",2014,"Region_3","brotula",51.4,5347.346474,0.688254286,0.447466367,0.801526129,1.470412698,1.262613662,2.261662362
"96",2015,"Region_3","brotula",5598.1,5258.951912,0.676877066,0.447450481,0.799215893,1.277961693,1.082339539,1.93322613
"97",2016,"Region_3","brotula",722.2,5204.775812,0.669904087,0.449421561,0.792701712,1.38277145,1.168565971,2.061147765
"98",2017,"Region_3","brotula",4383.2,5059.370272,0.651189013,0.445515763,0.777002883,1.438947503,1.205950229,2.103240521
"99",2018,"Region_3","brotula",2292.8,4940.336165,0.635868193,0.441609044,0.765032452,1.279296714,1.063306644,1.842045812
"100",2019,"Region_3","brotula",193.1,4829.811522,0.621642621,0.443335579,0.766557126,1.201408155,0.974286833,1.684607665
"101",2020,"Region_3","brotula",2363.9,4756.771713,0.612241704,0.44205325,0.760537372,1.451756176,1.168681129,2.010675579
"102",2021,"Region_3","brotula",3837.4,4718.426624,0.607306327,0.432085179,0.766680638,2.50892846,1.987383079,3.526360542
"103",2022,"Region_3","brotula",8319.3,4454.913523,0.573389688,0.40387114,0.734809294,2.613265076,2.039194736,3.710141917
"104",2023,"Region_3","brotula",27789,3938.065106,0.506866387,0.331148735,0.664848228,2.890442078,2.2036126,4.424199094
"105",2024,"Region_3","brotula",7973.2,3220.122794,0.414460391,0.211592802,0.592337655,3.411541741,2.387065744,6.682405593
"106",2014,"Region_4","brotula",7382.1,5347.346474,0.688254286,0.447466367,0.801526129,1.470412698,1.262613662,2.261662362
"107",2015,"Region_4","brotula",18884.3,5258.951912,0.676877066,0.447450481,0.799215893,1.277961693,1.082339539,1.93322613
"108",2016,"Region_4","brotula",13500.9,5204.775812,0.669904087,0.449421561,0.792701712,1.38277145,1.168565971,2.061147765
"109",2017,"Region_4","brotula",11664.2,5059.370272,0.651189013,0.445515763,0.777002883,1.438947503,1.205950229,2.103240521
"110",2018,"Region_4","brotula",3170.2,4940.336165,0.635868193,0.441609044,0.765032452,1.279296714,1.063306644,1.842045812
"111",2019,"Region_4","brotula",13125.9,4829.811522,0.621642621,0.443335579,0.766557126,1.201408155,0.974286833,1.684607665
"112",2020,"Region_4","brotula",19312.7,4756.771713,0.612241704,0.44205325,0.760537372,1.451756176,1.168681129,2.010675579
"113",2021,"Region_4","brotula",16040.8,4718.426624,0.607306327,0.432085179,0.766680638,2.50892846,1.987383079,3.526360542
"114",2022,"Region_4","brotula",7639.6,4454.913523,0.573389688,0.40387114,0.734809294,2.613265076,2.039194736,3.710141917
"115",2023,"Region_4","brotula",7775,3938.065106,0.506866387,0.331148735,0.664848228,2.890442078,2.2036126,4.424199094
"116",2024,"Region_4","brotula",9467.85,3220.122794,0.414460391,0.211592802,0.592337655,3.411541741,2.387065744,6.682405593
"117",2014,"Region_4_5_6_Sonora_TBD","brotula",24686,5347.346474,0.688254286,0.447466367,0.801526129,1.470412698,1.262613662,2.261662362
"118",2017,"Region_4_5_6_Sonora_TBD","brotula",1938.2,5059.370272,0.651189013,0.445515763,0.777002883,1.438947503,1.205950229,2.103240521
"119",2018,"Region_4_5_6_Sonora_TBD","brotula",2350,4940.336165,0.635868193,0.441609044,0.765032452,1.279296714,1.063306644,1.842045812
"120",2019,"Region_4_5_6_Sonora_TBD","brotula",1500,4829.811522,0.621642621,0.443335579,0.766557126,1.201408155,0.974286833,1.684607665
"121",2022,"Region_4_5_6_Sonora_TBD","brotula",4090,4454.913523,0.573389688,0.40387114,0.734809294,2.613265076,2.039194736,3.710141917
"122",2023,"Region_4_5_6_Sonora_TBD","brotula",26,3938.065106,0.506866387,0.331148735,0.664848228,2.890442078,2.2036126,4.424199094
"123",2024,"Region_4_5_6_Sonora_TBD","brotula",220,3220.122794,0.414460391,0.211592802,0.592337655,3.411541741,2.387065744,6.682405593
"124",2014,"Region_5","brotula",303057.7,5347.346474,0.688254286,0.447466367,0.801526129,1.470412698,1.262613662,2.261662362
"125",2015,"Region_5","brotula",315517.6,5258.951912,0.676877066,0.447450481,0.799215893,1.277961693,1.082339539,1.93322613
"126",2016,"Region_5","brotula",179427.5,5204.775812,0.669904087,0.449421561,0.792701712,1.38277145,1.168565971,2.061147765
"127",2017,"Region_5","brotula",89031.6,5059.370272,0.651189013,0.445515763,0.777002883,1.438947503,1.205950229,2.103240521
"128",2018,"Region_5","brotula",127182.6,4940.336165,0.635868193,0.441609044,0.765032452,1.279296714,1.063306644,1.842045812
"129",2019,"Region_5","brotula",135875.8,4829.811522,0.621642621,0.443335579,0.766557126,1.201408155,0.974286833,1.684607665
"130",2020,"Region_5","brotula",68219.6,4756.771713,0.612241704,0.44205325,0.760537372,1.451756176,1.168681129,2.010675579
"131",2021,"Region_5","brotula",81144.5,4718.426624,0.607306327,0.432085179,0.766680638,2.50892846,1.987383079,3.526360542
"132",2022,"Region_5","brotula",189483.7,4454.913523,0.573389688,0.40387114,0.734809294,2.613265076,2.039194736,3.710141917
"133",2023,"Region_5","brotula",105040,3938.065106,0.506866387,0.331148735,0.664848228,2.890442078,2.2036126,4.424199094
"134",2024,"Region_5","brotula",164411,3220.122794,0.414460391,0.211592802,0.592337655,3.411541741,2.387065744,6.682405593
"135",2015,"Region_6","brotula",6495,5258.951912,0.676877066,0.447450481,0.799215893,1.277961693,1.082339539,1.93322613
"136",2016,"Region_6","brotula",1383,5204.775812,0.669904087,0.449421561,0.792701712,1.38277145,1.168565971,2.061147765
"137",2017,"Region_6","brotula",1400,5059.370272,0.651189013,0.445515763,0.777002883,1.438947503,1.205950229,2.103240521
"138",2018,"Region_6","brotula",1200,4940.336165,0.635868193,0.441609044,0.765032452,1.279296714,1.063306644,1.842045812
"139",2019,"Region_6","brotula",34010,4829.811522,0.621642621,0.443335579,0.766557126,1.201408155,0.974286833,1.684607665
"140",2020,"Region_6","brotula",31570.3,4756.771713,0.612241704,0.44205325,0.760537372,1.451756176,1.168681129,2.010675579
"141",2021,"Region_6","brotula",24189.7,4718.426624,0.607306327,0.432085179,0.766680638,2.50892846,1.987383079,3.526360542
"142",2022,"Region_6","brotula",50460.8,4454.913523,0.573389688,0.40387114,0.734809294,2.613265076,2.039194736,3.710141917
"143",2023,"Region_6","brotula",23797,3938.065106,0.506866387,0.331148735,0.664848228,2.890442078,2.2036126,4.424199094
"144",2024,"Region_6","brotula",87190.5,3220.122794,0.414460391,0.211592802,0.592337655,3.411541741,2.387065744,6.682405593
"145",2014,"Region_7","brotula",70923.9,5347.346474,0.688254286,0.447466367,0.801526129,1.470412698,1.262613662,2.261662362
"146",2015,"Region_7","brotula",114479.5,5258.951912,0.676877066,0.447450481,0.799215893,1.277961693,1.082339539,1.93322613
"147",2016,"Region_7","brotula",55015,5204.775812,0.669904087,0.449421561,0.792701712,1.38277145,1.168565971,2.061147765
"148",2017,"Region_7","brotula",42896.8,5059.370272,0.651189013,0.445515763,0.777002883,1.438947503,1.205950229,2.103240521
"149",2018,"Region_7","brotula",37423.5,4940.336165,0.635868193,0.441609044,0.765032452,1.279296714,1.063306644,1.842045812
"150",2019,"Region_7","brotula",71582.9,4829.811522,0.621642621,0.443335579,0.766557126,1.201408155,0.974286833,1.684607665
"151",2020,"Region_7","brotula",126563.4,4756.771713,0.612241704,0.44205325,0.760537372,1.451756176,1.168681129,2.010675579
"152",2021,"Region_7","brotula",254527.2,4718.426624,0.607306327,0.432085179,0.766680638,2.50892846,1.987383079,3.526360542
"153",2022,"Region_7","brotula",402788.7,4454.913523,0.573389688,0.40387114,0.734809294,2.613265076,2.039194736,3.710141917
"154",2023,"Region_7","brotula",461476,3938.065106,0.506866387,0.331148735,0.664848228,2.890442078,2.2036126,4.424199094
"155",2024,"Region_7","brotula",288065.3,3220.122794,0.414460391,0.211592802,0.592337655,3.411541741,2.387065744,6.682405593
"156",2014,"Region_8","brotula",605959.3,5347.346474,0.688254286,0.447466367,0.801526129,1.470412698,1.262613662,2.261662362
"157",2015,"Region_8","brotula",418909.6,5258.951912,0.676877066,0.447450481,0.799215893,1.277961693,1.082339539,1.93322613
"158",2016,"Region_8","brotula",692096.75,5204.775812,0.669904087,0.449421561,0.792701712,1.38277145,1.168565971,2.061147765
"159",2017,"Region_8","brotula",809615.5,5059.370272,0.651189013,0.445515763,0.777002883,1.438947503,1.205950229,2.103240521
"160",2018,"Region_8","brotula",659591.5,4940.336165,0.635868193,0.441609044,0.765032452,1.279296714,1.063306644,1.842045812
"161",2019,"Region_8","brotula",504523.85,4829.811522,0.621642621,0.443335579,0.766557126,1.201408155,0.974286833,1.684607665
"162",2020,"Region_8","brotula",671648.4,4756.771713,0.612241704,0.44205325,0.760537372,1.451756176,1.168681129,2.010675579
"163",2021,"Region_8","brotula",1192786.8,4718.426624,0.607306327,0.432085179,0.766680638,2.50892846,1.987383079,3.526360542
"164",2022,"Region_8","brotula",892932.7,4454.913523,0.573389688,0.40387114,0.734809294,2.613265076,2.039194736,3.710141917
"165",2023,"Region_8","brotula",894438,3938.065106,0.506866387,0.331148735,0.664848228,2.890442078,2.2036126,4.424199094
"166",2024,"Region_8","brotula",641382.825,3220.122794,0.414460391,0.211592802,0.592337655,3.411541741,2.387065744,6.682405593
"167",2016,"Region_9","brotula",1155,5204.775812,0.669904087,0.449421561,0.792701712,1.38277145,1.168565971,2.061147765
"168",2018,"Region_9","brotula",200,4940.336165,0.635868193,0.441609044,0.765032452,1.279296714,1.063306644,1.842045812
"169",2020,"Region_9","brotula",165,4756.771713,0.612241704,0.44205325,0.760537372,1.451756176,1.168681129,2.010675579
"170",2021,"Region_9","brotula",950,4718.426624,0.607306327,0.432085179,0.766680638,2.50892846,1.987383079,3.526360542
"171",2022,"Region_9","brotula",6300,4454.913523,0.573389688,0.40387114,0.734809294,2.613265076,2.039194736,3.710141917
"172",2023,"Region_9","brotula",900,3938.065106,0.506866387,0.331148735,0.664848228,2.890442078,2.2036126,4.424199094
"173",2024,"Region_1_2_Baja_TBD","caranx",2177,464.3932393,0.78971736,0.606159483,1.134257546,1.959756266,1.364463961,2.553211796
"174",2016,"Region_2","caranx",157.5,618.333634,1.051498522,0.932124607,1.188297856,1.810615736,1.602173867,2.042494916
"175",2018,"Region_2","caranx",145,539.9393399,0.918186214,0.796458847,1.099438839,1.490116113,1.244456738,1.717859092
"176",2020,"Region_2","caranx",256.1,452.3077275,0.769165514,0.638399735,1.019879012,0.535436366,0.403811808,0.645111777
"177",2021,"Region_2","caranx",53,447.4272825,0.760866142,0.620282095,1.033854342,0.806433702,0.593495693,0.989208142
"178",2022,"Region_2","caranx",20,463.2949068,0.787849606,0.637408205,1.079029072,1.3796346,1.007335765,1.705256642
"179",2023,"Region_2","caranx",4385,483.3649505,0.821979435,0.655228106,1.132622514,2.184330674,1.585236804,2.740228751
"180",2024,"Region_2","caranx",623.5,464.3932393,0.78971736,0.606159483,1.134257546,1.959756266,1.364463961,2.553211796
"181",2014,"Region_3","caranx",1000,698.3560344,1.187579484,1.083842916,1.290690707,1.232041654,1.133615811,1.349962592
"182",2019,"Region_3","caranx",5796,485.4760071,0.825569363,0.695474388,1.053553663,1.405004614,1.100967899,1.667823839
"183",2021,"Region_3","caranx",5123,447.4272825,0.760866142,0.620282095,1.033854342,0.806433702,0.593495693,0.989208142
"184",2023,"Region_3","caranx",5556,483.3649505,0.821979435,0.655228106,1.132622514,2.184330674,1.585236804,2.740228751
"185",2024,"Region_3","caranx",35950,464.3932393,0.78971736,0.606159483,1.134257546,1.959756266,1.364463961,2.553211796
"186",2014,"Region_4","caranx",70310.7,698.3560344,1.187579484,1.083842916,1.290690707,1.232041654,1.133615811,1.349962592
"187",2015,"Region_4","caranx",55533,657.9885016,1.118933047,1.011734524,1.237533213,0.836811782,0.756615134,0.925476334
"188",2016,"Region_4","caranx",70066,618.333634,1.051498522,0.932124607,1.188297856,1.810615736,1.602173867,2.042494916
"189",2017,"Region_4","caranx",80064,578.5049865,0.983768479,0.866469092,1.13907271,1.455677401,1.257206436,1.652741632
"190",2018,"Region_4","caranx",64951,539.9393399,0.918186214,0.796458847,1.099438839,1.490116113,1.244456738,1.717859092
"191",2019,"Region_4","caranx",40439,485.4760071,0.825569363,0.695474388,1.053553663,1.405004614,1.100967899,1.667823839
"192",2020,"Region_4","caranx",7594.1,452.3077275,0.769165514,0.638399735,1.019879012,0.535436366,0.403811808,0.645111777
"193",2021,"Region_4","caranx",13367.8,447.4272825,0.760866142,0.620282095,1.033854342,0.806433702,0.593495693,0.989208142
"194",2022,"Region_4","caranx",7458.2,463.2949068,0.787849606,0.637408205,1.079029072,1.3796346,1.007335765,1.705256642
"195",2023,"Region_4","caranx",12076,483.3649505,0.821979435,0.655228106,1.132622514,2.184330674,1.585236804,2.740228751
"196",2024,"Region_4","caranx",11696.1,464.3932393,0.78971736,0.606159483,1.134257546,1.959756266,1.364463961,2.553211796
"197",2014,"Region_4_5_6_Sonora_TBD","caranx",44615,698.3560344,1.187579484,1.083842916,1.290690707,1.232041654,1.133615811,1.349962592
"198",2022,"Region_4_5_6_Sonora_TBD","caranx",600,463.2949068,0.787849606,0.637408205,1.079029072,1.3796346,1.007335765,1.705256642
"199",2023,"Region_4_5_6_Sonora_TBD","caranx",11,483.3649505,0.821979435,0.655228106,1.132622514,2.184330674,1.585236804,2.740228751
"200",2024,"Region_5","caranx",705,464.3932393,0.78971736,0.606159483,1.134257546,1.959756266,1.364463961,2.553211796
"201",2018,"Region_6","caranx",385,539.9393399,0.918186214,0.796458847,1.099438839,1.490116113,1.244456738,1.717859092
"202",2020,"Region_6","caranx",232.1,452.3077275,0.769165514,0.638399735,1.019879012,0.535436366,0.403811808,0.645111777
"203",2022,"Region_6","caranx",391.3,463.2949068,0.787849606,0.637408205,1.079029072,1.3796346,1.007335765,1.705256642
"204",2023,"Region_6","caranx",1811,483.3649505,0.821979435,0.655228106,1.132622514,2.184330674,1.585236804,2.740228751
"205",2024,"Region_6","caranx",1635,464.3932393,0.78971736,0.606159483,1.134257546,1.959756266,1.364463961,2.553211796
"206",2014,"Region_7","caranx",7880,698.3560344,1.187579484,1.083842916,1.290690707,1.232041654,1.133615811,1.349962592
"207",2015,"Region_7","caranx",2330,657.9885016,1.118933047,1.011734524,1.237533213,0.836811782,0.756615134,0.925476334
"208",2016,"Region_7","caranx",79096,618.333634,1.051498522,0.932124607,1.188297856,1.810615736,1.602173867,2.042494916
"209",2017,"Region_7","caranx",13722,578.5049865,0.983768479,0.866469092,1.13907271,1.455677401,1.257206436,1.652741632
"210",2018,"Region_7","caranx",5441,539.9393399,0.918186214,0.796458847,1.099438839,1.490116113,1.244456738,1.717859092
"211",2019,"Region_7","caranx",6751.4,485.4760071,0.825569363,0.695474388,1.053553663,1.405004614,1.100967899,1.667823839
"212",2020,"Region_7","caranx",3175,452.3077275,0.769165514,0.638399735,1.019879012,0.535436366,0.403811808,0.645111777
"213",2021,"Region_7","caranx",5535.5,447.4272825,0.760866142,0.620282095,1.033854342,0.806433702,0.593495693,0.989208142
"214",2022,"Region_7","caranx",55659.5,463.2949068,0.787849606,0.637408205,1.079029072,1.3796346,1.007335765,1.705256642
"215",2023,"Region_7","caranx",9161,483.3649505,0.821979435,0.655228106,1.132622514,2.184330674,1.585236804,2.740228751
"216",2024,"Region_7","caranx",5173,464.3932393,0.78971736,0.606159483,1.134257546,1.959756266,1.364463961,2.553211796
"217",2014,"Region_8","caranx",4837.6,698.3560344,1.187579484,1.083842916,1.290690707,1.232041654,1.133615811,1.349962592
"218",2015,"Region_8","caranx",1557,657.9885016,1.118933047,1.011734524,1.237533213,0.836811782,0.756615134,0.925476334
"219",2016,"Region_8","caranx",1851.6,618.333634,1.051498522,0.932124607,1.188297856,1.810615736,1.602173867,2.042494916
"220",2017,"Region_8","caranx",6256,578.5049865,0.983768479,0.866469092,1.13907271,1.455677401,1.257206436,1.652741632
"221",2018,"Region_8","caranx",3560,539.9393399,0.918186214,0.796458847,1.099438839,1.490116113,1.244456738,1.717859092
