"year","OHI_Region_No","estimated_genus_name","status","Annual_Catch_kg","Catch_t2_vs_Catch_t1","control","notes","CNP_score"
2023,"region_1","prionace","maximally harvested",20,"decreased","no increase",NA,0.8
2024,"region_1","prionace","maximally harvested",214.5,"increased","no increase",NA,0.6
2019,"region_1","rhizoprionodon","maximally harvested",1848,"increased","no increase",NA,0.6
2020,"region_1","rhizoprionodon","maximally harvested",1985.5,"similar","no increase",NA,0.7
2021,"region_1","rhizoprionodon","maximally harvested",332,"decreased","no increase",NA,0.8
2022,"region_1","rhizoprionodon","maximally harvested",9361.5,"increased","no increase",NA,0.6
2019,"region_1","scomberomorus","maximally harvested",104305,"increased","no increase",NA,0.6
2020,"region_1","scomberomorus","maximally harvested",65881,"decreased","no increase",NA,0.8
2021,"region_1","scomberomorus","maximally harvested",818398,"increased","no increase",NA,0.6
2022,"region_1","scomberomorus","maximally harvested",1037067,"increased","no increase",NA,0.6
2023,"region_1","scomberomorus","maximally harvested",723256,"decreased","no increase",NA,0.8
2024,"region_1","scomberomorus","maximally harvested",1444694,"increased","no increase",NA,0.6
2020,"region_1","strongylocentrotus","deteriorating",500,"increased","decrease",NA,0.4
2020,"region_1_2_baja_tbd","chione",NA,1700,NA,NA,NA,NA
2021,"region_1_2_baja_tbd","chione",NA,255,"decreased",NA,NA,NA
2019,"region_1_2_baja_tbd","cynoscion",NA,16025.9,"increased",NA,NA,NA
2020,"region_1_2_baja_tbd","cynoscion",NA,1576.2,"decreased",NA,NA,NA
2021,"region_1_2_baja_tbd","cynoscion",NA,23158.6,"increased",NA,NA,NA
2022,"region_1_2_baja_tbd","cynoscion",NA,2437,"decreased",NA,NA,NA
2023,"region_1_2_baja_tbd","cynoscion",NA,500,"decreased",NA,NA,NA
2024,"region_1_2_baja_tbd","cynoscion",NA,382.5,"decreased",NA,NA,NA
2021,"region_1_2_baja_tbd","mugil",NA,1200,"decreased",NA,NA,NA
2019,"region_1_2_baja_tbd","mustelus",NA,150,NA,NA,NA,NA
2020,"region_1_2_baja_tbd","octopus",NA,666,"decreased",NA,NA,NA
2021,"region_1_2_baja_tbd","octopus",NA,316,"decreased",NA,NA,NA
2019,"region_1_2_baja_tbd","panopea",NA,187,"decreased",NA,NA,NA
2020,"region_1_2_baja_tbd","panopea",NA,23023,"increased",NA,NA,NA
2021,"region_1_2_baja_tbd","panopea",NA,20956,"similar",NA,NA,NA
2022,"region_1_2_baja_tbd","panopea",NA,8790,"decreased",NA,NA,NA
2024,"region_1_2_baja_tbd","panopea",NA,360,"decreased",NA,NA,NA
2021,"region_1_2_baja_tbd","panulirus",NA,110,"decreased",NA,NA,NA
2020,"region_1_2_baja_tbd","paralabrax",NA,872,"decreased",NA,NA,NA
2024,"region_1_2_baja_tbd","paralabrax",NA,4.4,"decreased",NA,NA,NA
2019,"region_1_2_baja_tbd","rhizoprionodon",NA,400,NA,NA,NA,NA
2020,"region_1_2_baja_tbd","scomberomorus",NA,200,"decreased",NA,NA,NA
2021,"region_1_2_baja_tbd","scomberomorus",NA,15000,"increased",NA,NA,NA
2020,"region_1_2_baja_tbd","strongylocentrotus",NA,400,"decreased",NA,NA,NA
2024,"region_1_2_baja_tbd","strongylocentrotus",NA,500,"increased",NA,NA,NA
2019,"region_1_2_baja_tbd","thunnus",NA,474782,NA,NA,NA,NA
2024,"region_1_2_baja_tbd","thunnus",NA,432051,"similar",NA,NA,NA
2020,"region_2","alopias","maximally harvested",2802.5,"decreased","no increase",NA,0.8
2021,"region_2","alopias","maximally harvested",1050,"decreased","no increase",NA,0.8
2022,"region_2","alopias","maximally harvested",863.5,"similar","no increase",NA,0.7
2023,"region_2","alopias","maximally harvested",359,"decreased","no increase",NA,0.8
2024,"region_2","alopias","maximally harvested",14760,"increased","no increase",NA,0.6
2022,"region_2","argopecten","maximally harvested",450,"decreased","no increase",NA,0.8
2023,"region_2","argopecten","maximally harvested",1405,"increased","no increase",NA,0.6
2024,"region_2","argopecten","maximally harvested",38620,"increased","no increase",NA,0.6
2020,"region_2","carcharhinus","maximally harvested",79547.2,"decreased","no increase",NA,0.8
2021,"region_2","carcharhinus","maximally harvested",17372.2,"decreased","no increase",NA,0.8
2022,"region_2","carcharhinus","maximally harvested",41603.6,"increased","no increase",NA,0.6
2023,"region_2","carcharhinus","maximally harvested",30693,"decreased","no increase",NA,0.8
2024,"region_2","carcharhinus","maximally harvested",31.4,"decreased","no increase",NA,0.8
2021,"region_2","centropomus","maximally harvested",66,NA,"no increase",NA,NA
2019,"region_2","cynoscion","maximally harvested",272876.2,"similar","no increase",NA,0.7
2020,"region_2","cynoscion","maximally harvested",273233.35,"similar","no increase",NA,0.7
2021,"region_2","cynoscion","maximally harvested",347719.15,"increased","no increase",NA,0.6
2022,"region_2","cynoscion","maximally harvested",182814.3,"decreased","no increase",NA,0.8
2023,"region_2","cynoscion","maximally harvested",441263,"increased","no increase",NA,0.6
2024,"region_2","cynoscion","maximally harvested",463851.1,"similar","no increase",NA,0.7
2019,"region_2","dosinia","unclear",36131,"increased",NA,"capture records are recent in this area, no pattern available",NA
2020,"region_2","dosinia","unclear",32397,"similar",NA,"capture records are recent in this area, no pattern available",NA
2021,"region_2","dosinia","unclear",9731,"decreased",NA,"capture records are recent in this area, no pattern available",NA
2022,"region_2","dosinia","unclear",53265,"increased",NA,"capture records are recent in this area, no pattern available",NA
2023,"region_2","dosinia","unclear",26313,"decreased",NA,"capture records are recent in this area, no pattern available",NA
2024,"region_2","dosinia","unclear",49876,"increased",NA,"capture records are recent in this area, no pattern available",NA
2022,"region_2","galeocerdo","maximally harvested",120,"decreased","no increase",NA,0.8
2020,"region_2","galeorhinus","maximally harvested",2010,"increased","no increase",NA,0.6
2021,"region_2","galeorhinus","maximally harvested",1050,"decreased","no increase",NA,0.8
2022,"region_2","galeorhinus","maximally harvested",5149.55,"increased","no increase",NA,0.6
2023,"region_2","galeorhinus","maximally harvested",250,"decreased","no increase",NA,0.8
