"year","OHI_Region_No","estimated_genus_name","status","Annual_Catch_kg","Catch_t2_vs_Catch_t1","control","notes","CNP_score"
2019,"region_3","scomberomorus","maximally harvested",206182,"increased","no increase",NA,0.6
2020,"region_3","scomberomorus","maximally harvested",89903.5,"decreased","no increase",NA,0.8
2021,"region_3","scomberomorus","maximally harvested",56350,"decreased","no increase",NA,0.8
2022,"region_3","scomberomorus","maximally harvested",42530.1,"decreased","no increase",NA,0.8
2023,"region_3","scomberomorus","maximally harvested",28613,"decreased","no increase",NA,0.8
2024,"region_3","scomberomorus","maximally harvested",42831,"increased","no increase",NA,0.6
2019,"region_3","sphoeroides","maximally harvested",1450,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2020,"region_3","sphoeroides","maximally harvested",3770.5,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2021,"region_3","sphoeroides","maximally harvested",1862.75,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2022,"region_3","sphoeroides","maximally harvested",2534.4,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2023,"region_3","sphoeroides","maximally harvested",2607,"similar","no increase","Seems they might lump these Botetes into one species?",0.7
2024,"region_3","sphoeroides","maximally harvested",3961.15,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2019,"region_3","sphyrna","maximally harvested",8638.2,"decreased","no increase",NA,0.8
2020,"region_3","sphyrna","maximally harvested",10512,"increased","no increase",NA,0.6
2021,"region_3","sphyrna","maximally harvested",6685.9,"decreased","no increase",NA,0.8
2022,"region_3","sphyrna","maximally harvested",23194.8,"increased","no increase",NA,0.6
2023,"region_3","sphyrna","maximally harvested",1258,"decreased","no increase",NA,0.8
2024,"region_3","sphyrna","maximally harvested",981,"decreased","no increase",NA,0.8
2020,"region_3","thunnus","deteriorating",28.8,"decreased","no increase","recovery phase",0.6
2022,"region_3","thunnus","deteriorating",111,"increased","no increase","recovery phase",0.4
2023,"region_3","thunnus","deteriorating",504,"increased","no increase","recovery phase",0.4
2024,"region_3","thunnus","deteriorating",584,"similar","no increase","recovery phase",0.5
2021,"region_3_4_bcs_tbd","argopecten",NA,6100,"decreased",NA,NA,NA
2023,"region_3_4_bcs_tbd","argopecten",NA,44,"decreased",NA,NA,NA
2024,"region_3_4_bcs_tbd","argopecten",NA,3512,"increased",NA,NA,NA
2023,"region_3_4_bcs_tbd","cynoscion",NA,1200,"similar",NA,NA,NA
2024,"region_3_4_bcs_tbd","cynoscion",NA,5487,"increased",NA,NA,NA
2019,"region_3_4_bcs_tbd","haliotis",NA,195,"increased",NA,NA,NA
2020,"region_3_4_bcs_tbd","haliotis",NA,392,"increased",NA,NA,NA
2023,"region_3_4_bcs_tbd","haliotis",NA,56,"decreased",NA,NA,NA
2024,"region_3_4_bcs_tbd","lutjanus",NA,93.5,"increased",NA,NA,NA
2024,"region_3_4_bcs_tbd","panulirus",NA,4500,"increased",NA,NA,NA
2023,"region_3_4_bcs_tbd","paralabrax",NA,10771,"increased",NA,NA,NA
2024,"region_3_4_bcs_tbd","paralabrax",NA,3152.6,"decreased",NA,NA,NA
2023,"region_3_4_bcs_tbd","sphoeroides",NA,32,"decreased",NA,NA,NA
2019,"region_4","alopias","maximally harvested",33410,"increased","no increase",NA,0.6
2020,"region_4","alopias","maximally harvested",63615.45,"increased","no increase",NA,0.6
2021,"region_4","alopias","maximally harvested",258582.25,"increased","no increase",NA,0.6
2022,"region_4","alopias","maximally harvested",4014.5,"decreased","no increase",NA,0.8
2023,"region_4","alopias","maximally harvested",76256,"increased","no increase",NA,0.6
2024,"region_4","alopias","maximally harvested",900,"decreased","no increase",NA,0.8
2019,"region_4","carcharhinus","maximally harvested",215048.95,"increased","no increase",NA,0.6
2020,"region_4","carcharhinus","maximally harvested",439948.75,"increased","no increase",NA,0.6
2021,"region_4","carcharhinus","maximally harvested",83182.9,"decreased","no increase",NA,0.8
2022,"region_4","carcharhinus","maximally harvested",766441.5,"increased","no increase",NA,0.6
2023,"region_4","carcharhinus","maximally harvested",1004036,"increased","no increase",NA,0.6
2024,"region_4","carcharhinus","maximally harvested",1417111.75,"increased","no increase",NA,0.6
2019,"region_4","centropomus","maximally harvested",41.8,"decreased","no increase",NA,0.8
2020,"region_4","centropomus","maximally harvested",110.3,"increased","no increase",NA,0.6
2021,"region_4","centropomus","maximally harvested",2043.9,"increased","no increase",NA,0.6
2022,"region_4","centropomus","maximally harvested",2467.8,"increased","no increase",NA,0.6
2023,"region_4","centropomus","maximally harvested",494,"decreased","no increase",NA,0.8
2024,"region_4","centropomus","maximally harvested",797.9,"increased","no increase",NA,0.6
2019,"region_4","cynoscion",NA,16547,"similar",NA,NA,NA
2020,"region_4","cynoscion",NA,5502.2,"decreased",NA,NA,NA
2021,"region_4","cynoscion",NA,6639.9,"increased",NA,NA,NA
2022,"region_4","cynoscion",NA,10378.4,"increased",NA,NA,NA
2023,"region_4","cynoscion",NA,3264,"decreased",NA,NA,NA
2024,"region_4","cynoscion",NA,15830.652,"increased",NA,NA,NA
2021,"region_4","galeocerdo","maximally harvested",75.75,"similar","no increase",NA,0.7
2022,"region_4","galeocerdo","maximally harvested",99,"increased","no increase",NA,0.6
2023,"region_4","galeocerdo","maximally harvested",227,"increased","no increase",NA,0.6
2024,"region_4","galeocerdo","maximally harvested",157.5,"decreased","no increase",NA,0.8
2019,"region_4","hoplopagrus","maximally harvested",31941.6,"similar","no increase",NA,0.7
2020,"region_4","hoplopagrus","maximally harvested",66973.6,"increased","no increase",NA,0.6
2021,"region_4","hoplopagrus","maximally harvested",61055.3,"similar","no increase",NA,0.7
2022,"region_4","hoplopagrus","maximally harvested",91249.8,"increased","no increase",NA,0.6
2023,"region_4","hoplopagrus","maximally harvested",61338,"decreased","no increase",NA,0.8
2024,"region_4","hoplopagrus","maximally harvested",59096.03,"similar","no increase",NA,0.7
2019,"region_4","isurus","maximally harvested",26245.5,"similar","no increase",NA,0.7
2020,"region_4","isurus","maximally harvested",70133.55,"increased","no increase",NA,0.6
2021,"region_4","isurus","maximally harvested",171053.55,"increased","no increase",NA,0.6
2022,"region_4","isurus","maximally harvested",100496.75,"decreased","no increase",NA,0.8
2023,"region_4","isurus","maximally harvested",119208,"similar","no increase",NA,0.7
2024,"region_4","isurus","maximally harvested",258645.7,"increased","no increase",NA,0.6
2019,"region_4","lutjanus","maximally harvested",1308660.21,"similar","no increase",NA,0.7
2020,"region_4","lutjanus","maximally harvested",1347273.1,"similar","no increase",NA,0.7
2021,"region_4","lutjanus","maximally harvested",1036274.3,"decreased","no increase",NA,0.8
2022,"region_4","lutjanus","maximally harvested",1259331,"increased","no increase",NA,0.6
2023,"region_4","lutjanus","maximally harvested",934994,"decreased","no increase",NA,0.8
2024,"region_4","lutjanus","maximally harvested",774785.385,"similar","no increase",NA,0.7
2019,"region_4","megapitaria","maximally harvested",63467,"increased","no increase","Within region variation in status, took most conservative",0.6
2020,"region_4","megapitaria","maximally harvested",53242,"similar","no increase","Within region variation in status, took most conservative",0.7
2021,"region_4","megapitaria","maximally harvested",44132,"similar","no increase","Within region variation in status, took most conservative",0.7
2022,"region_4","megapitaria","maximally harvested",127030,"increased","no increase","Within region variation in status, took most conservative",0.6
2023,"region_4","megapitaria","maximally harvested",24940,"decreased","no increase","Within region variation in status, took most conservative",0.8
2024,"region_4","megapitaria","maximally harvested",2975,"decreased","no increase","Within region variation in status, took most conservative",0.8
2019,"region_4","mugil","maximally harvested",5388,"decreased","no increase",NA,0.8
2020,"region_4","mugil","maximally harvested",755,"decreased","no increase",NA,0.8
2021,"region_4","mugil","maximally harvested",14369.7,"increased","no increase",NA,0.6
2022,"region_4","mugil","maximally harvested",2296,"decreased","no increase",NA,0.8
2023,"region_4","mugil","maximally harvested",275,"decreased","no increase",NA,0.8
2024,"region_4","mugil","maximally harvested",1945,"increased","no increase",NA,0.6
2019,"region_4","mustelus","maximally harvested",855,"decreased","no increase",NA,0.8
2020,"region_4","mustelus","maximally harvested",19540.25,"increased","no increase",NA,0.6
2021,"region_4","mustelus","maximally harvested",21630,"similar","no increase",NA,0.7
2022,"region_4","mustelus","maximally harvested",12572,"decreased","no increase",NA,0.8
2023,"region_4","mustelus","maximally harvested",19492,"increased","no increase",NA,0.6
2024,"region_4","mustelus","maximally harvested",4483.8,"decreased","no increase",NA,0.8
2021,"region_4","negaprion","maximally harvested",3513,"increased","no increase",NA,0.6
2024,"region_4","negaprion","maximally harvested",766,"decreased","no increase",NA,0.8
2020,"region_4","octopus","maximally harvested",217.8,"decreased","no increase",NA,0.8
2023,"region_4","panopea","maximally harvested",350,"decreased","no increase","Only in Baja California",0.8
2024,"region_4","panopea","maximally harvested",290,"similar","no increase","Only in Baja California",0.7
2020,"region_4","panulirus",NA,3968,"increased",NA,NA,NA
2021,"region_4","panulirus",NA,200,"decreased",NA,NA,NA
2023,"region_4","panulirus",NA,243,"increased",NA,NA,NA
2024,"region_4","panulirus",NA,325,"increased",NA,NA,NA
2019,"region_4","paralabrax","maximally harvested",56960.2,"increased","no increase",NA,0.6
2020,"region_4","paralabrax","maximally harvested",32855.2,"decreased","no increase",NA,0.8
2021,"region_4","paralabrax","maximally harvested",33317.6,"similar","no increase",NA,0.7
2022,"region_4","paralabrax","maximally harvested",37486.7,"similar","no increase",NA,0.7
2023,"region_4","paralabrax","maximally harvested",47653,"increased","no increase",NA,0.6
2024,"region_4","paralabrax","maximally harvested",33085.16,"decreased","no increase",NA,0.8
2019,"region_4","prionace","maximally harvested",4650,"increased","no increase",NA,0.6
2020,"region_4","prionace","maximally harvested",21928.75,"increased","no increase",NA,0.6
2021,"region_4","prionace","maximally harvested",87006.45,"increased","no increase",NA,0.6
2022,"region_4","prionace","maximally harvested",91315,"similar","no increase",NA,0.7
2023,"region_4","prionace","maximally harvested",210241,"increased","no increase",NA,0.6
2024,"region_4","prionace","maximally harvested",1577094.25,"increased","no increase",NA,0.6
2019,"region_4","rhizoprionodon","maximally harvested",56069.75,"similar","no increase",NA,0.7
2020,"region_4","rhizoprionodon","maximally harvested",94646.55,"increased","no increase",NA,0.6
2021,"region_4","rhizoprionodon","maximally harvested",129310.7,"increased","no increase",NA,0.6
2022,"region_4","rhizoprionodon","maximally harvested",541764,"increased","no increase",NA,0.6
2019,"region_4","scomberomorus","maximally harvested",31733.9,"similar","no increase",NA,0.7
2020,"region_4","scomberomorus","maximally harvested",72087.7,"increased","no increase",NA,0.6
2021,"region_4","scomberomorus","maximally harvested",76620.72,"similar","no increase",NA,0.7
2022,"region_4","scomberomorus","maximally harvested",76992.33,"similar","no increase",NA,0.7
2023,"region_4","scomberomorus","maximally harvested",65932,"similar","no increase",NA,0.7
2024,"region_4","scomberomorus","maximally harvested",98954.9,"increased","no increase",NA,0.6
2019,"region_4","sphoeroides","maximally harvested",3944.75,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2020,"region_4","sphoeroides","maximally harvested",2792.5,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2021,"region_4","sphoeroides","maximally harvested",4732,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2022,"region_4","sphoeroides","maximally harvested",1416,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2023,"region_4","sphoeroides","maximally harvested",3473,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2024,"region_4","sphoeroides","maximally harvested",3596.5,"similar","no increase","Seems they might lump these Botetes into one species?",0.7
2019,"region_4","sphyrna","maximally harvested",189039.5,"increased","no increase",NA,0.6
2020,"region_4","sphyrna","maximally harvested",258776.3,"increased","no increase",NA,0.6
2021,"region_4","sphyrna","maximally harvested",316278.9,"increased","no increase",NA,0.6
2022,"region_4","sphyrna","maximally harvested",160707.25,"decreased","no increase",NA,0.8
2023,"region_4","sphyrna","maximally harvested",458553,"increased","no increase",NA,0.6
2024,"region_4","sphyrna","maximally harvested",311547.5,"decreased","no increase",NA,0.8
2024,"region_4","strongylocentrotus","unclear",2300,NA,NA,NA,NA
2019,"region_4","thunnus","deteriorating",9674,"decreased","no increase","recovery phase",0.6
2020,"region_4","thunnus","deteriorating",4766,"decreased","no increase","recovery phase",0.6
2021,"region_4","thunnus","deteriorating",4151,"similar","no increase","recovery phase",0.5
2022,"region_4","thunnus","deteriorating",440,"decreased","no increase","recovery phase",0.6
2023,"region_4","thunnus","deteriorating",3399,"increased","no increase","recovery phase",0.4
2024,"region_4","thunnus","deteriorating",6104.3,"increased","no increase","recovery phase",0.4
2022,"region_4_5_6_sonora_tbd","argopecten",NA,1800,"decreased",NA,NA,NA
2023,"region_4_5_6_sonora_tbd","argopecten",NA,500,"decreased",NA,NA,NA
2022,"region_4_5_6_sonora_tbd","centropomus",NA,242,"decreased",NA,NA,NA
2019,"region_4_5_6_sonora_tbd","cynoscion",NA,1500,"decreased",NA,NA,NA
2021,"region_4_5_6_sonora_tbd","cynoscion",NA,140000,"increased",NA,NA,NA
2022,"region_4_5_6_sonora_tbd","cynoscion",NA,2755,"decreased",NA,NA,NA
2023,"region_4_5_6_sonora_tbd","cynoscion",NA,182856,"increased",NA,NA,NA
2024,"region_4_5_6_sonora_tbd","cynoscion",NA,40000,"decreased",NA,NA,NA
2022,"region_4_5_6_sonora_tbd","dosinia",NA,4000,"increased",NA,NA,NA
2023,"region_4_5_6_sonora_tbd","dosinia",NA,300,"decreased",NA,NA,NA
2024,"region_4_5_6_sonora_tbd","dosinia",NA,60,"decreased",NA,NA,NA
2019,"region_4_5_6_sonora_tbd","haliotis",NA,16000,NA,NA,NA,NA
2020,"region_4_5_6_sonora_tbd","isurus",NA,13762.5,NA,NA,NA,NA
2021,"region_4_5_6_sonora_tbd","isurus",NA,9375,"decreased",NA,NA,NA
2019,"region_4_5_6_sonora_tbd","lutjanus",NA,566,"decreased",NA,NA,NA
2020,"region_4_5_6_sonora_tbd","lutjanus",NA,26.4,"decreased",NA,NA,NA
2022,"region_4_5_6_sonora_tbd","lutjanus",NA,563.5,"increased",NA,NA,NA
2023,"region_4_5_6_sonora_tbd","lutjanus",NA,205,"decreased",NA,NA,NA
2024,"region_4_5_6_sonora_tbd","lutjanus",NA,370,"increased",NA,NA,NA
2022,"region_4_5_6_sonora_tbd","megapitaria",NA,2250,"decreased",NA,NA,NA
2024,"region_4_5_6_sonora_tbd","megapitaria",NA,65,"decreased",NA,NA,NA
2023,"region_4_5_6_sonora_tbd","mustelus",NA,3088,"similar",NA,NA,NA
2024,"region_4_5_6_sonora_tbd","mustelus",NA,1250,"decreased",NA,NA,NA
2019,"region_4_5_6_sonora_tbd","panopea",NA,2000,"decreased",NA,NA,NA
2021,"region_4_5_6_sonora_tbd","panopea",NA,180,"decreased",NA,NA,NA
2022,"region_4_5_6_sonora_tbd","panopea",NA,340,"increased",NA,NA,NA
2023,"region_4_5_6_sonora_tbd","panopea",NA,6087,"increased",NA,NA,NA
2024,"region_4_5_6_sonora_tbd","panopea",NA,60,"decreased",NA,NA,NA
2019,"region_4_5_6_sonora_tbd","paralabrax",NA,2360.8,"increased",NA,NA,NA
2021,"region_4_5_6_sonora_tbd","paralabrax",NA,200,"decreased",NA,NA,NA
2022,"region_4_5_6_sonora_tbd","paralabrax",NA,1180,"increased",NA,NA,NA
2023,"region_4_5_6_sonora_tbd","paralabrax",NA,6448,"increased",NA,NA,NA
2024,"region_4_5_6_sonora_tbd","paralabrax",NA,11650,"increased",NA,NA,NA
2020,"region_4_5_6_sonora_tbd","prionace",NA,41693.75,NA,NA,NA,NA
2021,"region_4_5_6_sonora_tbd","prionace",NA,18125,"decreased",NA,NA,NA
2021,"region_4_5_6_sonora_tbd","rhizoprionodon",NA,1187.5,"increased",NA,NA,NA
2019,"region_4_5_6_sonora_tbd","scomberomorus",NA,6000,"increased",NA,NA,NA
2020,"region_4_5_6_sonora_tbd","scomberomorus",NA,2000,"decreased",NA,NA,NA
2021,"region_4_5_6_sonora_tbd","scomberomorus",NA,245000,"increased",NA,NA,NA
2022,"region_4_5_6_sonora_tbd","scomberomorus",NA,3800,"decreased",NA,NA,NA
2023,"region_4_5_6_sonora_tbd","scomberomorus",NA,9200,"increased",NA,NA,NA
2024,"region_4_5_6_sonora_tbd","scomberomorus",NA,23350,"increased",NA,NA,NA
2019,"region_5","argopecten","unclear",393248,"decreased",NA,NA,NA
2020,"region_5","argopecten","unclear",380225,"similar",NA,NA,NA
2021,"region_5","argopecten","unclear",2522164,"increased",NA,NA,NA
2022,"region_5","argopecten","unclear",4276791,"increased",NA,NA,NA
2023,"region_5","argopecten","unclear",170441,"decreased",NA,NA,NA
2024,"region_5","argopecten","unclear",272242,"increased",NA,NA,NA
2022,"region_5","callinectes","maximally harvested",2500,NA,"no increase",NA,NA
2023,"region_5","callinectes","maximally harvested",2500,"similar","no increase",NA,0.7
2020,"region_5","carcharhinus","maximally harvested",5758.75,NA,"no increase",NA,NA
2021,"region_5","carcharhinus","maximally harvested",11812.5,"increased","no increase",NA,0.6
2022,"region_5","carcharhinus","maximally harvested",1300,"decreased","no increase",NA,0.8
2023,"region_5","carcharhinus","maximally harvested",2090,"increased","no increase",NA,0.6
2024,"region_5","carcharhinus","maximally harvested",206097.85,"increased","no increase",NA,0.6
2024,"region_5","centropomus","maximally harvested",2000,"decreased","no increase",NA,0.8
2019,"region_5","chione","maximally harvested",3749,"decreased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.8
2021,"region_5","chione","maximally harvested",24430,"increased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.6
2022,"region_5","chione","maximally harvested",385139,"increased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.6
2023,"region_5","chione","maximally harvested",53631,"decreased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.8
2019,"region_5","cynoscion","maximally harvested",53590.6,"similar","no increase",NA,0.7
2020,"region_5","cynoscion","maximally harvested",53871.3,"similar","no increase",NA,0.7
2021,"region_5","cynoscion","maximally harvested",240747.95,"increased","no increase",NA,0.6
2022,"region_5","cynoscion","maximally harvested",128067.1,"decreased","no increase",NA,0.8
2023,"region_5","cynoscion","maximally harvested",227192,"increased","no increase",NA,0.6
2024,"region_5","cynoscion","maximally harvested",1122400.9,"increased","no increase",NA,0.6
2019,"region_5","dosinia","maximally harvested",320555,"decreased","no increase","highly variable catch",0.8
2020,"region_5","dosinia","maximally harvested",189012,"decreased","no increase","highly variable catch",0.8
2021,"region_5","dosinia","maximally harvested",506946,"increased","no increase","highly variable catch",0.6
2022,"region_5","dosinia","maximally harvested",538249,"similar","no increase","highly variable catch",0.7
2023,"region_5","dosinia","maximally harvested",398445,"decreased","no increase","highly variable catch",0.8
2024,"region_5","dosinia","maximally harvested",137190,"decreased","no increase","highly variable catch",0.8
2023,"region_5","hoplopagrus","maximally harvested",86,NA,"no increase",NA,NA
2024,"region_5","hoplopagrus","maximally harvested",951,"increased","no increase",NA,0.6
2021,"region_5","isurus","maximally harvested",128.75,NA,"no increase",NA,NA
2023,"region_5","isurus","maximally harvested",6000,"increased","no increase",NA,0.6
2024,"region_5","isurus","maximally harvested",5660,"similar","no increase",NA,0.7
2019,"region_5","lutjanus","maximally harvested",24525.2,"similar","no increase",NA,0.7
2020,"region_5","lutjanus","maximally harvested",12603.6,"decreased","no increase",NA,0.8
2021,"region_5","lutjanus","maximally harvested",33487.9,"increased","no increase",NA,0.6
2022,"region_5","lutjanus","maximally harvested",35266.5,"similar","no increase",NA,0.7
2023,"region_5","lutjanus","maximally harvested",73168,"increased","no increase",NA,0.6
2024,"region_5","lutjanus","maximally harvested",47183,"decreased","no increase",NA,0.8
2019,"region_5","megapitaria","unclear",450,"decreased",NA,"Within region variation in status, took most conservative",NA
2020,"region_5","megapitaria","unclear",2024,"increased",NA,"Within region variation in status, took most conservative",NA
2021,"region_5","megapitaria","unclear",2474,"increased",NA,"Within region variation in status, took most conservative",NA
2022,"region_5","megapitaria","unclear",11900,"increased",NA,"Within region variation in status, took most conservative",NA
2023,"region_5","megapitaria","unclear",300,"decreased",NA,"Within region variation in status, took most conservative",NA
2019,"region_5","mugil","deteriorating",5685,"increased","decrease",NA,0.4
2020,"region_5","mugil","deteriorating",300,"decreased","decrease",NA,0.6
2021,"region_5","mugil","deteriorating",5200,"increased","decrease",NA,0.4
2022,"region_5","mugil","deteriorating",8900,"increased","decrease",NA,0.4
2023,"region_5","mugil","deteriorating",2767,"decreased","decrease",NA,0.6
2019,"region_5","mustelus","maximally harvested",262.5,"decreased","no increase",NA,0.8
2020,"region_5","mustelus","maximally harvested",4235,"increased","no increase",NA,0.6
2022,"region_5","mustelus","maximally harvested",37758.75,"increased","no increase",NA,0.6
2023,"region_5","mustelus","maximally harvested",31031,"similar","no increase",NA,0.7
2024,"region_5","mustelus","maximally harvested",183876.75,"increased","no increase",NA,0.6
2023,"region_5","negaprion","maximally harvested",748,NA,"no increase",NA,NA
2019,"region_5","panopea","maximally harvested",82003,"increased","no increase","Only in Baja California",0.6
2020,"region_5","panopea","maximally harvested",3120,"decreased","no increase","Only in Baja California",0.8
2021,"region_5","panopea","maximally harvested",44495,"increased","no increase","Only in Baja California",0.6
2022,"region_5","panopea","maximally harvested",4436,"decreased","no increase","Only in Baja California",0.8
2023,"region_5","panopea","maximally harvested",28607,"increased","no increase","Only in Baja California",0.6
2024,"region_5","panopea","maximally harvested",37673,"increased","no increase","Only in Baja California",0.6
2019,"region_5","paralabrax",NA,101302,"similar",NA,NA,NA
2020,"region_5","paralabrax",NA,87538.6,"similar",NA,NA,NA
2021,"region_5","paralabrax",NA,101995.6,"similar",NA,NA,NA
2022,"region_5","paralabrax",NA,84404.1,"similar",NA,NA,NA
2023,"region_5","paralabrax",NA,148031,"increased",NA,NA,NA
2024,"region_5","paralabrax",NA,152601.5,"similar",NA,NA,NA
2024,"region_5","prionace","maximally harvested",55873.75,NA,"no increase",NA,NA
2019,"region_5","rhizoprionodon","maximally harvested",870242.65,"similar","no increase",NA,0.7
2020,"region_5","rhizoprionodon","maximally harvested",623114.2,"decreased","no increase",NA,0.8
2021,"region_5","rhizoprionodon","maximally harvested",464571.25,"decreased","no increase",NA,0.8
2022,"region_5","rhizoprionodon","maximally harvested",444985.75,"similar","no increase",NA,0.7
2023,"region_5","rhizoprionodon","maximally harvested",5000,"decreased","no increase",NA,0.8
2024,"region_5","rhizoprionodon","maximally harvested",16500,"increased","no increase",NA,0.6
2019,"region_5","scomberomorus","maximally harvested",134570.1,"similar","no increase",NA,0.7
2020,"region_5","scomberomorus","maximally harvested",39005,"decreased","no increase",NA,0.8
2021,"region_5","scomberomorus","maximally harvested",1292722,"increased","no increase",NA,0.6
2022,"region_5","scomberomorus","maximally harvested",3672154.63,"increased","no increase",NA,0.6
2023,"region_5","scomberomorus","maximally harvested",4515639,"increased","no increase",NA,0.6
2024,"region_5","scomberomorus","maximally harvested",2452402.32,"decreased","no increase",NA,0.8
2019,"region_5","sphoeroides","maximally harvested",12013.75,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2020,"region_5","sphoeroides","maximally harvested",1790.5,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2021,"region_5","sphoeroides","maximally harvested",4625.8,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2022,"region_5","sphoeroides","maximally harvested",178.2,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2023,"region_5","sphoeroides","maximally harvested",2581,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2024,"region_5","sphoeroides","maximally harvested",6180,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2019,"region_5","sphyrna","maximally harvested",375,"decreased","no increase",NA,0.8
2024,"region_5","sphyrna","maximally harvested",6964,"increased","no increase",NA,0.6
2020,"region_6","argopecten","unclear",12212,"decreased",NA,NA,NA
2021,"region_6","argopecten","unclear",115609,"increased",NA,NA,NA
2022,"region_6","argopecten","unclear",356378,"increased",NA,NA,NA
2023,"region_6","argopecten","unclear",6050,"decreased",NA,NA,NA
2024,"region_6","argopecten","unclear",20797,"increased",NA,NA,NA
2019,"region_6","callinectes","maximally harvested",19400,NA,"no increase",NA,NA
2020,"region_6","callinectes","maximally harvested",33600,"increased","no increase",NA,0.6
2021,"region_6","callinectes","maximally harvested",1780,"decreased","no increase",NA,0.8
2022,"region_6","callinectes","maximally harvested",65,"decreased","no increase",NA,0.8
2023,"region_6","callinectes","maximally harvested",300,"increased","no increase",NA,0.6
2019,"region_6","carcharhinus","maximally harvested",54957,"increased","no increase",NA,0.6
2020,"region_6","carcharhinus","maximally harvested",28037,"decreased","no increase",NA,0.8
2021,"region_6","carcharhinus","maximally harvested",51709,"increased","no increase",NA,0.6
2022,"region_6","carcharhinus","maximally harvested",57487.5,"similar","no increase",NA,0.7
2024,"region_6","carcharhinus","maximally harvested",560,"decreased","no increase",NA,0.8
2019,"region_6","centropomus","maximally harvested",26500,"increased","no increase",NA,0.6
2021,"region_6","centropomus","maximally harvested",1000,"decreased","no increase",NA,0.8
2023,"region_6","centropomus","maximally harvested",550,"decreased","no increase",NA,0.8
2019,"region_6","chione","maximally harvested",4440,"similar","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.7
2021,"region_6","chione","maximally harvested",11768,"increased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.6
2022,"region_6","chione","maximally harvested",6420,"decreased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.8
2019,"region_6","cynoscion","maximally harvested",225780.2,"increased","no increase",NA,0.6
2020,"region_6","cynoscion","maximally harvested",314615.6,"increased","no increase",NA,0.6
2021,"region_6","cynoscion","maximally harvested",361776.2,"similar","no increase",NA,0.7
2022,"region_6","cynoscion","maximally harvested",249765.7,"decreased","no increase",NA,0.8
2023,"region_6","cynoscion","maximally harvested",393632,"increased","no increase",NA,0.6
2024,"region_6","cynoscion","maximally harvested",517634.8,"increased","no increase",NA,0.6
2019,"region_6","dosinia","maximally harvested",18362,"increased","no increase","highly variable catch",0.6
2020,"region_6","dosinia","maximally harvested",8999,"decreased","no increase","highly variable catch",0.8
2021,"region_6","dosinia","maximally harvested",86350,"increased","no increase","highly variable catch",0.6
2022,"region_6","dosinia","maximally harvested",118510,"increased","no increase","highly variable catch",0.6
2023,"region_6","dosinia","maximally harvested",18537,"decreased","no increase","highly variable catch",0.8
2024,"region_6","dosinia","maximally harvested",8672,"decreased","no increase","highly variable catch",0.8
2020,"region_6","hoplopagrus","maximally harvested",336.8,"increased","no increase",NA,0.6
2021,"region_6","hoplopagrus","maximally harvested",77,"decreased","no increase",NA,0.8
2022,"region_6","hoplopagrus","maximally harvested",80,"similar","no increase",NA,0.7
2023,"region_6","hoplopagrus","maximally harvested",291,"increased","no increase",NA,0.6
2024,"region_6","hoplopagrus","maximally harvested",470.5,"increased","no increase",NA,0.6
2022,"region_6","isurus","maximally harvested",995,NA,"no increase",NA,NA
2019,"region_6","lutjanus","maximally harvested",71442.9,"increased","no increase",NA,0.6
2020,"region_6","lutjanus","maximally harvested",195506.2,"increased","no increase",NA,0.6
2021,"region_6","lutjanus","maximally harvested",214408,"similar","no increase",NA,0.7
2022,"region_6","lutjanus","maximally harvested",139241.05,"decreased","no increase",NA,0.8
2023,"region_6","lutjanus","maximally harvested",126097,"similar","no increase",NA,0.7
2024,"region_6","lutjanus","maximally harvested",98881.051,"decreased","no increase",NA,0.8
2019,"region_6","megapitaria","unclear",15226,"similar",NA,"Within region variation in status, took most conservative",NA
2020,"region_6","megapitaria","unclear",16348,"similar",NA,"Within region variation in status, took most conservative",NA
2021,"region_6","megapitaria","unclear",47018,"increased",NA,"Within region variation in status, took most conservative",NA
2022,"region_6","megapitaria","unclear",59781,"increased",NA,"Within region variation in status, took most conservative",NA
2023,"region_6","megapitaria","unclear",28319,"decreased",NA,"Within region variation in status, took most conservative",NA
