"main_species_group","recorded_species_name_clean","species_estimated","genus_estimated","family_estimated","source_of_estimate","classification_certainty","recorded_prep_types"
"TIBURON","DE TIBURON MAKO (ISURUS OXYRINCHUS)","Isurus oxyrinchus","Isurus","Lamnidae","taxize","high","ALETA, FCA"
"TIBURON","DE TIBURON MARTILLO",NA,"Sphyrna","Sphyrnidae","hammerhead shark; unable to specify species","high","ALETA, FCA"
"TIBURON","DE TIBURON MARTILLO (SPHYRNA MOKARRAN)","Sphyrna mokarran","Sphyrna","Sphyrnidae","taxize","high","ALETA, FCA"
"TIBURON","DE TIBURON TUNERO O CAFE (CARCHARHINUS FALCIFORMIS)","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","taxize","high","ALETA, FCA"
"TIBURON","DE TIBURON ZORRO (ALOPIAS PELAGICUS)","Alopias pelagicus","Alopias","Alopiidae","taxize","high","ALETA, FCA"
"TIBURON","DE TIBURON ZORRO PINTO","Alopias vulpinus","Alopias","Alopiidae","dataMares; logical match to taxize; supported by additional online sources","high","ALETA, FCA"
"TIBURON","DE TIBURON ZORRO PINTO, ZORRO COMUN, COLUDO PINTO","Alopias vulpinus","Alopias","Alopiidae","dataMares; logical match to taxize; supported by additional online sources","high","ALETA, FCA"
"TIBURON","GALANO","Negaprion brevirostris","Negaprion","Carcharhinidae","logical conclusion based on research; dataMares","high","ENT., FCO."
"TIBURON","GATA","Ginglymostoma cirratum","Ginglymostoma","Ginglymostomatidae","logical conclusion based on research; dataMares","high","DESV., ENT., FILETE DE, FCA., DESC., FCO."
"TIBURON","GATA MANCHADA","Ginglymostoma cirratum","Ginglymostoma","Ginglymostomatidae","logical conclusion based on research; dataMares","high","ENT., FCA."
"TIBURON","GRILLO","Alopias superciliosus","Alopias","Alopiidae","logical conclusion based on research; dataMares","high","DESV., ENT., FCO., DESC."
"TIBURON","GRILLO (ALOPIAS VULPINUS)","Alopias vulpinus","Alopias","Alopiidae","taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","GRILLO DE","Alopias superciliosus","Alopias","Alopiidae","logical conclusion based on research; dataMares","high","ALETA, FCA."
"TIBURON","ISALA","Carcharhinus limbatus","Carcharhinus","Carcharhinidae","dataMares","high","ENT., FCA."
"TIBURON","PALA","Sphyrna tiburo","Sphyrna","Sphyrnidae","logical conclusion based on research","high","CABEZA DE, ENT., FCA."
"TIBURON","PEZ MARTILLO (SPHYRNA LEWINI)","Sphyrna lewini","Sphyrna","Sphyrnidae","taxize","high","ENT., FCO."
"TIBURON","PIEL TIBURON CORNUDA PRIETA (SPHYRNA ZYGAENA)","Sphyrna zygaena","Sphyrna","Sphyrnidae","taxize","high","SECA DE"
"TIBURON","PUNTINEGRO","Carcharhinus limbatus","Carcharhinus","Carcharhinidae","dataMares; logical conclusion based on research","high","ENT., FCO."
"TIBURON","TIBURON",NA,NA,NA,"not enough information to classify","high","ALETA, DESV., ENT., FILETE DE, SECA DE, FCO., DESC."
"TIBURON","TIBURON",NA,NA,NA,"shark; unable to specify species, genus, or family","high","PIEL DE SECA"
"TIBURON","TIBURON AMARILLO","Negaprion brevirostris","Negaprion","Carcharhinidae","logical conclusion based on research; dataMares","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON ANGELITO (SQUATINA SQUATINA)","Squatina squatina","Squatina","Squatinidae","taxize","high","DESV., ENT., FILETE, FCO., DESC."
"TIBURON","TIBURON AZUL","Prionace glauca","Prionace","Carcharhinidae","logical conclusion based on name; logical match to taxize","high","ALETA, DESV., ENT., FILETE, SECA DE, FCO., DESC."
