"main_species_group","recorded_species_name_clean","species_estimated","genus_estimated","family_estimated","source_of_estimate","classification_certainty","recorded_prep_types"
"CARPA","PEZ PUERCO DE AGUA DULCE",NA,NA,"Balistidae","logical conclusion based on research; however, it is unclear why triggerfish would be lumped with carps","low","ENT., FCO."
"CORVINA","CORVINA AZUL","Cynoscion parvipinnis","Cynoscion","Sciaenidae","dataMares","low","ENT., FCA."
"CORVINA","CORVINA BLANCA","Cynoscion reticulatus","Cynoscion","Sciaenidae","dataMares","low","ENT., DE CULTIVO, FCA., DESV."
"CORVINA","CORVINA CHATA","Larimus effulgens","Larimus","Sciaenidae","dataMares","low","ENT., FCA."
"JUREL","CABALLA","Selene peruviana","Selene","Carangidae","dataMares; I am not confident about this assignment","low","DESV., ENT., FCA."
"JUREL","CABALLA MEXICANA",NA,NA,"Carangidae","I think I can be more specific about what kind of jack this is","low","ENT., FCA."
"JUREL","CABALLO","Caranx hippos","Caranx","Carangidae","logical conclusion based on research; I am not confident in this assignment","low","DESV., ENT., FCO."
"JUREL","JURELETE",NA,NA,"Carangidae","jack; maybe can be more specific?","low","ENT., FCO."
"JUREL","PEJEFUERTE",NA,"Caranx","Carangidae","I think I can be more specific about what kind of jack this is","low","ENT., DESV., FCO."
"MOJARRA","MOJARRA CHINA","Eugerres lineatus","Eugerres","Gerreidae","logical conclusion based on research; dataMares; could be imported tilapia!","low","ENT., FCA."
"MOJARRA","MOJARRA ESPA√ëOLA",NA,NA,"Gerreidae","I think I can be more specific about what kind of mojarra this is","low","ENT., FCA."
"MOJARRA","MOJARRA GARABATA",NA,NA,NA,"I think I can be more specific about what kind of mojarra this is","low","ENT., FCA."
"MOJARRA","MOJARRA MEXICANA",NA,NA,NA,"I think I can be more specific about what kind of mojarra this is","low",""
"MOJARRA","MOJARRA PEINETA",NA,NA,NA,"dataMares suggests species Diapterus peruvianus; I am not confident in this classification","low","ENT., FCA."
"MOJARRA","MOJARRA PIEDRERA",NA,NA,NA,"dataMares suggests species Anisotremus davidsonii; perhaps I can be more specific about what kind of mojarra this is","low","ENT., FCA."
"MOJARRA","MOJARRA PINTA DE AGUA DULCE",NA,NA,NA,"not enough information to classify","low","ENT., FCA."
"MOJARRA","MOJARRA RAYADA","Eugerres plumieri","Eugerres","Gerreidae","logical conclusion based on research; dataMares; could also be Mayan cichlid (Cichlasoma urophthalmus)","low","ENT., FCA."
"MOJARRA","MOJARRA VERDE",NA,NA,NA,"mojarra; cannot specify species, genus, or family","low","ENT., FCA."
"MOJARRA","MOLPICH",NA,NA,NA,"possibly Diapterus auratus; cannot specify species, genus, or family","low","ENT., FCO."
"SARDINA","PESCADO NO APTO PARA EMPAQUE",NA,NA,"Clupeidae","not enough information to classify","low",""
"SARDINA","PIÔøΩA",NA,"Oligoplites","Clupeidae","logical conclusion based on research; dataMares; can we be more specific about the species?","low","ENT., FCA., IND."
"SARDINA","SARDINA DE AGUA DULCE",NA,NA,NA,"no known species of freshwater sardine","low","ENT., FCA."
"SARDINA","SARDINA ESCAMUDA",NA,NA,"Clupeidae","logical conclusion based on research; dataMares; can we be more specific about the species or genus?","low","ENT., FCA."
"SARDINA","SARDINA MACHETE",NA,NA,"Clupeidae","logical conclusion based on research; dataMares says Opisthonema medirastre; can we be more specific about the species?","low","ENT., FCA."
"SARDINA","XLAVITA",NA,NA,NA,"not enough information to classify","low","IND."
"TIBURON","TIBURON CHATITA",NA,NA,NA,"perhaps I can be more specific about what kind of shark this is","low","DESV., DESC."
"TIBURON","TIBURON ENCERADO",NA,NA,NA,"not enough information to classify; can I can be more specific about what kind of shark this is? (this might just be shark ""wax""","low","ENT., FCO."
"TIBURON","TIBURON NEGRO, ZORRO OJON, TRESHER",NA,NA,NA,"shark; unable to specify species, genus, or family","low","DESV, ENT, DESC, FCO"
"TIBURON","TIBURON PICUDO","Rhizoprionodon longurio","Rhizoprionodon","Carcharhinidae","dataMares","low","DESV., ENT., FILETE, FCO., DESC."
"TIBURON","TIBURON RAYADO","Triakis semifasciata","Triakis","Triakidae","dataMares Triakis semifasciata; I am not sure about this classification","low","ENT., FCO."
"TIBURON","TINTORERA","Prionace glauca","Prionace","Carcharhinidae","dataMares says species is Bull shark (Galeocerdo cuvier); internet research suggests Blue shark","low","DESC., DESV., ENT., FCA."
"ALMEJA","ALMEJA PATA DE MULA","Anadara tuberculosa","Anadara","Arcidae","logical conclusion based on research; dataMares; ask the experts!","medium","DE CULTIVO, ENT., CONCHA DE, CONCHA, ENT, FCA., FCA"
"ALMEJA","ALMEJA PATA DE MULA C.","Anadara tuberculosa","Anadara","Arcidae","logical conclusion based on research; dataMares; ask the experts!","medium","S., FCA."
"ALMEJA","ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL","Anadara tuberculosa","Anadara","Arcidae","logical conclusion based on research; dataMares; ask the experts!","medium","CONCHA DE, ENT., FCA."
"ALMEJA","ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL C.","Anadara tuberculosa","Anadara","Arcidae","logical conclusion based on research; dataMares; ask the experts!","medium","S., FCA."
"ALMEJA","ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL VIVA","Anadara tuberculosa","Anadara","Arcidae","logical conclusion based on research; dataMares; ask the experts!","medium",""
"ALMEJA","ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA","Anadara tuberculosa","Anadara","Arcidae","logical conclusion based on research; dataMares; ask the experts!","medium","ENTERO, CONCHA, FCO."
"ALMEJA","ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA C.","Anadara tuberculosa","Anadara","Arcidae","logical conclusion based on research; dataMares; ask the experts!","medium","S., FCA."
"ALMEJA","ALMEJA REINA","Megapitaria aurantiaca","Megapitaria","Veneridae","dataMares; ask the experts!!","medium","DE CULTIVO"
"ALMEJA","ALMEJA ROJA","Megapitaria aurantiaca","Megapitaria","Veneridae","dataMares; ask the experts!!","medium","ENT., CONCHA DE, FCA."
"ALMEJA","ALMEJA ROJA C.","Megapitaria aurantiaca","Megapitaria","Veneridae","dataMares; ask the experts!!","medium","S., FCA."
"ALMEJA","ALMEJA RONOSA","Chione undatella","Chione","Veneridae","ask the experts!!","medium","ENT., CONCHA DE, FCA."
"ALMEJA","ALMEJA RONOSA / ARROCERA CHIRLA","Chione undatella","Chione","Veneridae","ask the experts!!","medium","ENT., FCA."
"ALMEJA","ALMEJA RONOSA C.","Chione undatella","Chione","Veneridae","ask the experts!!","medium","S., FCA."
"ALMEJA","ALMEJA RONOSA CHINA","Chionopsis gnidia","Chionopsis","Veneridae","ask the experts!!","medium","ENT., FCA, FCA."
"ALMEJA","ALMEJA ROÔøΩOSA","Chione undatella","Chione","Veneridae","ask the experts!!","medium","ENT., CONCHA DE, FCA."
"ALMEJA","ALMEJA ROÔøΩOSA / ARROCERA CHIRLA","Chione undatella","Chione","Veneridae","ask the experts!!","medium","ENT., FCA."
"ALMEJA","ALMEJA ROÔøΩOSA C.","Chione undatella","Chione","Veneridae","ask the experts!!","medium","S., FCA."
"ALMEJA","ALMEJA VOLADORA","Argopecten vogdesi","Argopecten","Pectinidae","logical conclusion based on some research but differs from dataMares; dataMares says just Pecten sp.; ask the experts!!","medium","CONCHA DE, ENT., SECA, FCA."
"ALMEJA","ALMEJA VOLADORA C.","Argopecten vogdesi","Argopecten","Pectinidae","logical conclusion based on some research but differs from dataMares; dataMares says just Pecten sp.; ask the experts!!","medium","S., FCA."
"ATUN","ALBACORA",NA,"Thunnus","Scombridae","logical conclusion based on research","medium","ENT., FCA."
"ATUN","ATUN",NA,"Thunnus","Scombridae","logical conclusion based on research","medium","ENT., DESV., FCO."
"ATUN","ATUN PATUDO","Thunnus obesus","Thunnus","Scombridae","logical conclusion based on research","medium","ENT., FCO."
"BERRUGATA","BERRUGATA",NA,NA,"Sciaenidae","Hastings & Findley, 2010","medium","DESV., ENT., FILETE DE, FCA., DESC., FCO."
"BERRUGATA","GURRUBATA",NA,NA,"Sciaenidae","logical conclusion based on research","medium","DESV., ENT., FILETE DE, FCA., FCO."
"CAMARON","CAMARON CAFE","Farfantepenaeus californiensis","Penaeus","Penaeidae","logical conclusion based on research; Farfantepenaeus is a newer genus synonym","medium","DESC., ENT., DE CULTIVO, DESCABEZADO, ENTERO, FCO., CONG., FRESCO, FCO"
"CARACOL","CARACOL CHINO",NA,"Hexaplex","Muricidae","logical conclusion based on research","medium","CONCHA DE, ENT., SECA, FCO."
"CARACOL","CARACOL CHINO C.",NA,"Hexaplex","Muricidae","logical conclusion based on research","medium","S., FCO."
"CARACOL","CARACOL CHINO ROSA","Hexaplex erythrostomus","Hexaplex","Muricidae","logical conclusion based on research","medium","ENT., CONCHA DE, FCO."
"CARACOL","CARACOL CHINO ROSA SIN","Hexaplex erythrostomus","Hexaplex","Muricidae","logical conclusion based on research","medium","CONCHA"
"CARACOL","CARACOL CHINO ROSADO","Hexaplex erythrostomus","Hexaplex","Muricidae","logical conclusion based on research","medium","CONCHA DE, ENT., FCO."
"CARACOL","CARACOL OLIVO","Oliva spicata","Oliva","Olividae","logical conclusion based on research","medium","CONCHA DE"
"CARACOL","CARACOL PANOCHA",NA,"Megastraea","Turbinidae","logical conclusion based on research; I think I can be more specific about species","medium","ENT., FCO."
"CARACOL","CARACOL PANOCHA C.",NA,"Megastraea","Turbinidae","logical conclusion based on research; I think I can be more specific about species","medium","S., FCO."
"CARACOL","LAPA","Megathura crenulata","Megathura","Fissurellidae","dataMares; ask the experts!!","medium","ENT., FCA."
"CARPA","CARPA CABEZONA","Hypophthalmichthys nobilis","Hypophthalmichthys","Cyprinidae","logical conclusion based on research","medium","ENT., FCA."
"CARPA","CARPA COMUN","Cyprinus carpio","Cyprinus","Cyprinidae","logical conclusion based on research; dataMares","medium","DESV., ENT., SECA, DE CULTIVO, FCA., DESC."
"CARPA","CARPA ESPEJO","Cyprinus carpio","Cyprinus","Cyprinidae","logical conclusion based on research; dataMares","medium","ENT., FCA."
"CARPA","CARPA NEGRA","Mylopharyngodon piceus","Mylopharyngodon","Cyprinidae","logical conclusion based on research","medium","ENT., FCA."
"CORVINA","CORVINA ALETA AMARILLA","Umbrina roncador","Umbrina","Sciaenidae","logical conclusion based on research","medium","ENT., FCA."
"CORVINA","CORVINA DE AGUA DULCE",NA,"Cynoscion","Sciaenidae","corvina; cannot specify species; is the genus correct?","medium","ENT., FCA."
"CORVINA","CORVINA GRANIZA","Cynoscion reticulatus","Cynoscion","Sciaenidae","dataMares","medium","ENT., FILETE DE, FCA."
"GUACHINANGO","FLAMENCO","Lutjanus guttatus","Lutjanus","Lutjanidae","logical conclusion based on research; dataMares","medium","ENT., DESV., FCO."
"GUACHINANGO","GUACHITO",NA,"Lutjanus","Lutjanidae","snapper; cannot specify species or genus; dataMares; is this the right family?","medium","ENT., DESV., FCO."
"JUREL","JUREL DE CASTILLA","Seriola lalandi","Seriola","Carangidae","logical conclusion based on research; dataMares","medium","ENT., FCO."
"JUREL","JUREL NEGRO","Caranx lugubris","Caranx","Carangidae","logical conclusion based on research","medium","ENT., FCO."
"JUREL","JUREL P / CARNADA",NA,NA,"Carangidae","jack; cannot specify species or genus","medium",""
"MOJARRA","MOJARRA CAMARONERA","Calamus brachysomus","Calamus","Sparidae","logical conclusion based on research; dataMares","medium","ENT., FCA."
"MOJARRA","MOJARRA GUAPOTA",NA,NA,"Cichlidae","logical conclusion based on research","medium","ENT., FCA."
"MOJARRA","MOJARRA NEGRA",NA,"Eucinostomus","Gerreidae","logical conclusion based on research; dataMares","medium","ENT., FCA."
"MOJARRA","MOJARRA PALETA",NA,"Vieja","Cichlidae","cichlid of some sort, I think I can be more specific about what kind of mojarra this is; logical conclusion based on research","medium","ENT., FCA."
"MOJARRA","MOJARRA PINTA",NA,NA,"Gerreidae","Perhaps I can be more specific about what kind of mojarra this is","medium","ENT., FCA."
"MOJARRA","MOJARRA PLATEADA","Eucinostomus argenteus","Eucinostomus","Gerreidae","logical conclusion based on research; dataMares","medium","ENT., FCA."
"MOJARRA","MOJARRA PLUMA","Eugerres plumieri","Eugerres","Gerreidae","logical conclusion based on research; dataMares","medium","ENT., FCA."
"MOJARRA","MOJARRA PRIETA","Haemulon scudderii","Haemulon","Haemulidae","logical conclusion based on research; dataMares","medium","ENT., FCA."
"MOJARRA","MOJARRA TAHUINA",NA,"Cichlasoma","Cichlidae","logical conclusion based on research; dataMares","medium","DE CULTIVO, ENT., FCA."
"MOJARRA","MOJARRA TENHUAYACA","Petenia splendida","Petenia","Cichlidae","logical conclusion based on research; dataMares","medium","ENT., FCA."
"MOJARRA","MOJARRON","Calamus brachysomus","Calamus","Sparidae","logical conclusion based on research; dataMares","medium","ENT., FCO."
"OSTION","OSTION AMERICANO",NA,NA,"Ostreidae","oyster; cannot specify species or genus; perhaps I can be more specific about what kind of oyster this is","medium","ENT., FCO."
"OSTION","OSTION EUROPEO",NA,NA,"Ostreidae","oyster; cannot specify species or genus; perhaps I can be more specific about what kind of oyster this is","medium",""
"OSTION","OSTION EUROPEO",NA,NA,"Ostreidae","oyster; cannot specify species, genus, or family; perhaps I can be more specific about what kind of oyster this is","medium","ENT., FCO."
"SARDINA","PI√ëA",NA,"Oligoplites","Clupeidae","logical conclusion based on research; dataMares; can we be more specific about the species?","medium","ENT., FCA., IND."
"SARDINA","SARDINA",NA,NA,"Clupeidae","sardine; cannot specify species or genus","medium","IND., ENT., FCA."
"SARDINA","SARDINA CRINUDA",NA,"Opisthonema","Clupeidae","logical conclusion based on research; dataMares; can we be more specific about the species?","medium","IND., ENT., FCA."
"SARDINA","SARDINA CRINUDA MACHETE",NA,"Opisthonema","Clupeidae","logical conclusion based on research; dataMares; can we be more specific about the species?","medium","ENT., FCA."
"SARDINA","SARDINA VIVITA","Sardinops sagax","Sardinops","Clupeidae","logical conclusion based on research; ""vivita"" means live","medium","IND."
"TIBURON","DE TIBURON COLUDO",NA,"Alopias","Alopiidae","logical conclusion based on research; dataMares","medium","ALETA, FCA"
"TIBURON","DE TIBURON TUNERO","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","dataMares says species Carcharhinus falciformis; logical match to taxize; however, I cannot find a backup source for this","medium","ALETA, FCA"
"TIBURON","DE TIBURON TUNERO O CAFE","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","dataMares says species Carcharhinus falciformis; logical match to taxize; however, I cannot find a backup source for this","medium","ALETA, FCA"
"TIBURON","JAQUETON",NA,NA,"Carcharhinidae","logical conclusion based on research; cannot specify species or genus","medium","ENT., FCO."
"TIBURON","SARDINERO","Lamna ditropis","Lamna","Lamnidae","dataMares says Lamna ditropis; this makes logical sense based on the name; I am not sure about this classification","medium","DESV., ENT., FCO."
"TIBURON","TIBURON COLUDO",NA,"Alopias","Alopiidae","logical conclusion based on research; dataMares","medium","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON LOBERO","Carcharhinus brachyurus","Carcharhinus","Carcharhinidae","logical conclusion based on research","medium","ENT., FCO."
"TIBURON","TIBURON MAKO",NA,"Isurus","Lamnidae","logical conclusion based on research","medium","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON MAYO",NA,NA,NA,"dataMares says Isurus oxyrinchus; I think there is a typo in the name for TIBURON MAKO","medium","DESV., ENT., FILETE, FCO., DESC."
"TIBURON","TIBURON POROSO","Carcharhinus cerdale","Carcharhinus","Carcharhinidae","dataMares says species Carcharhinus porosus, but that is found in the Atlantic; logical conclusion based on research","medium","DESV., FCO., DESC."
"TIBURON","TIBURON PRIETO",NA,"Carcharhinus","Carcharhinidae","dataMares says Silky shark (Carcharhinus falciformis); logical match to taxize says Dusky shark (Carcharhinus obscurus); both are possible","medium","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON SARDINERO","Lamna ditropis","Lamna","Lamnidae","dataMares says Lamna ditropis; this makes logical sense based on the name; I am not sure about this classification","medium","DESV., DESC., FCO."
"TIBURON","TIBURON TUNERO","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","dataMares says species Carcharhinus falciformis; logical match to taxize; however, I cannot find a backup source for this","medium","DESV., FCO., DESC."
"TIBURON","TIBURÔøΩN LOBERO","Carcharhinus brachyurus","Carcharhinus","Carcharhinidae","logical conclusion based on research","medium","DESV., FCO."
"TIBURON","TIBUR√ìN LOBERO","Carcharhinus brachyurus","Carcharhinus","Carcharhinidae","logical conclusion based on research","medium","DESV., FCO., DESC."
"ALMEJA","ALMEJA",NA,NA,NA,"clam; cannot specify species, genus, or family","high","ENT., CONCHA DE, DE CULTIVO, FCA."
"ALMEJA","ALMEJA ARENERA","Chione cortezi","Chione","Veneridae","CESAIBC (https://www.cesaibc.org/sitio/archivos/4.%20FICHA%20TEC.%20SANITARIA%20DE%20%20C.%20CORTEZI_070616203703.pdf)","high","ENT, FCA"
"ALMEJA","ALMEJA BLANCA","Chione fluctifraga","Chione","Veneridae","logical match to ""ALMEJA BLANCA (CHIONE FLUCTIFRAGA)""","high","ENT., CONCHA DE, DE CULTIVO, FCA."
"ALMEJA","ALMEJA BLANCA (CHIONE FLUCTIFRAGA)","Chione fluctifraga","Chione","Veneridae","taxize","high","ENT., FCA."
"ALMEJA","ALMEJA BLANCA (CHIONE FLUCTIFRAGA) C.","Chione fluctifraga","Chione","Veneridae","taxize","high","S., FCA."
"ALMEJA","ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA",NA,NA,NA,"clam; cannot specify species, genus, or family","high","ENT., FCA."
"ALMEJA","ALMEJA BLANCA /MANTEQUILLA /PLATO /TALIBANA C.",NA,NA,NA,"clam; cannot specify species, genus, or family","high","S., FCA."
"ALMEJA","ALMEJA BLANCA C.","Chione fluctifraga","Chione","Veneridae","logical match to ""ALMEJA BLANCA (CHIONE FLUCTIFRAGA)""","high","S., FCA."
"ALMEJA","ALMEJA BURRA","Spondylus calcifer","Spondylus","Spondylidae","logical conclusion based on research; dataMares","high","ENT., CONCHA DE, FCA."
"ALMEJA","ALMEJA BURRA C.","Spondylus calcifer","Spondylus","Spondylidae","logical conclusion based on research; dataMares","high","S., FCA."
"ALMEJA","ALMEJA C.",NA,NA,NA,"clam; cannot specify species, genus, or family","high","S., FCA."
"ALMEJA","ALMEJA CATARINA","Argopecten circularis","Argopecten","Pectinidae","logical conclusion based on research; dataMares; Argopecten circularis possible synonym for Argopecten ventricosus","high","ENT., CONCHA DE, DE CULTIVO, FCA., ENT, FCA"
"ALMEJA","ALMEJA CATARINA (ARGOPECTEN VENTRICOSUS)","Argopecten ventricosus","Argopecten","Pectinidae","taxize","high",""
"ALMEJA","ALMEJA CATARINA C.","Argopecten circularis","Argopecten","Pectinidae","logical conclusion based on research; dataMares","high","S., FCA."
"ALMEJA","ALMEJA CONCHA ESPINA","Spondylus calcifer","Spondylus","Spondylidae","logical conclusion based on research; dataMares; NOTE: this is one common name where the filtration code fails. The correct name is ""ALMEJA CONCHA ESPINA""","high","ENT., FCA."
"ALMEJA","ALMEJA DE AGUA DULCE",NA,NA,NA,"not enough information to classify","high","ENT., FCA."
"ALMEJA","ALMEJA GENEROSA","Panopea generosa","Panopea","Hiatellidae","logical conclusion based on research; dataMares","high","ENT., DE CULTIVO, FCA."
"ALMEJA","ALMEJA GENEROSA VIVA","Panopea generosa","Panopea","Hiatellidae","logical conclusion based on research; dataMares","high",""
"ALMEJA","ALMEJA GLOBOSA","Panopea globosa","Panopea","Hiatellidae","logical conclusion based on research; dataMares","high","ENT., FCA."
"ALMEJA","ALMEJA GLOBOSA VIVA","Panopea globosa","Panopea","Hiatellidae","logical conclusion based on research; dataMares","high",""
"ALMEJA","ALMEJA MANO DE LEON","Nodipecten subnodosus","Nodipecten","Pectinidae","logical conclusion based on research; dataMares","high","ENT., FCA."
"ALMEJA","ALMEJA MANO DE LEON C.","Nodipecten subnodosus","Nodipecten","Pectinidae","logical conclusion based on research; dataMares","high","S., DE CULTIVO, FCA."
"ALMEJA","ALMEJA PISMO","Tivela stultorum","Tivela","Veneridae","logical conclusion based on research; dataMares","high","ENT., FCA."
"ANCHOVETA","ANCHOA",NA,NA,"Engraulidae","logical conclusion based on research","high","ENT., DESV., FCA."
"ANCHOVETA","ANCHOVETA",NA,NA,"Engraulidae","logical conclusion based on research","high","IND., ENT., FCA."
"ANCHOVETA","ANCHOVETA (ENGRAULIS MORDAX)","Engraulis mordax","Engraulis","Engraulidae","taxize","high","ENT., IND., FCA."
"ANCHOVETA","BOQUERON",NA,NA,"Engraulidae","logical conclusion based on research","high","ENT., FCO."
"ANCHOVETA","MANJUA",NA,NA,"Engraulidae","logical conclusion based on research","high","ENT., DESV., FCA."
"ATUN","ATUN AMARILLA","Thunnus albacares","Thunnus","Scombridae","logical conclusion based on research","high","ALETA, ENT., DESV., DESV,, FCO., DESC, FCO"
"ATUN","ATUN AMARILLA (THUNNUS ALBACARES)","Thunnus albacares","Thunnus","Scombridae","taxize","high","ALETA, ENT., DESV., IND., DESV,, FCO., DESC, FCO"
"ATUN","ATUN AZUL","Thunnus orientalis","Thunnus","Scombridae","logical conclusion based on research","high","ALETA, ENT., DESV., DE CULTIVO, FCO., DESC., DSC."
"ATUN","ATUN AZUL VIVO P/ABASTO RANCHO","Thunnus orientalis","Thunnus","Scombridae","logical conclusion based on research","high","ALETA"
"ATUN","ATUN OJO GRANDE","Thunnus obesus","Thunnus","Scombridae","logical conclusion based on research","high","ENT., FCO."
"BERRUGATA","CHANO","Micropogonias megalops","Micropogonias ","Sciaenidae","Hastings & Findley, 2010; Micropogonias megalops and altipinnis are synonyms","high","DESV., ENT., FILETE DE, FCO."
"BERRUGATA","CHANO/BERRUGATA ALETA AMARILLA","Umbrina roncador","Umbrina","Sciaenidae","Hastings & Findley, 2010","high","ENT., DESV., DESC., FCA., FCO."
"CAMARON","CAMARON AZUL","Litopenaeus stylirostris","Penaeus","Penaeidae","logical conclusion based on research; Litopenaeus is a newer genus synonym","high","DESC., ENT., DE CULTIVO, FCO., CONG."
"CAMARON","CAMARON BLANCO","Litopenaeus vannamei","Penaeus","Penaeidae","logical conclusion based on research; logical match to taxize","high","DE CULTIVO, DE CULTIVO VIVO, DESC., ENT., FCO., CONG."
"CAMARON","CAMARON BLANCO (LITOPENAEUS VANNAMEI)","Litopenaeus vannamei","Penaeus","Penaeidae","taxize","high","ENT., DE CULTIVO, DESC., FCO."
"CAMARON","CAMARON BLANCO COCIDO","Litopenaeus vannamei","Penaeus","Penaeidae","logical conclusion based on research; logical match to taxize","high","DE CULTIVO, ENT., DESC."
"CAMARON","CAMARON COCIDO",NA,NA,NA,"shrimp; cannot specify species, genus, or family","high","DE ALTA MAR, DESC., ENT."
"CAMARON","CAMARON CRISTAL","Farfantepenaeus brevirostris","Penaeus","Penaeidae","logical conclusion based on research; dataMares; Farfantepenaeus is a newer genus synonym","high","DESC., ENT., FCO."
"CAMARON","CAMARON DE AGUA DULCE","Macrobrachium americanum","Macrobrachium","Palaemonidae","dataMares; this species is freshwater and saltwater","high","DESC., ENT., FCO."
"CAMARON","CAMARON SINTETICO",NA,NA,NA,"shrimp; cannot specify species, genus, or family","high","DESC., ENT., FCO."
"CAMARON","CAMRON AZUL","Litopenaeus stylirostris","Penaeus","Penaeidae","logical conclusion based on research; Litopenaeus is a newer genus synonym","high","DESC., CONGELADO"
"CARACOL","CARACOL",NA,NA,NA,"not enough information to classify","high","ENT., CONCHA DE, DE CULTIVO, FCO., SECA"
"CARACOL","CARACOL C.",NA,NA,NA,"not enough information to classify","high","S., FCO."
"CARACOL","CARACOL CHILE","Triplofusus princeps","Triplofusus","Fasciolariidae","logical conclusion based on research; dataMares","high","CONCHA DE, ENT., FCO."
"CARACOL","CARACOL CHINO NEGRO","Hexaplex nigritus","Hexaplex","Muricidae","logical conclusion based on research","high","CONCHA DE, ENT., FCO."
"CARACOL","CARACOL CHINO NEGRO C.","Hexaplex nigritus","Hexaplex","Muricidae","logical conclusion based on research","high","S., FCO."
"CARACOL","CARACOL TEGOGOLO DE AGUA DULCE",NA,NA,NA,"not enough information to classify","high","ENT., FCO."
"CARACOL","CARACOL TURBO FLUCTUOSO VIVO","Turbo fluctuosa","Turbo","Turbinidae","logical conclusion based on research","high",""
"CARPA","CARPA",NA,NA,"Cyprinidae","carp; not enough information to specify species or genus","high","ENT., DESV., FILETE DE, DE CULTIVO, FCA., FCO., DESC."
"CARPA","CARPA DE ISRAEL","Cyprinus carpio","Cyprinus","Cyprinidae","logical conclusion based on research; dataMares","high","ENT., FCA."
"CARPA","CARPA ESCAMUDA",NA,NA,"Cyprinidae","carp; cannot specify species or genus","high","ENT., FCA."
"CORVINA","BUCHE DE CORVINA GOLFINA","Cynoscion othonopterus","Cynoscion","Sciaenidae","logical conclusion based on research; dataMares","high",""
"CORVINA","BUCHE DE CORVINA RAYADA","Cynoscion reticulatus","Cynoscion","Sciaenidae","logical conclusion based on research; dataMares","high","FCO"
"CORVINA","CORVINA",NA,"Cynoscion","Sciaenidae","corvina; cannot specify species; dataMares","high","DESV., ENT., FILETE DE, SECA, FCA., DESC., FCO., SECO"
"CORVINA","CORVINA ALETA CORTA","Cynoscion parvipinnis","Cynoscion","Sciaenidae","logical conclusion based on research; Hastings & Findley, 2010","high","ENT., FCA."
"CORVINA","CORVINA BOCA AMARILLA","Cynoscion xanthulus","Cynoscion","Sciaenidae","logical conclusion based on research; Hastings & Findley, 2010; process of elimination","high",""
"CORVINA","CORVINA GOLFINA","Cynoscion othonopterus","Cynoscion","Sciaenidae","logical conclusion based on research; dataMares","high","DESV., ENT., FCA."
"CORVINA","CORVINA PINTA",NA,"Cynoscion","Sciaenidae","corvina; cannot specify species; dataMares","high","ENT., FCA."
"CORVINA","CORVINA PLATEADA",NA,"Cynoscion","Sciaenidae","corvina; cannot specify species; dataMares","high","DESV., ENT., FCA."
"CORVINA","CORVINA RAYADA","Cynoscion reticulatus","Cynoscion","Sciaenidae","logical conclusion based on research; dataMares","high","ENT., FCA."
"CORVINA","CORVINA ROJA",NA,"Cynoscion","Sciaenidae","corvina; cannot specify species; dataMares","high","DE CULTIVO, ENT., FILETE, FCA., FCO."
"GUACHINANGO","GUACHINANGO",NA,"Lutjanus","Lutjanidae","snapper; cannot specify species or genus; dataMares","high","FILETE DE, DESV., DE CULTIVO, ENT., FCO., DESC."
"GUACHINANGO","GUACHINANGO (LUTJANUS CAMPECHANUS)","Lutjanus campechanus","Lutjanus","Lutjanidae","taxize","high","DESV., FCO."
"GUACHINANGO","GUACHINANGO (LUTJANUS SPP)",NA,"Lutjanus","Lutjanidae","taxize","high","ENT., FCO."
"JUREL","COJINUDA",NA,NA,"Carangidae","jack; cannot specify species or genus","high","ENT., DESV., FCA."
"JUREL","JUREL",NA,NA,"Carangidae","jack; cannot specify species or genus","high","DESV., FILETE DE, DE CULTIVO, ENT., FCO., DESC."
"JUREL","JUREL (SERIOLA LALANDI)","Seriola lalandi","Seriola","Carangidae","taxize","high","ENT., FCO."
"JUREL","JUREL FINO",NA,"Decapterus","Carangidae","logical conclusion based on research; dataMares says Decapterus macrosoma but could also be Decapterus macarellus","high","ENT., FCO."
"JUREL","JUREL PRIETO","Caranx lugubris","Caranx","Carangidae","logical conclusion based on research; dataMares","high","ENT., FCO."
"JUREL",NA,NA,NA,"Carangidae","jack; cannot specify species or genus","high","COCINERO, DESV., FILETE DE, ENT., FCO."
"MOJARRA","CHOPA",NA,NA,"Kyphosidae","Hastings & Findley, 2010; dataMares","high","ENT., DE CULTIVO, FCA."
"MOJARRA","CHOPA DE AGUA DULCE",NA,NA,NA,"mojarra (grunt, chub, porgy); cannot specify species, genus, or family","high","DESV., FILETE DE, FCA., FCO."
"MOJARRA","MALACAPA",NA,NA,"Gerreidae","dataMares; cannot specify species, genus, or family; logical conclusion based on research","high","ENT., DESV., FCA."
