rgn_id,year,status
Region_1,2017,92.52268869485414
Region_1,2018,95.26474854247104
Region_1,2019,94.60350425716514
Region_1,2020,96.11712728574186
Region_1,2021,95.99519036646642
Region_1,2022,97.98302766134844
Region_1,2023,97.69707214961808
Region_2,2017,95.00458454000386
Region_2,2018,96.21739817029396
Region_2,2019,95.86698746316166
Region_2,2020,97.10180169626229
Region_2,2021,97.16868733560194
Region_2,2022,97.94843274824672
Region_2,2023,98.2711648620106
Region_3,2017,97.04393954484156
Region_3,2018,95.080531824017
Region_3,2019,94.57337181512604
Region_3,2020,95.31076142812738
Region_3,2021,95.69994981757657
Region_3,2022,95.9819498438223
Region_3,2023,96.3182150869952
Region_4,2017,91.46787185984304
Region_4,2018,91.42195378893364
Region_4,2019,91.35749007189386
Region_4,2020,91.016991981739
Region_4,2021,90.73951308239944
Region_4,2022,90.27742021053388
Region_4,2023,90.50302257676267
Region_5,2017,84.42990761716939
Region_5,2018,89.06378502884021
Region_5,2019,87.98824912264999
Region_5,2020,92.24245837196814
Region_5,2021,91.27989350804349
Region_5,2022,93.00633490172834
Region_5,2023,92.47645594673146
Region_6,2017,80.46144296091425
Region_6,2018,83.67314719137113
Region_6,2019,84.00680517615582
Region_6,2020,86.29627218884102
Region_6,2021,85.21472556103947
Region_6,2022,88.03603059348143
Region_6,2023,86.85341891489269
Region_7,2017,51.204729381035165
Region_7,2018,54.1794857428005
Region_7,2019,58.00795212933505
Region_7,2020,61.01959688318683
Region_7,2021,59.82531148908408
Region_7,2022,64.11374491196982
Region_7,2023,61.05143057557287
Region_8,2017,33.99783694661375
Region_8,2018,35.82570874644732
Region_8,2019,35.74741374325344
Region_8,2020,40.75558603661175
Region_8,2021,38.61827401784148
Region_8,2022,44.03872506336374
Region_8,2023,42.65530522749587
Region_9,2017,41.79470423313374
Region_9,2018,43.90151227911954
Region_9,2019,45.504341909946206
Region_9,2020,44.1716971982905
Region_9,2021,43.7672162807097
Region_9,2022,43.79784990072435
Region_9,2023,41.62807857147608
