rgn_id,year,PHRM,PEST,WWPS,HAZW,VESS,chemical_cs
Region_1,2017,97.04095165831296,100,95.39677719235075,100,70.17571462360699,92.52268869485414
Region_1,2018,96.98055399331125,100,94.24597149043844,100,85.09721722860553,95.26474854247104
Region_1,2019,96.85695146275133,100,93.09516578852612,100,83.06540403454828,94.60350425716514
Region_1,2020,96.66024490315108,100,94.24597149043844,100,89.67942003511979,96.11712728574186
Region_1,2021,96.52651892919476,100,95.39677719235075,100,88.0526557107866,95.99519036646642
Region_1,2022,96.59687142146984,100,96.54758289426306,100,96.77068399100932,97.98302766134844
Region_1,2023,97.00650790031844,100,97.69838859617538,100,93.78046425159654,97.69707214961807
Region_2,2017,99.84964426832197,99.99049055809974,100,98.34054243713588,76.84224543646175,95.00458454000386
Region_2,2018,99.8438429983832,99.99164719966863,100,98.34054243713588,82.91095821628205,96.21739817029395
Region_2,2019,99.83758816927464,99.99280384123753,100,98.34054243713588,81.16400286816024,95.86698746316166
Region_2,2020,99.82951066413712,99.99396048280644,100,98.34054243713588,87.34499489723196,97.10180169626229
Region_2,2021,99.82383586961724,99.99511712437534,100,98.34054243713588,87.68394124688125,97.16868733560194
Region_2,2022,99.81707316442638,99.99511712437534,100,98.34054243713588,91.58943101529596,97.94843274824672
Region_2,2023,99.85319091367968,99.99511712437534,100,98.34054243713588,93.16697383486212,98.27116486201061
Region_3,2017,99.91004077493288,99.8713744767539,96.75426974682004,94.66389792133288,94.02011480436808,97.04393954484155
Region_3,2018,99.69722125873037,99.87407585766266,96.21331470462337,83.88196702555446,95.73608027351412,95.080531824017
Region_3,2019,99.69545249200924,99.8767772385714,95.67235966242671,83.88196702555446,93.74030265706834,94.57337181512604
Region_3,2020,99.69509966723746,99.87947861948017,97.83617983121336,83.88196702555446,95.26108199715142,95.31076142812738
Region_3,2021,99.6933646376147,99.88218000038891,100,83.88196702555446,95.04223742432475,95.69994981757657
Region_3,2022,99.69301303074327,99.88218000038891,100,83.88196702555446,96.45258916242486,95.9819498438223
Region_3,2023,99.70496981760448,99.88218000038891,100,83.88196702555446,98.1219585914281,96.3182150869952
Region_4,2017,95.57951504840588,99.33967611139168,100,65.42559173131028,96.99457640810729,91.46787185984303
Region_4,2018,94.66488100697076,99.36245216716588,100,65.42559173131028,97.65684403922134,91.42195378893365
Region_4,2019,94.66559788347004,99.38522822294007,100,65.42559173131028,97.31103252174893,91.35749007189386
Region_4,2020,94.6742125599404,99.40800427871427,98.55904631513656,64.80108756823492,97.64260918666889,91.01699198173901
Region_4,2021,94.67430694293049,99.43078033448846,97.11809263027313,64.80108756823492,97.6732979360702,90.73951308239944
Region_4,2022,94.67412029355556,99.43078033448846,97.11809263027313,61.43086712087208,98.73324067348021,90.27742021053389
Region_4,2023,95.77882798587962,99.43078033448846,97.11809263027313,61.43086712087208,98.7565448123001,90.50302257676267
Region_5,2017,93.84884829544649,85.75422538892788,100,96.68228974043132,45.86417466104129,84.42990761716939
Region_5,2018,93.70438164242825,86.27041689132105,100,96.68228974043132,68.66183687002048,89.06378502884021
Region_5,2019,92.16783210078472,86.7866083937142,100,96.68228974043132,64.30451537831973,87.98824912264999
Region_5,2020,91.7277985178369,87.30279989610737,100,96.68228974043132,85.4994037054651,92.24245837196814
Region_5,2021,91.45039800505737,87.81899139850053,100,96.68228974043132,80.44778839622818,91.27989350804347
Region_5,2022,91.3517291523887,87.81899139850053,99.10566552064722,96.68228974043132,90.0729986966739,93.00633490172834
Region_5,2023,92.23075441694104,87.81899139850053,98.21133104129444,96.68228974043132,87.43891313648999,92.47645594673146
Region_6,2017,73.56123006959953,86.69965939806623,92.61443741885309,98.32961108449535,51.10227683355707,80.46144296091425
Region_6,2018,73.3842113632921,86.72706723870769,95.38402338678318,98.32961108449535,64.54082288357729,83.67314719137113
Region_6,2019,72.67928624746476,86.75447507934913,98.15360935471328,98.32961108449535,64.11704411475657,84.00680517615582
Region_6,2020,72.73385277494953,86.7818829199906,96.30721870942654,98.32961108449535,77.32879545534304,86.29627218884102
Region_6,2021,72.17468252055409,86.80929076063205,94.4608280641398,98.32961108449535,74.29921537537606,85.21472556103947
Region_6,2022,72.9795301450707,86.80929076063205,94.4608280641398,98.32961108449535,87.60089291306925,88.03603059348143
Region_6,2023,72.30034340628025,86.80929076063205,94.4608280641398,98.32961108449535,82.36702125891597,86.85341891489269
Region_7,2017,66.77181091427148,67.41642271946301,32.79034476875719,60.24006150536506,28.805006997319094,51.204729381035165
Region_7,2018,65.74810452183904,68.64473893400094,48.70842100773575,60.24006150536506,27.55610274506173,54.1794857428005
Region_7,2019,64.54108635997287,69.87305514853885,64.62649724671431,60.24006150536506,30.75906038608418,58.00795212933505
Region_7,2020,63.48328022927272,71.10137136307678,56.372679937614315,62.07229056151673,52.0683623244536,61.01959688318683
Region_7,2021,63.08152313586732,72.32968757761469,48.11886262851432,62.07229056151673,53.524193541907316,59.82531148908408
Region_7,2022,64.42185109633131,72.32968757761469,43.4023955947429,62.07229056151673,78.34249972964345,64.11374491196982
Region_7,2023,65.10629820707791,72.32968757761469,38.68592856097147,62.07229056151673,67.06294797068357,61.05143057557287
Region_8,2017,61.57125751177583,50.80957626048827,14.945321992709603,42.66302896809505,0,33.99783694661375
Region_8,2018,61.32453175826535,52.928910468473845,7.472660996354802,40.39862649994809,17.003814009194496,35.82570874644732
Region_8,2019,60.75710978574224,55.048244676459426,0,37.36096649312508,25.57074776094045,35.74741374325344
Region_8,2020,59.64245151910013,57.167578884445,2.0048602673147062,37.36096649312508,47.60207301907384,40.75558603661175
Region_8,2021,58.398789123665985,59.286913092430574,4.0097205346294125,32.74104683195592,38.6549005065255,38.61827401784148
Region_8,2022,59.68165981526079,59.286913092430574,2.0048602673147062,32.09595959595959,67.12423254585306,44.03872506336374
Region_8,2023,60.959216588184816,59.286913092430574,0,33.473193473193476,59.55720298367051,42.65530522749587
Region_9,2017,0,1.1969218790752902,67.06599601329846,62.36091898885343,78.34968428444155,41.79470423313374
Region_9,2018,0,2.3938437581505805,66.15116256922342,61.913966888280896,89.0485881799428,43.90151227911954
Region_9,2019,7.183690283749133,3.59076563722587,65.23632912514837,61.913966888280896,89.59695761532676,45.504341909946206
Region_9,2020,6.095423505252806,4.787687516301161,64.32149568107333,53.602817496529354,92.05106179229587,44.1716971982905
