rgn_id,year,pressure
Region_1,2017,0.0747731130514586
Region_1,2018,0.047352514575289606
Region_1,2019,0.05396495742834859
Region_1,2020,0.03882872714258141
Region_1,2021,0.04004809633533583
Region_1,2022,0.020169723386515556
Region_1,2023,0.0230292785038192
Region_2,2017,0.04995415459996139
Region_2,2018,0.037826018297060386
Region_2,2019,0.04133012536838336
Region_2,2020,0.02898198303737715
Region_2,2021,0.028313126643980554
Region_2,2022,0.020515672517532835
Region_2,2023,0.017288351379894068
Region_3,2017,0.029560604551584362
Region_3,2018,0.04919468175982999
Region_3,2019,0.05426628184873963
Region_3,2020,0.04689238571872622
Region_3,2021,0.04300050182423434
Region_3,2022,0.04018050156177694
Region_3,2023,0.03681784913004805
Region_4,2017,0.08532128140156957
Region_4,2018,0.08578046211066365
Region_4,2019,0.08642509928106136
Region_4,2020,0.08983008018261003
Region_4,2021,0.09260486917600559
Region_4,2022,0.09722579789466124
Region_4,2023,0.09496977423237325
Region_5,2017,0.15570092382830608
Region_5,2018,0.10936214971159786
Region_5,2019,0.12011750877350011
Region_5,2020,0.0775754162803186
Region_5,2021,0.08720106491956514
Region_5,2022,0.06993665098271663
Region_5,2023,0.07523544053268537
Region_6,2017,0.19538557039085747
Region_6,2018,0.16326852808628872
Region_6,2019,0.15993194823844178
Region_6,2020,0.13703727811158983
Region_6,2021,0.14785274438960527
Region_6,2022,0.11963969406518572
Region_6,2023,0.13146581085107314
Region_7,2017,0.48795270618964837
Region_7,2018,0.45820514257199496
Region_7,2019,0.4199204787066495
Region_7,2020,0.3898040311681317
Region_7,2021,0.40174688510915924
Region_7,2022,0.35886255088030183
Region_7,2023,0.38948569424427126
Region_8,2017,0.6600216305338625
Region_8,2018,0.6417429125355268
Region_8,2019,0.6425258625674656
Region_8,2020,0.5924441396338824
Region_8,2021,0.6138172598215852
Region_8,2022,0.5596127493663626
Region_8,2023,0.5734469477250412
Region_9,2017,0.5820529576686626
Region_9,2018,0.5609848772088046
Region_9,2019,0.5449565809005379
Region_9,2020,0.558283028017095
Region_9,2021,0.562327837192903
Region_9,2022,0.5620215009927565
Region_9,2023,0.5837192142852392
