"recorded_taxa_group","estimated_taxa_group","common_name_clean","estimated_species_name","estimated_genus_name","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group","Manual_Classification_Notes","species_est_certainty","species_est_reasoning","genus_est_reasoning","ornamentalFLAG_1"
"SARDINA","SARDINA",NA,NA,"Harengula",NA,"Pelagic marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CAZON","TIBURON",NA,NA,"Negaprion","Demersal marine fishes","Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"RONCO","GUACHINANGO",NA,NA,"Lutjanus",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"BANDERA","BANDERA",NA,NA,"Bagre",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CORVINA","CORVINA",NA,NA,"Larimus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"RUBIO","RUBIO",NA,NA,"Haemulon",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Isurus","Demersal marine fishes","Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"CINTILLA","CINTILLA",NA,NA,"Trichiurus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Anisotremus","Demersal marine fishes","Marine fishes NEI","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA",NA,NA,"Panopea","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CARPA","CARPA",NA,NA,"NEI","Marine fishes NEI","Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Petenia","Freshwater fishes","Marine fishes NEI","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"RONCO","RONCO",NA,NA,"Selene","Pelagic marine fishes","Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CARPA","CARPA",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"BESUGO","BESUGO",NA,NA,"NEI","Marine fishes NEI","Marine fishes NEI","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CAMARON","CAMARON",NA,NA,"Xiphopenaeus",NA,"Shrimps, prawns","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"JUREL","JUREL",NA,NA,"Decapterus","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA",NA,NA,"Amiantis",NA,"Molluscs excl. Cephalopods","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Nasolamia","Demersal marine fishes","Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Diapterus",NA,"Marine fishes NEI","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"LISA","LISA",NA,NA,"Polydactylus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"ROBALO","ROBALO",NA,NA,"NEI","Marine fishes NEI","Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Vieja",NA,"Marine fishes NEI","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"RUBIA Y VILLAJAIBA","RUBIA Y VILLAJAIBA",NA,NA,"Ocyurus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Negaprion",NA,"Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"ABULON","ABULON",NA,NA,"Haliotis",NA,"Molluscs excl. Cephalopods","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CAMARON","CAMARON",NA,NA,"Metapenaeus",NA,"Shrimps, prawns","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Calamus",NA,"Marine fishes NEI","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"CARACOL","CARACOL",NA,NA,"Turbo","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CORVINA","CORVINA",NA,NA,"NEI","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"ROBALO","ROBALO",NA,NA,"Morone",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"MERO","MERO",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CARACOL","CARACOL",NA,NA,"Triplofusus","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CARPA","CARPA",NA,NA,"Hypophthalmichthys",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"MACARELA","MACARELA",NA,NA,NA,NA,"Pelagic marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CARACOL","CARACOL",NA,NA,"Turbinella",NA,"Molluscs excl. Cephalopods","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Echinorhinus","Demersal marine fishes","Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Ginglymostoma",NA,"Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"JAIBA","JAIBA",NA,NA,"Callinectes","Crustaceans","Crustaceans","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Gymnura","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Negaprion","Demersal marine fishes","Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Rhinobatos",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA",NA,NA,"Chione","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Rhinoptera",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"BANDERA","BANDERA",NA,NA,"Dentex",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"LENGUADO","LENGUADO",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"JUREL","JUREL",NA,NA,"Atherinopsis","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Eucinostomus gracilis","Demersal marine fishes","Marine fishes NEI","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"SARDINA","SARDINA",NA,NA,"Lagodon",NA,"Pelagic marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,NA,NA,"Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Galeorhinus","Demersal marine fishes","Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"CALAMAR","CALAMAR",NA,NA,"Loligo",NA,"Cephalopods","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"JUREL","JUREL",NA,NA,"Decapterus",NA,"Pelagic marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"ALGAS","ALGAS",NA,NA,"Eucheuma",NA,"Marine algae","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"PEPINO DE MAR","PEPINO DE MAR",NA,NA,NA,NA,"Echinoderms","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"CARPA","CARPA",NA,NA,"Carassius",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"JAIBA","JAIBA",NA,NA,"Callinectes",NA,"Crustaceans","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"PARGO","PARGO",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CARPA","CARPA",NA,NA,"Mylopharyngodon",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"ANCHOVETA","ANCHOVETA",NA,NA,"Engraulis",NA,"Pelagic marine fishes","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"CAZON","CAZON",NA,NA,"Rhizoprionodon","Demersal marine fishes","Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Carcahrhinus","Demersal marine fishes","Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Sphyrna",NA,"Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"SARDINA","SARDINA",NA,NA,"Oligoplites",NA,"Pelagic marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CHARAL","CHARAL",NA,NA,"Chirostoma","Marine fishes NEI","Marine fishes NEI","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Eucinostomus",NA,"Marine fishes NEI","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"LENGUADO","LENGUADO",NA,NA,"Mulloidichthys",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"LENGUADO","LENGUADO",NA,NA,"Citharichthys",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"LISA","LISA",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"ROBALO","ROBALO",NA,NA,"Centropomus",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CHARAL","CHARAL",NA,NA,NA,NA,"Marine fishes NEI","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"TRUCHA","TRUCHA",NA,NA,"Oncorhynchus",NA,"Marine fishes NEI","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CAMARON","CAMARON",NA,NA,"Litopenaeus",NA,"Shrimps, prawns","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CAZON","CAZON",NA,NA,"Rhizorionodon",NA,"Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"ESMEDREGAL","ESMEDREGAL",NA,NA,"NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"ATUN","ATUN",NA,NA,NA,NA,"Pelagic marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Alopias",NA,"Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"MACARELA","MACARELA",NA,NA,"Scomber",NA,"Pelagic marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,NA,NA,"Marine fishes NEI","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"CINTILLA","CINTILLA",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CAZON","TIBURON",NA,NA,"Carcharhinus","Demersal marine fishes","Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"LISA","LISA",NA,NA,"Mugil",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"ESMEDREGAL","ESMEDREGAL",NA,NA,NA,NA,"Pelagic marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"BONITO","BONITO",NA,NA,"Caranx","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"OSTION","OSTION",NA,NA,"Magallana",NA,"Molluscs excl. Cephalopods","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Sypyrna",NA,"Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA",NA,NA,"Chione",NA,"Molluscs excl. Cephalopods","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Sphyrna zygaena",NA,"Sharks","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"LENGUADO","LENGUADO",NA,NA,"Achirus",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"JAIBA","JAIBA",NA,NA,NA,NA,"Crustaceans","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"BERRUGATA","BERRUGATA",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"LANGOSTA","LANGOSTA",NA,NA,NA,NA,"Crustaceans","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Dasyatis",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"CORVINA","CORVINA",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"PULPO","PULPO",NA,NA,NA,NA,"Cephalopods","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Lepomis",NA,"Marine fishes NEI","Assigned_Step_4: manual patch",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Urolophus",NA,"Demersal marine fishes","Assigned_Step_1: based on recorded_taxa_group and IHH_functional_major_groups",NA,NA,NA,NA,NA
"OTRAS","CARPA","cochi","Balistes polylepis","Balistes","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"botete","Sphoeroides andersonianus","Sphoeroides","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","RAYA Y SIMILARES","payaso","Pseudobatos productus","Pseudobatos","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","RUBIO","burro","Haemulon maculicauda","Haemulon","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","PIERNA","conejo","Caulolatilus affinis","Caulolatilus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","MOJARRA","bacoco","Anisotremus interruptus","Anisotremus","Demersal marine fishes","Marine fishes NEI","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","ROBALO","paleta","Centropomus medius","Centropomus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"otras especies","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS",NA,"picuda","NEI","NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS",NA,"lapon","Scorpaena mystes","Scorpaena","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"vieja","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"pescado blanco","NEI","NEI","Marine fishes NEI","Marine fishes NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"rocote","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS",NA,"chopa","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","CABRILLA","extranjero","Paralabrax auroguttatus","Paralabrax","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"burrito","Orthopristis cantharinus","Orthopristis","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"cangrejo","NEI","NEI","Shrimps, prawns","Shrimps, prawns","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS",NA,"chivato","Pseudupeneus grandisquamis","Pseudupeneus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"bacalao","Anoplopoma fimbria","Anoplopoma","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"perico","Coryphaena hippurus","Coryphaena","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","GUACHINANGO","pez perro","Lutjanus novemfasciatus","Lutjanus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"cochino","Aluterus scriptus","Aluterus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"cabaicucho","Diplectrum pacificum","Diplectrum","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"sabalo","Chanos chanos","Chanos","Diadromous fishes","Diadromous fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"gallina","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"mejillon","NEI","NEI","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS",NA,"pez espada","Xiphias Gladius","Xiphias","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"virtually certain","name was recorded in CONAPESCA","genus derived from known species",NA
"OTRAS",NA,"aguado","Opistognathus rhomaleus","Opistognathus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","CARPA","bota","Balistes polylepis","Balistes","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"sarangola","Microlepidotus brevipinnis","Microlepidotus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"sandia","Paranthias colonus","Paranthias","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","MERO","pinta","Epinephelus analogus","Epinephelus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","CABRILLA","lucero","Paralabrax loro","Paralabrax","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","BONITO","ojoton","Caranx sexfasciatus","Caranx","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","RONCO","chabelita","Selene peruviana","Selene","Pelagic marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"chula","Xenichthys xanti","Xenichthys","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"merluza","Merluccius productus","Merluccius","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"cardenal","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"ballusa","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","CABRILLA","baya","Mycteroperca jordani","Mycteroperca","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","GUACHINANGO","condor","Lutjanus jordani","Lutjanus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"barracuda","NEI","NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","PIERNA","salmon","Caulolatilus affinis","Caulolatilus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"marlin","NEI","NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","MERO","pintillo","Epinephelus analogus","Epinephelus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"pez gallo","Nematistius pectoralis","Nematistius","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","PAMPANO","palmilla","Trachinotus rhodopus","Trachinotus","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"cirujano","Acanthurus xanthopterus","Acanthurus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","SARDINA","monda","Oligoplites altus","Oligoplites","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"rayadillo","Microlepidotus inornatus","Microlepidotus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"pajarito","NEI","NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"escorpion","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"dorado","Coryphaena hippurus","Coryphaena","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"pez vela","Istiophorus albicans","Istiophorus","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"mona","Parapsettus panamensis","Parapsettus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"cabezon","Scorpaenichthys marmoratus","Scorpaenichthys","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
