"OHI_Region_No","Major_Functional_Group","OLD_CPUE_2003.2013","NEW_CPUE_2003.2013","Percent_Diff"
"Region_4_5_6_Sonora_TBD",NA,16627.1721352986,13621.5439102564,-0.180766049727805
"Region_5","Cephalopods",477.209701670925,124.568684895833,-0.738964475240838
"Region_5","Crustaceans",1009.50302876481,982.060784971486,-0.0271839142740332
"Region_5","Demersal marine fishes",1019.92542840855,533.669190559983,-0.476756657207087
"Region_5","Marine fishes NEI",171.229338349799,79.4962121212121,-0.535732527571811
"Region_5","Molluscs excl. Cephalopods",2630.26803777746,2649.84868977177,0.00744435613142069
"Region_5","Other marine invertebrates",107.7,107.7,0
"Region_5","Pelagic marine fishes",1707.19725536285,2074.80789069784,0.215329912334503
"Region_5","Sharks",828.764583021746,393.155373396001,-0.525612723504034
"Region_5","Shrimps, prawns",306.907445277039,148.529602431521,-0.51604431656115
"Region_5",NA,12068.0869300531,8690.11243093923,-0.279909692289482
"Region_6","Cephalopods",1006.48538426981,747.430875316634,-0.257385266593926
"Region_6","Crustaceans",921.208235723447,824.360439991737,-0.105131274315685
"Region_6","Demersal marine fishes",338.837476392828,283.334522295019,-0.163804059364028
"Region_6","Marine algae",718.3,718.3,0
"Region_6","Marine fishes NEI",354.53829787234,280.888079470199,-0.207735578480893
"Region_6","Molluscs excl. Cephalopods",2357.77378817414,1951.69856850716,-0.172228235678812
"Region_6","Other marine invertebrates",596.47619047619,596.47619047619,0
"Region_6","Pelagic marine fishes",1173.83479555322,1013.40057908847,-0.136675294575109
"Region_6","Sharks",461.468235803674,401.016625976562,-0.130998420122744
"Region_6","Shrimps, prawns",529.418260189997,327.363141041931,-0.381654986882305
"Region_6",NA,1964.27400089557,1487.92182729551,-0.242508007224489
"Region_7","Cephalopods",7362.70944995838,3932.27416780666,-0.465920230245011
"Region_7","Crustaceans",804.142563491831,740.853704100777,-0.0787035312696718
"Region_7","Demersal marine fishes",440.979995464653,293.529314347929,-0.334370453610618
"Region_7","Diadromous fishes",333.333333333333,333.333333333333,0
"Region_7","Marine fishes NEI",367.8607148669,210.951484135107,-0.426545223206467
"Region_7","Molluscs excl. Cephalopods",2917.99973426446,2682.02155172414,-0.0808698437389693
"Region_7","Other marine invertebrates",177.813782991202,143.07171314741,-0.195384571765795
"Region_7","Pelagic marine fishes",50287.13322622,37360.6676378772,-0.257053141808507
"Region_7","Sharks",710.055745045325,498.580738332058,-0.297828738361617
"Region_7","Shrimps, prawns",536.23248653405,185.012340233868,-0.654977374776938
"Region_7",NA,21166.9014229617,13904.1855285599,-0.343116630501394
"Region_8","Cephalopods",3269.67140167775,903.358091672231,-0.723715939403362
"Region_8","Crustaceans",1419.98772356569,783.653032802858,-0.448126895889601
"Region_8","Demersal marine fishes",183.13573496679,59.362925960633,-0.675852853232616
"Region_8","Diadromous fishes",110.211648545914,51.4088562091503,-0.533544258820032
"Region_8","Marine fishes NEI",135.200692416699,38.9894331856531,-0.711618095375691
"Region_8","Molluscs excl. Cephalopods",1541.38769557797,787.554487824512,-0.48906138923783
"Region_8","Other marine invertebrates",790.996913580247,588.805555555556,-0.255615862152386
"Region_8","Pelagic marine fishes",24086.9423027759,5441.10691470031,-0.774105536256744
"Region_8","Sharks",928.937104757493,328.956005831806,-0.645879140636026
"Region_8","Shrimps, prawns",560.257518609839,137.956157580789,-0.753762951859891
"Region_8",NA,278.62451482885,68.4497865050891,-0.75432963410583
"Region_9","Cephalopods",116.507505265967,83.8194523470839,-0.280566070351103
"Region_9","Crustaceans",33.9956501703144,31.0857076205288,-0.0855974965975686
"Region_9","Demersal marine fishes",87.2237563347043,68.6965525442677,-0.212410065433803
"Region_9","Diadromous fishes",223.029609362273,177.673828125,-0.203362151630731
"Region_9","Marine fishes NEI",97.8607719728195,80.6930586846905,-0.175429980185495
"Region_9","Molluscs excl. Cephalopods",1433.35401833282,1143.82195887685,-0.201996196161455
"Region_9","Other marine invertebrates",25,25,0
"Region_9","Pelagic marine fishes",103.610988433252,81.5731389385808,-0.212697994951265
"Region_9","Sharks",226.762406936987,170.173858777746,-0.249549953731818
"Region_9","Shrimps, prawns",1845.42261771839,1263.52336285097,-0.315320322445627
"Region_9",NA,160.598878202254,123.013811501413,-0.234030692627298
