"year","OHI_Region_No","Major_Functional_Group","Total_Biomass_kg","Total_Days","OLD_mean_CPUE.recent","NEW_mean_CPUE.recent","Total_Value_mxn","n_records"
2021,"Region_4","Crustaceans",750,7,127.777777777778,107.142857142857,57500,3
2021,"Region_4","Demersal marine fishes",2442630.1,22931,137.222948847883,106.520871309581,109920998.54,6318
2021,"Region_4","Marine fishes NEI",29569.6,688,49.2747436565867,42.9790697674419,553800,137
2021,"Region_4","Molluscs excl. Cephalopods",59802,396,149.860416666667,151.015151515152,460751,160
2021,"Region_4","Other marine invertebrates",157572,285,585.979028880071,552.884210526316,1499640,72
2021,"Region_4","Pelagic marine fishes",476840,4576,157.570963325222,104.204545454545,13102010,975
2021,"Region_4","Sharks",1170605.75,2909,433.135249173471,402.408301821932,10389710,790
2021,"Region_4","Shrimps, prawns",14009.6,91,151.375066312997,153.951648351648,1953250,3
2021,"Region_4",NA,132891.56,2118,124.040860892666,62.7438904627007,3399593,559
2021,"Region_4_5_6_Sonora_TBD","Cephalopods",1500,6,250,250,15000,2
2021,"Region_4_5_6_Sonora_TBD","Crustaceans",4400,4,1100,1100,161200,4
2021,"Region_4_5_6_Sonora_TBD","Demersal marine fishes",1943257.5,233,11912.6371082621,8340.16094420601,20577600,156
2021,"Region_4_5_6_Sonora_TBD","Marine fishes NEI",18914,123,208.028571428571,153.772357723577,389064,25
2021,"Region_4_5_6_Sonora_TBD","Molluscs excl. Cephalopods",373960,95,4198.82183908046,3936.42105263158,4676656,87
2021,"Region_4_5_6_Sonora_TBD","Pelagic marine fishes",780704.24,44,13052.5133333333,17743.2781818182,4805987,34
2021,"Region_4_5_6_Sonora_TBD","Sharks",28687.5,51,480.489417989418,562.5,229500,3
2021,"Region_4_5_6_Sonora_TBD","Shrimps, prawns",532994.8,391,1778.95445285487,1363.15805626598,44868270,123
2021,"Region_4_5_6_Sonora_TBD",NA,70884,11,4576.8,6444,14174750,5
2021,"Region_5","Cephalopods",5647,136,98.1979797979798,41.5220588235294,112440,15
2021,"Region_5","Crustaceans",274315,375,1075.99947589099,731.506666666667,7053139,159
2021,"Region_5","Demersal marine fishes",15116580.55,16831,1731.95640888015,898.13918067851,150538812.5,2908
2021,"Region_5","Marine fishes NEI",14688.7,173,99.3414905753968,84.9057803468208,157491,32
2021,"Region_5","Molluscs excl. Cephalopods",3855535,1620,2789.87558627752,2379.95987654321,39174074.5,775
2021,"Region_5","Other marine invertebrates",5505,20,285.119047619048,275.25,73700,14
2021,"Region_5","Pelagic marine fishes",1398193.9,465,4375.17383219955,3006.86860215054,20261514,175
2021,"Region_5","Sharks",746949.05,2851,403.02878567182,261.995457734128,9522490,389
2021,"Region_5","Shrimps, prawns",2143634.4,10265,334.709124454416,208.829459327813,190057065,909
2021,"Region_5",NA,71016938,13957,8689.82983163311,5088.26667621982,272173819.1,4111
2021,"Region_6","Cephalopods",189347,823,229.062062187677,230.069258809234,14805335,218
2021,"Region_6","Crustaceans",1830755,2066,1011.51502383683,886.135043562439,56335499,718
2021,"Region_6","Demersal marine fishes",3539898.35,13717,286.874784032563,258.066512356929,101289743.14,4080
2021,"Region_6","Marine fishes NEI",6400,46,174.309523809524,139.130434782609,73800,12
2021,"Region_6","Molluscs excl. Cephalopods",2575626,2529,1630.98771382573,1018.43653618031,36859145.89,1014
2021,"Region_6","Pelagic marine fishes",892201.18,1462,710.314518767811,610.2607250342,14182909.35,404
2021,"Region_6","Sharks",1059932.5,1997,596.86566373585,530.762393590386,18195649,644
2021,"Region_6","Shrimps, prawns",359285,848,483.538644167373,423.685141509434,34581090,181
2021,"Region_6",NA,594906,952,719.77136793121,624.901260504202,27699995,294
2021,"Region_7","Cephalopods",287246.8,664,548.333734941215,432.600602409639,7538208,208
2021,"Region_7","Crustaceans",7216117.6,7674,1253.86883852226,940.333281209278,188519666.77,3376
2021,"Region_7","Demersal marine fishes",4623081.05,12227,465.815820720492,378.104281508138,102885853.5,3945
2021,"Region_7","Marine fishes NEI",45462,296,345.78933086685,153.587837837838,944534,45
2021,"Region_7","Molluscs excl. Cephalopods",5003285,3734,1643.70893121477,1339.92635243706,38216637.5,1250
2021,"Region_7","Pelagic marine fishes",726642870.65,16281,57207.7020542842,44631.3414808673,1385993398,5554
2021,"Region_7","Sharks",1428362.55,1326,1478.17997258468,1077.19649321267,14003197,452
2021,"Region_7","Shrimps, prawns",6416460.6,24279,587.304130022236,264.280266897319,600097132.36,3511
2021,"Region_7",NA,6304854.45,2619,5062.37008971593,2407.3518327606,49178481,1038
2021,"Region_8","Cephalopods",359627.65,4014,182.724221366944,89.5933358246139,11679279,520
2021,"Region_8","Crustaceans",13243379,23326,690.991651325602,567.7518220012,376101115.06,8099
2021,"Region_8","Demersal marine fishes",12331911.73,207612,161.700346942202,59.3988388436121,341393778.99,22620
2021,"Region_8","Diadromous fishes",413722,1018,478.286422136422,406.406679764244,4240792,370
2021,"Region_8","Marine fishes NEI",942358.25,12082,230.991609565698,77.9968755172985,19338655.5,1424
2021,"Region_8","Molluscs excl. Cephalopods",3502455,7808,880.707491128735,448.572617827869,51631311.53,1948
2021,"Region_8","Pelagic marine fishes",157637755.27,45632,7998.91454949658,3454.54407586781,1019813963.58,4843
2021,"Region_8","Sharks",7684575.4,20821,784.878815296248,369.078113443158,124436871.24,2845
2021,"Region_8","Shrimps, prawns",19477350.37,92846,1066.32415033761,209.781254658251,1656412229.8,9023
2021,"Region_8",NA,8346055.83,6147,4677.08807821844,1357.74456320156,31603695,587
2021,"Region_9","Cephalopods",2630,149,17.4414516129032,17.6510067114094,288800,5
2021,"Region_9","Crustaceans",105333,751,631.552065239784,140.256990679095,1098391,150
2021,"Region_9","Demersal marine fishes",5366667.25,87732,130.394138120331,61.171149067615,164344310,15827
2021,"Region_9","Diadromous fishes",6768,59,146.662190082645,114.71186440678,182750,11
2021,"Region_9","Marine fishes NEI",895834.3,14278,127.218166169474,62.7422818321894,15490935,2435
2021,"Region_9","Molluscs excl. Cephalopods",543150,695,1106.48941481685,781.510791366906,9232247,261
2021,"Region_9","Pelagic marine fishes",1338706.95,17367,148.042001455492,77.0833736396614,66464167,3213
2021,"Region_9","Sharks",998360.1,9836,147.064160166629,101.500620170801,22109731,1818
2021,"Region_9","Shrimps, prawns",1490190.4,3487,915.883134643329,427.356008029825,83188438,907
2021,"Region_9",NA,263004.3,7465,72.3131172545273,35.23165438714,5918931,731
2022,"Region_1","Cephalopods",1050.9,19,83.6222222222222,55.3105263157895,117745,9
2022,"Region_1","Crustaceans",33733,139,248.185534591195,242.68345323741,7006075,53
2022,"Region_1","Demersal marine fishes",6143392,2477,3101.80052658647,2480.1744045216,86409715,771
2022,"Region_1","Marine algae",430920.4,171,2912.92205882353,2520.00233918129,1418014,68
2022,"Region_1","Marine fishes NEI",2720,21,131.666666666667,129.52380952381,65360,6
2022,"Region_1","Molluscs excl. Cephalopods",1589557.06,958,1706.2267457749,1659.24536534447,61310514.68,927
2022,"Region_1","Other marine invertebrates",2016,14,152.192307692308,144,262200,13
2022,"Region_1","Pelagic marine fishes",1044795.5,268,5941.58278533636,3898.49067164179,28571292,126
2022,"Region_1","Sharks",49797.1,337,224.210390559733,147.76587537092,994392,114
2022,"Region_1","Shrimps, prawns",767348.6,551,1390.84341637011,1392.64718693285,148740643.96,281
2022,"Region_1",NA,34520,146,258.508771929825,236.438356164384,523840,57
2022,"Region_1_2_Baja_TBD","Demersal marine fishes",550906.8,310,1653.58691588785,1777.11870967742,7568127,107
2022,"Region_1_2_Baja_TBD","Marine fishes NEI",3002,11,198.25,272.909090909091,85110,4
2022,"Region_1_2_Baja_TBD","Molluscs excl. Cephalopods",8790,6,1465,1465,199800,6
2022,"Region_1_2_Baja_TBD","Pelagic marine fishes",2438,41,58.6309523809524,59.4634146341463,91503,14
2022,"Region_1_2_Baja_TBD",NA,617,36,16.6923076923077,17.1388888888889,38869,13
2022,"Region_2","Cephalopods",176228,1309,182.012506788838,134.627960275019,12872842,381
2022,"Region_2","Crustaceans",19362,187,116.210888888889,103.540106951872,2404405,75
2022,"Region_2","Demersal marine fishes",2787445,10861,342.469570771997,256.647177976245,73759578.5,3536
2022,"Region_2","Marine algae",15400,6,2566.66666666667,2566.66666666667,39900,2
