"","Year","OHI_Region","weighted_CPUE_acrossAllGroups"
"1",2014,"Region_1",0.917196
"2",2014,"Region_1_2_Baja_TBD",0.9674408
"3",2014,"Region_2",0.8954448
"4",2014,"Region_3",0.9572091
"5",2014,"Region_4",0.9850934
"6",2014,"Region_4_5_6_Sonora_TBD",0.496357
"7",2014,"Region_5",0.9000226
"8",2014,"Region_6",0.9896986
"9",2014,"Region_7",0.6111382
"10",2014,"Region_8",0.6938229
"11",2014,"Region_9",0.7494845
"12",2015,"Region_1",0.9460278
"13",2015,"Region_1_2_Baja_TBD",0.9011916
"14",2015,"Region_2",0.721876
"15",2015,"Region_3",0.7597195
"16",2015,"Region_3_4_BCS_TBD",0.281907
"17",2015,"Region_4",0.944743
"18",2015,"Region_4_5_6_Sonora_TBD",0.3667038
"19",2015,"Region_5",0.8634569
"20",2015,"Region_6",0.8170854
"21",2015,"Region_7",0.4401385
"22",2015,"Region_8",0.5193562
"23",2015,"Region_9",0.8657808
"24",2016,"Region_1",0.8804853
"25",2016,"Region_1_2_Baja_TBD",0.983478
"26",2016,"Region_2",0.9332903
"27",2016,"Region_3",0.8324796
"28",2016,"Region_3_4_BCS_TBD",0.1014773
"29",2016,"Region_4",0.9504722
"30",2016,"Region_4_5_6_Sonora_TBD",0.4368455
"31",2016,"Region_5",0.7941211
"32",2016,"Region_6",0.849835
"33",2016,"Region_7",0.3884502
"34",2016,"Region_8",0.4771437
"35",2016,"Region_9",0.9719333
"36",2017,"Region_1",0.7356205
"37",2017,"Region_1_2_Baja_TBD",0.9696776
"38",2017,"Region_2",0.9695083
"39",2017,"Region_3",0.8421838
"40",2017,"Region_3_4_BCS_TBD",0.7033544
"41",2017,"Region_4",0.9674864
"42",2017,"Region_4_5_6_Sonora_TBD",0.8259664
"43",2017,"Region_5",0.9070181
"44",2017,"Region_6",0.827514
"45",2017,"Region_7",0.511745
"46",2017,"Region_8",0.5477385
"47",2017,"Region_9",0.9652782
"48",2018,"Region_1",0.7496142
"49",2018,"Region_1_2_Baja_TBD",0.9950515
"50",2018,"Region_2",0.9809473
"51",2018,"Region_3",0.9241307
"52",2018,"Region_3_4_BCS_TBD",0.8599296
"53",2018,"Region_4",0.95766
"54",2018,"Region_4_5_6_Sonora_TBD",0.9635553
"55",2018,"Region_5",0.945319
"56",2018,"Region_6",0.8217714
"57",2018,"Region_7",0.5338562
"58",2018,"Region_8",0.6053591
"59",2018,"Region_9",0.935343
"60",2019,"Region_1",0.8570409
"61",2019,"Region_1_2_Baja_TBD",0.9952947
"62",2019,"Region_2",0.9733948
"63",2019,"Region_3",0.7519702
"64",2019,"Region_3_4_BCS_TBD",0.006
"65",2019,"Region_4",0.9716562
"66",2019,"Region_4_5_6_Sonora_TBD",0.605988
"67",2019,"Region_5",0.9320052
"68",2019,"Region_6",0.8891045
"69",2019,"Region_7",0.762336
"70",2019,"Region_8",0.5508105
"71",2019,"Region_9",0.9393506
"72",2020,"Region_1",0.9844083
"73",2020,"Region_1_2_Baja_TBD",0.839828
"74",2020,"Region_2",0.9622225
"75",2020,"Region_3",0.7579616
"76",2020,"Region_3_4_BCS_TBD",0.9967429
"77",2020,"Region_4",0.9755409
"78",2020,"Region_4_5_6_Sonora_TBD",0.751555
"79",2020,"Region_5",0.9563944
"80",2020,"Region_6",0.828068
"81",2020,"Region_7",0.958456
"82",2020,"Region_8",0.677564
"83",2020,"Region_9",0.840692
"84",2021,"Region_1",0.9995258
"85",2021,"Region_1_2_Baja_TBD",0.8168446
"86",2021,"Region_2",0.9502687
"87",2021,"Region_3",0.6875065
"88",2021,"Region_3_4_BCS_TBD",0.863722
"89",2021,"Region_4",0.972553
"90",2021,"Region_4_5_6_Sonora_TBD",0.7840239
"91",2021,"Region_5",0.6846998
"92",2021,"Region_6",0.7864009
"93",2021,"Region_7",0.9898658
"94",2021,"Region_8",0.7193607
"95",2021,"Region_9",0.7637706
"96",2022,"Region_1",0.9992968
"97",2022,"Region_1_2_Baja_TBD",0.9912826
"98",2022,"Region_2",0.9677506
"99",2022,"Region_3",0.7349368
"100",2022,"Region_3_4_BCS_TBD",1
"101",2022,"Region_4",0.9914004
"102",2022,"Region_4_5_6_Sonora_TBD",0.684762
"103",2022,"Region_5",0.8262122
"104",2022,"Region_6",0.8211644
"105",2022,"Region_7",0.9910381
"106",2022,"Region_8",0.6759424
"107",2022,"Region_9",0.6623815
"108",2023,"Region_1",0.9992212
"109",2023,"Region_1_2_Baja_TBD",0.9997796
"110",2023,"Region_2",0.9671129
"111",2023,"Region_3",0.7789735
"112",2023,"Region_3_4_BCS_TBD",0.5660322
"113",2023,"Region_4",0.9742203
"114",2023,"Region_4_5_6_Sonora_TBD",0.775864
"115",2023,"Region_5",0.9583495
"116",2023,"Region_6",0.7893824
"117",2023,"Region_7",0.9960738
"118",2023,"Region_8",0.8586711
"119",2023,"Region_9",0.673489
"120",2024,"Region_1",0.9996874
"121",2024,"Region_1_2_Baja_TBD",0.7309909
"122",2024,"Region_2",0.9810499
"123",2024,"Region_3",0.790957
"124",2024,"Region_3_4_BCS_TBD",0.5603617
"125",2024,"Region_4",0.9708877
"126",2024,"Region_4_5_6_Sonora_TBD",0.6593563
"127",2024,"Region_5",0.8058836
"128",2024,"Region_6",0.8252936
"129",2024,"Region_7",0.772357
"130",2024,"Region_8",0.8530105
"131",2024,"Region_9",0.6784675
