"OHI_region_est","year","GeoMean_StockStatus","StockStatus_SubScore"
"region_1",2000,0.887537717227042,88.7537717227042
"region_1",2003,0.905897117116102,90.5897117116102
"region_1",2004,0.929504543161308,92.9504543161308
"region_1",2005,0.952934983252581,95.2934983252581
"region_1",2006,0.973539378966973,97.3539378966973
"region_1",2007,0.980519069013963,98.0519069013964
"region_1",2008,0.981670157163906,98.1670157163906
"region_1",2009,0.985472400438714,98.5472400438714
"region_1",2010,0.989388974049547,98.9388974049547
"region_1",2011,0.989396266992883,98.9396266992883
"region_1",2012,0.99027855828352,99.027855828352
"region_1",2013,0.990433196598965,99.0433196598965
"region_1",2014,0.992435036069485,99.2435036069486
"region_1",2015,0.989740254618733,98.9740254618734
"region_1",2016,0.990262364978246,99.0262364978246
"region_1",2017,0.988487814710353,98.8487814710353
"region_1",2018,0.990046072997678,99.0046072997678
"region_1",2019,0.987455352570227,98.7455352570227
"region_1",2020,0.983777213317065,98.3777213317065
"region_1",2021,0.816068328273876,81.6068328273876
"region_1",2022,0.629200546939025,62.9200546939025
"region_1",2023,0.570302038771914,57.0302038771914
"region_1",2024,0.509659650515643,50.9659650515643
"region_1",2025,1,100
"region_2",2000,1,100
"region_2",2001,0.803675397523744,80.3675397523744
"region_2",2004,0.766154463198187,76.6154463198187
"region_2",2005,0.79602635911153,79.602635911153
"region_2",2006,0.827464158481322,82.7464158481322
"region_2",2007,0.847072111985242,84.7072111985242
"region_2",2008,0.86668605074138,86.668605074138
"region_2",2009,0.882813997397951,88.2813997397951
"region_2",2010,0.888706340089316,88.8706340089316
"region_2",2011,0.89351254129038,89.351254129038
"region_2",2012,0.897077547431082,89.7077547431082
"region_2",2013,0.899959547939605,89.9959547939605
"region_2",2014,0.909599833315058,90.9599833315058
"region_2",2015,0.919502401247066,91.9502401247066
"region_2",2016,0.924769404819175,92.4769404819175
"region_2",2017,0.926970350531332,92.6970350531332
"region_2",2018,0.908825129050561,90.8825129050561
"region_2",2019,0.875047849309298,87.5047849309298
"region_2",2020,0.951503691957626,95.1503691957626
"region_2",2021,0.929583236974501,92.9583236974501
"region_2",2022,0.921352035721283,92.1352035721283
"region_2",2023,0.879773283537502,87.9773283537502
"region_2",2024,0.803965072300252,80.3965072300252
"region_2",2025,1,100
"region_3",2000,0.619369945132125,61.9369945132125
"region_3",2001,0.582274390223773,58.2274390223773
"region_3",2002,0.593233076546889,59.3233076546889
"region_3",2003,0.606335136291219,60.6335136291219
"region_3",2004,0.616365151756521,61.6365151756521
"region_3",2005,0.622944128229363,62.2944128229363
"region_3",2006,0.631613635804965,63.1613635804965
"region_3",2007,0.689513917460352,68.9513917460352
"region_3",2008,0.668172030125366,66.8172030125366
"region_3",2009,0.690013158869532,69.0013158869532
"region_3",2010,0.710328489263241,71.0328489263241
"region_3",2011,0.763716159538972,76.3716159538972
"region_3",2012,0.776268354396174,77.6268354396174
"region_3",2013,0.761464925434667,76.1464925434667
"region_3",2014,0.778425066024153,77.8425066024153
"region_3",2015,0.795194943813904,79.5194943813904
"region_3",2016,0.766859582010236,76.6859582010236
"region_3",2017,0.81708549581251,81.708549581251
"region_3",2018,0.865313865617924,86.5313865617924
"region_3",2019,0.90613272925687,90.613272925687
"region_3",2020,0.854587045089592,85.4587045089592
"region_3",2021,0.875617634738167,87.5617634738167
"region_3",2022,0.742156068388397,74.2156068388397
"region_3",2023,0.614386528904312,61.4386528904312
"region_3",2024,0.558109485167208,55.8109485167208
"region_3",2025,1,100
"region_4",2000,0.59334329729026,59.334329729026
"region_4",2001,0.603123038794421,60.3123038794421
"region_4",2002,0.621217945975831,62.1217945975831
"region_4",2003,0.565331084703108,56.5331084703108
"region_4",2004,0.633458636427836,63.3458636427836
"region_4",2005,0.581324509893537,58.1324509893537
"region_4",2006,0.58856714288039,58.856714288039
"region_4",2007,0.597892342007872,59.7892342007872
"region_4",2008,0.610775576533092,61.0775576533092
"region_4",2009,0.626633011845306,62.6633011845306
"region_4",2010,0.642774364092379,64.2774364092379
"region_4",2011,0.661138694207136,66.1138694207136
"region_4",2012,0.681257291547586,68.1257291547586
"region_4",2013,0.704450467394236,70.4450467394236
"region_4",2014,0.726980367973498,72.6980367973498
"region_4",2015,0.749991794627814,74.9991794627814
"region_4",2016,0.770200391300935,77.0200391300935
"region_4",2017,0.784866614344753,78.4866614344753
"region_4",2018,0.904321046904323,90.4321046904323
"region_4",2019,0.923902131885401,92.3902131885401
"region_4",2020,0.897304292859335,89.7304292859335
"region_4",2021,0.885419294762421,88.5419294762421
"region_4",2022,0.833522023802304,83.3522023802304
"region_4",2023,0.787223111963701,78.7223111963701
"region_4",2024,0.750387340305662,75.0387340305662
"region_4",2025,1,100
"region_5",2000,0.942653906715877,94.2653906715877
"region_5",2001,0.964602121774746,96.4602121774746
"region_5",2002,0.969466635961674,96.9466635961674
"region_5",2003,0.959742581586623,95.9742581586623
"region_5",2004,0.930606921789896,93.0606921789896
"region_5",2005,0.937551906593981,93.7551906593981
"region_5",2006,0.944285407719897,94.4285407719897
"region_5",2007,0.948753721957758,94.8753721957758
"region_5",2008,0.953215008169455,95.3215008169455
"region_5",2009,0.958431866945958,95.8431866945957
"region_5",2010,0.990388711635468,99.0388711635468
"region_5",2011,0.965010229821489,96.5010229821489
"region_5",2012,0.993678282113151,99.3678282113151
"region_5",2013,0.995679640097715,99.5679640097715
"region_5",2014,0.996618599492725,99.6618599492725
"region_5",2015,0.964280116875072,96.4280116875072
"region_5",2016,0.966172265989214,96.6172265989214
"region_5",2017,0.967549549674453,96.7549549674453
"region_5",2018,0.830568180644588,83.0568180644588
"region_5",2019,0.979017880296882,97.9017880296882
"region_5",2020,0.97811769662009,97.811769662009
"region_5",2021,0.749947433440428,74.9947433440428
"region_5",2022,0.781895293750795,78.1895293750795
"region_5",2023,0.813949760783322,81.3949760783322
"region_5",2024,0.783229776090355,78.3229776090355
"region_5",2025,1,100
"region_6",2000,0.724815466847227,72.4815466847227
"region_6",2001,0.728813015228748,72.8813015228748
"region_6",2002,0.752176112556955,75.2176112556955
"region_6",2003,0.743933284461567,74.3933284461567
"region_6",2004,0.751453568765376,75.1453568765376
"region_6",2005,0.77031276940382,77.031276940382
"region_6",2006,0.779644593802153,77.9644593802153
"region_6",2007,0.786824203822689,78.6824203822689
"region_6",2008,0.784259010924347,78.4259010924347
"region_6",2009,0.795119912202126,79.5119912202126
"region_6",2010,0.814517831893763,81.4517831893763
"region_6",2011,0.811171004046104,81.1171004046104
"region_6",2012,0.827799031264877,82.7799031264877
"region_6",2013,0.840243030837061,84.0243030837061
"region_6",2014,0.841419892770826,84.1419892770826
"region_6",2015,0.849319489393667,84.9319489393666
"region_6",2016,0.872156131045855,87.2156131045855
"region_6",2017,0.880898024578237,88.0898024578237
"region_6",2018,0.935008980981792,93.5008980981792
"region_6",2019,0.927501140233111,92.7501140233111
"region_6",2020,0.88766848737393,88.766848737393
"region_6",2021,0.873301397218716,87.3301397218716
"region_6",2022,0.880067024417488,88.0067024417488
"region_6",2023,0.876004324654442,87.6004324654442
"region_6",2024,0.844879048795295,84.4879048795295
"region_6",2025,1,100
"region_7",2000,0.988636025717175,98.8636025717175
"region_7",2001,0.992925941641951,99.2925941641951
"region_7",2002,0.995041768636325,99.5041768636325
"region_7",2003,0.995520732347666,99.5520732347667
"region_7",2004,0.996015338422697,99.6015338422697
"region_7",2005,0.996570289417475,99.6570289417475
"region_7",2006,0.997051685550827,99.7051685550827
"region_7",2007,0.99725312381101,99.725312381101
"region_7",2008,0.995921414166371,99.5921414166371
"region_7",2009,0.996270067146029,99.6270067146029
"region_7",2010,0.996281102841538,99.6281102841538
"region_7",2011,0.996624238252449,99.6624238252449
