"year","Major_Functional_Group","estimated_genus_name","estimated_family_name","OHI_region_est","total_weight_mt","total_value_peso","Stock_Status_RAM","Stock_Status_Carta","Stock_Status_CMSY","Carta_provenance","RAM_provenance","Stock_Status_RAM_capped","Stock_Status_Carta_capped","Stock_Status_CMSY_capped","StockStatus_final","StockStatus_source","StockStatus_est.level"
2000,"Sharks","galeocerdo","Carcharhinidae","region_3",0.108,486,NA,NA,0.316817966707402,NA,NA,NA,NA,0.316817966707402,0.316817966707402,"CMSY","genus level"
2000,NA,"gelidium",NA,"region_3",61.089,67608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","haemulon","Haemulidae","region_3",1.2847,4976,NA,NA,0.28037471512183,NA,NA,NA,NA,0.28037471512183,0.28037471512183,"CMSY","genus level"
2000,"Demersal marine fishes","haemulopsis","Haemulidae","region_3",1.2199,2684,NA,NA,0.241747843379106,NA,NA,NA,NA,0.241747843379106,0.241747843379106,"CMSY","genus level"
2000,"Demersal marine fishes","hoplopagrus","Lutjanidae","region_3",7.1929,84916,NA,NA,0.396555765959381,NA,NA,NA,NA,0.396555765959381,0.396555765959381,"CMSY","genus level"
2000,"Demersal marine fishes","hypanus","Dasyatidae","region_3",27.5628,82393,NA,NA,1.50207408977457,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Demersal marine fishes","hyporthodus","Serranidae","region_3",4.0556,95124,NA,NA,0.241225531793201,NA,NA,NA,NA,0.241225531793201,0.241225531793201,"CMSY","genus level"
2000,"Demersal marine fishes","lutjanus","Lutjanidae","region_3",153.34455,2781630,NA,NA,0.276158335888432,NA,NA,NA,NA,0.276158335888432,0.276158335888432,"CMSY","genus level"
2000,"Molluscs excl. Cephalopods","megapitaria","Veneridae","region_3",3.88,7760,NA,NA,0.411926452097098,NA,NA,NA,NA,0.411926452097098,0.411926452097098,"CMSY","genus level"
2000,"Demersal marine fishes","menticirrhus","Sciaenidae","region_3",90.8457,433580,NA,NA,0.606834971698258,NA,NA,NA,NA,0.606834971698258,0.606834971698258,"CMSY","genus level"
2000,"Demersal marine fishes","microlepidotus","Haemulidae","region_3",0.06,120,NA,NA,0.237166913192474,NA,NA,NA,NA,0.237166913192474,0.237166913192474,"CMSY","genus level"
2000,"Demersal marine fishes","micropogonias","Sciaenidae","region_3",3.105,12368,NA,NA,0.599417163670138,NA,NA,NA,NA,0.599417163670138,0.599417163670138,"CMSY","genus level"
2000,"Demersal marine fishes","mobula","Myliobatidae","region_3",17.916,102909,NA,NA,1.65746946072802,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Demersal marine fishes","mugil","Mugilidae","region_3",7.088,34720,NA,NA,0.475338536786613,NA,NA,NA,NA,0.475338536786613,0.475338536786613,"CMSY","genus level"
2000,"Demersal marine fishes","mycteroperca","Serranidae","region_3",68.0393,1275282,NA,NA,0.246310066408436,NA,NA,NA,NA,0.246310066408436,0.246310066408436,"CMSY","genus level"
2000,NA,"nei",NA,"region_3",563.8142,4725362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","orthopristis","Haemulidae","region_3",2.622,8871,NA,NA,0.242145868790363,NA,NA,NA,NA,0.242145868790363,0.242145868790363,"CMSY","genus level"
2000,"Crustaceans","panulirus","Palinuridae","region_3",11.139,1257860,NA,NA,0.956767399847687,NA,NA,NA,NA,0.956767399847687,0.956767399847687,"CMSY","genus level"
2000,"Demersal marine fishes","paralabrax","Serranidae","region_3",778.3522,3027653,NA,NA,0.279573678369408,NA,NA,NA,NA,0.279573678369408,0.279573678369408,"CMSY","genus level"
2000,NA,"pinna",NA,"region_3",0.462,41580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","pseudobatos","Rhinobatidae","region_3",21.22995,109860,NA,NA,1.67669372944218,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Pelagic marine fish (excl. anchovy & sardine)","sarda","Carangidae","region_3",1.93765,10329,NA,NA,1.29704902266935,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Pelagic marine fish (excl. anchovy & sardine)","scomberomorus","Scombridae","region_3",61.1638,302466,NA,NA,0.518978713467516,NA,NA,NA,NA,0.518978713467516,0.518978713467516,"CMSY","genus level"
2000,"Demersal marine fishes","scorpaena","Scorpaenidae","region_3",0.5879,4268,NA,NA,1.7763135740273,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Pelagic marine fish (excl. anchovy & sardine)","seriola","Carangidae","region_3",251.314,2361959,NA,NA,0.40210753919861,NA,NA,NA,NA,0.40210753919861,0.40210753919861,"CMSY","genus level"
2000,"Demersal marine fishes","sphoeroides","Tetraodontidae","region_3",1.96765,19564,NA,NA,1.50001448857351,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Sharks","sphyrna","Sphyrnidae","region_3",0.29365,1355,NA,NA,0.40589086525452,NA,NA,NA,NA,0.40589086525452,0.40589086525452,"CMSY","genus level"
2000,"Sharks","squatina","Squatinidae","region_3",27.9549,230017,NA,NA,1.52686066659806,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"stereolepis",NA,"region_3",0.0143,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Pelagic marine fish (excl. anchovy & sardine)","trachinotus","Carangidae","region_3",19.3423,66058,NA,NA,0.433601338833573,NA,NA,NA,NA,0.433601338833573,0.433601338833573,"CMSY","genus level"
2000,NA,"unknown",NA,"region_3",107.841,2235920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,"region_3",27900.9206,21845906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","aetobatus","Myliobatidae","region_4",0.199,1076,NA,NA,1.50135785985428,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"anguilla",NA,"region_4",0.003,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","anisotremus","Haemulidae","region_4",20.936,99360,NA,NA,0.238088206688484,NA,NA,NA,NA,0.238088206688484,0.238088206688484,"CMSY","genus level"
