"recorded_taxa_group","common_name_clean","estimated_species_name.x","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","estimated_taxa_group","estimated_species_name.y","Manual_Classification_Notes","ornamentalFLAG_1","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group"
"OTRAS","topote del pac√≠fico","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Likely freshwater","NO",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","callo media luna","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Some sort of scallop or oyster, check with experts if ornamental","POSSIBLY",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","callo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA,NA,NA,NA,NA
"OTRAS","marlin blanco","Tetrapturus albidus","high confidence","match to Hem's key","Tetrapturus","genus derived from known species",NA,"Tetrapturus albidus","White marlin","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","jordan","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","My gut tells me sort of fish","NO",NA,"Marine fishes NEI","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","mataperro","Sphoeriodes testudinaeus","high confidence","match to Hem's key","Sphoeriodes","genus derived from known species",NA,"Sphoeriodes testudinaeus","Checkered puffer","POSSIBLY",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","roca se","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is… a shellfish perhaps?",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","pez globo","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"unknown","Arothron according to Hem's key","POSSIBLY",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","loro jabonero","Nicholsina usta","high confidence","match to Hem's key","Nicholsina","genus derived from known species",NA,"Nicholsina usta","Emerald parrotfish","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","balao","Hemiramphus balao","high confidence","match to Hem's key","Hemiramphus","genus derived from known species",NA,"Hemiramphus balao¬†","Balao halfbeak","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","naca","Dormitator maculatus","high confidence","match to Hem's key","Dormitator","genus derived from known species",NA,"Dormitator maculatus","Fat sleeper, cute freshwater fish","POSSIBLY",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","mejillon california","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA,NA,NA,NA,NA
"PECES DE ORNATO","molly","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","freshwater molly","YES",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","cangrejo ara√±a","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Spider crab","NO",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","callo hacha largo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","https://www.fondazioneslowfood.com/en/ark-of-taste-slow-food/callo-de-hacha/","POSSIBLY",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","lagarto","Synodus foetens","high confidence","match to Hem's key","Synodus","genus derived from known species",NA,"Synodus foetens","Inshore lizardfish","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"FAUNA","fauna acompaÔøΩamiento","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Generic category; cannot assign species or genus.","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","medusa bola caÔøΩon","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"Stomolophus meleagris","Jellyfish!","NO",NA,"Jellies","Assigned_Manually: OTRAS treated differently than other major groups"
"ORNATO","especies ornato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Generic ornamental category; cannot assign species or genus.","YES",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","cangrejo ermitaÔøΩo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Hermit crab","POSSIBLY",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","mejillon mediterraneo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA,NA,NA,NA,NA
"OTRAS","botete diana","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Pufferfish?","POSSIBLY",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"ORNATO","tetra rojo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Red tetra; freshwater; likely ornamental","YES",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","topote","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Mollies; freshwater; likely ornamental","POSSIBLY",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"ORNATO","peces ornato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Generic ornamental fish category; cannot assign species or genus.","YES",NA,"Marine fishes NEI","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","mejillon encorvado","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA,NA,NA,NA,NA
"ORNATO","barbo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Some sort of fish","NO",NA,"Marine fishes NEI","Assigned_Manually: OTRAS treated differently than other major groups"
"ORNATO","pez payaso ornato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Clownfish, ornamental","YES",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","cangrejo moro manglar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"Ucides cordatus","Mangrove crab; ask experts if ornamental use","POSSIBLY",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups"
"ORNATO","estrella limpiadora","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"Luidia alternata","Sea stars; likely ornamental harvest","YES",NA,"Echinoderms","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","cangrejo moteado roca","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Rock crab; ask experts if ornamental use","POSSIBLY",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","cangrejo rojo roca","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"Grapsus grapsus","Red rock crab; ask experts if ornamental use","POSSIBLY",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups"
