recorded_taxa_group,common_name_clean,estimated_species_name,species_est_certainty,species_est_reasoning,estimated_genus_name,genus_est_reasoning,IHH_functional_major_groups_sm,Major_Functional_Group,ornamentalFLAG_1,Manual_Classification_Notes
OTRAS,corvinato,unknown,not applicable,no data in keys,NA,manual entry,NA,Demersal marine fishes,NO,Assuming corvina type fish
OTRAS,nacar,unknown,not applicable,no data in keys,NA,manual entry,NA,Molluscs excl. Cephalopods,YES,"Mother of pearl, possibly oyster"
OTRAS,topote del pac√≠fico,unknown,not applicable,no data in keys,NA,manual entry,NA,Freshwater fishes,NO,Likely freshwater
OTRAS,callo media luna,unknown,not applicable,no data in keys,NA,manual entry,NA,Molluscs excl. Cephalopods,POSSIBLY,"Some sort of scallop or oyster, check with experts if ornamental"
OTRAS,nacar perlas cultivadas,Pinctada mazatlanica,High,no data in keys,Pinctada,manual entry,NA,Molluscs excl. Cephalopods,YES,Pearl oysters
OTRAS,nacar medias perlas cultivadas,Pinctada mazatlanica,High,no data in keys,Pinctada,manual entry,NA,Molluscs excl. Cephalopods,YES,Pearl oysters
OTRAS,nacar callo,unknown,not applicable,no data in keys,Atrina,manual entry,NA,Molluscs excl. Cephalopods,YES,I think this is suggesting nacar from Callo de Hacha
OTRAS,jordan,unknown,not applicable,no data in keys,NA,manual entry,NA,Marine fishes NEI,NO,My gut tells me sort of fish
OTRAS,roca se,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,NA,I don't know what this is… a shellfish perhaps?
OTRAS,pez globo,unknown,not applicable,conflicting matches in Hem's key and no data from IHH,Arothron,manual entry,NA,Demersal marine fishes,POSSIBLY,Arothron according to Hem's key
OTRAS,cangrejo ara√±a,unknown,not applicable,no data in keys,NA,manual entry,NA,Crustaceans,NO,Spider crab
OTRAS,callo hacha largo,unknown,not applicable,no data in keys,Atrina,manual entry,NA,Molluscs excl. Cephalopods,POSSIBLY,https://www.fondazioneslowfood.com/en/ark-of-taste-slow-food/callo-de-hacha/
FAUNA,fauna acompaÔøΩamiento,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,NO,Generic category; cannot assign species or genus.
OTRAS,medusa bola caÔøΩon,Stomolophus meleagris,High,no data in keys,Stomolophus,manual entry,NA,Jellies,NO,Jellyfish!
ORNATO,especies ornato,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,YES,Generic ornamental category; cannot assign species or genus.
OTRAS,cangrejo ermitaÔøΩo,unknown,not applicable,no data in keys,Pagurus,manual entry,NA,Crustaceans,POSSIBLY,Hermit crab
OTRAS,botete diana,unknown,not applicable,no data in keys,NA,manual entry,NA,Demersal marine fishes,POSSIBLY,Pufferfish?
ORNATO,tetra rojo,unknown,not applicable,no data in keys,NA,manual entry,NA,Freshwater fishes,YES,Red tetra; freshwater; likely ornamental
OTRAS,topote,unknown,not applicable,no data in keys,NA,manual entry,NA,Freshwater fishes,POSSIBLY,Mollies; freshwater; likely ornamental
ORNATO,peces ornato,unknown,not applicable,no data in keys,NA,manual entry,NA,Marine fishes NEI,YES,Generic ornamental fish category; cannot assign species or genus.
ORNATO,barbo,unknown,not applicable,no data in keys,NA,manual entry,NA,Marine fishes NEI,NO,Some sort of fish
ORNATO,pez payaso ornato,unknown,not applicable,no data in keys,Amphiprion,manual entry,NA,Demersal marine fishes,YES,"Clownfish, ornamental"
OTRAS,cangrejo moro manglar,Ucides cordatus,High,no data in keys,Ucides,manual entry,NA,Crustaceans,POSSIBLY,Mangrove crab; ask experts if ornamental use
ORNATO,estrella limpiadora,Luidia alternata,Medium,no data in keys,Luidia,manual entry,NA,Echinoderm,YES,Sea stars; likely ornamental harvest
OTRAS,cangrejo moteado roca,unknown,not applicable,no data in keys,NA,manual entry,NA,Crustaceans,POSSIBLY,Rock crab; ask experts if ornamental use
OTRAS,cangrejo rojo roca,Grapsus grapsus,High,no data in keys,Grapsus,manual entry,NA,Crustaceans,POSSIBLY,Red rock crab; ask experts if ornamental use
