"recorded_taxa_group","estimated_taxa_group","common_name_clean","estimated_species_name","estimated_genus_name","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group","Manual_Classification_Notes","species_est_certainty","species_est_reasoning","genus_est_reasoning","ornamentalFLAG_1"
"BERRUGATA","BERRUGATA",NA,NA,"Micropogonias","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"BAQUETA","MERO",NA,NA,"Hyporthodus","Demersal marine fishes","Demersal marine fishes","Manual patch, come back to assign BAQUETA with an earlier manual key later on.",NA,NA,NA,NA,NA
"GUACHINANGO","GUACHINANGO",NA,NA,"Lutjanus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"NEI","Demersal marine fishes","Marine or freshwater fishes NEI","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA",NA,NA,NA,NA,"Molluscs excl. Cephalopods","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Carcharhinus","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"OSTION","OSTION",NA,NA,NA,NA,"Molluscs excl. Cephalopods","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"PARGO","GUACHINANGO",NA,NA,"Lutjanus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"PARGO","PARGO",NA,NA,"Hoplopagrus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"LENGUADO","LENGUADO",NA,NA,"Brotula","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"RONCO","RONCO",NA,NA,"Haemulopsis","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"MERO","MERO",NA,NA,"Epinephelus","Marine fishes NEI","Demersal marine fishes","Assigned_Step_3: forced genus-level consistency; if genus is equal then assume Major_Functional_Group is equal too.",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Eucinostomus argenteus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Calamus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"BERRUGATA","BERRUGATA",NA,NA,"Menticirrhus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"JUREL","ESMEDREGAL",NA,NA,"Seriola","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"JUREL","JUREL",NA,NA,"NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CABRILLA","CABRILLA",NA,NA,"Paralabrax","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ERIZO","ERIZO",NA,NA,"NEI","Miscellaneous aquatic animals","Echinoderms","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"CAMARON","CAMARON",NA,NA,"NEI","Shrimps, prawns","Shrimps, prawns","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CAMARON","CAMARON",NA,NA,"Rimapenaeus","Shrimps, prawns","Shrimps, prawns","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
