"recorded_taxa_group","estimated_taxa_group","common_name_clean","estimated_species_name","estimated_genus_name","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group","Manual_Classification_Notes","species_est_certainty","species_est_reasoning","genus_est_reasoning","ornamentalFLAG_1"
"LANGOSTINO","LANGOSTINO",NA,NA,"NEI","Shrimps, prawns","Shrimps, prawns","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"PETO","PETO",NA,NA,"Acanthocybium",NA,"Demersal marine fishes",NA,NA,NA,NA,NA,NA
"PAMPANO","PAMPANO",NA,NA,NA,NA,"Pelagic marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Triakis",NA,"Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"RUBIO","RUBIO",NA,NA,"Haemulon","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"PULPO","PULPO",NA,NA,"Octopus","Cephalopods","Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CAMARON","CAMARON",NA,NA,"Rimapenaeus",NA,"Shrimps, prawns","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"RUBIA Y VILLAJAIBA","GUACHINANGO",NA,NA,"Lutjanus",NA,"Demersal marine fishes","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"TIBURON","CAZON",NA,NA,"Rhizoprionodon","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"CARPA","CARPA",NA,NA,"Cyprinus",NA,"Freshwater fishes","Assigned_Step_3: forced genus-level consistency; if genus is equal then assume Major_Functional_Group is equal too.",NA,NA,NA,NA,NA
"BARRILETE","BARRILETE",NA,NA,"Euthynnus","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Carcharhinus",NA,"Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"SARDINA","SARDINA",NA,NA,"Harengula",NA,"Pelagic marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"CAZON","TIBURON",NA,NA,"Negaprion","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"RONCO","GUACHINANGO",NA,NA,"Lutjanus",NA,"Demersal marine fishes","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"BANDERA","BANDERA",NA,NA,"Bagre",NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"CORVINA","CORVINA",NA,NA,"Larimus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"RUBIO","RUBIO",NA,NA,"Haemulon",NA,"Demersal marine fishes","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Isurus","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"CINTILLA","CINTILLA",NA,NA,"Trichiurus","Demersal marine fishes","Pelagic marine fishes","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Anisotremus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA",NA,NA,"Panopea","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CARPA","CARPA",NA,NA,"NEI","Marine fishes NEI","Marine or freshwater fishes NEI","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Petenia","Freshwater fishes","Freshwater fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"RONCO","RONCO",NA,NA,"Selene","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CARPA","CARPA",NA,NA,NA,NA,"Marine or freshwater fishes NEI","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"BESUGO","BESUGO",NA,NA,"NEI","Marine fishes NEI","Marine fishes NEI","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CAMARON","CAMARON",NA,NA,"Xiphopenaeus",NA,"Shrimps, prawns","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"JUREL","JUREL",NA,NA,"Decapterus","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA",NA,NA,"Amiantis",NA,"Molluscs excl. Cephalopods","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Nasolamia","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Diapterus",NA,"Demersal marine fishes","Assigned_Step_3: forced genus-level consistency; if genus is equal then assume Major_Functional_Group is equal too.",NA,NA,NA,NA,NA
"LISA","LISA",NA,NA,"Polydactylus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ROBALO","ROBALO",NA,NA,"NEI","Marine fishes NEI","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Vieja",NA,"Marine or freshwater fishes NEI","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"RUBIA Y VILLAJAIBA","RUBIA Y VILLAJAIBA",NA,NA,"Ocyurus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Negaprion",NA,"Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"ABULON","ABULON",NA,NA,"Haliotis",NA,"Molluscs excl. Cephalopods","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"CAMARON","CAMARON",NA,NA,"Metapenaeus",NA,"Shrimps, prawns","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Calamus",NA,"Demersal marine fishes","Assigned_Step_3: forced genus-level consistency; if genus is equal then assume Major_Functional_Group is equal too.",NA,NA,NA,NA,NA
"CARACOL","CARACOL",NA,NA,"Turbo","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CORVINA","CORVINA",NA,NA,"NEI","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ROBALO","ROBALO",NA,NA,"Morone",NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"MERO","MERO",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"CARACOL","CARACOL",NA,NA,"Triplofusus","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CARPA","CARPA",NA,NA,"Hypophthalmichthys",NA,"Marine or freshwater fishes NEI","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"MACARELA","MACARELA",NA,NA,NA,NA,"Pelagic marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"CARACOL","CARACOL",NA,NA,"Turbinella",NA,"Molluscs excl. Cephalopods","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Echinorhinus","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Ginglymostoma",NA,"Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"JAIBA","JAIBA",NA,NA,"Callinectes","Crustaceans","Crustaceans","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Gymnura","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Negaprion","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Rhinobatos",NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA",NA,NA,"Chione","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Rhinoptera",NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"BANDERA","BANDERA",NA,NA,"Dentex",NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"LENGUADO","LENGUADO",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"JUREL","JUREL",NA,NA,"Atherinopsis","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Eucinostomus gracilis","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"SARDINA","SARDINA",NA,NA,"Lagodon",NA,"Pelagic marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,NA,NA,"Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Galeorhinus","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"CALAMAR","CALAMAR",NA,NA,"Loligo",NA,"Cephalopods","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"JUREL","JUREL",NA,NA,"Decapterus",NA,"Pelagic marine fishes","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"ALGAS","ALGAS",NA,NA,"Eucheuma",NA,"Marine algae","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"PEPINO DE MAR","PEPINO DE MAR",NA,NA,NA,NA,"Echinoderms","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"CARPA","CARPA",NA,NA,"Carassius",NA,"Marine or freshwater fishes NEI","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"JAIBA","JAIBA",NA,NA,"Callinectes",NA,"Crustaceans","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"PARGO","PARGO",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"CARPA","CARPA",NA,NA,"Mylopharyngodon",NA,"Marine or freshwater fishes NEI","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"ANCHOVETA","ANCHOVETA",NA,NA,"Engraulis",NA,"Pelagic marine fishes","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"CAZON","CAZON",NA,NA,"Rhizoprionodon","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Carcahrhinus","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Sphyrna",NA,"Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"SARDINA","SARDINA",NA,NA,"Oligoplites",NA,"Pelagic marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"CHARAL","CHARAL",NA,NA,"Chirostoma","Marine fishes NEI","Marine fishes NEI","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Eucinostomus",NA,"Marine or freshwater fishes NEI","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"LENGUADO","LENGUADO",NA,NA,"Mulloidichthys",NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"LENGUADO","LENGUADO",NA,NA,"Citharichthys",NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"LISA","LISA",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"ROBALO","ROBALO",NA,NA,"Centropomus",NA,"Demersal marine fishes","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"CHARAL","CHARAL",NA,NA,NA,NA,"Marine fishes NEI","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"TRUCHA","TRUCHA",NA,NA,"Oncorhynchus",NA,"Marine or freshwater fishes NEI","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"CAMARON","CAMARON",NA,NA,"Litopenaeus",NA,"Shrimps, prawns","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"CAZON","CAZON",NA,NA,"Rhizorionodon",NA,"Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"ESMEDREGAL","ESMEDREGAL",NA,NA,"NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ATUN","ATUN",NA,NA,NA,NA,"Pelagic marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Alopias",NA,"Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"MACARELA","MACARELA",NA,NA,"Scomber",NA,"Pelagic marine fishes","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,NA,NA,"Marine or freshwater fishes NEI","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"CINTILLA","CINTILLA",NA,NA,NA,NA,"Pelagic marine fishes","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"CAZON","TIBURON",NA,NA,"Carcharhinus","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"LISA","LISA",NA,NA,"Mugil",NA,"Demersal marine fishes","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"ESMEDREGAL","ESMEDREGAL",NA,NA,NA,NA,"Pelagic marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"BONITO","BONITO",NA,NA,"Caranx","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"OSTION","OSTION",NA,NA,"Magallana",NA,"Molluscs excl. Cephalopods","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Sypyrna",NA,"Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA",NA,NA,"Chione",NA,"Molluscs excl. Cephalopods","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Sphyrna zygaena",NA,"Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"LENGUADO","LENGUADO",NA,NA,"Achirus",NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"JAIBA","JAIBA",NA,NA,NA,NA,"Crustaceans","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"BERRUGATA","BERRUGATA",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"LANGOSTA","LANGOSTA",NA,NA,NA,NA,"Crustaceans","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Dasyatis",NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"CORVINA","CORVINA",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"PULPO","PULPO",NA,NA,NA,NA,"Cephalopods","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Lepomis",NA,"Marine or freshwater fishes NEI","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"Urolophus",NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"OTRAS","OTRAS","cochi","Balistes polylepis","Balistes","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","botete","Sphoeroides andersonianus","Sphoeroides","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","payaso","Pseudobatos productus","Pseudobatos","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","burro","Haemulon maculicauda","Haemulon","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","conejo","Caulolatilus affinis","Caulolatilus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","bacoco","Anisotremus interruptus","Anisotremus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","paleta","Centropomus medius","Centropomus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","otras especies","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","picuda","NEI","NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","lapon","Scorpaena mystes","Scorpaena","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","vieja","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","pescado blanco","NEI","NEI","Marine fishes NEI","Marine fishes NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","rocote","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","chopa","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","extranjero","Paralabrax auroguttatus","Paralabrax","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","burrito","Orthopristis cantharinus","Orthopristis","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","cangrejo","NEI","NEI","Shrimps, prawns","Shrimps, prawns","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","chivato","Pseudupeneus grandisquamis","Pseudupeneus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","bacalao","Anoplopoma fimbria","Anoplopoma","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","perico","Coryphaena hippurus","Coryphaena","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","pez perro","Lutjanus novemfasciatus","Lutjanus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","cochino","Aluterus scriptus","Aluterus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","cabaicucho","Diplectrum pacificum","Diplectrum","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","sabalo","Chanos chanos","Chanos","Diadromous fishes","Diadromous fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","gallina","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","mejillon","NEI","NEI","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","pez espada","Xiphias Gladius","Xiphias","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"virtually certain","name was recorded in CONAPESCA","genus derived from known species",NA
"OTRAS","OTRAS","aguado","Opistognathus rhomaleus","Opistognathus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","bota","Balistes polylepis","Balistes","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","sarangola","Microlepidotus brevipinnis","Microlepidotus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","sandia","Paranthias colonus","Paranthias","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","pinta","Epinephelus analogus","Epinephelus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","lucero","Paralabrax loro","Paralabrax","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","ojoton","Caranx sexfasciatus","Caranx","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","chabelita","Selene peruviana","Selene","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","chula","Xenichthys xanti","Xenichthys","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","merluza","Merluccius productus","Merluccius","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
