"recorded_taxa_group","common_name_clean","estimated_species_name","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","IHH_functional_major_groups_sm","estimated_taxa_group","Major_Functional_Group"
"OTRAS","picua corsaria","Sphyraena barracuda","high confidence","match to Hem's key","Sphyraena","genus derived from known species",NA,NA,NA
"OTRAS","ripio","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","medusa bola cañon","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","madre perla","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA,NA
"OTRAS","arbolito","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","burriquete","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA,NA
"OTRAS","agujilla","Belone belone","high confidence","match to Hem's key","Belone","genus derived from known species",NA,NA,NA
"OTRAS","armado","Orthopristis chrisopterus","high confidence","match to Hem's key","Orthopristis","genus derived from known species",NA,NA,NA
"OTRAS","chencay","Hemirhamphus brasiliensis","high confidence","match to Hem's key","Hemirhamphus","genus derived from known species",NA,NA,NA
"OTRAS","coral","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","lagartija","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA,NA
"OTRAS","tomate","Actinia equina","high confidence","match to Hem's key","Actinia","genus derived from known species",NA,NA,NA
"OTRAS","jopaton","Microlepidotus inornatus","high confidence","match to Hem's key","Microlepidotus","genus derived from known species",NA,NA,NA
"OTRAS","boca novia","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","matajuelo","Holocentrus ascensionis","high confidence","match to Hem's key","Holocentrus","genus derived from known species",NA,NA,NA
"OTRAS","ala angel","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","chicharro","Selar crumenophthalmus","high confidence","match to Hem's key","Selar","genus derived from known species",NA,NA,NA
"OTRAS","abogado","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","bolin","Cyprinodon variegatus variegatus","high confidence","match to Hem's key","Cyprinodon","genus derived from known species",NA,NA,NA
"OTRAS","matagatos","Brycon falcatus","high confidence","match to Hem's key","Brycon","genus derived from known species",NA,NA,NA
"OTRAS","lacha","Brevoortia pectinata","high confidence","match to Hem's key","Brevoortia","genus derived from known species",NA,NA,NA
"OTRAS","cangrejo rey","Chaceon affinis","high confidence","match to Hem's key","Chaceon","genus derived from known species",NA,NA,NA
"OTRAS","serrano","Alphestes galapagensis","high confidence","match to Hem's key","Alphestes","genus derived from known species",NA,NA,NA
"OTRAS","sargo","Diplodus sargus","high confidence","match to Hem's key","Diplodus","genus derived from known species",NA,NA,NA
"OTRAS","pez señorita","Albula vulpes","high confidence","match to Hem's key","Albula","genus derived from known species",NA,NA,NA
"OTRAS","coruco","Cathorops aguadulce","high confidence","match to Hem's key","Cathorops","genus derived from known species",NA,NA,NA
"OTRAS","escochin","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","charrito","Trachurus Symmetricus","virtually certain","name was recorded in CONAPESCA","Trachurus","genus derived from known species",NA,NA,NA
"OTRAS","baina","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"PECES DE ORNATO","tetra pingüino","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"PECES DE ORNATO","angel","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"PECES DE ORNATO","barbo tigre","Sumatrano","virtually certain","name was recorded in CONAPESCA","Sumatrano","genus derived from known species",NA,NA,NA
"PECES DE ORNATO","cebra rayada","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"PECES DE ORNATO","beta","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"PECES DE ORNATO","tetra rojo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","plantas acuaticas","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"PECES DE ORNATO","peces ornato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"PECES DE ORNATO","guppy","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"PECES DE ORNATO","tetra buenos aires","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"PECES DE ORNATO","barbo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","sanducha","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","topuche","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","cuchilla","Dorosoma cepedianum","high confidence","match to Hem's key","Dorosoma","genus derived from known species",NA,NA,NA
"OTRAS","congrio","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","coral blanco","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","chopa amarilla","Spondyliosoma cantharus","high confidence","match to Hem's key","Spondyliosoma","genus derived from known species",NA,NA,NA
"OTRAS","tolete","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA,NA
"OTRAS","acedia","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","crappie","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA,NA
"OTRAS","cangrejo gallo","Calappa granulata","high confidence","match to Hem's key","Calappa","genus derived from known species",NA,NA,NA
"PECES DE ORNATO","espada","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","cojinete","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","corvinato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","nacar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","topote del pacífico","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","callo media luna","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","nacar perlas cultivadas","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","nacar medias perlas cultivadas","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
