landing_site,clave,subregion,long,lat,dist,match_type,,
YAVAROS,430,5.043,-109.521,26.702,0,exact_raw,,
GUAYMAS,286,5.0286,-110.894,27.9197,0,exact_raw,,
PEÑASCO,34,5.0034,-113.54,31.31,0,exact_raw,,
PAREDONCITO,402,5.0402,-109.908,27.0542,0,exact_raw,,
CAMAHUIROA,446,5.0446,-109.29,26.5394,0,exact_raw,,
AQUIROPO,416,5.0416,-109.858,26.8315,0,exact_raw,,
TASTIOTA,179,5.0179,-111.46,28.366,0,exact_raw,,
MIRAMAR,94,5.0094,-112.372,29.4833,0,exact_raw,,
PUERTO PEÑASCO,35,5.0035,-113.54,31.31,0,exact_basic,,
PAREDON COLORADO,406,5.0406,-109.934,27.0441,0,exact_basic,,
SAN NICOLAS,170,5.017,-111.76,28.4617,0,exact_basic,,
SANTA BARBARA,428,5.0428,-109.542,26.678,0,exact_basic,,
LAS PLAYITAS,282,5.0282,-110.883,27.8943,0,exact_basic,,
EL RASTRO,230,5.023,-111.15,28.001,0,exact_basic,,
BAHIA AGIABAMPO,464,5.0464,-109.146,26.3642,0,exact_basic,,
EL CHOYUDO,206,5.0206,-111.271,28.1906,0,exact_basic,,
PUERTO LIBERTAD,85,5.0085,-112.68,29.9036,0,exact_basic,,
BAHIA LOBOS,368,5.0368,-110.486,27.303,0,exact_basic,,
LOS BAÑOS,461,5.0461,-109.164,26.3755,0,exact_basic,,
BAHIA YAVAROS,434,5.0434,-109.487,26.7,0,exact_basic,,
BAHIA KINO,150,5.015,-111.958,28.7912,0,exact_basic,,
BAHIA SAN JORGE,53,5.0053,-113.075,31.1515,0,exact_basic,,
BAHIA BACHOCO,440,5.044,-109.428,26.637,0,exact_basic,,
LOS MELAGOS,380,5.038,-110.328,27.173,0,exact_basic,,
BAHIA TOBARI,400,5.04,-109.9985,27.0652,0,exact_basic,,
PLAYA DEL SOL,337,5.0337,-110.413,27.5658,0,exact_basic,,
ISLA SAN ESTEBAN,131,5.0131,-112.581,28.6963,0,exact_basic,,
SANTO DOMINGO,21,5.0021,-113.638,31.4678,0,exact_basic,,
EL SAHUIMARO,163,5.0163,-111.762,28.58,0,exact_basic,,
BALNEARIO VENECIA,336,5.0336,-110.491,27.5643,0,exact_basic,,
EL SIARIC,452,5.0452,-109.174,26.422,0,exact_basic,,
EL DESEMBOQUE,68,5.0068,-113.01,30.56,0,exact_basic,,
LAS BOCAS,443,5.0443,-109.34,26.5848,0,exact_basic,,
PUNTA CALAVERA,316,5.0316,-110.527,27.859,0,exact_basic,,
EL RIITO,448,5.0448,-109.312,26.4823,0,exact_basic,,
SAN JOSE,389,5.0389,-110.136,27.12,0,exact_basic,,
PARAJE VIEJO,262,5.0262,-110.924,27.8795,0,exact_basic,,
ESTERO SAN JOSE,392,5.0392,-110.126,27.125,0,exact_basic,,
EL TORNILLAL,14,5.0014,-114.297,31.5619,0,exact_basic,,
EL BORRASCOSO,18,5.0018,-114.05,31.484,0,exact_basic,,
LA CHOYA,25,5.0025,-113.64,31.3423,0,exact_basic,,
LA MANGA,236,5.0236,-111.123,27.9765,0,exact_basic,,
LA BANDERA,257,5.0257,-110.953,27.894,0,exact_basic,,
CABO HARO,268,5.0268,-110.89,27.839,0,exact_basic,,
LAS SALINAS,449,5.0449,-109.326,26.4218,0,exact_basic,,
LA ATANASIA,385,5.0385,-110.207,27.1524,0,exact_basic,,
EL COLORADO,87,5.0087,-112.638,29.8142,0,exact_basic,,
BAHIA GUAYMAS,307,5.0307,-110.858,27.909,0,exact_basic,,
SAN CARLOS,244,5.0244,-111.04,27.9622,0,exact_basic,,
LOS ALGODONES,330,5.033,-110.608,27.658,0,exact_basic,,
BOCA DEL RIO,431,5.0431,-109.443,26.706,0,exact_basic,,
EL CARDONAL,175,5.0175,-111.643,28.4414,0,exact_basic,,
CABO TEPOPA,96,5.0096,-112.417,29.3734,0,exact_basic,,
VALLE DEL YAQUI,364,5.0364,-110.56,27.3183,0,exact_basic,,
SAN PEDRO NOLASCO,232,5.0232,-111.376,27.973,0,exact_basic,,
PUNTA LOBOS,363,5.0363,-110.598,27.314,0,exact_basic,,
LAS CUEVITAS,91,5.0091,-112.557,29.694,0,exact_basic,,
BAHIA ADAIR,20,5.002,-113.911,31.5796,0,exact_basic,,
PUNTA CHUECA,115,5.0115,-112.156,29.008,0,exact_basic,,
LA ESPERANZA,171,5.0171,-111.76,28.4652,0,exact_basic,,
EL TOMATE,339,5.0339,-110.35,27.5622,0,exact_basic,,
SANTO TOMAS,66,5.0066,-113.107,30.7599,0,exact_basic,,
LA PINTA,48,5.0048,-113.21,31.254,0,exact_basic,,
EL SARGENTO,101,5.0101,-112.276,29.3439,0,exact_basic,,
CERRO PRIETO,195,5.0195,-111.341,28.2016,0,exact_basic,,
LA VIUDA,378,5.0378,-110.301,27.1863,0,exact_basic,,
EL MEZQUITE,222,5.0222,-111.15,28.0691,0,exact_basic,,
BAHIA DE KINO,150,5.015,-111.958,28.7912,0,exact_stopless,,
GOLFO DE SANTA CLARA,10,5.001,-114.484,31.6835,0,exact_stopless,,
BAHIA DE LOBOS,368,5.0368,-110.486,27.303,0,exact_stopless,,
LAS GUASIMAS,315,5.0315,-110.58,27.8847,0,exact_stopless,,
PUERTO LOBOS,72,5.0072,-112.842,30.2707,0,exact_stopless,,
PUNTA DE LASTRE,287,5.0287,-110.882,27.9213,0,exact_stopless,,
EL MERO,279,5.0279,-110.859,27.894,0,exact_stopless,,
BOCA DEL RIO MAYO,421,5.0421,-109.805,26.715,0,exact_stopless,,
LAS PALMAS SAN CARLOS,183,5.0183,-111.456,28.3156,0,exact_stopless,,
EL COCHORIT,309,5.0309,-110.776,27.9186,0,exact_stopless,,
EL JAGUEY,65,5.0065,-113.127,30.8127,0,exact_stopless,,
LA SALINITA,258,5.0258,-110.952,27.8863,0,exact_stopless,,
PUERTO SAN JOSE,389,5.0389,-110.136,27.12,0,exact_stopless,,
BAHIA VENECIA,211,5.0211,-111.316,28.1442,0,exact_stopless,,
BAHIA DEL TOBARI,400,5.04,-109.9985,27.0652,0,exact_stopless,,
SAN JORGE,49,5.0049,-113.159,31.217,0,exact_stopless,,
BORRASCOSO,18,5.0018,-114.05,31.484,0,exact_stopless,,
BAHIA ALMEJAS,51,5.0051,-113.099,31.2199,0,exact_stopless,,
LA PAZ,NA,5,-110.3108,24.1422,NA,NA,yes,
CANAL DEL INFIERNILLO,110,5.011,-112.2,29.1046,0,exact_stopless,,
ISLA TIBURON,113,5.0113,-112.356,29.04,0,exact_stopless,,
AGIAMPO,NA,5,-109.5419,27.1947,NA,NA,yes,
AGUA TENDIDA,NA,5,NA,NA,NA,NA,yes,
BAHIA LOS MUERTOS,NA,NA,-109.8092,23.9489,NA,NA,yes,probably in Baja Sur
ENSENADA,NA,NA,-116.6077,31.8659,NA,NA,yes,Baja?
ESTERO SAN JORGE,NA,NA,-112.0804,25.7077,NA,NA,yes,probably in Baja Sur
"GUASIMA, LA",NA,NA,-109.3451,27.8551,NA,NA,yes,inland
HUATABAMPITO,NA,5,-109.6097,26.6961,NA,NA,yes,
LA ARENITAS,NA,5,-109.775,26.7978,NA,NA,yes,
LA ATANACIA,NA,5,-110.2149,27.1412,NA,NA,yes,
LA GUASIMA,NA,NA,NA,NA,NA,NA,yes,inland?
LAS SALINITAS,NA,5,-110.94,27.93,NA,NA,yes,
LOS BAяS,NA,5,-109.164,26.3755,0.133333333,fuzzy_stopless,,
PAREDON,NA,5,-110.1,27.51,NA,NA,yes,
PESQ. MEXICO,NA,5,-109.66,26.78,NA,NA,yes,
PRESA BACHOCO,NA,5,-109.8057,27.5835,NA,NA,yes,
PUNTA DE LASTRA,NA,5,NA,NA,NA,NA,yes,
RINCON BALLENAS,NA,5,NA,NA,NA,NA,yes,couldn't id
LAGUNA LAS FLORES Y GOLFO DE MEXICO,NA,NA,NA,NA,NA,NA,yes,gulf of mexico?
PARAJE NUEVO,NA,5,NA,NA,NA,NA,yes,very general name
LA PUERTA,NA,5,NA,NA,NA,NA,yes,very general name
NO CONSIDERADO,NA,5,NA,NA,NA,NA,yes,placeholder
SITIO EMB DESEM GENERICO,NA,5,NA,NA,NA,NA,yes,placeholder
BAJA VENECIA,NA,NA,NA,NA,NA,NA,yes,Baja Sur?
PRESA EL NOVILLO,NA,NA,NA,NA,NA,NA,yes,inland
PRESA A. OBREGON,NA,NA,NA,NA,NA,NA,yes,inland
REC PORTUARIO,NA,5,-110.9,27.92,NA,NA,yes,
PRESA MOCUZARIT,NA,NA,NA,NA,NA,NA,yes,inland
ESTERO ATANASIA,NA,5,-110.21,27.14,NA,NA,yes,
EL VERTEDOR,NA,5,NA,NA,NA,NA,yes,placeholder
SANTA LUGARDA,NA,5,-109.7935,26.7298,NA,NA,yes,
PRESA CUAUHTEMOC,NA,NA,NA,NA,NA,NA,yes,inland
R. PORTUARIO PCO,NA,5,-113.538,31.317,NA,NA,yes,
LITORAL,NA,5,NA,NA,NA,NA,yes,placeholder
LA CINITA,NA,5,-109.7495,26.8113,NA,NA,yes,
PRESA OVIACHI,NA,NA,NA,NA,NA,NA,yes,inland
PRESA JINCORIS,NA,NA,NA,NA,NA,NA,yes,inland
LA CAIMANZA,NA,NA,NA,NA,NA,NA,yes,Sinaloa?
PRESA CAJON DE ONAPA,NA,NA,NA,NA,NA,NA,yes,inland
PUNTA DELASTRO,NA,5,NA,NA,NA,NA,yes,
PRESA LA ANGOSTURA,NA,NA,NA,NA,NA,NA,yes,inland
PRESA ALVARO OBREGON,NA,NA,NA,NA,NA,NA,yes,inland
MUELLE F. RANCHO KUL,NA,5,-109.58,26.62,NA,NA,yes,
ACUIC. MAR Y SOL.,NA,5,-109.53,26.7,NA,NA,yes,
AGUAMILPA,NA,NA,NA,NA,NA,NA,yes,inland? Nayarit?
DONDE CANTO LA PALOMA,NA,5,NA,NA,NA,NA,yes,unclear
EL TECORI,NA,NA,NA,NA,NA,NA,yes,inland
LA CORTINA,NA,5,NA,NA,NA,NA,yes,placeholder
PRESA PLUTARCO ELIAS CALLES,NA,NA,NA,NA,NA,NA,yes,inland
ISLA MIRAMAR,NA,NA,NA,NA,NA,NA,yes,Baja Sur?
PRESA EL MOLINITO,NA,NA,NA,NA,NA,NA,yes,inland
MANO PANTERA,NA,5,NA,NA,NA,NA,yes,placeholder
LA BINORAMA,NA,NA,NA,NA,NA,NA,yes,Baja Sur?
PRESA ADOLFO RUIZ CORTINEZ,NA,NA,NA,NA,NA,NA,yes,inland
PUERTO VALLARTA,NA,NA,-105.225,20.653,NA,NA,yes,Jalisco
ASTILLERO NAVARRO,NA,5,NA,NA,NA,NA,yes,unclear
EL RANCHO,NA,5,NA,NA,NA,NA,yes,unclear
COZUMEL,NA,NA,NA,NA,NA,NA,yes,not in Gulf of Ca
PUERTO JUAREZ,NA,NA,NA,NA,NA,NA,yes,not in Gulf of Ca
RIO EL NARANJO Y EL SALADO,NA,NA,NA,NA,NA,NA,yes,Sinaloa? Pacific
PUNTA CALABOZO (EN ISLA SAN JOSE),NA,5,-110.68,25.06,NA,NA,yes,
ESTERO RANCHO BUENO,NA,NA,NA,NA,NA,NA,yes ,Baja Sur? Pacific?
PRESA ABELARDO L. RODRIGUEZ,NA,NA,NA,NA,NA,NA,yes,inland
NO ESPECIFICADO,NA,5,NA,NA,NA,NA,yes,placeholder
PRESA IGNACIO L. ALATORRE (PUNTA DE AGUA),NA,NA,NA,NA,NA,NA,yes,inland
PRESA SAN JOSE ATLANGA,NA,NA,NA,NA,NA,NA,yes,inland?
TAMIAHUA,NA,NA,NA,NA,NA,NA,yes,gulf of mexico?
PAREDON ROJO,NA,NA,NA,NA,NA,NA,yes,inland
BELLAVISTA,NA,NA,NA,NA,NA,NA,yes,inland
CRUZ DE HUANACAXTLE,NA,NA,NA,NA,NA,NA,yes,Pacific?
CERRO CABEZON,NA,5,NA,NA,NA,NA,yes,?
TRES CERRITOS,NA,NA,NA,NA,NA,NA,yes,Sinaloa? Pacific
EL SAUZAL,NA,NA,NA,NA,NA,NA,yes,Baja? Pacific?
"TEACAPAN, SIN.",NA,NA,NA,NA,NA,NA,yes,Baja? Pacific?
LAZARO CARDENAS,NA,NA,NA,NA,NA,NA,yes,Baja? Pacific?
