landing_site,clave,subregion,long,lat,State
CARLOS CAMPO,42,1.0042,-116.9724,32.2597,Baja California
CASITA PLAYA LA,126,4.0126,-114.6442,30.32,Baja California
CASTILLOS DEL MAR,27,1.0027,-117.0461,32.31,Baja California
CASTROS,201,1.02,-115.996,30.4437,Baja California
CATARINA PUERTO,254,1.0253,-115.2534,29.5145,Baja California
CAÑÓN DE SANTA CRUZ LA PUNTA DEL,144,1.0143,-116.4548,31.3415,Baja California
CEDROS ISLA,328,1.0327,-115.216,28.189,Baja California
CENIZAS MONTE DE,166,1.0165,-116.1901,30.8904,Baja California
CHICHOS LOS,167,1.0166,-116.2021,30.89,Baja California
CHINA PUNTA,131,1.013,-116.6455,31.5105,Baja California
CHORERA LA,193,1.0192,-116.0192,30.4537,Baja California
CHOROS PUERTO LOS,61,4.0061,-113.5667,29,Baja California
CHUTE EL,207,1.0206,-115.9838,30.4338,Baja California
CIMARRÓN,137,4.0137,-114.6287,30.488,Baja California
CLARA PUNTA,129,1.0128,-116.6582,31.53,Baja California
COLONET BAHÍA,159,1.0158,-116.2551,30.9479,Baja California
COLONET BANCK,342,1.0341,-116.645,30.937,Baja California
COLONET PUNTA,157,1.0156,-116.329,30.976,Baja California
COLONIA GUTIERREZ POLANCO,174,4.0174,-114.707,30.799,Baja California
COLORADA LA,220,4.022,-115.3836,32.4675,Baja California
COLORADA PUNTA,74,4.0074,-113.1442,28.9968,Baja California
COLORADITO BOCA EL,13,4.0013,-112.8363,28.2378,Baja California
COLORADO DE GUADALUPE CAMPO,72,4.0072,-113.6473,29.2266,Baja California
COLORADO RÍO,217,4.0217,-114.8169,31.8009,Baja California
COMPADRES CAMPO LOS,204,4.0204,-114.8732,31.11,Baja California
CONO LITORAL PUNTA,284,1.0283,-114.58,28.9643,Baja California
CONO PUNTA,285,1.0284,-114.58,28.9643,Baja California
CONSUELO CAMPO EL,144,4.0144,-114.6593,30.56,Baja California
CONSUELO EL,231,1.023,-115.7854,30.1586,Baja California
CORONA PLAYA,90,1.0089,-116.6155,31.7846,Baja California
CORONADO COSTA,3,1.0003,-117.12,32.484,Baja California
CORONADO ISLA,65,4.0065,-113.5178,29.0831,Baja California
CORONEL ESTEBÁN CANTÚ,117,1.0116,-116.6658,31.6121,Baja California
CORTÉZ VILLAS DE,212,4.0212,-114.8807,31.1898,Baja California
COSTILLA LA,124,4.0124,-114.651,30.2705,Baja California
CRISTINA CAMPO,141,4.0141,-114.6499,30.5283,Baja California
CRISTINA PLAYA,125,4.0125,-114.6531,30.284300000000002,Baja California
CUATRO CASAS,161,1.016,-116.2324,30.9352,Baja California
CUCHILLO PUERTO,270,1.0269,-114.8218,29.2399,Baja California
CUCHILLO PUNTA,204,1.0203,-115.943,30.4389,Baja California
CURBINA PLAYA,129,4.0129,-114.6409,30.3712,Baja California
CÁLETE,107,1.0106,-116.7172,31.7114,Baja California
CÓRBIN BAHÍA,272,1.0271,-114.8245,29.2309,Baja California
DE JESUS MARÍA VILLA,327,1.0326,-114.0005,28.2338,Baja California
DE TODOS SANTOS BAHÍA,88,1.0087,-116.6838,31.8031,Baja California
DE TOVE CAMPO,131,4.0131,-114.6357,30.387,Baja California
DEL CARDÓN VARADERO,309,1.0308,-114.067,28.386,Baja California
DEL MAR VILLA,77,1.0077,-116.6796,31.8748,Baja California
DELFINES LOS,8,1.0008,-117.0959,32.4282,Baja California
DESCANSO BAHÍA EL,50,1.005,-116.9239,32.2303,Baja California
DESCANSO BOCA EL,49,1.0049,-116.9239,32.2303,Baja California
DESCANSO PUNTA EL,38,1.0038,-117.0301,32.28,Baja California
DESTILADERO EL,147,1.0146,-116.4389,31.3237,Baja California
DIABLO BAHIA PUNTA EL,289,1.0288,-114.4708,28.9067,Baja California
DIABLO PUNTA EL,290,1.0289,-114.4608,28.9067,Baja California
DIGGS PUNTA,175,4.0175,-114.7104,30.8045,Baja California
DINA,215,1.0214,-115.9,30.3952,Baja California
DON ABEL,213,4.0213,-114.878,31.219,Baja California
DON ABEL CAMPO,211,4.0211,-114.8846,31.1736,Baja California
DON JUAN PUNTA,48,4.0048,-113.4352,28.9567,Baja California
DON PANCHO,176,4.0176,-114.7079,30.8198,Baja California
DORADA PLAYA,143,4.0143,-114.6593,30.55,Baja California
DOS MARES,95,1.0094,-116.7426,31.7438,Baja California
DUNAS LAS,48,1.0048,-116.9245,32.2335,Baja California
ECOLOGICA MARINA,209,1.0208,-115.945,30.42,Baja California
EL ALACRÁN ENSENADA,41,4.0041,-113.3684,28.8894,Baja California
EL FARO (ÁREA RESIDENCIAL),186,4.0186,-114.7269,30.9374,Baja California
EL FARO GOLFO,219,4.0219,-115.3171,32.2837,Baja California
EL HUERFANITO,119,4.0119,-114.6284,30.1214,Baja California
EL ISLOTE,235,1.0234,-115.7782,30.1133,Baja California
EL MAÑANA,31,1.0031,-117.038,32.293,Baja California
EL MIRADOR,69,1.0069,-116.75,31.941,Baja California
EL MORRO,39,1.0039,-117.026,32.277,Baja California
EL PESCADOR ENSENADA,43,4.0043,-113.3864,28.9181,Baja California
EL QUEMADO ENSENADA,47,4.0047,-113.4097,28.9378,Baja California
ENCANTADA ISLA,114,4.0114,-114.4704,30.0149,Baja California
ENCANTADA PLAYA,29,1.0029,-117.0418,32.3,Baja California
ENCANTADAS LAS,111,4.0111,-114.4644,29.9076,Baja California
ENSENADA,83,1.0082,-116.6007,31.8508,Baja California
ENSENADA PUNTA,85,1.0084,-116.6315,31.8476,Baja California
ENTRADA PUNTA,223,1.0222,-115.9666,30.3638,Baja California
ERÉNDIRA,150,1.0149,-116.381,31.2624,Baja California
ERÉNDIRA EJIDO,151,1.015,-116.378,31.261,Baja California
ESCARPADA PUNTA,92,4.0092,-114.0272,29.5946,Baja California
ESCONDIDO PUERTO,110,1.0109,-116.7081,31.708,Baja California
ESMERALDA CAMPO,160,4.016,-114.7014,30.685,Baja California
ESPAÑA NUEVA,91,1.009,-116.619,31.7787,Baja California
ESTANQUE ISLA,75,4.0075,-113.1166,29.0722,Baja California
ESTERO PLAYA,93,1.0092,-116.619,31.77,Baja California
ESTERO PUNTA,94,1.0093,-116.6264,31.7616,Baja California
ESTRELLA PLAYA,183,4.0183,-114.7009,30.91,Baja California
ESTRELLA PUNTA,181,4.0181,-114.6988,30.9023,Baja California
FALSA BAHÍA,198,1.0197,-116.0001,30.4504,Baja California
FALSA EL CHUTE BAHÍA,206,1.0205,-115.9838,30.4338,Baja California
FARO EL,92,1.0091,-116.6159,31.7739,Baja California
FARO PLAYA EL,108,4.0108,-114.4102,29.8408,Baja California
FELIZ O SANTA CATARINA CAMPO,149,4.0149,-114.6799,30.5959,Baja California
FINAL PUNTA,96,4.0096,-114.2711,29.772,Baja California
FINGER BANCK,337,1.0336,-117.068,32.157,Baja California
FISCAL MUELLE,82,1.0081,-116.633,31.8525,Baja California
FRANCISCO TORRES,14,1.0014,-117.0857,32.395,Baja California
GABRIELA PLAYA,151,4.0151,-114.6946,30.62,Baja California
GARCÍA CAMPO,157,4.0157,-114.6963,30.655,Baja California
GAVIOTAS LAS,44,1.0044,-116.9469,32.2511,Baja California
GEMELITOS ISLA LOS,50,4.005,-113.4788,28.9537,Baja California
GOYOS,138,4.0138,-114.6319,30.5,Baja California
GRANDE PLAYA,209,4.0209,-114.8827,31.1396,Baja California
GRANDE RANCHO,101,4.0101,-114.3978,29.7925,Baja California
GRANITO ISLA,77,4.0077,-113.556,29.5818,Baja California
GRINGA PUNTA LA,64,4.0064,-113.541,29.031,Baja California
GUADALUPE,152,1.0151,-116.359,31.255,Baja California
GUADALUPE BAHÍA,70,4.007,-113.6369,29.2098,Baja California
GUADALUPE ISLA,279,1.0278,-118.377,29.0556,Baja California
GUERRERO NEGRO,332,1.0331,-114.044,27.98,Baja California
HACIENDA,189,4.0189,-114.759,30.9562,Baja California
HARDY RÍO,218,4.0218,-115.119,31.979,Baja California
HAWAII CAMPO,203,4.0203,-114.8713,31.107,Baja California
HERMANOS LOS,140,4.014,-114.6407,30.5134,Baja California
HERMOSA ENSENADA PLAYA,35,1.0035,-117.037,32.285,Baja California
HERMOSA NORTE PLAYA,86,1.0085,-116.6135,31.8383,Baja California
HERMOSA PLAYA,168,4.0168,-114.6974,30.7307,Baja California
HERMOSA VISTA,182,4.0182,-114.7021,30.9088,Baja California
HERRADURA PUNTA LA,56,4.0056,-113.4742,28.9451,Baja California
HOWARDO PUNTA,276,1.0275,-114.7267,29.1345,Baja California
HUERFANITO ISLA,120,4.012,-114.6231,30.1285,Baja California
ISLOTES DE SUR,73,4.0073,-113.2252,29.0257,Baja California
JACARANDAS CLUB,205,4.0205,-114.88,31.128,Baja California
JALISCO CAMPO,208,4.0208,-114.8808,31.138,Baja California
JATAY,63,1.0063,-116.8617,32,Baja California
JOLLA CAMPO LA,164,4.0164,-114.7,30.717,Baja California
JOSE M. MORELOS Y PAVÓN EJIDO,314,1.0313,-114.0668,28.3442,Baja California
JOYA NORTE LA,108,1.0107,-116.6653,31.7108,Baja California
JOYA TIJUANA LA,4,1.0004,-117.112,32.456,Baja California
JUAN ESCUTIA,136,1.0135,-116.5327,31.4374,Baja California
KENNEDY PUERTO,111,1.011,-116.6637,31.7043,Baja California
KEVINO PUNTA,271,1.027,-114.8341,29.2344,Baja California
LA GRINGA ENSENADA,63,4.0063,-113.5481,29.0316,Baja California
LAGUNA PUNTA LA,210,1.0209,-115.9826,30.4055,Baja California
LANGOSTERA PUNTA LA,9,4.0009,-112.8059,28.139,Baja California
LAS PALOMAS ENSENADA,21,4.0021,-112.8641,28.4475,Baja California
LAS PAREDES ENSENADA,116,4.0116,-114.5758,30.0494,Baja California
LEPRO VILLA,15,1.0015,-117.0823,32.39,Baja California
LIMA CAMPO,291,1.029,-118.358,28.885,Baja California
LINDA PLAYA,163,4.0163,-114.7,30.7165,Baja California
LOBERA LA,143,1.0142,-116.461,31.3438,Baja California
LOBERA PUNTA,121,1.012,-116.6893,31.5528,Baja California
LOBERA PUNTA LA,257,1.0256,-115.1541,29.4185,Baja California
LOBERA ROCA LA,153,1.0152,-116.3685,31.2486,Baja California
LOBOS ISLA,115,4.0115,-114.4895,30.0532,Baja California
LOBOS PUNTA,292,1.0291,-114.4341,28.875,Baja California
LOMA DORADA,87,1.0086,-116.6113,31.8264,Baja California
LOMA PLAYA PUNTA,159,4.0159,-114.7014,30.68,Baja California
LOS CANDELEROS ACANTILADO,262,1.0261,-115.0911,29.4146,Baja California
LOS HOJITOS VARADERO,319,1.0318,-114.09,28.296,Baja California
LÓPEZ CAMPO,53,1.0053,-116.878,32.132,Baja California
MACHORRO PUNTA EL,196,4.0196,-114.8046,31.045,Baja California
MANEADERO,113,1.0112,-116.651,31.7008,Baja California
MANUELA LAGUNA,326,1.0325,-114.0838,28.2341,Baja California
MAR RANCHO DEL,16,1.0016,-117.0895,32.385,Baja California
MARRÓN PLAYA,293,1.0292,-114.3768,28.8122,Baja California
MARÍA BAHÍA,287,1.0286,-114.498,28.915,Baja California
MARÍA GOLFO PUNTA,170,4.017,-114.699,30.7593,Baja California
MARÍA PUNTA,286,1.0285,-114.53,28.921,Baja California
MATOMI EJIDO,139,4.0139,-114.64,30.517,Baja California
MATOMÍ CAMPO,135,4.0135,-114.6338,30.4633,Baja California
MAYMA CAMPO,166,4.0166,-114.7,30.722,Baja California
MEDIO PUERTECITO DE EN,34,4.0034,-113.2257,28.8244,Baja California
MEDIO PUNTA DE EN,258,1.0257,-115.1294,29.4177,Baja California
MEJIA ISLA,83,4.0083,-113.5847,29.574,Baja California
MEJÍA PUNTA,82,4.0082,-113.5838,29.5845,Baja California
MERCADO NEGRO,84,1.0083,-116.633,31.8525,Baja California
MEXICALI,222,4.0222,-115.4667,32.6508,Baja California
MEZQUITE PUNTA,52,1.0052,-116.898,32.143,Baja California
MIDDLE,333,1.0332,-117.26,32.44,Baja California
MINAS LAS,148,1.0147,-116.4341,31.3171,Baja California
MINAS PLAYA DE,130,4.013,-114.6375,30.3825,Baja California
MIRAMAR,25,1.0025,-117.0503,32.32,Baja California
MIRAMAR ENSENADA,117,4.0117,-114.5914,30.0858,Baja California
MIRAMAR ISLA,118,4.0118,-114.5414,30.0851,Baja California
MISIÓN BOCA LA,57,1.0057,-116.886,32.058,Baja California
MOLINO VIEJO MUELLE,191,1.019,-115.98,30.48,Baja California
MORELOS VILLA,160,1.0159,-116.2378,30.937,Baja California
MORRO,59,4.0059,-113.5436,28.9648,Baja California
MORRO PUNTA,79,1.0079,-116.6678,31.8576,Baja California
MORROS COLORADOS LOS,265,1.0264,-114.956,29.3659,Baja California
MUELLE,81,1.0081,-116.633,31.8525,Baja California
MUERTITO ARROYO EL,303,1.0302,-114.1505,28.5727,Baja California
MUERTITO EL,302,1.0301,-114.1505,28.5668,Baja California
MUERTO PUNTA EL,88,4.0088,-113.7905,29.417,Baja California
MUJERES CALA,23,4.0023,-112.8745,28.4422,Baja California
MUJERES PUERTO,263,1.0262,-115.0746,29.4143,Baja California
MÉXICO PLAYA,156,4.0156,-114.6963,30.653,Baja California
NACHO CAMPO,121,4.0121,-114.6713,30.2088,Baja California
NAVIO NORTE CAMPO,79,4.0079,-113.5716,29.5677,Baja California
NAVIO SUR CAMPO,78,4.0078,-113.5535,29.5588,Baja California
NORTE CAMPO,274,1.0273,-118.368,29.188,Baja California
NORTE EL CAMPITO,51,1.0051,-116.9005,32.1675,Baja California
NUEVE FATHON,334,1.0333,-117.257,32.423,Baja California
NUEVO CAMPO,248,1.0247,-115.6001,29.6843,Baja California
NUEVO MAZATLAN,165,4.0165,-114.7082,30.7213,Baja California
NUEVO PUERTO,47,1.0047,-116.9314,32.2431,Baja California
OASIS EL,17,1.0017,-117.0773,32.38,Baja California
OLAS LAS,62,1.0062,-116.8766,32.0184,Baja California
OLD MILL,184,1.0183,-115.9711,30.4858,Baja California
ORENDAIN VILLA,212,1.0211,-115.9529,30.4027,Baja California
ORO MISION PLAYA DE,214,1.0213,-115.9244,30.4019,Baja California
OSTIONERO,195,1.0194,-116,30.4529,Baja California
PABELLÓN CAMPO,225,1.0224,-115.8425,30.3604,Baja California
PABELLÓN EL,222,1.0221,-115.8502,30.3669,Baja California
PABELLÓN PLAYA EL,221,1.022,-115.8505,30.3669,Baja California
PACHECO (EL VARADERO) PLAYA,310,1.0309,-114.0622,28.3818,Baja California
PACHECO PLAYA,321,1.032,-114.112,28.257,Baja California
PAI-PAI CAMPO,202,4.0202,-114.8694,31.1023,Baja California
PALMAS LAS,191,4.0191,-114.8155,30.9903,Baja California
PALMITA LA),8,4.0008,-112.8007,28.1171,Baja California
PANCHOS PLACE,179,4.0179,-114.7194,30.842,Baja California
PAPALOTE BAHÍA,105,1.0104,-116.7187,31.7161,Baja California
PAPALOTE EL,185,1.0184,-115.9419,30.4807,Baja California
PAPALOTE NORTE EL,101,1.01,-116.7092,31.7211,Baja California
PAPÁ FERNÁNDEZ,107,4.0107,-114.4014,29.8291,Baja California
PARAISO CAMPO EL,206,4.0206,-114.8818,31.13,Baja California
PARAJE DE CHENCHO PUNTA,95,4.0095,-114.258,29.7657,Baja California
PARTIDA ISLA,33,4.0033,-113.031,28.87,Baja California
PAULITO PUNTA,7,4.0007,-112.7949,28.0736,Baja California
PEDREGAL EL,200,1.0199,-115.9618,30.4446,Baja California
PERCEBÚ LAGUNA,172,4.0172,-114.6982,30.8065,Baja California
PERCEBÚ RANCHO,178,4.0178,-114.7133,30.8406,Baja California
PERICO PUERTO,171,1.017,-116.0729,30.8053,Baja California
PERLA CAMPO,207,4.0207,-114.8761,31.134,Baja California
PESCA DEPORTIVA MUELLE,80,1.008,-116.6271,31.8573,Baja California
PESCADERO,154,1.0153,-116.3033,31.1043,Baja California
PESCADOR CAMPO,198,4.0198,-114.8446,31.0765,Baja California
PESCADOR ISLA EL,44,4.0044,-113.38,28.935,Baja California
PESCADOR PUNTA EL,45,4.0045,-113.3828,28.9368,Baja California
PESCADORES (BAH. GUADALUPE),71,4.0071,-113.6584,29.2154,Baja California
PESQUERO JUAREZ CAMPO,281,1.028,-118.365,29.035,Baja California
PESQUERO PUNTA AZUFRE,216,1.0215,-115.9875,30.3947,Baja California
PIEDRA AHOGADA PUNTA LA,264,1.0263,-115.009,29.3837,Baja California
PIEDRA CAMPO PUNTA,142,1.0141,-116.448,31.344,Baja California
PIEDRA CENTRO PUNTA,250,1.0249,-115.559,29.668,Baja California
PIEDRA DE ROSARITO ISLOTE,23,1.0023,-117.055,32.3295,Baja California
PIEDRA DE SAN JOSÉ ISLOTE,266,1.0265,-114.898,29.2994,Baja California
PIEDRA UNO PUNTA,59,1.0059,-116.886,32.049,Baja California
PILÓN DE AZÚCAR ROCA,46,1.0046,-116.9419,32.2458,Baja California
PINEDAS CAMPO,158,1.0157,-116.2574,30.9647,Baja California
PIOJO ISLA EL,54,4.0054,-113.4683,29.0154,Baja California
PLAYA LA,78,1.0078,-116.6713,31.8618,Baja California
PLAYA PATTY CLUB DE,180,4.018,-114.6922,30.8632,Baja California
PLAYITA LA,197,1.0196,-116,30.4515,Baja California
PLAYITAS LAS,141,1.014,-116.4619,31.345,Baja California
PLAYÓN BAHÍA EL,109,1.0108,-116.7,31.708,Baja California
PLAYÓN EL,213,1.0212,-115.9939,30.4026,Baja California
PLAZA DEL MAR,55,1.0055,-116.886,32.102,Baja California
POMO ISLA,112,4.0112,-114.3868,29.9975,Baja California
POPOTLA,36,1.0036,-117.0333,32.2835,Baja California
PORVENIR PLAYA,171,4.0171,-114.698,30.7716,Baja California
PRIETA PUNTA,133,1.0132,-116.6186,31.4986,Baja California
PRIETA SUR PUNTA,294,1.0293,-114.3871,28.81,Baja California
PRIMERO ESTERO,216,4.0216,-114.8787,31.2789,Baja California
PUERTECITOS,127,4.0127,-114.6422,30.3467,Baja California
PUERTECITOS PLAYAS NORTE DE,128,4.0128,-114.6358,30.3636,Baja California
PUERTO DE LOS CHINOS EL,273,1.0272,-114.795,29.2106,Baja California
PUERTO EL,124,1.0123,-116.6804,31.5489,Baja California
PULPOS CAMPO LOS,147,4.0147,-114.6995,30.5805,Baja California
PUNTA BANDA ESTERO,97,1.0096,-116.6239,31.731,Baja California
PUNTA ESTRELLA RANCHO,184,4.0184,-114.71,30.9263,Baja California
PUNTITA LA,306,1.0305,-114.077,28.528,Baja California
QUEMADO EL,46,4.0046,-113.412,28.929,Baja California
QUEQUIS ROCAS LOS,132,1.0131,-116.6318,31.5095,Baja California
QUINTA PLAYA,177,4.0177,-114.7121,30.8272,Baja California
RACITO ISLA,40,4.004,-113.3566,28.8809,Baja California
RADAR PUNTA,185,4.0185,-114.7108,30.9265,Baja California
RASPORIA,311,1.031,-114.0629,28.3666,Baja California
RAUL,28,1.0028,-117.0437,32.305,Baja California
RAUL CAMPO,176,1.0175,-116.0387,30.7072,Baja California
RAYADO EL,239,1.0238,-115.727,29.949,Baja California
RAZA ISLA,32,4.0032,-112.977,28.8074,Baja California
REAL DEL MAR,7,1.0007,-117.1,32.44,Baja California
REBRO EL,116,1.0115,-116.6531,31.6391,Baja California
REFUGIO BAHÍA,81,4.0081,-113.5224,29.5583,Baja California
REFUGIO PUNTA,80,4.008,-113.5324,29.5563,Baja California
REMEDIOS PUNTA,86,4.0086,-113.6282,29.251,Baja California
RENÉ,24,1.0024,-117.0532,32.325,Baja California
RESORT MARINA,192,4.0192,-114.8177,30.9956,Baja California
RIF PUNTA,120,1.0119,-116.6914,31.5665,Baja California
RINCON GOLFO EL,60,4.006,-113.5495,28.9875,Baja California
RINCONADA LA,243,1.0242,-115.7407,29.8955,Baja California
RINCÓN EL,99,1.0098,-116.6998,31.7286,Baja California
RINCÓN MIRADOR EL,98,1.0097,-116.6998,31.7286,Baja California
ROCA LA,162,4.0162,-114.7082,30.7156,Baja California
ROCA PUNTA,220,1.0219,-115.9741,30.378,Baja California
ROCOSA PUNTA,185.5,2.5185,-113.7709,29.01065,Baja California
ROMA CUESTA LA,122,4.0122,-114.6585,30.179,Baja California
ROQUEÑA PUNTA,138,1.0137,-116.4843,31.3723,Baja California
ROSAMAR,43,1.0043,-116.9612,32.2575,Baja California
ROSARIO BOCANA EL,237,1.0236,-115.7753,30.0403,Baja California
ROSARIO EL,236,1.0235,-115.763,30.063,Baja California
ROSARITO,21,1.0021,-117.0543,32.3505,Baja California
ROSARITO PLAYAS DE,22,1.0022,-117.0635,32.3482,Baja California
ROSARITO POPOTLA PLAYA,37,1.0037,-117.04,32.2835,Baja California
ROSARITO PUNTA,304,1.0303,-114.1505,28.5668,Baja California
ROSARITO ROCK,336,1.0335,-117.083,32.366,Baja California
RUBEN JARAMILLO EJIDO,165,1.0164,-116.05,30.918,Baja California
