group,common_name,scientific_name,status,control,range,OHI_region,carta_year,notes
abalone,Abulón chino,Haliotis sorenseni,NA,NA,no,region_6,2023,"historically small fishery, so no clear regulations"
abalone,Abulón chino,Haliotis sorenseni,NA,NA,no,region_7,2023,"historically small fishery, so no clear regulations"
abalone,Abulón chino,Haliotis sorenseni,NA,NA,no,region_8,2023,"historically small fishery, so no clear regulations"
abalone,Abulón chino,Haliotis sorenseni,NA,NA,no,region_9,2023,"historically small fishery, so no clear regulations"
clam,"Almeja blanca, mantequilla, plato o talibana",Dosinia ponderosa,unclear,NA,yes,region_1,2023,"capture records are recent in this area, no pattern available"
clam,"Almeja blanca, mantequilla, plato o talibana",Dosinia ponderosa,unclear,NA,yes,region_2,2023,"capture records are recent in this area, no pattern available"
clam,"Almeja blanca, mantequilla, plato o talibana",Dosinia ponderosa,unclear,NA,yes,region_3,2023,"capture records are recent in this area, no pattern available"
clam,"Almeja blanca, mantequilla, plato o talibana",Dosinia ponderosa,unclear,NA,yes,region_4,2023,"capture records are recent in this area, no pattern available"
clam,"Almeja blanca, mantequilla, plato o talibana",Dosinia ponderosa,maximally harvested,no increase,yes,region_5,2023,highly variable catch
clam,"Almeja blanca, mantequilla, plato o talibana",Dosinia ponderosa,maximally harvested,no increase,yes,region_6,2023,highly variable catch
clam,"Almeja blanca, mantequilla, plato o talibana",Dosinia ponderosa,maximally harvested,no increase,yes,region_7,2023,highly variable catch
clam,"Almeja blanca, mantequilla, plato o talibana",Dosinia ponderosa,unclear,NA,yes,region_8,2023,"capture records are recent in this area, no pattern available"
clam,"Almeja blanca, mantequilla, plato o talibana",Dosinia ponderosa,unclear,NA,yes,region_9,2023,"capture records are recent in this area, no pattern available"
clam,Almeja Catarina,Argopecten ventricosus,maximally harvested,no increase,yes,region_1,2023,
clam,Almeja Catarina,Argopecten ventricosus,maximally harvested,no increase,yes,region_2,2023,
clam,Almeja Catarina,Argopecten ventricosus,deteriorating,decrease,yes,region_3,2023,depending on area deteriorating or maximally harvested
clam,Almeja Catarina,Argopecten ventricosus,deteriorating,decrease,yes,region_4,2023,depending on area deteriorating or maximally harvested
clam,Almeja Catarina,Argopecten ventricosus,unclear,NA,yes,region_5,2023,
clam,Almeja Catarina,Argopecten ventricosus,unclear,NA,yes,region_6,2023,
clam,Almeja Catarina,Argopecten ventricosus,unclear,NA,yes,region_7,2023,
clam,Almeja Catarina,Argopecten ventricosus,NA,NA,no,region_8,2023,
clam,Almeja Catarina,Argopecten ventricosus,NA,NA,no,region_9,2023,
clam,Almeja chocolata café,Megapitaria squalida,maximally harvested,no increase,yes,region_1,2023,"Within region variation in status, took most conservative"
clam,Almeja chocolata café,Megapitaria squalida,maximally harvested,no increase,yes,region_2,2023,"Within region variation in status, took most conservative"
clam,Almeja chocolata café,Megapitaria squalida,maximally harvested,no increase,yes,region_3,2023,"Within region variation in status, took most conservative"
clam,Almeja chocolata café,Megapitaria squalida,maximally harvested,no increase,yes,region_4,2023,"Within region variation in status, took most conservative"
clam,Almeja chocolata café,Megapitaria squalida,unclear,NA,yes,region_5,2023,"Within region variation in status, took most conservative"
clam,Almeja chocolata café,Megapitaria squalida,unclear,NA,yes,region_6,2023,"Within region variation in status, took most conservative"
clam,Almeja chocolata café,Megapitaria squalida,unclear,NA,yes,region_7,2023,"Within region variation in status, took most conservative"
