"Major_Functional_Group","recorded_taxa_group","estimated_genus_name","estimated_species_name","states","n_records_2000.2025"
"demersal marine fishes","PIERNA","caulolatilus","caulolatilus princeps","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",17510
"demersal marine fishes","RAYA Y SIMILARES","aetobatus","aetobatus narinari","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",1384
"demersal marine fishes","RAYA Y SIMILARES","dasyatis","dasyatis say","NAYARIT",1
"demersal marine fishes","RAYA Y SIMILARES","gymnura","gymnura crebripunctata","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",37
"demersal marine fishes","RAYA Y SIMILARES","hypanus","hypanus dipterurus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",31544
"demersal marine fishes","RAYA Y SIMILARES","mobula","mobula birostris","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",15698
"demersal marine fishes","RAYA Y SIMILARES","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",2885
"demersal marine fishes","RAYA Y SIMILARES","pseudobatos","pseudobatos glaucostigmus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA",851
"demersal marine fishes","RAYA Y SIMILARES","pseudobatos","pseudobatos productus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",17885
"demersal marine fishes","RAYA Y SIMILARES","rhinobatos","rhinobatos productus","NAYARIT",1
"demersal marine fishes","RAYA Y SIMILARES","rhinoptera","rhinoptera bonasus","BAJA CALIFORNIA, NAYARIT, SINALOA, SONORA",19
"demersal marine fishes","RAYA Y SIMILARES","urotrygon","urotrygon aspidura","JALISCO, NAYARIT, SINALOA, SONORA",14
"demersal marine fishes","RAYA Y SIMILARES",NA,"unknown","BAJA CALIFORNIA, NAYARIT, SINALOA",5
"demersal marine fishes","RAYA Y SIMILARES",NA,NA,"BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",5
"demersal marine fishes","ROBALO","centropomus","centropomus armatus","BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",111102
"demersal marine fishes","ROBALO","centropomus","centropomus nigrescens","BAJA CALIFORNIA, NAYARIT, SINALOA",286
"demersal marine fishes","ROBALO","centropomus","centropomus robalito","BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",78
"demersal marine fishes","ROBALO","morone","morone saxatilis","NAYARIT, SINALOA, SONORA",54
"demersal marine fishes","ROBALO","nei","nei","JALISCO, NAYARIT, SINALOA, SONORA",105
"demersal marine fishes","RONCO","haemulon","haemulon album","SINALOA",1
"demersal marine fishes","RONCO","haemulon","haemulon scudderii","BAJA CALIFORNIA SUR, NAYARIT, SINALOA",17
"demersal marine fishes","RONCO","haemulopsis","haemulopsis leuciscus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",10659
"demersal marine fishes","RONCO","lutjanus","lutjanus cyanopterus","BAJA CALIFORNIA SUR, SINALOA, SONORA",6
"demersal marine fishes","RONCO","menticirrhus","menticirrhus panamensis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",5612
"demersal marine fishes","RONCO","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",986
"demersal marine fishes","RUBIA Y VILLAJAIBA","lutjanus","lutjanus inermis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT",5
"demersal marine fishes","RUBIA Y VILLAJAIBA","lutjanus","lutjanus synagris","SINALOA",11
"demersal marine fishes","RUBIA Y VILLAJAIBA","nei","nei","BAJA CALIFORNIA, SINALOA, SONORA",1861
"demersal marine fishes","RUBIA Y VILLAJAIBA","ocyurus","ocyurus chrysurus","BAJA CALIFORNIA, SINALOA",4
"demersal marine fishes","RUBIO","haemulon","haemulon parra","NAYARIT, SINALOA, SONORA",5
"demersal marine fishes","RUBIO","haemulon","haemulon plumierii","NAYARIT, SINALOA, SONORA",29
"demersal marine fishes","RUBIO","lutjanus","lutjanus synagris","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",50
"diadromous fishes","OTRAS","anguilla","anguilla rostrata","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",10
"diadromous fishes","OTRAS","chanos","chanos chanos","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",7427
"echinoderms","ERIZO","mesocentrotus","mesocentrotus franciscanus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA",4319
"echinoderms","ERIZO","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA",1942
"echinoderms","ERIZO","strongylocentrotus","strongylocentrotus purpuratus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT",908
"echinoderms","ORNATO","luidia","luidia alternata","BAJA CALIFORNIA",1
"echinoderms","OTRAS","unknown","unknown","BAJA CALIFORNIA, SINALOA, SONORA",234
"echinoderms","PEPINO DE MAR","especies","especies asociadas","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, SINALOA, SONORA",1624
"echinoderms","PEPINO DE MAR",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA",9
"jellies","OTRAS","stomolophus","stomolophus meleagris","SINALOA, SONORA",15978
"marine algae","ALGAS","eucheuma","eucheuma uncinatum","SINALOA",2
"marine algae","ALGAS","gelidium","gelidium robustum","BAJA CALIFORNIA, BAJA CALIFORNIA SUR",606
"marine algae","ALGAS",NA,"unknown","BAJA CALIFORNIA",57
"marine algae","SARGAZO",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SONORA",323
"marine fishes nei","BESUGO","nei","nei","BAJA CALIFORNIA, SINALOA, SONORA",5
"marine fishes nei","CHARAL","chirostoma","chirostoma sphyraena","JALISCO, NAYARIT, SINALOA",103
"marine fishes nei","CHARAL","nei","nei","JALISCO, SINALOA",38
"marine fishes nei","ORNATO","unknown","unknown","BAJA CALIFORNIA",4
"marine fishes nei","OTRAS","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",6339
"marine fishes nei","OTRAS","unknown","unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",6
"marine or freshwater fishes nei","BAGRE","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",5527
"marine or freshwater fishes nei","BAGRE",NA,"unknown","JALISCO, SINALOA, SONORA",10
"marine or freshwater fishes nei","CARPA","mylopharyngodon","mylopharyngodon piceus","JALISCO, SINALOA, SONORA",6
"marine or freshwater fishes nei","CARPA","nei","nei","SONORA",5
"marine or freshwater fishes nei","CARPA",NA,"unknown","SINALOA, SONORA",8
"marine or freshwater fishes nei","MOJARRA","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",87883
"marine or freshwater fishes nei","MOJARRA",NA,"unknown","NAYARIT, SINALOA",2
"marine or freshwater fishes nei","TRUCHA","nei","nei","JALISCO, NAYARIT, SINALOA",120
"marine or freshwater fishes nei","TRUCHA","oncorhynchus","oncorhynchus mykiss","NAYARIT",2
"marine or freshwater fishes nei","TRUCHA",NA,"unknown","JALISCO, NAYARIT",2164
"marine species nei","OTRAS","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",23958
"molluscs excl. cephalopods","ABULON","haliotis","haliotis corrugata","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SONORA",80
"molluscs excl. cephalopods","ABULON","haliotis","haliotis cracherodii","BAJA CALIFORNIA",9
"molluscs excl. cephalopods","ABULON","haliotis","haliotis fulgens","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA",273
"molluscs excl. cephalopods","ABULON","haliotis","haliotis rufescens","BAJA CALIFORNIA",3
"molluscs excl. cephalopods","ABULON","haliotis","haliotis sorenseni","SINALOA, SONORA",2
"molluscs excl. cephalopods","ABULON","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",57
"molluscs excl. cephalopods","ALMEJA","amiantis","amiantis purpurata","BAJA CALIFORNIA SUR, SINALOA",2
"molluscs excl. cephalopods","ALMEJA","argopecten","argopecten ventricosus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",8758
"molluscs excl. cephalopods","ALMEJA","chione","chione fluctifraga","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",1442
"molluscs excl. cephalopods","ALMEJA","chione","chione californiensis","SINALOA",10
"molluscs excl. cephalopods","ALMEJA","dosinia","dosinia ponderosa","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",6473
"molluscs excl. cephalopods","ALMEJA","megapitaria","megapitaria aurantiaca","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",800
"molluscs excl. cephalopods","ALMEJA","megapitaria","megapitaria squalida","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",15042
"molluscs excl. cephalopods","ALMEJA","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",11731
"molluscs excl. cephalopods","ALMEJA","panopea","panopea generosa","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",12499
"molluscs excl. cephalopods","ALMEJA",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",23946
"molluscs excl. cephalopods","ALMEJA",NA,NA,"BAJA CALIFORNIA SUR",2281
"molluscs excl. cephalopods","CARACOL","hexaplex","hexaplex erythrostomus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",1775
"molluscs excl. cephalopods","CARACOL","hexaplex","hexaplex nigritus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",2414
"molluscs excl. cephalopods","CARACOL","lobatus","lobatus galeatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",638
"molluscs excl. cephalopods","CARACOL","megastraea","megastraea undosa","BAJA CALIFORNIA, BAJA CALIFORNIA SUR",382
"molluscs excl. cephalopods","CARACOL","megathura","megathura crenulata","BAJA CALIFORNIA",33
"molluscs excl. cephalopods","CARACOL","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",18100
"molluscs excl. cephalopods","CARACOL","triplofusus","triplofusus princeps","BAJA CALIFORNIA, JALISCO, SINALOA, SONORA",57
"molluscs excl. cephalopods","CARACOL","turbinella","turbinella angulata","SINALOA",1
"molluscs excl. cephalopods","CARACOL","turbo","turbo fluctuosus","BAJA CALIFORNIA, JALISCO, SINALOA, SONORA",329
"molluscs excl. cephalopods","CARACOL",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",950
"molluscs excl. cephalopods","OSTION","crassostrea","crassostrea gigas","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",1151
"molluscs excl. cephalopods","OSTION","crassostrea","crassostrea sikamea","BAJA CALIFORNIA SUR, SINALOA",3
"molluscs excl. cephalopods","OSTION","crassostrea","crassostrea gigas","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",5135
"molluscs excl. cephalopods","OSTION","magallana","magallana gigas","BAJA CALIFORNIA SUR, SINALOA",6
"molluscs excl. cephalopods","OSTION","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",12395
"molluscs excl. cephalopods","OSTION",NA,"unknown","BAJA CALIFORNIA SUR, NAYARIT, SINALOA",6763
"molluscs excl. cephalopods","OTRAS","atrina","atrina maura","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",288
"molluscs excl. cephalopods","OTRAS","mytilus","mytilus galloprovincialis","BAJA CALIFORNIA",8
"molluscs excl. cephalopods","OTRAS","mytilus","mytilus californianus","JALISCO, SONORA",18
"molluscs excl. cephalopods","OTRAS","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",532
"molluscs excl. cephalopods","OTRAS","pinna","pinna rugosa","BAJA CALIFORNIA SUR",1
"molluscs excl. cephalopods","OTRAS","unknown","unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",18706
"other marine invertebrates","OTRAS","actinia","actinia equina","SONORA",1
"other marine invertebrates","OTRAS","unknown","unknown","BAJA CALIFORNIA SUR, NAYARIT, SINALOA",14
"pelagic marine fish (excl. anchovy & sardine)","ATUN","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA",89
"pelagic marine fish (excl. anchovy & sardine)","ATUN","thunnus","thunnus albacares","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",9408
"pelagic marine fish (excl. anchovy & sardine)","ATUN","thunnus","thunnus alalunga","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",1357
"pelagic marine fish (excl. anchovy & sardine)","ATUN","thunnus","thunnus albacares","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA",1554
"pelagic marine fish (excl. anchovy & sardine)","ATUN","thunnus","thunnus obesus","BAJA CALIFORNIA SUR, SINALOA, SONORA",303
"pelagic marine fish (excl. anchovy & sardine)","BARRILETE","euthynnus","euthynnus lineatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",995
"pelagic marine fish (excl. anchovy & sardine)","BARRILETE","katsuwonus","katsuwonus pelamis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",5227
"pelagic marine fish (excl. anchovy & sardine)","BARRILETE","katsuwonus","katsuwonus pelamis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",505
"pelagic marine fish (excl. anchovy & sardine)","BONITO","caranx","caranx caballus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",357
"pelagic marine fish (excl. anchovy & sardine)","BONITO","sarda","sarda chiliensis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",1944
"pelagic marine fish (excl. anchovy & sardine)","CINTILLA","nei","nei","BAJA CALIFORNIA, NAYARIT, SINALOA, SONORA",6
"pelagic marine fish (excl. anchovy & sardine)","CINTILLA","trichiurus","trichiurus auriga","BAJA CALIFORNIA, JALISCO, NAYARIT, SINALOA, SONORA",493
"pelagic marine fish (excl. anchovy & sardine)","CINTILLA",NA,"unknown","SINALOA",1
"pelagic marine fish (excl. anchovy & sardine)","ESMEDREGAL","nei","nei","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",16
"pelagic marine fish (excl. anchovy & sardine)","ESMEDREGAL","seriola","seriola carpenteri","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",1321
"pelagic marine fish (excl. anchovy & sardine)","ESMEDREGAL",NA,"unknown","BAJA CALIFORNIA SUR",221
"pelagic marine fish (excl. anchovy & sardine)","JUREL","atherinopsis","atherinopsis californiensis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA",39
"pelagic marine fish (excl. anchovy & sardine)","JUREL","caranx","caranx bucculentus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",26
"pelagic marine fish (excl. anchovy & sardine)","JUREL","caranx","caranx caballus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",144
"pelagic marine fish (excl. anchovy & sardine)","JUREL","caranx","caranx lugubris","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",107
"pelagic marine fish (excl. anchovy & sardine)","JUREL","decapterus","decapterus muroadsi","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",53
"pelagic marine fish (excl. anchovy & sardine)","JUREL","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",9465
"pelagic marine fish (excl. anchovy & sardine)","JUREL","seriola","seriola lalandi","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",24035
"pelagic marine fish (excl. anchovy & sardine)","JUREL",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",1300
"pelagic marine fish (excl. anchovy & sardine)","JUREL",NA,NA,"BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",2006
"pelagic marine fish (excl. anchovy & sardine)","MACARELA","scomber","scomber japonicus","BAJA CALIFORNIA SUR, SINALOA, SONORA",5329
"pelagic marine fish (excl. anchovy & sardine)","MACARELA","scomber","scomber japonicus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",5777
"pelagic marine fish (excl. anchovy & sardine)","MACARELA",NA,"unknown","SONORA",3
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","ablennes","ablennes hians","BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA",2676
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","abudefduf","abudefduf troschelii","BAJA CALIFORNIA, BAJA CALIFORNIA SUR",67
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","belone","belone belone","BAJA CALIFORNIA SUR, SINALOA",47
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","brevoortia","brevoortia pectinata","BAJA CALIFORNIA SUR, SINALOA, SONORA",6
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","caranx","caranx hippos","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",262
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","caranx","caranx lugubris","SINALOA",1
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","caranx","caranx sexfasciatus","BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",12572
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","chloroscombrus","chloroscombrus orqueta","NAYARIT, SINALOA",13
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","coryphaena","coryphaena hippurus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",14244
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","ethmidium","ethmidium maculatum","BAJA CALIFORNIA SUR, NAYARIT, SINALOA",280
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","fistularia","fistularia petimba","SINALOA",10
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","hemicaranx","hemicaranx zelotes","NAYARIT, SINALOA, SONORA",162
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","hemiramphus","hemiramphus balao","SONORA",1
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","hemirhamphus","hemirhamphus brasiliensis","BAJA CALIFORNIA SUR, SONORA",3
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","istiophorus","istiophorus albicans","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",2520
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","makaira","makaira ampla","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",43
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","makaira","makaira indica","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",9
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",24832
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","oligoplites","oligoplites altus","NAYARIT, SINALOA, SONORA",703
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","peprilus","peprilus snyderi","BAJA CALIFORNIA SUR, JALISCO, NAYARIT",4
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","scomberomorus","scomberomorus sierra","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",462
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","selar","selar crumenophthalmus","NAYARIT, SINALOA, SONORA",4
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","selene","selene orstedii","JALISCO, SINALOA, SONORA",16
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","selene","selene peruviana","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",29789
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","sphyraena","sphyraena barracuda","NAYARIT, SINALOA",2
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","sphyraena","sphyraena ensis","NAYARIT, SINALOA, SONORA",1109
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","strongylura","strongylura exilis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA",88
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","tetrapturus","tetrapturus albidus","SINALOA",2
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","tetrapturus","tetrapturus audax","BAJA CALIFORNIA SUR, SINALOA, SONORA",74
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","trachinotus","trachinotus rhodopus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA",694
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","xiphias","xiphias gladius","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",2398
"pelagic marine fish (excl. anchovy & sardine)","OTRAS","unknown","unknown","BAJA CALIFORNIA SUR, SINALOA, SONORA",259
"pelagic marine fish (excl. anchovy & sardine)","PAMPANO","gnathanodon","gnathanodon speciosus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",73
"pelagic marine fish (excl. anchovy & sardine)","PAMPANO","trachinotus","trachinotus africanus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",9629
"pelagic marine fish (excl. anchovy & sardine)","PAMPANO","trachinotus","trachinotus rhodopus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",8727
"pelagic marine fish (excl. anchovy & sardine)","PAMPANO",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA",127
"pelagic marine fish (excl. anchovy & sardine)","RONCO","selene","selene brevoortii","SINALOA",3
"pelagic marine fish (excl. anchovy & sardine)","SIERRA","scomberomorus","scomberomorus sierra","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",127894
"sharks","CAZON","carcharhinus","carcharhinus acronotus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",27
"sharks","CAZON","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",35791
"sharks","CAZON","negaprion","negaprion brevirostris","BAJA CALIFORNIA SUR, SINALOA, SONORA",100
"sharks","CAZON","rhizoprionodon","rhizoprionodon longurio","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",10905
"sharks","CAZON","rhizorionodon","rhizorionodon terrenovae","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",45
"sharks","CAZON",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",72
"sharks","OTRAS","pristis","pristis pectinata","NAYARIT",2
"sharks","OTRAS","pseudocarcharias","pseudocarcharias kamoharai","BAJA CALIFORNIA SUR, SINALOA",3
"sharks","TIBURON","alopias","alopias pelagicus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",2140
"sharks","TIBURON","alopias","alopias superciliosus","NAYARIT, SINALOA",17
"sharks","TIBURON","alopias","alopias vulpinus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",2497
"sharks","TIBURON","alopias","alopias pelagicus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",612
"sharks","TIBURON","alopias","alopias superciliosus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA",354
"sharks","TIBURON","alopias","alopias vulpinus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA",170
"sharks","TIBURON","carcahrhinus","carcahrhinus limbatus","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",655
"sharks","TIBURON","carcharhinus","carcharhinus altimus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA",267
"sharks","TIBURON","carcharhinus","carcharhinus brevipinna","NAYARIT, SINALOA",2
"sharks","TIBURON","carcharhinus","carcharhinus falciformis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",3561
"sharks","TIBURON","carcharhinus","carcharhinus leucas","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",8738
"sharks","TIBURON","carcharhinus","carcharhinus limbatus","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",199
"sharks","TIBURON","carcharhinus","carcharhinus obscurus","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",118
"sharks","TIBURON","carcharhinus","carcharhinus plumbeus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",52
"sharks","TIBURON","carcharhinus","carcharhinus altimus","NAYARIT, SINALOA, SONORA",245
"sharks","TIBURON","carcharhinus","carcharhinus brachyurus","BAJA CALIFORNIA SUR, SINALOA, SONORA",5
"sharks","TIBURON","carcharhinus","carcharhinus falciformis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",2171
"sharks","TIBURON","carcharhinus","carcharhinus leucas","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",16672
"sharks","TIBURON","carcharhinus","carcharhinus limbatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",1133
"sharks","TIBURON","carcharhinus","carcharhinus longimanus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",136
"sharks","TIBURON","carcharhinus","carcharhinus plumbeus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",115
"sharks","TIBURON","carcharhinus","carcharhinus porosus","BAJA CALIFORNIA SUR, SINALOA",8
