"Major_Functional_Group","recorded_taxa_group","estimated_genus_name","estimated_species_name","states","n_records_2000.2025"
"demersal marine fishes","BERRUGATA","micropogonias","micropogonias megalops","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",38231
"demersal marine fishes","BERRUGATA","nei","nei","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",20
"demersal marine fishes","BERRUGATA",NA,"unknown","BAJA CALIFORNIA, NAYARIT, SINALOA, SONORA",118
"demersal marine fishes","CABRILLA","epinephelus","epinephelus labriformis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, SINALOA, SONORA",283
"demersal marine fishes","CABRILLA","mycteroperca","mycteroperca acutirostris","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",37727
"demersal marine fishes","CABRILLA","mycteroperca","mycteroperca prionura","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",610
"demersal marine fishes","CABRILLA","mycteroperca","mycteroperca rosacea","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SONORA",19
"demersal marine fishes","CABRILLA","paralabrax","paralabrax auroguttatus","BAJA CALIFORNIA SUR, SINALOA, SONORA",8
"demersal marine fishes","CABRILLA","paralabrax","paralabrax maculatofasciatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",35
"demersal marine fishes","CABRILLA","paralabrax","paralabrax nebulifer","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",7043
"demersal marine fishes","CABRILLA",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",35
"demersal marine fishes","CARPA","balistes","balistes polylepis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, SINALOA, SONORA",60
"demersal marine fishes","CORVINA","cynoscion","cynoscion acoupa","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",129711
"demersal marine fishes","CORVINA","cynoscion","cynoscion parvipinnis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",72
"demersal marine fishes","CORVINA","cynoscion","cynoscion reticulatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",11943
"demersal marine fishes","CORVINA","cynoscion","cynoscion xanthulus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",2846
"demersal marine fishes","CORVINA","larimus","larimus effulgens","NAYARIT, SINALOA, SONORA",637
"demersal marine fishes","CORVINA","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",22702
"demersal marine fishes","GUACHINANGO","lutjanus","lutjanus campechanus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",46795
"demersal marine fishes","GUACHINANGO","lutjanus","lutjanus spp","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",41763
"demersal marine fishes","GUACHINANGO","lutjanus","lutjanus guttatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA",8940
"demersal marine fishes","GUACHINANGO","lutjanus","lutjanus peru","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",8452
"demersal marine fishes","LEBRANCHA","mugil","mugil curema","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",669
"demersal marine fishes","LEBRANCHA",NA,"unknown","JALISCO, NAYARIT",1416
"demersal marine fishes","LENGUADO","achirus","achirus mazatlanus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR",2
