"state_reported","office_name_reported","landing_site_reported","year_reported","month_reported","receipt_date_reported","period_start_reported","period_end_reported","eu_rnpa_reported","eu_name_reported","vessel_rnpa_reported","vessel_name_reported","fleet_reported","aquaculture_reported","est_aquaculture_production","est_sector","taxa_group_reported","est_taxa_group","taxa_name_reported","clean_taxa_name","common_name_clean","scientific_name_reported","est_Major_Functional_Group","landed_weight_reported","live_weight_reported","est_weight_kg","value_reported"
"BAJA CALIFORNIA SUR","SANTA ROSALIA","SANTA ROSALIA (B.C.S.)",2009,4,2009-04-28,2009-04-25,2009-04-27,"0312002348","SCPP EL BOLEO SC DE RL","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","CALAMAR","CALAMAR","CALAMAR CABEZA DE","CALAMAR","calamar",NA,"cephalopods",2400,0,2400,4800
"SONORA","GUAYMAS","GUAYMAS",2006,12,2006-12-27,2006-12-04,2006-12-24,"2604009171","PESQUERA SON MAR DEL PACIFICO SA DE CV","00049395","DORADO DE VILLA IX",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON CAFE DESC. FCO.","CAMARON CAFE","camaron cafe",NA,"shrimps, prawns",1474,2358.4,2358.4,103180
"NAYARIT","SAN BLAS","ESTERO EL POZO (MARGEN IZQUIERDA)",2010,2,2010-02-15,2010-02-13,2010-02-15,"1802001238","SILVERIO REGALADO MIRAMONTES","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","TIBURON","TIBURON","TORO ENT. FCO.","TORO","toro",NA,"sharks",94,94,94,188
"SINALOA","ESCUINAPA","PLAYA TEACAPAN",2025,5,2025-05-02,2025-04-29,2025-05-01,"2504002201","CANDELARIO IBARRA  MARTINEZ","0000000_",NA,"small_scale","no","possibly aquaculture","marine: small-scale capture","MOJARRA","MOJARRA","MOJARRA BLANCA ENT. FCA.","MOJARRA BLANCA","mojarra blanca",NA,"demersal marine fishes",50,50,50,600
"SINALOA","CULIACAN","LAGUNA LAS FLORES Y GOLFO DE MEXICO",2001,4,2001-04-12,2001-02-21,2001-02-21,"2501001040","SCPP DE AGUAS DULCES LA NICARAGÜENSE SC DE RL DE CV","00000000","",NA,"no","not aquaculture","freshwater or marine: fishery sector yet to be classified","BAGRE","BAGRE","BAGRE DESV. FCO.","BAGRE","bagre",NA,"marine or freshwater fishes nei",311,342.1,342.1,3110
"SINALOA","CULIACAN","DIQUE MARIQUITAS",2008,9,2008-09-24,2008-09-23,2008-09-24,"2502000108","SCPP BOCA DEL RIO SAN LORENZO SCL","00000000","",NA,"no","possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON DE ESTERO ENT. FCO.","CAMARON ESTERO","camaron estero",NA,"shrimps, prawns",331,331,331,7613
"BAJA CALIFORNIA SUR","LA PAZ","PUNTA BENTONITA",2006,6,2006-06-22,2006-06-19,2006-06-21,"0305006231","SCPP ACUACULTURAL AVI-GAR SC DE RL","00000000","",NA,NA,"unlikely aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","CONEJO DESV. FCO.","CONEJO","conejo",NA,"demersal marine fishes",800,880,880,4000
"JALISCO","PUERTO VALLARTA","EL SALADO",2005,5,2005-05-06,2005-05-04,2005-05-06,"1406000875","S.C.P.P. LA MAJAHUITA DE VALLARTA, S.C. DE R.L.","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","GUACHINANGO","GUACHINANGO","GUACHINANGO ENT. FCO. (LUTJANUS SPP)","GUACHINANGO (LUTJANUS SPP)","guachinango","Lutjanus Spp","demersal marine fishes",300,300,300,10500
"NAYARIT","SAN BLAS","BOCA DEL ASADERO",2016,8,2016-08-13,2016-08-11,2016-08-13,"1802002335","PEDRO MORA VENTURA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","BERRUGATA","BERRUGATA","CHANO ENT. FCO.","CHANO","chano",NA,"demersal marine fishes",25,25,25,425
"SINALOA","LA REFORMA","LA REFORMA",2019,8,2019-08-05,2019-08-02,2019-08-04,"2506002118","ARMANDO VERDUGO PAYAN","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","JAIBA","JAIBA","JAIBA ENT. FCA.","JAIBA","jaiba",NA,"crustaceans",350,350,350,7350
"SINALOA","ESCUINAPA","LAGUNA LAS FLORES Y GOLFO DE MEXICO",2001,11,2001-11-06,2001-08-19,2001-08-19,"2504000098","SC. DE ALT. DE ACT. DIVERSAS Y TUR. LA BOCA DE TEACAPAN, S.C. DE RL. DE C.V.","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","BOTETE FILETE DE FCO.","BOTETE","botete",NA,"demersal marine fishes",410,820,820,8200
"SONORA","CD. OBREGON","PAREDONCITO",2021,12,2021-12-06,2021-12-03,2021-12-05,"2602007227","MAX EL MARINERO SC DE RL","0000000_",NA,"small_scale","no","possibly aquaculture","marine: small-scale capture","CAMARON","CAMARON","CAMARON AZUL DESC. FCO.","CAMARON AZUL","camaron azul",NA,"shrimps, prawns",100,160,160,18000
"NAYARIT","TECUALA","CANAL DE CUAUTLA",2010,2,2010-02-04,2010-02-02,2010-02-04,"1803000163","PEDRO RUESGA GARCIA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","BANDERA","BANDERA","CHIHUIL DESV. FCO.","CHIHUIL","chihuil",NA,"demersal marine fishes",1500,1650,1650,10500
"SINALOA","GUASAVE","EL TORTUGO",2016,4,2016-04-10,2016-04-08,2016-04-10,"2505000279","SCPP PESCADORES DE LA BAHIA DE MACAPULE S DE RL DE CV","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","BANDERA","BANDERA","CHIHUIL DESV. FCO.","CHIHUIL","chihuil",NA,"demersal marine fishes",20,22,22,300
"SINALOA","ESCUINAPA","LAGUNA LAS FLORES Y GOLFO DE MEXICO",2003,4,2003-04-12,NA,NA,"2504001161","JOSE TRINIDAD IBARRA PEREZ","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","GUACHINANGO","GUACHINANGO","GUACHITO ENT. FCO.","GUACHITO","guachito",NA,"demersal marine fishes",50,50,50,750
"SINALOA","MAZATLAN","PUENTE JUAREZ",2015,5,2015-05-22,2015-05-14,2015-05-22,"2508016918","ISABEL REY OLIVAS MILLAN","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","PARGO","GUACHINANGO","PARGO ENT. FCO.","PARGO","pargo",NA,"demersal marine fishes",49,49,49,2940
"SINALOA","MAZATLAN","MAZATLAN",2010,1,2010-01-25,2010-01-20,2010-01-22,"2508009525","MAZ SARDINA, SA DE CV","00055863","MAZ SARDINA I",NA,NA,"unlikely aquaculture","marine: fishery sector yet to be classified","SARDINA","SARDINA","SARDINA BOCONA ENT. FCA.","SARDINA BOCONA","sardina bocona",NA,"anchovy & sardine (small pelagics)",200000,232000,232000,200000
"SONORA","GUAYMAS","BAHIA DE LOBOS",2006,12,2006-12-14,2006-12-14,2006-12-14,"2602001162","SCPP EL PULPO SCL","00000000","",NA,NA,"not aquaculture","marine: fishery sector yet to be classified","CALAMAR","CALAMAR","CALAMAR CABEZA DE","CALAMAR","calamar",NA,"cephalopods",7000,0,7000,7000
"SINALOA","MAZATLAN","PLAYA SUR",2016,4,2016-04-06,2016-03-31,2016-04-06,"2508013337","NORMA ELIZABETH ROBLES MONROY","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","BANDERA","BANDERA","CHIHUIL ENT. FCO.","CHIHUIL","chihuil",NA,"demersal marine fishes",95,95,95,760
"NAYARIT","TUXPAN","CHIRIMOYO, EL",2020,8,2020-08-11,2020-08-04,2020-08-08,"1805001045","SCPP Y A FRAT DE PESC DE PIMIENTILLO SC DE RL DE CV","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","ROBALO","ROBALO","CONSTANTINO ENT. FCO.","CONSTANTINO","constantino",NA,"demersal marine fishes",234,234,234,7020
"SINALOA","LA REFORMA","LA REFORMA",2018,10,2018-10-19,2018-10-16,2018-10-18,"2506002365","LUCIA BERENICE BELTRAN VELARDE","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","LISA","LISA","LISA ENT. FCA. (MUGIL CEPHALUS)","LISA (MUGIL CEPHALUS)","lisa","Mugil Cephalus","demersal marine fishes",800,800,800,12000
"SONORA","PUERTO PEÑASCO","PUERTO PEÑASCO",2019,11,2019-11-06,2019-09-30,2019-11-06,"2508005382","PESCA INDUSTRIAL MAROS, SA DE CV","00050245","INDOMABLE","large_scale",NA,"unlikely aquaculture","marine: large-scale capture","PARGO","GUACHINANGO","PARGO ENT. FCO.","PARGO","pargo",NA,"demersal marine fishes",1063,1063,1063,0
"SINALOA","NAVOLATO","CAMPO PESQUERO LAS AGUAMITAS",2010,10,2010-10-01,2010-09-24,2010-10-01,"2509000408","SCPP BARRA DE LA TONINA SC DE RL DE CV","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","CAZON","CAZON","CAZON DESV. Y DESC. FCO.","CAZON","cazon",NA,"sharks",250,312.5,312.5,5000
"NAYARIT","TECUALA","PLAYA DE NOVILLERO",2018,10,2018-10-17,2018-10-15,2018-10-17,"1803001260","DILVER CEJA VIRGEN","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","TIBURON","TIBURON","ANGELITO DESV. FCO. (SQUATINA SQUATINA)","ANGELITO (SQUATINA SQUATINA)","angelito","Squatina Squatina","sharks",500,550,550,12500
"BAJA CALIFORNIA SUR","SANTA ROSALIA","SANTA ROSALIA (B.C.S.)",2015,11,2015-11-06,2015-11-04,2015-11-06,"0312001233","FRANCISCO JAVIER YGNACIO ACEVES MURUA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","COCHI DESV. FCO.","COCHI","cochi",NA,"demersal marine fishes",91,100.1,100.1,1092
"SINALOA","MAZATLAN","EMBARCADERO ISLA DE LA PIEDRA",2019,7,2019-07-31,2019-07-25,2019-07-31,"2508012461","PABLO PEREZ PONCE","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","OTRAS","OTRAS","BURRO ENT. FCO.","BURRO","burro",NA,"demersal marine fishes",60,60,60,600
"SINALOA","MAZATLAN","ISLA DE LA PIEDRA",2009,9,2009-09-16,2009-09-03,2009-09-15,"2508013493","GABRIEL RIVAS PEINADO","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","LISA","LISA","LISETA ENT. FCA.","LISETA","liseta",NA,"demersal marine fishes",50,50,50,250
"SONORA","GOLFO DE SANTA CLARA","GOLFO DE SANTA CLARA",2021,7,2021-07-19,2021-07-16,2021-07-16,"2603000593","SCPP BAJAMAR SC DE RL","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","OTRAS","OTRAS","MEDUSA BOLA DE CAÑON ENT. FCA.","MEDUSA BOLA CAÑON","medusa bola cañon",NA,"jellies",12000,12000,12000,48000
"SINALOA","MAZATLAN","MAZATLAN",2015,10,2015-10-13,2015-09-27,2015-10-10,"2508008501","PESQUERA ZULEMA, SA DE CV","00018416","LA NIÑA",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON CAFE DESC. FCO.","CAMARON CAFE","camaron cafe",NA,"shrimps, prawns",2,3.2,3.2,140
"SINALOA","MAZATLAN","ESTERO DE URIAS",2022,10,2022-10-12,NA,2022-07-15,"2508012503","PEDRO URIBE OSUNA","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","BARRILETE","BARRILETE","BARRILETE ENT. FCO. (KATSUWONUS PELAMIS)","BARRILETE (KATSUWONUS PELAMIS)","barrilete","Katsuwonus Pelamis","pelagic marine fish (excl. anchovy & sardine)",25,25,25,275
"SONORA","CD. OBREGON","PAREDONCITO",2018,1,2018-01-07,2018-01-05,2018-01-07,"2602001261","SCPP EL PESCADOR SC DE RL","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","JAIBA","JAIBA","JAIBA ENT. FCA.","JAIBA","jaiba",NA,"crustaceans",1600,1600,1600,40000
"NAYARIT","TUXPAN","CHIRIMOYO, EL",2017,9,2017-09-19,2017-09-16,2017-09-19,"1805001409","CANDELARIA DEL VILLAR AVILA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","LISA","LISA","LISETA ENT. FCA.","LISETA","liseta",NA,"demersal marine fishes",640,640,640,4480
"SINALOA","GUASAVE","SITIO EMB DESEM GENERICO",2004,3,2004-03-25,2004-01-01,2004-01-01,"2505000709","SCPP CERRO DEL TEROME S DE RL DE CV","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","BANDERA","BANDERA","CHIHUIL ENT. FCO.","CHIHUIL","chihuil",NA,"demersal marine fishes",31,31,31,93
"NAYARIT","SAN BLAS","ESTERO EL POZO (MARGEN IZQUIERDA)",2013,3,2013-03-04,2013-03-02,2013-03-04,"1802002228","JESUS ALEJANDRO BERNAL FREGOSO","00000000","",NA,"no","possibly aquaculture","freshwater or marine: fishery sector yet to be classified","MOJARRA","MOJARRA","MOJARRA ENT. FCA.","MOJARRA","mojarra",NA,"marine or freshwater fishes nei",150,150,150,1500
"SINALOA","MAZATLAN","EMBARCADERO ISLA DE LA PIEDRA",2014,7,2014-07-30,2014-07-21,2014-07-30,"2508012800","ELIAS NARCISO FLORES ESPINOZA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","BURRO ENT. FCO.","BURRO","burro",NA,"demersal marine fishes",50,50,50,1000
"NAYARIT","SAN BLAS","LA NUEVA """"U""""",2014,1,2014-01-21,2014-01-15,2014-01-21,"1802002640","VICTOR  MANUEL  SOTELO  RENDON","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","TIBURON","TIBURON","TIBURON DESV. Y DESC. FCO.","TIBURON","tiburon",NA,"sharks",3400,5100,5100,20400
"NAYARIT","PEÑITA DE JALTEMBA","RINCON DE GUAYABITOS",2018,8,2018-08-09,2018-08-07,2018-08-09,"1801001304","ULISES GODINEZ CONTRERAS","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","PARGO","GUACHINANGO","PARGO DESV. FCO.","PARGO","pargo",NA,"demersal marine fishes",130,143,143,7800
"SINALOA","MAZATLAN","MAZATLAN",2000,1,2000-01-24,2000-01-01,2000-01-01,"9999999999","NO DISPONIBLE","00014712","SILVANA I (SANDRA KORINA I, ALLENDE VII)",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON DE ALTA MAR DESC. FCO.","CAMARON","camaron",NA,"shrimps, prawns",263,420.8,420.8,31823
"BAJA CALIFORNIA","BAHIA DE LOS ANGELES","BAHIA DE LOS ANGELES",2005,5,2005-05-20,2005-05-16,2005-05-20,"0203010269","ERIK JOSUE MANCILLA AVALOS","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","RAYA Y SIMILARES","RAYA Y SIMILARES","MANTA ALETA DE FCA.","MANTA","manta",NA,"demersal marine fishes",10,20,20,70
"NAYARIT","PEÑITA DE JALTEMBA","PLAYA DE LA PEÑITA DE JALTEMBA",2009,3,2009-03-04,2009-03-02,2009-03-04,"1801000603","MA DEL CARMEN SANDOVAL LEDESMA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","CHABELITA ENT. FCA.","CHABELITA","chabelita",NA,"pelagic marine fish (excl. anchovy & sardine)",40,40,40,320
"SINALOA","CULIACAN","LOS PUENTES",2022,12,2022-12-12,2022-12-10,2022-12-12,"2501005769","DAVID GUSTAVO SANCHEZ CASTAÑOS","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","BANDERA","BANDERA","CHIHUIL ENT. FCO.","CHIHUIL","chihuil",NA,"demersal marine fishes",1400,1400,1400,16800
"SONORA","CD. OBREGON","PAREDONCITO",2017,10,2017-10-12,2017-10-10,2017-10-12,"2602401305","JEMASO SC DE RL DE CV","00000000","",NA,"no","possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON AZUL DESC. FCO.","CAMARON AZUL","camaron azul",NA,"shrimps, prawns",1000,1600,1600,120000
"BAJA CALIFORNIA","BAHIA DE LOS ANGELES","LAGUNA LAS FLORES Y GOLFO DE MEXICO",2003,5,2003-05-21,2003-08-17,2003-08-17,"0203012455","CHRISTIAN ZEFERINO MANCILLA AVALOS","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","PARGO","GUACHINANGO","PARGO ENT. FCO.","PARGO","pargo",NA,"demersal marine fishes",16,16,16,96
"SINALOA","ESCUINAPA","LA BRECHA",2007,6,2007-06-23,2007-06-18,2007-06-23,"2504001567","SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA PESCADORES DE LA BRECHA SC DE RL","00000000","",NA,"yes","aquaculture","marine: aquaculture","CORVINA","CORVINA","CORVINA DESV. FCA.","CORVINA","corvina",NA,"demersal marine fishes",6,6.6,6.6,150
"NAYARIT","TUXPAN","LAGUNA LAS FLORES Y GOLFO DE MEXICO",2003,6,2003-06-16,2003-01-16,2003-01-16,"1805000708","SCPP Y AC GRANJEROS DE PERICOS SC DE RL DE CV","00000000","",NA,"no","possibly aquaculture","freshwater or marine: fishery sector yet to be classified","MOJARRA","MOJARRA","MOJARRA ENT. FCA.","MOJARRA","mojarra",NA,"marine or freshwater fishes nei",345,345,345,2415
"NAYARIT","PEÑITA DE JALTEMBA","LAGUNA LAS FLORES Y GOLFO DE MEXICO",2003,3,2003-03-01,2003-04-16,2003-04-16,"1801000744","COSTA DE CHILA PEÑITA Y BOCA DE AMECA SC RL CV","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","CAZON","CAZON","CAZON DESV. Y DESC. FCO.","CAZON","cazon",NA,"sharks",185,231.25,231.25,3700
"BAJA CALIFORNIA SUR","LA PAZ","PUNTA BENTONITA",2022,12,2022-12-17,2022-12-16,2022-12-16,"0305006678","LA ALMEJITA SCP","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","RAYA Y SIMILARES","RAYA Y SIMILARES","PEZ GUITARRA ENT. FCO.","PEZ GUITARRA","pez guitarra",NA,"demersal marine fishes",67,67,67,603
"SINALOA","MAZATLAN","MAZATLAN",2011,10,2011-10-07,2011-09-20,2011-10-05,"2508006828","PESQUERA LENA, SA DE CV","00055418","DOÑA CELIA U",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON AZUL DESC. FCO.","CAMARON AZUL","camaron azul",NA,"shrimps, prawns",4652,7443.2,7443.2,558240
"SINALOA","MAZATLAN","EMBARCADERO ISLA DE LA PIEDRA",2015,12,2015-12-03,2015-11-16,2015-11-30,"2508013725","CONCEPCION ROSAS RAMOS","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","CHABELITA ENT. FCA.","CHABELITA","chabelita",NA,"pelagic marine fish (excl. anchovy & sardine)",68,68,68,476
"NAYARIT","SAN BLAS","LA NUEVA U",2008,12,2008-12-15,2008-12-13,2008-12-15,"1802002079","CARLOS CARDENAS GARCIA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","BURRO ENT. FCO.","BURRO","burro",NA,"demersal marine fishes",15,15,15,150
"BAJA CALIFORNIA SUR","SANTA ROSALIA","EL CARDON",2022,3,2022-03-03,2022-03-01,2022-03-03,"0312002124","SCPP PESCADORES DE SAN IGNACIO SC DE RL DE CV","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","BERRUGATA","BERRUGATA","BOCADULCE DESV. FCA.","BOCADULCE","bocadulce",NA,"demersal marine fishes",373,410.3,410.3,7460
"NAYARIT","SAN BLAS","RAMPA, LA (DARSENA NO. 1)",2016,1,2016-01-28,2016-01-20,2016-01-28,"1802001311","ROBERTO FLETES BAÑUELOS","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","BANDERA","BANDERA","CHIHUIL ENT. FCO.","CHIHUIL","chihuil",NA,"demersal marine fishes",300,300,300,1800
"NAYARIT","SAN BLAS","LA NUEVA ""U""",2025,2,2025-02-26,2025-02-13,2025-02-26,"1802001816","SOCIEDAD COOPERATIVA  CERRO DE LA CANTADURIA DE RL DE CV","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","OTRAS","OTRAS","BURRO ENT. FCO.","BURRO","burro",NA,"demersal marine fishes",1325,1325,1325,26500
"SINALOA","LOS MOCHIS","LA CAIMANERA",2024,3,2024-03-15,2024-03-07,2024-03-09,"2511002046","SCPP DE SERV LA CAIMANERA SC DE RL","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","OTRAS","OTRAS","BOTETE FILETE DE FCO.","BOTETE","botete",NA,"demersal marine fishes",32,64,64,2560
"SINALOA","GUASAVE","EL HUITUSSI",2023,7,2023-07-22,2023-07-22,2023-07-22,"2505000261","SCPP UNION DE PESCADORES DEL RIO SINALOA S DE RL DE CV","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","JAIBA","JAIBA","JAIBON ENT. FCO.","JAIBON","jaibon",NA,"crustaceans",110,110,110,4950
"SINALOA","MAZATLAN","MAZATLAN",2015,11,2015-11-04,2015-09-27,2015-11-03,"2508016843","PESQUERA MONETO, SA DE CV","00013847","MONETO II (CRISTO, RIO SINALOA I)",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON AZUL DESC. FCO.","CAMARON AZUL","camaron azul",NA,"shrimps, prawns",172,275.2,275.2,17200
"SINALOA","LOS MOCHIS","CAMPO PESQUERO BACOREHUIS",2008,9,2008-09-25,2008-09-22,2008-09-24,"2507000475","SCPP SYLVIA RAMIREZ SC DE RL","00000000","",NA,"no","possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON DE ESTERO DESC. FCO.","CAMARON ESTERO","camaron estero",NA,"shrimps, prawns",546,873.6,873.6,43680
"NAYARIT","SAN BLAS","LA NUEVA ""U""",2021,5,2021-05-05,2021-05-03,2021-05-05,"1802002590","LEONARDO   RUIZ  ROBLES","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","BANDERA","BANDERA","CHIHUIL ENT. FCO.","CHIHUIL","chihuil",NA,"demersal marine fishes",500,500,500,3500
"SINALOA","LOS MOCHIS","LAS LAJITAS",2020,12,2020-12-29,2020-12-27,2020-12-29,"2507005318","SCPP RIBEREÑA RICARDO BELTRAN CASTRO SCL","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","JAIBA","JAIBA","JAIBA ENT. FCA.","JAIBA","jaiba",NA,"crustaceans",2000,2000,2000,60000
"JALISCO","PUERTO VALLARTA","ESTERO AGUA DULCE",2018,2,NA,2018-02-01,2018-02-08,"1406000016","SCPP LA CRUZ DE LORETO SC DE RL DE CV","0000000_",NA,"small_scale","no","possibly aquaculture","marine: small-scale capture","CAMARON","CAMARON","CAMARON BLANCO ENT. FCO. (LITOPENAEUS VANNAMEI)","CAMARON BLANCO (LITOPENAEUS VANNAMEI)","camaron blanco","Litopenaeus Vannamei","shrimps, prawns",297,297,297,29700
"SONORA","GUAYMAS","GUAYMAS",2006,2,2006-02-16,2006-02-03,2006-02-13,"2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","00024133","DAGIO I",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON CAFE DESC. FCO.","CAMARON CAFE","camaron cafe",NA,"shrimps, prawns",350,560,560,15750
"SINALOA","LOS MOCHIS","LA BALLENA",2017,1,2017-01-13,2017-01-10,2017-01-12,"2507007090","SCPP ACUICOLA Y DE SERVICIOS ESTERO DON GONO SC DE RL DE CV","00000000","",NA,"no","possibly aquaculture","marine: fishery sector yet to be classified","ALMEJA","ALMEJA","ALMEJA PATA DE MULA ENT. FCA.","ALMEJA PATA MULA","almeja pata mula",NA,"molluscs excl. cephalopods",400,400,400,8000
"SINALOA","EL ROSARIO","SITIO LA DRAGA",2019,11,2019-11-25,2019-11-22,2019-11-24,"2510000306","EDUARDO OSUNA SALAS","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","BANDERA","BANDERA","CHIHUIL ENT. FCO.","CHIHUIL","chihuil",NA,"demersal marine fishes",900,900,900,3600
"SINALOA","NAVOLATO","EL CASTILLO",2020,9,2020-09-10,2020-09-08,2020-09-10,"2509000713","SCPP TEODORO CERVANTES PEREZ S DE RL DE CV","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","PARGO","GUACHINANGO","PARGO DESV. FCO.","PARGO","pargo",NA,"demersal marine fishes",500,550,550,50000
"BAJA CALIFORNIA SUR","SANTA ROSALIA","SANTA ROSALIA (B.C.S.)",2008,2,2008-02-11,2008-02-09,2008-02-11,"0312002579","SCPP CUESTA HNO SC DE RL","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","CABRILLA","CABRILLA","CABRILLA DESV. FCA.","CABRILLA","cabrilla",NA,"demersal marine fishes",80,88,88,2400
"SINALOA","MAZATLAN","MAZATLAN",2016,10,2016-10-14,2016-09-20,2016-10-12,"2508005366","OPERADORA MARITIMA DEL PACIFICO, SA DE CV","00055210","VICTORIA XVIII",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON CAFE DESC. FCO.","CAMARON CAFE","camaron cafe",NA,"shrimps, prawns",1989,3182.4,3182.4,238680
"SINALOA","GUASAVE","LA PITAHAYA",2011,3,2011-03-07,2011-03-04,2011-03-06,"2505001640","ARMANDO  TAPIA MEZA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","PAYASO DESV. FCO.","PAYASO","payaso",NA,"demersal marine fishes",800,880,880,11200
"SINALOA","GUASAVE","BOCANITA",2009,12,2009-12-06,2009-12-04,2009-12-06,"2505000915","SCPP VEINTIDOS QUINCE S DE RL DE CV","00000000","",NA,"no","possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON AZUL ENT. FCO.","CAMARON AZUL","camaron azul",NA,"shrimps, prawns",123,123,123,6150
"BAJA CALIFORNIA SUR","LA PAZ","PUNTA BENTONITA",2015,5,2015-05-02,2015-04-30,2015-05-01,"0305006678","LA ALMEJITA SOCIEDAD COOPERATIVA SCP","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","LENGUADO","LENGUADO","LENGUA DESV. FCA.","LENGUA","lengua",NA,"demersal marine fishes",600,660,660,3600
"BAJA CALIFORNIA SUR","LORETO","SAN NICOLAS",2021,7,2021-07-30,2021-07-29,2021-07-30,"0306001827","SCPP HERMANOS CALDERON SC DE RL DE CV","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","GUACHINANGO","GUACHINANGO","GUACHINANGO ENT. FCO. (LUTJANUS SPP)","GUACHINANGO (LUTJANUS SPP)","guachinango","Lutjanus Spp","demersal marine fishes",108,108,108,5400
"NAYARIT","PEÑITA DE JALTEMBA","RINCON DE GUAYABITOS",2018,7,2018-07-20,2018-07-18,2018-07-20,"1801001353","MAURICIO PARTIDA RIVERA","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","OTRAS","OTRAS","BOTA ENT. FCA.","BOTA","bota",NA,"demersal marine fishes",80,80,80,2000
"BAJA CALIFORNIA SUR","LA PAZ","SITIO EMB DESEM GENERICO",2004,5,2004-05-24,2004-01-01,2004-01-01,"0305001315","JUAN JESUS FLORES","00000000","",NA,"no","possibly aquaculture","marine: fishery sector yet to be classified","ALMEJA","ALMEJA","ALMEJA CHOCOLATA ENT. FCA.","ALMEJA CHOCOLATA","almeja chocolata",NA,"molluscs excl. cephalopods",6000,6000,6000,36000
