"state_reported","office_name_reported","landing_site_reported","year_reported","month_reported","receipt_date_reported","period_start_reported","period_end_reported","eu_rnpa_reported","eu_name_reported","vessel_rnpa_reported","vessel_name_reported","fleet_reported","aquaculture_reported","est_aquaculture_production","est_sector","taxa_group_reported","est_taxa_group","taxa_name_reported","clean_taxa_name","common_name_clean","scientific_name_reported","est_Major_Functional_Group","landed_weight_reported","live_weight_reported","est_weight_kg","value_reported"
"SINALOA","LOS MOCHIS","LAZARO CARDENAS",2025,4,2025-04-05,2025-04-01,2025-04-04,"2505000352","SCPP PESCADORES DEL JIPON SC DE RL","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","JAIBA","JAIBA","JAIBA VERDE / GUERRERA / CAFE / JAIBON ENT. FCO.","JAIBA VERDE GUERRERA CAFE JAIBON","jaiba verde guerrera cafe jaibon",NA,"crustaceans",300,300,300,9000
"SINALOA","GUASAVE","EL HUITUSSI",2017,9,2017-09-11,2017-09-11,2017-09-11,"2505000717","SCPP HORACIO FIERRO LOPEZ S. DE R.L DE C.V.","00000000","",NA,"no","possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON AZUL DESC. FCO.","CAMARON AZUL","camaron azul",NA,"shrimps, prawns",160,256,256,19200
"SINALOA","MAZATLAN","ESTERO DE URIAS",2011,1,2011-01-31,2011-01-15,2011-01-31,"2508012321","JUAN SIMON AVILES DIAZ","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","BANDERA","BANDERA","CHIHUIL ENT. FCO.","CHIHUIL","chihuil",NA,"demersal marine fishes",50,50,50,150
"SINALOA","MAZATLAN","EMBARCADERO ISLA DE LA PIEDRA",2014,6,2014-06-25,2014-06-16,2014-06-25,"2508012347","ISRAEL TIRADO CARDENAS","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","CORVINA","CORVINA","CORVINA GRANIZA ENT. FCA.","CORVINA GRANIZA","corvina graniza",NA,"demersal marine fishes",60,60,60,600
"NAYARIT","TECUALA","MORILLOS, LOS",2005,12,2005-12-06,2005-12-04,2005-12-06,"1803000510","SCPP Y AC UNION DE MORILLOS SC DE RL DE CV","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","BANDERA","BANDERA","CHIHUIL DESV. FCO.","CHIHUIL","chihuil",NA,"demersal marine fishes",700,770,770,4900
"SONORA","PUERTO LIBERTAD","PUERTO LIBERTAD",2025,4,2025-04-12,2025-04-09,2025-04-11,"2604008769","MOISES MATSUMIYA LEON","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","CABRILLA","CABRILLA","CABRILLA DESV. FCA.","CABRILLA","cabrilla",NA,"demersal marine fishes",94,103.4,103.4,4700
"NAYARIT","CRUZ DE HUANACAXTLE","CRUZ DE HUANACAXTLE, LA",2017,12,2017-12-21,2017-12-19,2017-12-21,"1807000367","SERGIO RAMOS CASTILLON","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","BOTA DESV. FCA.","BOTA","bota",NA,"demersal marine fishes",350,385,385,10500
"NAYARIT","TECUALA","LOMA DEL COYOTE",2018,11,2018-11-30,2018-11-29,2018-11-30,"1803001161","GERASIMO VARGAS ESTRADA","0000000_",NA,"small_scale","no","possibly aquaculture","freshwater or marine: small-scale capture","MOJARRA","MOJARRA","MOJARRA ENT. FCA.","MOJARRA","mojarra",NA,"marine or freshwater fishes nei",10,10,10,100
"BAJA CALIFORNIA","BAHIA DE LOS ANGELES","BAHIA DE LOS ANGELES",2005,5,2005-05-18,2005-05-16,2005-05-18,"0203012455","CHRISTIAN ZEFERINO MANCILLA AVALOS","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","RAYA Y SIMILARES","RAYA Y SIMILARES","PEZ GUITARRA DESV. FCO.","PEZ GUITARRA","pez guitarra",NA,"demersal marine fishes",19,20.9,20.9,152
"SONORA","BAHIA KINO","EL SAHUIMARO",2024,2,2024-02-12,2024-02-09,2024-02-10,"2602002236","S.C.P.P. BRAGON, S.C.L.","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","LENGUADO","LENGUADO","LENGUADO DESV. FCO.","LENGUADO","lenguado",NA,"demersal marine fishes",1500,1650,1650,30000
"NAYARIT","TUXPAN","BORDO, EL (MALECON DE FCO. VILLA)",2017,5,2017-05-10,2017-05-08,2017-05-10,"1805000773","ALMAGUER GOMEZ MARTINEZ","00000000","",NA,"no","possibly aquaculture","freshwater or marine: fishery sector yet to be classified","MOJARRA","MOJARRA","MOJARRA FILETE DE FCO.","MOJARRA","mojarra",NA,"marine or freshwater fishes nei",80,160,160,3200
"SONORA","GOLFO DE SANTA CLARA","GOLFO DE SANTA CLARA",2005,10,2005-10-04,2005-10-02,2005-10-03,"2603000312","SCPP SOBERANES SCL DE RL","00000000","",NA,"no","possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON AZUL DESC. FCO.","CAMARON AZUL","camaron azul",NA,"shrimps, prawns",69,110.4,110.4,8280
"NAYARIT","SANTIAGO IXCUINTLA","BOCA DE CAMICHIN",2020,10,2020-10-26,2020-10-25,2020-10-27,"1806000590","NABOR CABUTO MARTINEZ","0000000_",NA,"small_scale","no","possibly aquaculture","freshwater or marine: small-scale capture","MOJARRA","MOJARRA","MOJARRA ENT. FCA.","MOJARRA","mojarra",NA,"marine or freshwater fishes nei",415,415,415,4980
"SINALOA","GUASAVE","LAGUNA LAS FLORES Y GOLFO DE MEXICO",2001,8,2001-08-21,2001-01-24,2001-01-24,"9999999999","NO DISPONIBLE","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","CAZON","CAZON","CAZON DESV. Y DESC. FCO.","CAZON","cazon",NA,"sharks",493,616.25,616.25,3944
"NAYARIT","TUXPAN","EMBARCADERO DE PTA. DE PALAPARES",2014,1,2014-01-03,2014-01-01,2014-01-03,"1805001029","SCPP Y AC PUERTA DE PALAPARES S.C. DE R.L. DE C.V.","00000000","",NA,"no","possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON BLANCO ENT. FCO. (LITOPENAEUS VANNAMEI)","CAMARON BLANCO (LITOPENAEUS VANNAMEI)","camaron blanco","Litopenaeus Vannamei","shrimps, prawns",520,520,520,28600
"BAJA CALIFORNIA SUR","BAHIA TORTUGAS","PUERTO ESCONDIDO",2011,5,2011-05-14,2011-05-11,2011-05-13,"0301000097","S.C.P.P. EMANCIPACION S.C. DE R.L.","00000000","",NA,"no","possibly aquaculture","marine: fishery sector yet to be classified","ABULON","ABULON","ABULON AZUL S.C. FCO.","ABULON AZUL","abulon azul",NA,"molluscs excl. cephalopods",1845,4391.1,4391.1,830250
"SONORA","PUERTO PEÑASCO","PUERTO PEÑASCO",2000,10,2000-10-10,2000-01-01,2000-01-01,"9999999999","NO DISPONIBLE","00048678","CASCABEL (ORGON)",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON AZUL DESC. FCO.","CAMARON AZUL","camaron azul",NA,"shrimps, prawns",678,1084.8,1084.8,81360
"SINALOA","TOPOLOBAMPO","LITORAL (TOPOLOBAMPO)",2005,6,2005-06-06,2005-06-04,2005-06-06,"2511000883","MARIA ISABEL QUINTANA QUINTANA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","GUACHINANGO","GUACHINANGO","GUACHINANGO DESV. FCO. (LUTJANUS CAMPECHANUS)","GUACHINANGO (LUTJANUS CAMPECHANUS)","guachinango","Lutjanus Campechanus","demersal marine fishes",600,660,660,12000
"BAJA CALIFORNIA SUR","SANTA ROSALIA","SANTA ROSALIA (B.C.S.)",2005,10,2005-10-14,2005-10-11,2005-10-12,"0312001001","JOSE MANUEL COTA GASTELUM","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","CALAMAR","CALAMAR","CALAMAR GIGANTE PULPA FCA. DE","CALAMAR GIGANTE PULPA","calamar gigante pulpa",NA,"cephalopods",1300,2600,2600,2600
"SINALOA","GUASAVE","EL HUITUSSI",2023,7,2023-07-17,2023-07-15,2023-07-16,"2505000717","SCPP HORACIO FIERRO LOPEZ S. DE R.L DE C.V.","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","JAIBA","JAIBA","JAIBA ENT. FCA.","JAIBA","jaiba",NA,"crustaceans",500,500,500,17500
"SINALOA","TOPOLOBAMPO","TOPOLOBAMPO",2013,10,2013-10-01,2013-09-21,2013-10-01,"2511001477","JACOBO MEZA DIAZ","00056317","JACOBON I",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON CAFE DESC. FCO.","CAMARON CAFE","camaron cafe",NA,"shrimps, prawns",1227,1963.2,1963.2,98160
"SINALOA","MAZATLAN","PLAYA NORTE",2010,5,2010-05-12,2010-05-04,2010-05-11,"2508012693","ALEJANDRO TORRES ULIBARRIA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","SIERRA","SIERRA","SIERRA ENT. FCA.","SIERRA","sierra",NA,"pelagic marine fish (excl. anchovy & sardine)",24,24,24,288
"BAJA CALIFORNIA SUR","SANTA ROSALIA","SANTA ROSALIA (B.C.S.)",2017,12,2017-12-10,2017-12-08,2017-12-10,"0312003338","ANGELINA COSSIO MEZA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","PARGO","GUACHINANGO","PARGO AMARILLO DESV. FCO.","PARGO AMARILLO","pargo amarillo",NA,"demersal marine fishes",60,66,66,1800
"NAYARIT","SANTIAGO IXCUINTLA","CENTRO RECEPCION COOP. OSTRICAMICHIN",2017,11,2017-11-09,2017-11-07,2017-11-09,"1806000475","S.C.P.P. EN GRAL. Y AC. OSTRICAMICHIN, S.C. DE R.L. DE C.V.","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","CAZON","CAZON","CAZON DESV. FCO.","CAZON","cazon",NA,"sharks",900,990,990,11700
"NAYARIT","SAN BLAS","LA NUEVA """"U""""",2016,8,2016-08-06,2016-08-04,2016-08-06,"1802002798","BALTAZAR  ORDOÑEZ CABRALES","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","PICUDA DESV. FCA.","PICUDA","picuda",NA,"pelagic marine fish (excl. anchovy & sardine)",200,220,220,1600
"SINALOA","LA REFORMA",NA,2023,6,2023-06-28,NA,NA,"2506003710","RENACER ACUICOLA, S.C. DE R.L. DE C.V.","25265372","RENACER ACUICOLA, S.C. DE R.L. DE C.V.",NA,NA,"likely aquaculture","marine: aquaculture","CAMARON","CAMARON","CAMARON BLANCO DE CULTIVO ENT. FCO.","CAMARON BLANCO","camaron blanco",NA,"shrimps, prawns",4905,4905,4905,392400
"SONORA","GOLFO DE SANTA CLARA","GOLFO DE SANTA CLARA",2010,5,2010-05-17,2010-05-14,2010-05-16,"2603000742","SCPP Y ST. CIENEGA DE SANTA CLARA SC DE RL","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","BERRUGATA","BERRUGATA","CHANO ENT. FCO.","CHANO","chano",NA,"demersal marine fishes",595,595,595,5355
"SONORA","GOLFO DE SANTA CLARA","GOLFO DE SANTA CLARA",2016,3,2016-03-05,2016-03-04,2016-03-04,"2603001138","SCPP. BRISAS DE LA RESERVA SC DE RL DE CV","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","CORVINA","CORVINA","CORVINA GOLFINA DESV. FCA.","CORVINA GOLFINA","corvina golfina",NA,"demersal marine fishes",649,713.9,713.9,8437
