year,OHI_region_no,LE_score,goal
2003,region_1,53.25861310061256,livelihoods_economies
2003,region_2,NA,livelihoods_economies
2003,region_3,27.42619912258959,livelihoods_economies
2003,region_4,46.92022168286138,livelihoods_economies
2003,region_5,58.98776623023011,livelihoods_economies
2003,region_6,44.16728945755918,livelihoods_economies
2003,region_7,61.749969174818276,livelihoods_economies
2003,region_8,55.1694123347888,livelihoods_economies
2003,region_9,42.00396423639661,livelihoods_economies
2004,region_1,53.02303900690236,livelihoods_economies
2004,region_2,NA,livelihoods_economies
2004,region_3,37.98733149329867,livelihoods_economies
2004,region_4,54.05747375228893,livelihoods_economies
2004,region_5,60.64076745504075,livelihoods_economies
2004,region_6,53.06618660685594,livelihoods_economies
2004,region_7,65.8614899764843,livelihoods_economies
2004,region_8,55.63910925996083,livelihoods_economies
2004,region_9,43.44139145007481,livelihoods_economies
2005,region_1,52.78746491319216,livelihoods_economies
2005,region_2,NA,livelihoods_economies
2005,region_3,48.54846386400776,livelihoods_economies
2005,region_4,61.194725821716474,livelihoods_economies
2005,region_5,62.2937686798514,livelihoods_economies
2005,region_6,61.96508375615271,livelihoods_economies
2005,region_7,69.97301077815031,livelihoods_economies
2005,region_8,56.10880618513287,livelihoods_economies
2005,region_9,44.87881866375301,livelihoods_economies
2006,region_1,52.551890819481955,livelihoods_economies
2006,region_2,NA,livelihoods_economies
2006,region_3,59.10959623471683,livelihoods_economies
2006,region_4,68.33197789114402,livelihoods_economies
2006,region_5,63.94676990466205,livelihoods_economies
2006,region_6,70.86398090544948,livelihoods_economies
2006,region_7,74.08453157981634,livelihoods_economies
2006,region_8,56.5785031103049,livelihoods_economies
2006,region_9,46.316245877431214,livelihoods_economies
2007,region_1,52.316316725771756,livelihoods_economies
2007,region_2,NA,livelihoods_economies
2007,region_3,69.67072860542592,livelihoods_economies
2007,region_4,75.46922996057157,livelihoods_economies
2007,region_5,65.59977112947269,livelihoods_economies
2007,region_6,79.76287805474624,livelihoods_economies
2007,region_7,78.19605238148236,livelihoods_economies
2007,region_8,57.04820003547694,livelihoods_economies
2007,region_9,47.75367309110941,livelihoods_economies
2008,region_1,52.08074263206156,livelihoods_economies
2008,region_2,NA,livelihoods_economies
2008,region_3,80.231860976135,livelihoods_economies
2008,region_4,82.60648202999911,livelihoods_economies
2008,region_5,67.25277235428334,livelihoods_economies
2008,region_6,88.66177520404301,livelihoods_economies
2008,region_7,82.30757318314838,livelihoods_economies
2008,region_8,57.51789696064897,livelihoods_economies
2008,region_9,49.19110030478761,livelihoods_economies
2009,region_1,53.79498178652426,livelihoods_economies
2009,region_2,NA,livelihoods_economies
2009,region_3,81.85435200896165,livelihoods_economies
2009,region_4,80.24507978375026,livelihoods_economies
2009,region_5,66.06445019561207,livelihoods_economies
2009,region_6,82.06364848992672,livelihoods_economies
2009,region_7,81.92441560948384,livelihoods_economies
2009,region_8,58.42809530628876,livelihoods_economies
2009,region_9,49.3592398386214,livelihoods_economies
2010,region_1,55.50922094098696,livelihoods_economies
2010,region_2,NA,livelihoods_economies
2010,region_3,83.47684304178833,livelihoods_economies
2010,region_4,77.8836775375014,livelihoods_economies
2010,region_5,64.87612803694078,livelihoods_economies
2010,region_6,75.46552177581044,livelihoods_economies
2010,region_7,81.54125803581931,livelihoods_economies
2010,region_8,59.33829365192855,livelihoods_economies
2010,region_9,49.52737937245519,livelihoods_economies
2011,region_1,57.22346009544966,livelihoods_economies
2011,region_2,NA,livelihoods_economies
2011,region_3,85.09933407461499,livelihoods_economies
2011,region_4,75.52227529125254,livelihoods_economies
2011,region_5,63.687805878269515,livelihoods_economies
2011,region_6,68.86739506169417,livelihoods_economies
2011,region_7,81.15810046215478,livelihoods_economies
2011,region_8,60.248491997568344,livelihoods_economies
2011,region_9,49.69551890628897,livelihoods_economies
2012,region_1,58.937699249912356,livelihoods_economies
2012,region_2,NA,livelihoods_economies
2012,region_3,86.72182510744166,livelihoods_economies
2012,region_4,73.16087304500368,livelihoods_economies
2012,region_5,62.49948371959824,livelihoods_economies
2012,region_6,62.26926834757788,livelihoods_economies
2012,region_7,80.77494288849024,livelihoods_economies
2012,region_8,61.158690343208136,livelihoods_economies
2012,region_9,49.863658440122755,livelihoods_economies
2013,region_1,60.65193840437506,livelihoods_economies
2013,region_2,NA,livelihoods_economies
2013,region_3,88.34431614026832,livelihoods_economies
2013,region_4,70.79947079875483,livelihoods_economies
2013,region_5,61.31116156092696,livelihoods_economies
2013,region_6,55.671141633461595,livelihoods_economies
2013,region_7,80.39178531482571,livelihoods_economies
2013,region_8,62.06888868884793,livelihoods_economies
2013,region_9,50.03179797395654,livelihoods_economies
2014,region_1,64.13825486824709,livelihoods_economies
2014,region_2,NA,livelihoods_economies
2014,region_3,88.69749421342644,livelihoods_economies
2014,region_4,76.63957663900386,livelihoods_economies
2014,region_5,65.15986875568589,livelihoods_economies
2014,region_6,61.972845893711444,livelihoods_economies
2014,region_7,80.69170225630886,livelihoods_economies
2014,region_8,65.73984893877677,livelihoods_economies
2014,region_9,55.54158868523672,livelihoods_economies
2015,region_1,67.62457133211912,livelihoods_economies
2015,region_2,NA,livelihoods_economies
2015,region_3,89.05067228658454,livelihoods_economies
2015,region_4,82.4796824792529,livelihoods_economies
2015,region_5,69.00857595044484,livelihoods_economies
2015,region_6,68.2745501539613,livelihoods_economies
2015,region_7,80.991619197792,livelihoods_economies
2015,region_8,69.41080918870561,livelihoods_economies
2015,region_9,61.05137939651689,livelihoods_economies
2016,region_1,71.11088779599113,livelihoods_economies
2016,region_2,NA,livelihoods_economies
2016,region_3,89.40385035974266,livelihoods_economies
2016,region_4,88.31978831950192,livelihoods_economies
2016,region_5,72.85728314520377,livelihoods_economies
2016,region_6,74.57625441421115,livelihoods_economies
2016,region_7,81.29153613927515,livelihoods_economies
2016,region_8,73.08176943863445,livelihoods_economies
2016,region_9,66.56117010779707,livelihoods_economies
2017,region_1,74.59720425986316,livelihoods_economies
2017,region_2,NA,livelihoods_economies
2017,region_3,89.75702843290077,livelihoods_economies
2017,region_4,94.15989415975096,livelihoods_economies
2017,region_5,76.70599033996271,livelihoods_economies
2017,region_6,80.877958674461,livelihoods_economies
2017,region_7,81.5914530807583,livelihoods_economies
2017,region_8,76.75272968856329,livelihoods_economies
2017,region_9,72.07096081907724,livelihoods_economies
2018,region_1,78.08352072373519,livelihoods_economies
2018,region_2,NA,livelihoods_economies
2018,region_3,90.11020650605889,livelihoods_economies
2018,region_4,100,livelihoods_economies
2018,region_5,80.55469753472164,livelihoods_economies
2018,region_6,87.17966293471085,livelihoods_economies
2018,region_7,81.89137002224145,livelihoods_economies
2018,region_8,80.42368993849213,livelihoods_economies
2018,region_9,77.58075153035742,livelihoods_economies
2019,region_1,77.53593426683787,livelihoods_economies
2019,region_2,NA,livelihoods_economies
2019,region_3,87.15550024660791,livelihoods_economies
2019,region_4,98.51088618368765,livelihoods_economies
2019,region_5,79.07947239890805,livelihoods_economies
2019,region_6,86.59220140966755,livelihoods_economies
2019,region_7,82.23271106233075,livelihoods_economies
2019,region_8,81.12619126361615,livelihoods_economies
2019,region_9,77.9335626529745,livelihoods_economies
2020,region_1,76.98834780994056,livelihoods_economies
2020,region_2,NA,livelihoods_economies
2020,region_3,84.20079398715694,livelihoods_economies
2020,region_4,97.02177236737528,livelihoods_economies
2020,region_5,77.60424726309446,livelihoods_economies
2020,region_6,86.00473988462426,livelihoods_economies
2020,region_7,82.57405210242005,livelihoods_economies
2020,region_8,81.82869258874017,livelihoods_economies
2020,region_9,78.2863737755916,livelihoods_economies
2021,region_1,76.44076135304324,livelihoods_economies
2021,region_2,NA,livelihoods_economies
2021,region_3,81.24608772770596,livelihoods_economies
2021,region_4,95.53265855106292,livelihoods_economies
2021,region_5,76.12902212728086,livelihoods_economies
2021,region_6,85.41727835958095,livelihoods_economies
2021,region_7,82.91539314250937,livelihoods_economies
2021,region_8,82.53119391386417,livelihoods_economies
2021,region_9,78.63918489820868,livelihoods_economies
2022,region_1,75.89317489614594,livelihoods_economies
2022,region_2,NA,livelihoods_economies
2022,region_3,78.29138146825498,livelihoods_economies
2022,region_4,94.04354473475055,livelihoods_economies
2022,region_5,74.65379699146727,livelihoods_economies
2022,region_6,84.82981683453765,livelihoods_economies
2022,region_7,83.25673418259868,livelihoods_economies
2022,region_8,83.23369523898819,livelihoods_economies
2022,region_9,78.99199602082578,livelihoods_economies
2023,region_1,75.34558843924862,livelihoods_economies
2023,region_2,NA,livelihoods_economies
2023,region_3,75.33667520880401,livelihoods_economies
2023,region_4,92.5544309184382,livelihoods_economies
2023,region_5,73.17857185565369,livelihoods_economies
2023,region_6,84.24235530949436,livelihoods_economies
2023,region_7,83.59807522268798,livelihoods_economies
2023,region_8,83.93619656411221,livelihoods_economies
2023,region_9,79.34480714344286,livelihoods_economies
2024,region_1,75.34558843924862,livelihoods_economies
2024,region_2,NA,livelihoods_economies
2024,region_3,75.33667520880401,livelihoods_economies
2024,region_4,92.5544309184382,livelihoods_economies
2024,region_5,73.17857185565369,livelihoods_economies
2024,region_6,84.24235530949436,livelihoods_economies
2024,region_7,83.59807522268798,livelihoods_economies
2024,region_8,83.93619656411221,livelihoods_economies
2024,region_9,79.34480714344286,livelihoods_economies
2025,region_1,75.34558843924862,livelihoods_economies
2025,region_2,NA,livelihoods_economies
2025,region_3,75.33667520880401,livelihoods_economies
2025,region_4,92.5544309184382,livelihoods_economies
2025,region_5,73.17857185565369,livelihoods_economies
2025,region_6,84.24235530949436,livelihoods_economies
2025,region_7,83.59807522268798,livelihoods_economies
2025,region_8,83.93619656411221,livelihoods_economies
2025,region_9,79.34480714344286,livelihoods_economies
