year,OHI_region_no,LE_score,goal
2016,region_2,NA,livelihoods_economies
2016,region_3,92.16811974699324,livelihoods_economies
2016,region_4,88.11045701455541,livelihoods_economies
2016,region_5,77.33484637752784,livelihoods_economies
2016,region_6,78.74038952274553,livelihoods_economies
2016,region_7,85.52086080084878,livelihoods_economies
2016,region_8,79.700011567068,livelihoods_economies
2016,region_9,76.12848063817125,livelihoods_economies
2017,region_1,78.96331385180548,livelihoods_economies
2017,region_2,NA,livelihoods_economies
2017,region_3,92.68525199013159,livelihoods_economies
2017,region_4,94.0552285072777,livelihoods_economies
2017,region_5,80.83235496352695,livelihoods_economies
2017,region_6,85.11045762536816,livelihoods_economies
2017,region_7,85.37678000551969,livelihoods_economies
2017,region_8,83.36873737991684,livelihoods_economies
2017,region_9,81.47646323713845,livelihoods_economies
2018,region_1,82.02396431114238,livelihoods_economies
2018,region_2,NA,livelihoods_economies
2018,region_3,93.20238423326994,livelihoods_economies
2018,region_4,100,livelihoods_economies
2018,region_5,84.32986354952607,livelihoods_economies
2018,region_6,91.48052572799077,livelihoods_economies
2018,region_7,85.23269921019062,livelihoods_economies
2018,region_8,87.03746319276567,livelihoods_economies
2018,region_9,86.82444583610562,livelihoods_economies
2019,region_1,80.90954346080802,livelihoods_economies
2019,region_2,NA,livelihoods_economies
2019,region_3,90.29270073562108,livelihoods_economies
2019,region_4,98.31764343803455,livelihoods_economies
2019,region_5,82.89739969622096,livelihoods_economies
2019,region_6,91.07371212061362,livelihoods_economies
2019,region_7,86.2350407760165,livelihoods_economies
2019,region_8,87.8333738218012,livelihoods_economies
2019,region_9,87.70907748065667,livelihoods_economies
2020,region_1,79.79512261047367,livelihoods_economies
2020,region_2,NA,livelihoods_economies
2020,region_3,87.38301723797223,livelihoods_economies
2020,region_4,96.6352868760691,livelihoods_economies
2020,region_5,81.46493584291585,livelihoods_economies
2020,region_6,90.66689851323648,livelihoods_economies
2020,region_7,87.23738234184239,livelihoods_economies
2020,region_8,88.62928445083674,livelihoods_economies
2020,region_9,88.59370912520771,livelihoods_economies
2021,region_1,78.68070176013933,livelihoods_economies
2021,region_2,NA,livelihoods_economies
2021,region_3,84.47333374032337,livelihoods_economies
2021,region_4,94.95293031410364,livelihoods_economies
2021,region_5,80.03247198961073,livelihoods_economies
2021,region_6,90.26008490585934,livelihoods_economies
2021,region_7,88.23972390766826,livelihoods_economies
2021,region_8,89.42519507987225,livelihoods_economies
2021,region_9,89.47834076975876,livelihoods_economies
2022,region_1,77.56628090980497,livelihoods_economies
2022,region_2,NA,livelihoods_economies
2022,region_3,81.56365024267451,livelihoods_economies
2022,region_4,93.27057375213819,livelihoods_economies
2022,region_5,78.60000813630562,livelihoods_economies
2022,region_6,89.8532712984822,livelihoods_economies
2022,region_7,89.24206547349415,livelihoods_economies
2022,region_8,90.22110570890779,livelihoods_economies
2022,region_9,90.3629724143098,livelihoods_economies
2023,region_1,76.45186005947062,livelihoods_economies
2023,region_2,NA,livelihoods_economies
2023,region_3,78.65396674502566,livelihoods_economies
2023,region_4,91.58821719017274,livelihoods_economies
2023,region_5,77.16754428300051,livelihoods_economies
2023,region_6,89.44645769110505,livelihoods_economies
2023,region_7,90.24440703932004,livelihoods_economies
2023,region_8,91.01701633794332,livelihoods_economies
2023,region_9,91.24760405886084,livelihoods_economies
2024,region_1,76.45186005947062,livelihoods_economies
2024,region_2,NA,livelihoods_economies
2024,region_3,78.65396674502566,livelihoods_economies
2024,region_4,91.58821719017274,livelihoods_economies
2024,region_5,77.16754428300051,livelihoods_economies
2024,region_6,89.44645769110505,livelihoods_economies
2024,region_7,90.24440703932004,livelihoods_economies
2024,region_8,91.01701633794332,livelihoods_economies
2024,region_9,91.24760405886084,livelihoods_economies
2025,region_1,76.45186005947062,livelihoods_economies
2025,region_2,NA,livelihoods_economies
2025,region_3,78.65396674502566,livelihoods_economies
2025,region_4,91.58821719017274,livelihoods_economies
2025,region_5,77.16754428300051,livelihoods_economies
2025,region_6,89.44645769110505,livelihoods_economies
2025,region_7,90.24440703932004,livelihoods_economies
2025,region_8,91.01701633794332,livelihoods_economies
2025,region_9,91.24760405886084,livelihoods_economies
