"year","OHI_region_est","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n.years_Catch_2018.22","status_adjusted","control_adjusted","carta_provenance","Year_of_Recommendation","n_species","n_species_original","carta_recommendation_source","catch_vs_reference_expectation","Stock_Status"
2019,"region_1","cynoscion",28335.5,58,41298.162,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2020,"region_1","cynoscion",24638,35,41298.162,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2021,"region_1","cynoscion",64304.6,62,41298.162,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.642227181259195
2022,"region_1","cynoscion",64586.7,76,41298.162,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.639422079158712
2023,"region_1","cynoscion",180478,100,41298.162,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.228826571659704
2024,"region_1","cynoscion",50375.5,58,41298.162,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.819806493235799
2018,"region_1","lutjanus",3901.568,29,3504.8736,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.898324365998491
2019,"region_1","lutjanus",536,8,3504.8736,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2020,"region_1","lutjanus",12228.5,5,3504.8736,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.28661516948113
2021,"region_1","lutjanus",183.8,3,3504.8736,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2022,"region_1","lutjanus",674.5,6,3504.8736,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2023,"region_1","lutjanus",2835,26,3504.8736,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2024,"region_1","lutjanus",1023.5,21,3504.8736,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2018,"region_1","merluccius",363059.1,35,1274813.56,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2022,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2019,"region_1","merluccius",185483.1,21,1274813.56,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2022,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2020,"region_1","merluccius",691727.2,36,1274813.56,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2022,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2021,"region_1","merluccius",1709119.4,71,1274813.56,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2022,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.745889116933551
2022,"region_1","merluccius",3424679,146,1274813.56,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2022,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.372243226299458
2023,"region_1","merluccius",4571684,179,1274813.56,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2022,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.278849885512647
2024,"region_1","merluccius",6000282.2,185,1274813.56,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2022,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.212458934014804
2018,"region_1","panopea",607862.81,387,976694.762,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2019,"region_1","panopea",771393,533,976694.762,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
