"year","OHI_region_est","taxon_key","taxon_level","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n.years_Catch_2018.22","status","control","carta_source","Year_of_Recommendation","notes","carta_recommendation_source","catch_vs_reference_expectation","Stock_Status"
2020,"region_1","cynoscion xanthulus","species","cynoscion",368,2,7447.8,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2021,"region_1","cynoscion xanthulus","species","cynoscion",20408,11,7447.8,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.364945119560956
2022,"region_1","cynoscion xanthulus","species","cynoscion",10663,11,7447.8,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.6984713495264
2023,"region_1","cynoscion xanthulus","species","cynoscion",16116,8,7447.8,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.462137006701415
2024,"region_1","cynoscion xanthulus","species","cynoscion",14500,40,7447.8,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.513641379310345
2018,"region_1","lutjanus adetii","species","lutjanus",3301.568,28,3344.3736,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2019,"region_1","lutjanus adetii","species","lutjanus",431,6,3344.3736,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2020,"region_1","lutjanus adetii","species","lutjanus",12131,4,3344.3736,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.275688203775451
2021,"region_1","lutjanus adetii","species","lutjanus",183.8,3,3344.3736,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2022,"region_1","lutjanus adetii","species","lutjanus",674.5,6,3344.3736,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2023,"region_1","lutjanus adetii","species","lutjanus",1447,14,3344.3736,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2024,"region_1","lutjanus adetii","species","lutjanus",461,7,3344.3736,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2018,"region_1","merluccius productus","species","merluccius",363059.1,35,1274813.56,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_1","merluccius productus","species","merluccius",185483.1,21,1274813.56,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_1","merluccius productus","species","merluccius",691727.2,36,1274813.56,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_1","merluccius productus","species","merluccius",1709119.4,71,1274813.56,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.745889116933551
2022,"region_1","merluccius productus","species","merluccius",3424679,146,1274813.56,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.372243226299458
2023,"region_1","merluccius productus","species","merluccius",4571684,179,1274813.56,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.278849885512647
2024,"region_1","merluccius productus","species","merluccius",6000282.2,185,1274813.56,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.212458934014804
2018,"region_1","panopea generosa","species","panopea",607862.81,387,976694.762,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,"Within region variation in status, took most conservative","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_1","panopea generosa","species","panopea",771393,533,976694.762,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,"Within region variation in status, took most conservative","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_1","panopea generosa","species","panopea",960523,682,976694.762,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,"Within region variation in status, took most conservative","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_1","panopea generosa","species","panopea",1238398,708,976694.762,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,"Within region variation in status, took most conservative","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.788675984618838
2022,"region_1","panopea generosa","species","panopea",1305297,733,976694.762,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,"Within region variation in status, took most conservative","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.748254812506272
