"year","OHI_region_est","taxon_key","taxon_level","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n.years_Catch_2018.22","status","control","carta_source","Year_of_Recommendation","notes","carta_recommendation_source","catch_vs_reference_expectation","Stock_Status"
2019,"region_3","lutjanus argentiventris","species","lutjanus",72541.6,207,89265.95,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_3","lutjanus argentiventris","species","lutjanus",97682.7,280,89265.95,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.91383581739653
2021,"region_3","lutjanus argentiventris","species","lutjanus",99999.8,386,89265.95,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.892661285322571
2022,"region_3","lutjanus argentiventris","species","lutjanus",106785.1,426,89265.95,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.83594012647832
2023,"region_3","lutjanus argentiventris","species","lutjanus",115200,542,89265.95,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.774878038194444
2024,"region_3","lutjanus argentiventris","species","lutjanus",100273.77,417,89265.95,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.890222338304424
2018,"region_3","lutjanus campechanus","species","lutjanus",3630,4,26880.92,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2019,"region_3","lutjanus campechanus","species","lutjanus",5476.9,18,26880.92,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2020,"region_3","lutjanus campechanus","species","lutjanus",28847.5,65,26880.92,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.931828408007626
2021,"region_3","lutjanus campechanus","species","lutjanus",59613.4,126,26880.92,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.450920766136473
2022,"region_3","lutjanus campechanus","species","lutjanus",36836.8,186,26880.92,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.72973005255614
2023,"region_3","lutjanus campechanus","species","lutjanus",55161,277,26880.92,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.487317488805497
2024,"region_3","lutjanus campechanus","species","lutjanus",46715.9,161,26880.92,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.575412653935812
2018,"region_3","lutjanus colorado","species","lutjanus",2169.2,16,1807.88,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.833431679881984
2019,"region_3","lutjanus colorado","species","lutjanus",588.5,1,1807.88,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_3","lutjanus colorado","species","lutjanus",324.4,7,1807.88,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_3","lutjanus colorado","species","lutjanus",5520.6,28,1807.88,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.327478897221317
2022,"region_3","lutjanus colorado","species","lutjanus",436.7,9,1807.88,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2023,"region_3","lutjanus colorado","species","lutjanus",2465,14,1807.88,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.733419878296146
2024,"region_3","lutjanus colorado","species","lutjanus",1829.2,18,1807.88,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2018,"region_3","lutjanus guttatus","species","lutjanus",19217.4,31,16123.58,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.839009439362245
2019,"region_3","lutjanus guttatus","species","lutjanus",4457.8,25,16123.58,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_3","lutjanus guttatus","species","lutjanus",5849.6,62,16123.58,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_3","lutjanus guttatus","species","lutjanus",22843.1,136,16123.58,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.705840275619334
2022,"region_3","lutjanus guttatus","species","lutjanus",28250,182,16123.58,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.570746194690265
2023,"region_3","lutjanus guttatus","species","lutjanus",34754,186,16123.58,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.463934511135409
2024,"region_3","lutjanus guttatus","species","lutjanus",45899.8,169,16123.58,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.351277783345461
2018,"region_3","lutjanus novemfasciatus","species","lutjanus",62202.7,154,81805.56,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_3","lutjanus novemfasciatus","species","lutjanus",64308.1,119,81805.56,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_3","lutjanus novemfasciatus","species","lutjanus",84008.5,185,81805.56,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_3","lutjanus novemfasciatus","species","lutjanus",97454.6,262,81805.56,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.839422254054708
2022,"region_3","lutjanus novemfasciatus","species","lutjanus",101053.9,276,81805.56,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.809524026286962
2023,"region_3","lutjanus novemfasciatus","species","lutjanus",95783,311,81805.56,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.854071808149672
2024,"region_3","lutjanus novemfasciatus","species","lutjanus",38404.57,190,81805.56,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2018,"region_3","lutjanus spp","species","lutjanus",294365,407,178544,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.606539500280264
2019,"region_3","lutjanus spp","species","lutjanus",218319,417,178544,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.817812467077991
2020,"region_3","lutjanus spp","species","lutjanus",150247,381,178544,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2021,"region_3","lutjanus spp","species","lutjanus",116796,347,178544,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2022,"region_3","lutjanus spp","species","lutjanus",112993,238,178544,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2018,"region_3","mugil cephalus","species","mugil",26081,76,75196,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_3","mugil cephalus","species","mugil",48813,84,75196,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_3","mugil cephalus","species","mugil",77756,61,75196,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_3","mugil cephalus","species","mugil",100767,102,75196,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.746236367064614
2022,"region_3","mugil cephalus","species","mugil",122563,115,75196,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.613529368569634
2023,"region_3","mugil cephalus","species","mugil",49202,47,75196,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2024,"region_3","mugil cephalus","species","mugil",13772,21,75196,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_3","mustelus albipinnis","species","mustelus",5282,11,9987.5625,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_3","mustelus albipinnis","species","mustelus",13773,25,9987.5625,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.725155194946635
2021,"region_3","mustelus albipinnis","species","mustelus",8576,23,9987.5625,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_3","mustelus albipinnis","species","mustelus",12319.25,38,9987.5625,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.810728128741604
2023,"region_3","mustelus albipinnis","species","mustelus",25366,60,9987.5625,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.393738173145155
2024,"region_3","mustelus albipinnis","species","mustelus",30964.2,45,9987.5625,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.322551930939601
2018,"region_3","panulirus inflatus","species","panulirus",2152.8,20,629.95,4,"development potential","increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","development potential (score = 1)",1
2019,"region_3","panulirus inflatus","species","panulirus",142,2,629.95,4,"development potential","increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","development potential (score = 1)",1
2021,"region_3","panulirus inflatus","species","panulirus",105,2,629.95,4,"development potential","increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","development potential (score = 1)",1
2022,"region_3","panulirus inflatus","species","panulirus",120,2,629.95,4,"development potential","increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","development potential (score = 1)",1
2023,"region_3","panulirus inflatus","species","panulirus",650,2,629.95,4,"development potential","increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","development potential (score = 1)",1
2018,"region_3","panulirus interruptus","species","panulirus",10569.3,23,3016.075,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2017,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.285361849885991
2019,"region_3","panulirus interruptus","species","panulirus",912,2,3016.075,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2017,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_3","panulirus interruptus","species","panulirus",483,1,3016.075,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2017,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_3","panulirus interruptus","species","panulirus",100,1,3016.075,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2017,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2023,"region_3","panulirus interruptus","species","panulirus",950,2,3016.075,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2017,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2018,"region_3","paralabrax auroguttatus","species","paralabrax",167825,303,178012.52,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2019,"region_3","paralabrax auroguttatus","species","paralabrax",121761.6,266,178012.52,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2020,"region_3","paralabrax auroguttatus","species","paralabrax",155226.2,340,178012.52,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2021,"region_3","paralabrax auroguttatus","species","paralabrax",247616.6,489,178012.52,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.718903821472389
2022,"region_3","paralabrax auroguttatus","species","paralabrax",197633.2,400,178012.52,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.900721741083988
2023,"region_3","paralabrax auroguttatus","species","paralabrax",170867,408,178012.52,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2024,"region_3","paralabrax auroguttatus","species","paralabrax",128747.3,324,178012.52,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2018,"region_3","paralabrax nebulifer","species","paralabrax",17842,37,98527.74,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_3","paralabrax nebulifer","species","paralabrax",21188.1,28,98527.74,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_3","paralabrax nebulifer","species","paralabrax",87049.1,44,98527.74,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_3","paralabrax nebulifer","species","paralabrax",150812.4,93,98527.74,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.653313255408707
2022,"region_3","paralabrax nebulifer","species","paralabrax",215747.1,131,98527.74,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.456681642534245
2023,"region_3","paralabrax nebulifer","species","paralabrax",260325,123,98527.74,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.378479746470758
2024,"region_3","paralabrax nebulifer","species","paralabrax",311257.4,154,98527.74,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.316547462004116
2018,"region_3","prionace glauca","species","prionace",72.8,2,2394.76,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_3","prionace glauca","species","prionace",6620,3,2394.76,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.361746223564955
2020,"region_3","prionace glauca","species","prionace",1300.5,4,2394.76,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_3","prionace glauca","species","prionace",3539,11,2394.76,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.676677027408873
2022,"region_3","prionace glauca","species","prionace",441.5,5,2394.76,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2023,"region_3","prionace glauca","species","prionace",171092,10,2394.76,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.0139969139410376
2024,"region_3","prionace glauca","species","prionace",204996.2,29,2394.76,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.0116819726414441
2018,"region_3","rhizoprionodon longurio","species","rhizoprionodon",88941,199,181907.44,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_3","rhizoprionodon longurio","species","rhizoprionodon",172644.05,201,181907.44,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_3","rhizoprionodon longurio","species","rhizoprionodon",229955.45,230,181907.44,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.791055136984142
2021,"region_3","rhizoprionodon longurio","species","rhizoprionodon",170485.5,253,181907.44,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_3","rhizoprionodon longurio","species","rhizoprionodon",247511.2,353,181907.44,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.734946297379674
2018,"region_3","sarda chiliensis","species","sarda",20675,25,8196.8,5,"development potential","no increase",NA,NA,NA,"genus fallback; genus gapfill; data missing in this region, took the mode across all Carta recommendations supplied for this genus regardless of region","development potential (score = 1)",1
2019,"region_3","sarda chiliensis","species","sarda",9371,22,8196.8,5,"development potential","no increase",NA,NA,NA,"genus fallback; genus gapfill; data missing in this region, took the mode across all Carta recommendations supplied for this genus regardless of region","development potential (score = 1)",1
2020,"region_3","sarda chiliensis","species","sarda",8483,3,8196.8,5,"development potential","no increase",NA,NA,NA,"genus fallback; genus gapfill; data missing in this region, took the mode across all Carta recommendations supplied for this genus regardless of region","development potential (score = 1)",1
2021,"region_3","sarda chiliensis","species","sarda",986,16,8196.8,5,"development potential","no increase",NA,NA,NA,"genus fallback; genus gapfill; data missing in this region, took the mode across all Carta recommendations supplied for this genus regardless of region","development potential (score = 1)",1
2022,"region_3","sarda chiliensis","species","sarda",1469,5,8196.8,5,"development potential","no increase",NA,NA,NA,"genus fallback; genus gapfill; data missing in this region, took the mode across all Carta recommendations supplied for this genus regardless of region","development potential (score = 1)",1
2018,"region_3","sardinops sagax","species","sardinops",1653000,9,426880,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.258245614035088
2020,"region_3","sardinops sagax","species","sardinops",8120,1,426880,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_3","sardinops sagax","species","sardinops",23200,2,426880,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_3","sardinops sagax","species","sardinops",23200,2,426880,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2024,"region_3","sardinops sagax","species","sardinops",6960,1,426880,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2018,"region_3","scomberomorus sierra","species","scomberomorus",84861,63,142697.72,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_3","scomberomorus sierra","species","scomberomorus",229247,96,142697.72,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.622462758509381
2020,"region_3","scomberomorus sierra","species","scomberomorus",152205.5,74,142697.72,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.9375332691657
2021,"region_3","scomberomorus sierra","species","scomberomorus",141102,91,142697.72,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_3","scomberomorus sierra","species","scomberomorus",106073.1,70,142697.72,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2023,"region_3","scomberomorus sierra","species","scomberomorus",76777,46,142697.72,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2024,"region_3","scomberomorus sierra","species","scomberomorus",166886.07,64,142697.72,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.855060700992
2018,"region_3","sphoeroides andersonianus","species","sphoeroides",5775,11,12492.7,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2019,"region_3","sphoeroides andersonianus","species","sphoeroides",1450,2,12492.7,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2020,"region_3","sphoeroides andersonianus","species","sphoeroides",12442.3,13,12492.7,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2021,"region_3","sphoeroides andersonianus","species","sphoeroides",18872.05,28,12492.7,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.661968360617951
2022,"region_3","sphoeroides andersonianus","species","sphoeroides",23924.15,40,12492.7,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.522179471370979
2023,"region_3","sphoeroides andersonianus","species","sphoeroides",39385,71,12492.7,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.317194363336296
2024,"region_3","sphoeroides andersonianus","species","sphoeroides",19498.8,61,12492.7,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.640690709171847
