"estimated_genus_name","year","OHI_region","status_adjusted","control_adjusted","n_species","n_species_original","n_species_gapfilled","n_regions_represented","genus_region_present","carta_provenance"
"chionopsis",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"chondracanthus",2020,"region_3","development potential","increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"crassostrea",2020,"region_3","maximally harvested","no increase",5,3,2,NA,TRUE,"genus aggregation; mode across 3 original and 2 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"cynoscion",2020,"region_3","maximally harvested","no increase",0,0,0,5,FALSE,"genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region"
"dosidicus",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"dosinia",2020,"region_3","maximally harvested","no increase",0,0,0,3,FALSE,"genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 3 original and 0 gapfilled species-level recommendations pooled across 3 OHI regions with original Carta data; same values applied to every missing region"
"engraulis",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"etrumeus",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"farfantepenaeus",2020,"region_3","maximally harvested","no increase",2,2,0,NA,TRUE,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"galeocerdo",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"galeorhinus",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"gelidium",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"gracilariopsis",2020,"region_3","development potential","increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"gynglymostoma",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"haliotis",2020,"region_3","decreasing","decrease",2,2,0,NA,TRUE,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"hoplopagrus",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"isurus",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"larkinia",2020,"region_3","maximally harvested","no increase",2,2,0,NA,TRUE,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"litopenaeus",2020,"region_3","maximally harvested","no increase",3,3,0,NA,TRUE,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"lutjanus",2020,"region_3","maximally harvested","no increase",8,8,0,NA,TRUE,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"lyropecten",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"macrobrachium",2020,"region_3","maximally harvested","no increase",0,0,0,1,FALSE,"genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 1 original and 0 gapfilled species-level recommendations pooled across 1 OHI regions with original Carta data; same values applied to every missing region"
"makaira",2020,"region_3","decreasing","decrease",0,0,0,2,FALSE,"genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 4 original and 0 gapfilled species-level recommendations pooled across 2 OHI regions with original Carta data; same values applied to every missing region"
"megapitaria",2020,"region_3","maximally harvested","no increase",2,2,0,NA,TRUE,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"megastraea",2020,"region_3","maximally harvested","no increase",2,2,0,NA,TRUE,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"merluccius",2020,"region_3","maximally harvested","no increase",0,0,0,5,FALSE,"genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region"
"mugil",2020,"region_3","maximally harvested","no increase",3,3,0,NA,TRUE,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"muricanthus",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"mustelus",2020,"region_3","maximally harvested","no increase",4,4,0,NA,TRUE,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"nasolamia",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"negaprion",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"octopus",2020,"region_3","maximally harvested","no increase",3,2,1,NA,TRUE,"genus aggregation; mode across 2 original and 1 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"oligoplites",2020,"region_3","maximally harvested","no increase",2,1,1,NA,TRUE,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"opisthonema",2020,"region_3","maximally harvested","no increase",3,3,0,NA,TRUE,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"panopea",2020,"region_3","maximally harvested","no increase",2,1,1,NA,TRUE,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"panulirus",2020,"region_3","maximally harvested","no increase",4,2,2,NA,TRUE,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"paralabrax",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"phyllonotus",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"pinna",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"pisaster",2020,"region_3","maximally harvested","no increase",3,3,0,NA,TRUE,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"pontinus",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
