"recorded_taxa_group","recorded_taxa_name_clean","recorded_scientific_name","scientific_name_recorded_T.F","recorded_common_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","Hem_species_21","Hem_species_22","Hem_species_23","Hem_species_24","Hem_species_25","Hem_species_26","Hem_species_27","Hem_species_28","Hem_species_29","Hem_species_30","Hem_species_31","Hem_species_32","Hem_species_33","Hem_species_34","Hem_species_35","Hem_species_36","Hem_species_37","Hem_species_38","Hem_species_39","Hem_species_40","Hem_species_41","Hem_species_42","Hem_species_43","Hem_species_44","Hem_species_45","Hem_species_46","Hem_species_47"
"OTRAS","PALMILLA",NA,FALSE,"palmilla","Escama","Trachinotus rhodopus","Species","Trachinotus rhodopus","Trachinotus","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Trachinotus rhodopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARGO","PARGO RAICERO",NA,FALSE,"pargo raicero","Escama","Hoplopagrus guentherii","Species","Hoplopagrus guentherii","Hoplopagrus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Hoplopagrus guentherii","Lutjanus aratus","Lutjanus novemfasciatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUBIA Y VILLAJAIBA","VILLA JAIBA",NA,FALSE,"villa jaiba","Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Lutjanus peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MERO","MERO",NA,FALSE,"mero","Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CIRUJANO",NA,FALSE,"cirujano","Escama","Acanthurus xanthopterus","Species","Acanthurus xanthopterus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii","Demersal marine fishes","Acanthurus bahianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUREL","CABALLO",NA,FALSE,"caballo","Escama","Caranx caballus","Species","Caranx caballus","Caranx","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Caranx caballus","Selene peruviana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARACOL","LAPA",NA,FALSE,"lapa","Caracol","Megathura crenulata","Species","Megathura crenulata","Megathura","Fissurellidae","Lepetellida","Gastropoda","Molluscs excl. Cephalopods","Patella mexicana","Diodora inaequalis","Fissurella gemmata","Fissurella microtrema","Fissurella rubropicta","Fissurella virescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARACOL","CARACOL BURRO",NA,FALSE,"caracol burro","Caracol","Lobatus galeatus","Species","Lobatus galeatus","Lobatus","Strombidae","Littorinimorpha","Gastropoda","Molluscs excl. Cephalopods","Melongena patula","Lobatus galeatus","Strombus gracilior","Hexaplex nigritus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","MONDA",NA,FALSE,"monda","Escama","Oligoplites altus","Species","Oligoplites altus","Oligoplites","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Chloroscombrus orqueta","Hemicaranx leucurus","Oligoplites altus","Oligoplites refulgens","Oligoplites saurus ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","RAYADILLO",NA,FALSE,"rayadillo","Escama","Microlepidotus inornatus","Species","Microlepidotus inornatus","Microlepidotus","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Microlepidotus inornatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOJARRA","MALACAPA",NA,FALSE,"malacapa","Escama","Gerreidae","Family","NEI","NEI","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BANDERA","CUATETE",NA,FALSE,"cuatete","Escama","Ariopsis guatemalensis","Species","Ariopsis guatemalensis","Ariopsis","Ariidae","Siluriformes","Actinopterygii","Demersal marine fishes","Ariopsis seemanni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALMEJA","ALMEJA PRIETA",NA,FALSE,"almeja prieta","Almeja","Bivalvia","Class","NEI","NEI","NEI","NEI","Bivalvia","Molluscs excl. Cephalopods","Polymesoda caroliniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAYA Y SIMILARES","GUITARRA",NA,FALSE,"guitarra","Rayas y Similares","Pseudobatos productus","Species","Pseudobatos productus","Pseudobatos","Rhinobatidae","Rajiformes","Elasmobranchii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","GALLETA MAR",NA,FALSE,"galleta mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","PAJARITO",NA,FALSE,"pajarito","Escama","Hyporhamphus spp","Genus","NEI","Hyporhamphus","Hemiramphidae","Beloniformes","Actinopterygii","Pelagic marine fishes","Chriodorus atherinoides ","Oligoplites altus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","ESCORPION",NA,FALSE,"escorpion","Escama","Scorpaeniformes","Order","NEI","NEI","NEI","Scorpaeniformes","Actinopterygii","Demersal marine fishes","Trachinus draco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CHUPALODO",NA,FALSE,"chupalodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gillichthys mirabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARACOL","CARACOL CHILE",NA,FALSE,"caracol chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Triplofusus princeps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OSTION","OSTION PLACER",NA,FALSE,"ostion placer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CABRILLA","CABRILLA PINTA",NA,FALSE,"cabrilla pinta","Escama","Mycteroperca prionura","Species","Mycteroperca prionura","Mycteroperca","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Epinephelus labriformis","Epinephelus analogus","Mycteroperca xenarcha","Paralabrax maculatofasciatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA",NA,FALSE,"raya","Rayas y Similares","Elasmobranchii","Class","NEI","NEI","NEI","NEI","Elasmobranchii","Demersal marine fishes","Dasyatis dipterura","Dasyatis longa","Dasyatis violacea","Gymnura crebripunctata","Gymnura marmorata","Aetobatus narinari","Myliobatis californica","Myliobatis longirostris","Rhinoptera steindachneri","Diplobatis ommata","Narcine entemedor","Narcine vermiculatus","Raja cortezensis","Raja equatorialis","Raja inornata","Raja velezi","Raja rhina","Platyrhinoidis triseriata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","HACHA CHINA",NA,FALSE,"hacha china",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atrina maura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","HACHA LARGA",NA,FALSE,"hacha larga",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinna rugosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","CORNUDA (SPHYRNA ZYGAENA)","Sphyrna zygaena",TRUE,"cornuda","Tiburon","Sphyrna corona","Species","Sphyrna corona","Sphyrna","Sphyrnidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Sphyrna corona","Sphyrna lewini","Sphyrna media","Sphyrna tiburo","Sphyrna zygaena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","DORADO",NA,FALSE,"dorado","Escama","Coryphaena hippurus","Species","Coryphaena hippurus","Coryphaena","Coryphaenidae","Perciformes","Actinopterygii","Pelagic marine fishes","Coryphaena equiselis ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","PEZ VELA",NA,FALSE,"pez vela","Escama","Istiophorus albicans","Species","Istiophorus albicans","Istiophorus","Istiophoridae","Perciformes","Actinopterygii","Pelagic marine fishes","Istiophorus americanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PETO","CARITO",NA,FALSE,"carito",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lamna ditropis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","MONA",NA,FALSE,"mona","Escama","Parapsettus panamensis","Species","Parapsettus panamensis","Parapsettus","Ephippidae","Perciformes","Actinopterygii","Demersal marine fishes","Parapsettus panamensis","Chaetodipterus zonatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUACHINANGO","GUACHITO",NA,FALSE,"guachito","Escama","Lutjanus peru","Species","Lutjanus peru","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CABEZON",NA,FALSE,"cabezon","No ID","Scorpaenichthys marmoratus","Species","Scorpaenichthys marmoratus","Scorpaenichthys","Cottidae","Scorpaeniformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMPANO","PAMPANO RAYADO",NA,FALSE,"pampano rayado","Escama","Gnathanodon speciosus","Species","Gnathanodon speciosus","Gnathanodon","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Trachinotus rhodopus","Gnathanodon speciosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATUN","ALBACORA",NA,FALSE,"albacora","Tunidos","Thunnus alalunga","Species","Thunnus alalunga","Thunnus","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes","Thunnus alalunga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LANGOSTINO","MOYA",NA,FALSE,"moya","Otras","Macrobrachium tenellum","Species","Macrobrachium tenellum","Macrobrachium","Palaemonidae","Decapoda","Malacostraca","Shrimps, prawns","Macrobrachium tenellum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALMEJA","ALMEJA BURRA",NA,FALSE,"almeja burra","Almeja","Bivalvia","Class","NEI","NEI","NEI","NEI","Bivalvia","Molluscs excl. Cephalopods","Spondylus calcifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","BACALAO NEGRO",NA,FALSE,"bacalao negro","Escama","Anoplopoma fimbria","Species","Anoplopoma fimbria","Anoplopoma","Anoplopomatidae","Scorpaeniformes","Actinopterygii","Demersal marine fishes","Anoplopoma fimbria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORVINA","CORVINA PLATEADA",NA,FALSE,"corvina plateada","Escama","Cynoscion acoupa","Species","Cynoscion acoupa","Cynoscion","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Cynoscion nothus","Pennahia argentata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","MULEGINO",NA,FALSE,"mulegino","No ID","Abudefduf troschelii","Species","Abudefduf troschelii","Abudefduf","Pomacentridae","Perciformes","Actinopterygii","Pelagic marine fishes","Abudefduf troschelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABULON","ABULON NEGRO",NA,FALSE,"abulon negro","Abulon","Haliotis cracherodii","Species","Haliotis cracherodii","Haliotis","Haliotidae","Lepetellida","Gastropoda","Molluscs excl. Cephalopods","Haliotis cracherodii ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","AGUJON",NA,FALSE,"agujon","Escama","Ablennes hians","Species","Ablennes hians","Ablennes","Belonidae","Beloniformes","Actinopterygii","Pelagic marine fishes","Belone belone","Ablennes hians","Platybelone argalus pterura","Strongylura exilis","Tylosurus pacificus","Tylosurus crocodilus ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CHILE",NA,FALSE,"chile","No ID","Synodus scituliceps","Species","Synodus scituliceps","Synodus","Synodontidae","Aulopiformes","Actinopterygii","Demersal marine fishes","Albula vulpes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OSTION","OSTION",NA,FALSE,"ostion","Ostion","Ostreidae","Family","NEI","NEI","Ostreidae","Ostreida","Bivalvia","Molluscs excl. Cephalopods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OSTION","OSTION JAPONES",NA,FALSE,"ostion japones",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crassostrea gigas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","GUABINA",NA,FALSE,"guabina","Escama","Dormitator latifrons","Species","Dormitator latifrons","Dormitator","Eleotridae","Perciformes","Actinopterygii","Freshwater fishes","Bairdiella chrysoleuca","Dormitator latifrons ","Eleotris picta","Gobiomorus lateralis ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RONCO","RONCO",NA,FALSE,"ronco","Escama","Haemulidae (=Pomadasyidae)","Family","NEI","NEI","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Anisotremus caesius","Anisotremus davidsonii","Anisotremus dovii","Anisotremus interruptus","Anisotremus pacifici","Anisotremus taeniatus","Conodon serrifer","Haemulon flaviguttatum","Haemulon maculicauda","Haemulon scudderii","Haemulon sexfasciatum","Haemulon steindachneri","Haemulopsis axillaris","Haemulopsis elongatus","Haemulopsis nitidus","Microlepidotus brevipinnis","Microlepidotus inornatus","Orthopristis reddingi","Pomadasys bayanus","Pomadasys branickii","Pomadasys macracanthus","Pomadasys panamensis","Conodon nobilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","BUZO",NA,FALSE,"buzo","Escama","Sphyraena ensis","Species","Sphyraena ensis","Sphyraena","Sphyraenidae","Perciformes","Actinopterygii","Pelagic marine fishes","Sphyraena barracuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","BARBERO",NA,FALSE,"barbero","Escama","Acanthurus xanthopterus","Species","Acanthurus xanthopterus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii","Demersal marine fishes","Acanthurus bahianus","Polydactylus approximans","Acanthurus xanthopterus","Chaetodipterus zonatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEBRANCHA","OJO PERRA",NA,FALSE,"ojo perra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","SALEMA",NA,FALSE,"salema","Escama","Peprilus snyderi","Species","Peprilus snyderi","Peprilus","Stromateidae","Perciformes","Actinopterygii","Pelagic marine fishes","Sectator ocyurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARGO","TECOMATE",NA,FALSE,"tecomate","Escama","Hoplopagrus guentherii","Species","Hoplopagrus guentherii","Hoplopagrus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Hoplopagrus guentherii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAGRE","BAGRE CANAL",NA,FALSE,"bagre canal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MERO","CHERNA",NA,FALSE,"cherna","Escama","Epinephelus itajara","Species","Epinephelus itajara","Epinephelus","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","LORO",NA,FALSE,"loro","Escama","Nicholsina denticulata","Species","Nicholsina denticulata","Nicholsina","Scaridae","Perciformes","Actinopterygii","Demersal marine fishes","Galeichthys peruvianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","MACHETE",NA,FALSE,"machete",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ethmidium maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MERO","ABADEJO",NA,FALSE,"abadejo","No ID","Mycteroperca spp","Genus","NEI","Mycteroperca","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Pollachius pollachius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
