landing_site,clave,subregion,long,lat,State,hand_added,
PRIETA SUR PUNTA,294,1.0293,-114.3871,28.81,Baja California,no,
PRIMERO ESTERO,216,4.0216,-114.8787,31.2789,Baja California,no,
PUERTECITOS,127,4.0127,-114.6422,30.3467,Baja California,no,
PUERTECITOS PLAYAS NORTE DE,128,4.0128,-114.6358,30.3636,Baja California,no,
PUERTO DE LOS CHINOS EL,273,1.0272,-114.795,29.2106,Baja California,no,
PUERTO EL,124,1.0123,-116.6804,31.5489,Baja California,no,
PULPOS CAMPO LOS,147,4.0147,-114.6995,30.5805,Baja California,no,
PUNTA BANDA ESTERO,97,1.0096,-116.6239,31.731,Baja California,no,
PUNTA ESTRELLA RANCHO,184,4.0184,-114.71,30.9263,Baja California,no,
PUNTITA LA,306,1.0305,-114.077,28.528,Baja California,no,
QUEMADO EL,46,4.0046,-113.412,28.929,Baja California,no,
QUEQUIS ROCAS LOS,132,1.0131,-116.6318,31.5095,Baja California,no,
QUINTA PLAYA,177,4.0177,-114.7121,30.8272,Baja California,no,
RACITO ISLA,40,4.004,-113.3566,28.8809,Baja California,no,
RADAR PUNTA,185,4.0185,-114.7108,30.9265,Baja California,no,
RASPORIA,311,1.031,-114.0629,28.3666,Baja California,no,
RAUL,28,1.0028,-117.0437,32.305,Baja California,no,
RAUL CAMPO,176,1.0175,-116.0387,30.7072,Baja California,no,
RAYADO EL,239,1.0238,-115.727,29.949,Baja California,no,
RAZA ISLA,32,4.0032,-112.977,28.8074,Baja California,no,
REAL DEL MAR,7,1.0007,-117.1,32.44,Baja California,no,
REBRO EL,116,1.0115,-116.6531,31.6391,Baja California,no,
REFUGIO BAHÍA,81,4.0081,-113.5224,29.5583,Baja California,no,
REFUGIO PUNTA,80,4.008,-113.5324,29.5563,Baja California,no,
REMEDIOS PUNTA,86,4.0086,-113.6282,29.251,Baja California,no,
RENÉ,24,1.0024,-117.0532,32.325,Baja California,no,
RESORT MARINA,192,4.0192,-114.8177,30.9956,Baja California,no,
RIF PUNTA,120,1.0119,-116.6914,31.5665,Baja California,no,
RINCON GOLFO EL,60,4.006,-113.5495,28.9875,Baja California,no,
RINCONADA LA,243,1.0242,-115.7407,29.8955,Baja California,no,
RINCÓN EL,99,1.0098,-116.6998,31.7286,Baja California,no,
RINCÓN MIRADOR EL,98,1.0097,-116.6998,31.7286,Baja California,no,
ROCA LA,162,4.0162,-114.7082,30.7156,Baja California,no,
ROCA PUNTA,220,1.0219,-115.9741,30.378,Baja California,no,
ROCOSA PUNTA,185.5,2.5185,-113.7709,29.01065,Baja California,no,
ROMA CUESTA LA,122,4.0122,-114.6585,30.179,Baja California,no,
ROQUEÑA PUNTA,138,1.0137,-116.4843,31.3723,Baja California,no,
ROSAMAR,43,1.0043,-116.9612,32.2575,Baja California,no,
ROSARIO BOCANA EL,237,1.0236,-115.7753,30.0403,Baja California,no,
ROSARIO EL,236,1.0235,-115.763,30.063,Baja California,no,
ROSARITO,21,1.0021,-117.0543,32.3505,Baja California,no,
ROSARITO PLAYAS DE,22,1.0022,-117.0635,32.3482,Baja California,no,
ROSARITO POPOTLA PLAYA,37,1.0037,-117.04,32.2835,Baja California,no,
ROSARITO PUNTA,304,1.0303,-114.1505,28.5668,Baja California,no,
ROSARITO ROCK,336,1.0335,-117.083,32.366,Baja California,no,
RUBEN JARAMILLO EJIDO,165,1.0164,-116.05,30.918,Baja California,no,
SALADA LAGUNA,221,4.0221,-115.7502,32.5007,Baja California,no,
SALDAMANDO PLAYA,70,1.007,-116.7576,31.9379,Baja California,no,
SALIENTE PIEDRA,182,1.0181,-116.0274,30.5162,Baja California,no,
SALINA LA,58,1.0058,-116.885,32.05,Baja California,no,
SALINA MARISMA LA,217,1.0216,-115.8848,30.3922,Baja California,no,
SALINA PUERTO,60,1.006,-116.883,32.032,Baja California,no,
SALSIPUEDES,67,1.0067,-116.8176,31.9671,Baja California,no,
SALSIPUEDES CANAL,28,4.0028,-113.0354,28.6891,Baja California,no,
SALSIPUEDES EL BONITO,68,1.0068,-116.8176,31.9671,Baja California,no,
SALSIPUEDES ISLA,27,4.0027,-112.98,28.7362,Baja California,no,
SALSIPUEDES PUNTA,66,1.0066,-116.8308,31.9742,Baja California,no,
SAN ANDRES PUERTO,296,1.0295,-114.286,28.706,Baja California,no,
SAN ANGEL,172,1.0171,-116.0673,30.8169,Baja California,no,
SAN ANTONIO,192,1.0191,-115.9482,30.46,Baja California,no,
SAN ANTONIO DEL MAR,156,1.0155,-116.3047,31.0974,Baja California,no,
SAN ANTONIO DEL MAR NORTE,9,1.0009,-117.087,32.4275,Baja California,no,
SAN ANTONIO PIEDRA,22,4.0022,-112.8691,28.4328,Baja California,no,
SAN ANTONIO PLAYA,153,4.0153,-114.7012,30.64,Baja California,no,
SAN ANTONIO PUNTA,246,1.0245,-115.6841,29.7502,Baja California,no,
SAN BENITO ISLOTE,318,1.0316,-114.09,28.306,Baja California,no,
SAN BERNABE PIEDRA,35,4.0035,-113.2329,28.8305,Baja California,no,
SAN CARLOS,167,4.0167,-114.697,30.728,Baja California,no,
SAN CARLOS BAHÍA,252,1.0251,-115.4581,29.6027,Baja California,no,
SAN CARLOS PUERTO,251,1.025,-115.4673,29.6173,Baja California,no,
SAN CARLOS PUNTA,253,1.0252,-115.2534,29.5145,Baja California,no,
SAN DIEGO PLAYA,201,4.0201,-114.8665,31.0975,Baja California,no,
SAN ESTEBAN ISLA,2,4.0002,-112.5721,28.6999,Baja California,no,
SAN FELIPE,195,4.0195,-114.8335,31.0173,Baja California,no,
SAN FELIPE BAHÍA,194,4.0194,-114.8085,31.0125,Baja California,no,
SAN FELIPE PLAYA,193,4.0193,-114.8247,31.0076,Baja California,no,
SAN FERMÍN PLAYA,132,4.0132,-114.631,30.4109,Baja California,no,
SAN FERNANDO,188,4.0188,-114.725,30.9432,Baja California,no,
SAN FERNANDO CAMPO,187,4.0187,-114.725,30.9432,Baja California,no,
SAN FERNANDO PUNTA,247,1.0246,-115.608,29.6944,Baja California,no,
SAN FRANCISCO,190,4.019,-114.8101,30.9855,Baja California,no,
SAN FRANCISQUITO,18,4.0018,-112.8534,28.4092,Baja California,no,
SAN FRANCISQUITO BAHÍA,19,4.0019,-112.8489,28.4432,Baja California,no,
SAN FRANCISQUITO ENSENADA,104,4.0104,-114.384,29.8168,Baja California,no,
SAN FRANCISQUITO PUNTA,20,4.002,-112.8429,28.4182,Baja California,no,
SAN ISIDRO PUNTA,149,1.0148,-116.4121,31.2906,Baja California,no,
SAN JACINTO,164,1.0163,-116.2132,30.9227,Baja California,no,
SAN JACINTO PUNTA,168,1.0167,-116.1746,30.8622,Baja California,no,
SAN JERONIMO ISLA,244,1.0243,-115.797,29.85,Baja California,no,
SAN JOSE ARROYO,268,1.0267,-114.8703,29.276,Baja California,no,
SAN JOSE ENSENADA,16,4.0016,-112.8558,28.3312,Baja California,no,unclear why this is on the Gulf side
SAN JOSE ESTERO Y PUERTO SAN JOSE,267,1.0266,-114.8703,29.2844,Baja California,no,
SAN JOSE PUERTO,269,1.0268,-114.8703,29.2844,Baja California,no,
SAN JOSE,269,1.0268,-114.8703,29.2844,Baja California,yes,
SAN JOSÉ (LOS MAPACHES),15,4.0015,-112.8587,28.345,Baja California,no,
SAN JOSÉ PUNTA,134,1.0133,-116.6002,31.4505,Baja California,no,
SAN JUAN BAUTISTA BAHÍA,5,4.0005,-112.7887,28.0275,Baja California,no,
SAN JUAN BAUTISTA PUNTA,6,4.0006,-112.7886,28.063,Baja California,no,
SAN JUAN DE LAS PULGAS (VARADERO),137,1.0136,-116.4971,31.4048,Baja California,no,
SAN LORENZO ISLA,25,4.0025,-112.8289,28.6336,Baja California,no,
SAN LUIS GONZAGA,100,4.01,-114.3672,29.7675,Baja California,no,
SAN LUIS GONZAGA BAHÍA,99,4.0099,-114.366,29.8875,Baja California,no,
SAN LUIS ISLA,113,4.0113,-114.4275,29.9739,Baja California,no,
SAN MARTIN BAHÍA,282,1.0281,-118.403,29.032,Baja California,no,
SAN MARTÍN GOLFO ISLA,173,4.0173,-114.7022,30.8163,Baja California,no,
SAN MARTÍN ISLA,183,1.0182,-116.109,30.489,Baja California,no,
SAN MIGUEL,73,1.0073,-116.7283,31.8988,Baja California,no,
SAN MIGUEL ( SUR DE BAH. LOS ANGELES),10,4.001,-112.781,28.181,Baja California,no,
SAN MIGUEL (BAHÍA ),74,1.0074,-116.7283,31.8988,Baja California,no,
SAN MIGUEL CABO,11,4.0011,-112.7871,28.1921,Baja California,no,
SAN MIGUEL PUNTA,72,1.0072,-116.7518,31.9028,Baja California,no,
SAN PEDRO MARTIR ISLA,1,4.0001,-112.3331,28.3721,Baja California,no,
SAN QUINTIN,189,1.0188,-115.9719,30.467,Baja California,no,
PUNTA SAN QUINTIN,189,1.0188,-115.9719,30.467,Baja California,yes,
SAN QUINTIN (LITORALES),179,1.0178,-116.0259,30.5504,Baja California,no,
SAN QUINTIN BAHÍA,187,1.0186,-115.9672,30.4676,Baja California,no,
SAN QUINTIN BAHÍA DE,202,1.0201,-115.9672,30.4676,Baja California,no,
SAN QUINTIN CABO,226,1.0225,-115.8133,30.3246,Baja California,no,
SAN QUINTIN ESTERO,188,1.0187,-115.9672,30.4676,Baja California,no,
SAN QUINTIN PLAYA,190,1.0189,-115.9539,30.4667,Baja California,no,
SAN RAFAEL BAHÍA,305,1.0304,-114.077,28.5003,Baja California,no,
SAN RAFAEL GOLFO BAHÍA,29,4.0029,-113.0683,28.525,Baja California,no,
SAN RAFAEL,30,4.003,-113.1228,28.5766,Baja California,yes,
SAN RAFAEL PLAYA,30,4.003,-113.1228,28.5766,Baja California,no,
SAN RAMÓN BAHÍA,175,1.0174,-116.0482,30.7401,Baja California,no,
ISLA SAN RAMON,175,1.0174,-116.0482,30.7401,Baja California,yes,
SAN RAMÓN CAMPO,178,1.0177,-116.0356,30.5572,Baja California,no,
SAN RAMÓN PLAYAS,181,1.018,-116.0411,30.5404,Baja California,no,
SAN TELMO BOCANA,163,1.0162,-116.2424,30.932,Baja California,no,
SAN TELMO PUNTA,162,1.0161,-116.2422,30.9344,Baja California,no,
SANDINI,41,1.0041,-116.986,32.2613,Baja California,no,
SANTA CATARINA,255,1.0254,-115.221,29.486,Baja California,no,
SANTA CATARINA PLAYA,146,4.0146,-114.6676,30.584,Baja California,no,
SANTA CATARINA PUERTO,145,4.0145,-114.6676,30.584,Baja California,no,
SANTA FE CAMPO,158,4.0158,-114.6963,30.67,Baja California,no,
SANTA MARIA CAMPO LÓPEZ,54,1.0054,-116.86,32.132,Baja California,no,
SANTA MARÍA BAHÍA,219,1.0218,-115.934,30.38,Baja California,no,
SANTA MARÍA GOLFO BAHÍA,169,4.0169,-114.6929,30.7443,Baja California,no,
SANTA MARÍA PLAYA,211,1.021,-115.974,30.405,Baja California,no,
SANTA MARÍA,211,1.021,-115.974,30.405,Baja California,yes,
SANTA MONICA SUR,19,1.0019,-117.0724,32.374,Baja California,no,
SANTA ROSALILLITA BAHÍA,301,1.03,-114.1935,28.6432,Baja California,no,
SANTA ROSALILLITA CALETA,299,1.0298,-114.242,28.654,Baja California,no,
SANTA ROSALILLITA CAMPO,300,1.0299,-114.242,28.656,Baja California,no,
SANTA ROSALILLITA PUNTA,298,1.0297,-114.2554,28.6602,Baja California,no,
SANTA ROSALILLITA,298,1.0297,-114.2554,28.6602,Baja California,yes,
SANTA TERESA BAHÍA,12,4.0012,-112.7949,28.2011,Baja California,no,
SANTA TERESA CAMPO,134,4.0134,-114.6338,30.45,Baja California,no,
SANTO DOMINGO (VARADERO),322,1.0321,-114.09,28.257,Baja California,no,
SANTO DOMINGO MORRO,324,1.0323,-114.1,28.0406,Baja California,no,
SANTO TOMÁS CALETA,127,1.0126,-116.6838,31.52,Baja California,no,
SANTO TOMÁS PUERTO,126,1.0125,-116.6838,31.5343,Baja California,no,
SANTO TOMÁS PUNTA,125,1.0124,-116.69,31.5343,Baja California,no,
SANTO TOMAS,125,1.0124,-116.69,31.5343,Baja California,yes,
SARABIA CAMPO,180,1.0179,-116.0259,30.5504,Baja California,no,
SAUCES LOS,203,1.0202,-115.943,30.4389,Baja California,no,
SAUZAL EL,76,1.0076,-116.6839,31.884,Baja California,no,
SAUZAL PLAYA,75,1.0075,-116.6839,31.884,Baja California,no,
SEBASTIAN VIZCAINO BAHÍA,329,1.0328,-114.1916,28.105,Baja California,no,
SEIS EL,208,1.0207,-115.9821,30.429,Baja California,no,
SILICA PLAYA LA,58,4.0058,-113.5558,28.9439,Baja California,no,
SMITH DE CORONADO ISLA,12,1.0012,-117.2319,32.4096,Baja California,no,
SOCORRITO EL,227,1.0226,-115.8115,30.3177,Baja California,no,
SOCORRO CALETA EL,229,1.0228,-115.81,30.2857,Baja California,no,
SOCORRO PLAYA,228,1.0227,-115.8094,30.2857,Baja California,no,
EL SOCORRO,228,1.0227,-115.8094,30.2857,Baja California,no,
SODLEDAD ROCAS,341,1.034,-116.708,31.569,Baja California,no,
SOL COSTA DEL,32,1.0032,-117.0377,32.29,Baja California,no,
SOL PLAYA,200,4.02,-114.8608,31.0886,Baja California,no,
SOLDADO PUNTA EL,39,4.0039,-113.3624,28.8723,Baja California,no,
SOLEDAD BAHÍA,119,1.0118,-116.6596,31.5811,Baja California,no,
SOLEDAD ROCAS LA,122,1.0121,-116.6959,31.5525,Baja California,no,
SOUH KELP,335,1.0334,-117.221,32.375,Baja California,no,
SUGAR ROCK,338,1.0337,-116.998,32.246,Baja California,no,
SUR EL CAMPITO,232,1.0231,-115.7878,30.1465,Baja California,no,
TAMPICO,139,1.0138,-116.47,31.3505,Baja California,no,
TECOLOTE ENSENADA,89,4.0089,-113.7703,29.4181,Baja California,no,
TEPEYAC CAMPO,283,1.0282,-118.385,28.974,Baja California,no,
TERMOELÉCTRICA TIJUANA,20,1.002,-117.072,32.3726,Baja California,no,
TIJERETA PUNTA LA,98,4.0098,-114.292,29.7657,Baja California,no,
TIJUANA,1,1.0001,-117.034,32.5334,Baja California,no,
TIJUANA PLAYAS,2,1.0002,-117.124,32.525,Baja California,no,
TIO SAM,26,1.0026,-117.0485,32.315,Baja California,no,
TOBA CAMPO,133,4.0133,-114.6338,30.43,Baja California,no,
TODOS SANTOS ISLOTES,89,1.0088,-116.7815,31.7995,Baja California,no,
TOMATAL EL,308,1.0307,-114.037,28.472,Baja California,no,
TOMATAL PUNTA EL,307,1.0306,-114.06,28.494,Baja California,no,
TORRE MOCHA,323,1.0322,-114.057,28.2523,Baja California,no,
TORRESCANO BAHÍA,100,1.0099,-116.7296,31.7261,Baja California,no,
TRANQUILA PLAYA,230,1.0229,-115.7854,30.1586,Baja California,no,
TRES HERMANOS,96,1.0095,-116.7052,31.7339,Baja California,no,
TRES TORRES,313,1.0312,-114.0663,28.3553,Baja California,no,
TURISTICO VALLARTA CAMPO,142,4.0142,-114.6504,30.5443,Baja California,no,
VALLE TRANQUILO,215,4.0215,-114.8907,31.2532,Baja California,no,
VALLE TRANQUILO EJIDO,214,4.0214,-114.8907,31.2532,Baja California,no,
VEINTISIETE DE ENERO,155,1.0154,-116.3035,31.1043,Baja California,no,
VENTANA ISLA,52,4.0052,-113.5032,28.9921,Baja California,no,
VENUZTIANO CARRANZA PUERTO,330,1.0329,-114.1106,28.033,Baja California,no,
VERGEL EL,161,4.0161,-114.7014,30.695,Baja California,no,
VIBORA LA,3,4.0003,-113.2603,29.284,Baja California,no,
VIEJO CAMPO,234,1.0233,-115.7857,30.131,Baja California,no,
VIEJO MOLINO,186,1.0185,-115.98,30.48,Baja California,no,
VIEJO PUERTO,331,1.033,-114.1097,28.015,Baja California,no,
VILLARINO,106,1.0105,-116.6736,31.7145,Baja California,no,
VIOLETA LA,136,4.0136,-114.6288,30.4827,Baja California,no,
VOLCAN PRIETO PUNTA,123,4.0123,-114.6469,30.2165,Baja California,no,
VOLCAN SUDOESTE,205,1.0204,-116.0135,30.4379,Baja California,no,
VOLCANES LOS,196,1.0195,-116.0163,30.4525,Baja California,no,
WIDO EL,312,1.0311,-114.066,28.366,Baja California,no,
WILLARD ISLA,105,4.0105,-114.3865,29.8171,Baja California,no,
WILLARD PUNTA,106,4.0106,-114.3945,29.8256,Baja California,no,
XANIC PLAYA,148,4.0148,-114.6718,30.5824,Baja California,no,
ZEPELÍN EL,114,1.0113,-116.6863,31.6968,Baja California,no,
CAMPO ENMEDIO,NA,1,-116.5471,31.4482,Baja California,yes,
COLORADITO,NA,1,-114.6692,30.5795,Baja California,yes,
EL CONEJO,NA,1,-111.4473,24.3281,Baja California,yes,
EL RINCON DE PUNTA BANDA,NA,1,-116.6781,31.7239,Baja California,yes,
FARO DE SAN JOSE,NA,1,-109.665,23.065,Baja California,yes,
LAGUNA MACUILE,NA,1,-114.06,28.192,Baja California,yes,
LOS MORROS,NA,1,-114.979,29.3823,Baja California,yes,
LAGUNA LAS FLORES Y GOLFO DE MEXICO         ,NA,4,−110.7416,24.5843,Baja California,yes,misnamed
LA PUERTA                                   ,NA,NA,NA,NA,Baja California,yes,inland
NO CONSIDERADO                              ,NA,NA,NA,NA,Baja California,yes,unclassified
SITIO EMB DESEM GENERICO                    ,NA,NA,NA,NA,Baja California,yes,unclassified
PLAYA SAN RAMON/CAMALU                      ,NA,1,-116.0592,30.7704,Baja California,yes,
LA ESCOLLERA                                ,NA,NA,NA,NA,Baja California,yes,translation = breakwater
PUNTA SAN JOSE (VARADERO)                   ,NA,1,-116.6,31.467,Baja California,yes,
EL CHINERO 4TO. ESTERO (EN ZONA ESTEROS)    ,NA,4,-115.0566,31.4813,Baja California,yes,
PTO. STO. TOMAS                             ,NA,1,-116.419,31.583,Baja California,yes,
ARBOLITOS O PUERTO KENNEDY                  ,NA,1,-116.68595,31.71114,Baja California,yes,
CAMPO NORTE (EN I. GUADALUPE)               ,NA,1,-118.28,29.0308,Baja California,yes,
EL AFERRADO                                 ,NA,NA,NA,NA,Baja California,yes,
BOCANA SANTO DOMINGO                        ,NA,1,NA,NA,Baja California,yes,This seems to be in Sur
ESCOLLERA DE SAN FELIPE                     ,195,4.0195,-114.8335,31.0173,Baja California,yes,
MANEADERO/ LA JOYA                          ,NA,1,-116.664,31.717,Baja California,yes,
SAN MIGUEL (ENSENADA)                       ,83,1.0082,-116.6007,31.8508,Baja California,yes,
PUNTA REFUGIO (I. ANGEL DE LA GUARDA)       ,84,4.0084,-113.3649,29.2898,Baja California,yes,
MERCADO DE MARISCOS                         ,NA,1,-116.6245,31.853,Baja California,yes,
PTO ADOLFO LOPEZ MATEOS                     ,NA,1,-112.1105,25.1945,Baja California,yes,
CAMPO ARROYITO (EN I. GUADALUPE)            ,279,1.0278,-118.377,29.0556,Baja California,yes,
CAMPO TEPEYAC O CAMPO OESTE (I. GUADALUPE)  ,279,1.0278,-118.377,29.0556,Baja California,yes,
MUELLE MAR NEGRO                            ,NA,1,-116.62461,31.85919,Baja California,yes,
R. PORTUARIO PCO                            ,NA,1,-116.633,31.85,Baja California,yes,
ESTERO SAN JOSE B.C.N.                      ,NA,4,-109.68306,23.05,Baja California,yes,
BAHIA DE LOS ANGELES B.C.N.                 ,NA,4,-113.56243,28.95192,Baja California,yes,
ESTERO LAGUNA MANUELA B.C.N.                ,NA,1,-114.1,28.2333,Baja California,yes,
SAN JERONIMO                                ,NA,1,-115.7917,29.7917,Baja California,yes,
ESCOLLERA                                   ,NA,NA,NA ,NA,Baja California,yes,"unclear, means breakwater"
SAN LUIS GONZAGA B.C.N.                     ,NA,4,-114.38,29.7924,Baja California,yes,
EL BARRIL B.C.N.                            ,NA,4,-112.8741,28.3009,Baja California,yes,
LA COLORADA (I. CEDROS)                     ,NA,1,-115.3506,28.1164,Baja California,yes,
NOTIENE                                     ,NA,NA,NA ,NA,Baja California,yes,placeholder in dataset
FRONTERA                                    ,NA,NA,NA ,NA,Baja California,yes,"generic, border/frontier label"
CAÑADA DE LAS MUJERES                       ,NA,NA,NA,NA,Baja California,yes,couldn't find anything that looked right
EL SOMBRERETE                               ,NA,4,-115.057,32.1669,Baja California,yes,
"CANADA, LA                                  ",NA,NA,NA,NA,Baja California,yes,couldn't find anything that looked right
BAHIA SAN SEBASTIAN                         ,NA,4,-111.56762,26.61715,Baja California,yes,
ARROYO AMARGO                               ,NA,NA,NA ,NA,Baja California,yes,"lots of these features throughout, generic name"
EL CHUPADERO                                ,NA,NA,NA,NA,Baja California,yes,couldn't find anything that looked right
SAN FRANCISQUITO B.C.N.                     ,NA,4,-112.85712,28.41063,Baja California,yes,
LA MERCED                                   ,NA,NA,NA,NA,Baja California,yes,couldn't find anything that looked right
POB. LUIS GIL PEREZ                         ,NA,NA,NA,NA,Baja California,yes,"Is this in Tabasco, also inland"
BAJO BALLENAS                               ,NA,4,-113.55,29.33,Baja California,yes,
ELEHUTE                                     ,NA,NA,NA,NA,Baja California,yes,unclear location
EL PAPAYO                                   ,NA,NA,NA,NA,Baja California,yes,unclear location
PUNTA CONCEPCION                            ,NA,4,-111.952,26.935,Baja California,yes,
PUERTO ESCONDIDO (EN LORETO)                ,NA,4,-111.307,25.822,Baja California,yes,
VARDERO LAGUNITAS                           ,NA,NA,NA,NA,Baja California,yes,unclear location
EL MALECON                                  ,NA,NA,NA,NA,Baja California,yes,unclear location
BAHIA CONCEPCION B.C.SUR.                   ,NA,4,-111.893,26.757,Baja California,yes,
PEÑASCO                                     ,NA,4,-113.535,31.317,Baja California,yes,
SAN MARTIN DE LA LUZ                        ,NA,NA,NA,NA,Baja California,yes,"probably freshwater, inland"
GOLFO DE SANTA CLARA                        ,NA,4,-114.4975,31.6876,Baja California,yes,
PUERTO SAN CARLOS (B.C.S.)                  ,NA,1,-112.1045,24.7892,Baja California,yes,
EL CAIMAN                                   ,NA,NA,NA,NA,Baja California,yes,"probably freshwater, inland"
PUNTA ARENA ( EN LOS CABOS)                 ,NA,4,-109.4685,23.554,Baja California,yes,
CAMPO CUCAPA                                ,NA,4,-115.093,32.219,Baja California,yes,
PLAYA CAMPO RUBENS                          ,NA,1,-116.741,31.976,Baja California,yes,
EL SANJON                                   ,NA,NA,NA,NA,Baja California,yes,ambiguous name
ROSALITA                                    ,NA,1,-114.182,28.372,Baja California,yes,"assuming La Rosalillita, actually in Baja Sur"
CAMALU (VARADERO)                           ,NA,1,-116.06,30.79,Baja California,yes,
ARROYO LAS MUJERES                          ,NA,NA,NA,NA,Baja California,yes,ambiguous name
PUNTA MARRON O PUNTA NEGRA (VARADERO)       ,NA,1,-116.482,31.287,Baja California,yes,
PUNTA BAJA (EN SANTA ROSALIA)               ,NA,1,-115.771,29.954,Baja California,yes,
PUNTA DEL DIABLO (VARADERO)                 ,NA,1,-116.47,31.279,Baja California,yes,
ESTERO SALINAS                              ,NA,1,-116.626,31.836,Baja California,yes,
PUNTA CONO (VARADERO)                       ,NA,1,-114.58,28.964,Baja California,yes,
PUERTO DE CDA                               ,NA,1,-116.633,31.85,Baja California,yes,Likely shorthand for Recinto/puerto de la CiuDad (Ensenada) → the main Ensenada port area
ISLA ESPIRITU SANTO                         ,NA,4,-110.39,24.585,Baja California,yes,
MUELLE DEL MERCADO                          ,NA,1,-116.6246,31.8592,Baja California,yes,
REST. PORTUARIO                             ,NA,1,-116.633,31.85,Baja California,yes,
BAJOS SAN CARLOS                            ,NA,1,-112.12,24.78,Baja California,yes,"“Bajos” = shoals; most likely the shoal area off Puerto San Carlos (Magdalena Bay, BCS)"
LAS ESCOLLERAS                              ,NA,1,-116.6333,31.8583,Baja California,yes,
PUERTO DE EDA                               ,NA,1,-116.633,31.85,Baja California,yes,
TOPOLOBAMPO                                 ,NA,4,-109.056,25.602,Baja California,yes,
SANTA ROSALIA                               ,NA,4,-112.274,27.34,Baja California,yes,
ROSALIITA                                   ,NA,1,-114.182,28.372,Baja California,yes,"assuming La Rosalillita, actually in Baja Sur"
PUERTO VIEJO (EN B.C.N.)                    ,NA,NA,NA,NA,Baja California,yes,"B.C.N. Baja California North, but can't identify municipality"
SAN MIGUEL (B. DE LOS ANGELES)              ,NA,4,-113.54,28.92,Baja California,yes,
CACHAN DE ECHEVERRIA                        ,Na,4,-113.09,28.63,Baja California,yes,
MUELLE PLANTA PESQUERA TABASQUENA O COMPLEJO,NA,NA,NA ,NA,Baja California,yes,"Tabasca, Gulf of Mexico"
ESTERO EL ZAPOTAL                           ,NA,NA,NA ,NA,Baja California,yes,"Tabasca, Gulf of Mexico"
CAMPO SAHUARO                               ,NA,4,-114.78,30.9,Baja California,yes,an Felipe → Puertecitos corridor
VICENTE GUERRERO                            ,NA,NA,NA,NA,Baja California,yes,"Inland location, but also on Pacific side"
MATANCITAS                                  ,NA,NA,NA,NA,Baja California,yes,
20 DE NOVIEMBRE                             ,NA,NA,NA,NA,Baja California,yes,"date, not location"
EL MUERTITO O PUNTA ROSARITO (VARADERO)     ,NA,1,-117.05,32.26,Baja California,yes,
RANCHO ZIMARRON KM 68                       ,NA,4,-114.707,30.63,Baja California,yes,
EL PLAYON DE SAN RAMON                      ,NA,1,-116.059,30.77,Baja California,yes,
EL CARDON EN LAGUNA SAN IGNACIO             ,NA,1,-113.178,26.811,Baja California,yes,
LITORAL DEL ESTADO                          ,NA,NA,NA,NA,Baja California,yes,state coastline
CERRO PRIETO                                ,NA,NA,NA,NA,Baja California,yes,"inland, not coastal"
EL TOMATAL (VARADERO)                       ,NA,1,-116.36,30.95,Baja California,yes,
LIT.GOLFO DE CALIFORNIA                     ,NA,4,-113.86,29.65,Baja California,yes,just put it in the middle of Baja Cal. Shoreline
SAN SEBASTIAN                               ,NA,4,-111.568,26.617,Baja California,yes,
PRESA EL CAJON                              ,NA,NA,NA,NA,Baja California,yes,inland large hydro dam
BAHIA DE MACAPULE                           ,NA,4,-108.52,25.25,Baja California,yes,sinaloa
ALVARADO                                    ,NA,NA,NA,NA,Baja California,yes,Gulf of Mexico
Las Casitas (Laguna Ojo de Liebre)          ,NA,1,-114.08,27.73,Baja California,yes,
COL. VICENTE GUERRERO                       ,NA,NA,NA,NA,Baja California,yes,"inland, but Pacific Coast."
TAMIAHUA                                    ,NA,NA,NA,NA,Baja California,yes,"inland, Gulf of Mexico, Veracruz"
CORTINA DE LA PRESA                         ,NA,NA,NA,NA,Baja California,yes,dam wall
ARTEAGA                                     ,NA,NA,NA,NA,Baja California,yes,"city in Coahuila, mainland"
TORRE BLANCA                                ,NA,NA,NA,NA,Baja California,yes,no Baja coastal sites that I could find
SAN RAFAEL (EN BAHIA CONCEPCION)            ,NA,4,-112.27,27.32,Baja California,yes,Baja California Sur
QUERENDARO                                  ,NA,NA,NA,NA,Baja California,yes,Town/municipality in Michoacán (inland)
SAN MARCOS (EN ISLA SAN MARCOS)             ,NA,4,-112.101,27.233,Baja California,yes,
LA PUNTITA (VARADERO)                       ,NA,NA,NA,NA,Baja California,yes,exists in many places
COLORADITA O PUERTO ESCONDIDO (I. DE CEDROS),NA,1,-115.351,28.116,Baja California,yes,On Isla de Cedros there is a mapped locality La Colorada;
ISLA SANTA ISABEL O EL HUERFANITO           ,NA,4,-114.476,29.603,Baja California,yes,
ROCA COMSAG                                 ,NA,NA,NA,NA,Baja California,yes,
BAHIA TORTUGAS                              ,NA,1,-114.893,27.69,Baja California,yes,
ZONA ESTEROS                                ,NA,NA,NA,NA,Baja California,yes,"""estuary zone"" unclear location"
BAHIA ASUNCION                              ,NA,1,-114.292,27.129,Baja California,yes,
ISLA ARENA                                  ,NA,NA,NA,NA,Baja California,yes,Gulf of Mexico
MANZANILLO                                  ,NA,NA,NA,NA,Baja California,yes,Major port in Colima?
BAJO SUR                                    ,NA,NA,NA,NA,Baja California,yes,"shole, nautical hazard, not a specific location"
BAJO MACHO                                  ,NA,NA,NA,NA,Baja California,yes,"shole, nautical hazard, not a specific location"
