landing_site,clave,subregion,long,lat,State,hand_added,
CADENA CAMPO,154,4.0154,-114.7012,30.6442,Baja California,no,
CALAFIA,40,1.004,-117.0221,32.2725,Baja California,no,
CALAFIA SUR,123,1.0122,-116.6751,31.5503,Baja California,no,
CALAMAJUE CAMPO,94,4.0094,-114.1555,29.6904,Baja California,no,
CALAVERA ISLA LA,55,4.0055,-113.4952,29.0263,Baja California,no,
CALAVERA LA,140,1.0139,-116.467,31.3505,Baja California,no,
CALETA,33,1.0033,-117.0374,32.287,Baja California,no,
CAMACHO PUNTA,256,1.0255,-115.218,29.483,Baja California,no,
CAMALÚ,169,1.0168,-116.0548,30.8498,Baja California,no,
CAMALÚ BAHÍA,173,1.0172,-116.0607,30.8127,Baja California,no,
CAMALÚ PUNTA,170,1.0169,-116.0938,30.821,Baja California,no,
CAMPITO PUNTA EL,233,1.0232,-115.79,30.1465,Baja California,no,
EL CAMPITO,233,1.0232,-115.79,30.1465,Baja California,yes,
CAMPO NUEVO CALETA,249,1.0248,-115.6002,29.6843,Baja California,no,
CANDELERO PUNTA,87,4.0087,-113.6815,29.3135,Baja California,no,
CANOAS PUERTO,261,1.026,-115.1168,29.4158,Baja California,no,
CANOAS PUNTA,259,1.0258,-115.1836,29.4172,Baja California,no,
CANOAS,259,1.0258,-115.1836,29.4172,Baja California,yes,
CANTILES,45,1.0045,-116.9438,32.249,Baja California,no,
CARDONOSA LA,67,4.0067,-113.5831,29.1189,Baja California,no,
CARDÓN EL,288,1.0287,-114.4487,28.9074,Baja California,no,
CARDÓN LITORAL DEL,317,1.0317,-114.084,28.323,Baja California,no,
CARDÓN PUNTA,66,4.0066,-113.5747,29.1131,Baja California,no,
CARLOS CAMPO,42,1.0042,-116.9724,32.2597,Baja California,no,
CASITA PLAYA LA,126,4.0126,-114.6442,30.32,Baja California,no,
CASTILLOS DEL MAR,27,1.0027,-117.0461,32.31,Baja California,no,
CASTROS,201,1.02,-115.996,30.4437,Baja California,no,
CATARINA PUERTO,254,1.0253,-115.2534,29.5145,Baja California,no,
CAÑÓN DE SANTA CRUZ LA PUNTA DEL,144,1.0143,-116.4548,31.3415,Baja California,no,
CEDROS ISLA,328,1.0327,-115.216,28.189,Baja California,no,
CENIZAS MONTE DE,166,1.0165,-116.1901,30.8904,Baja California,no,
CHICHOS LOS,167,1.0166,-116.2021,30.89,Baja California,no,
CHINA PUNTA,131,1.013,-116.6455,31.5105,Baja California,no,
CHORERA LA,193,1.0192,-116.0192,30.4537,Baja California,no,
CHOROS PUERTO LOS,61,4.0061,-113.5667,29,Baja California,no,
CHUTE EL,207,1.0206,-115.9838,30.4338,Baja California,no,
CIMARRÓN,137,4.0137,-114.6287,30.488,Baja California,no,
CLARA PUNTA,129,1.0128,-116.6582,31.53,Baja California,no,
COLONET BAHÍA,159,1.0158,-116.2551,30.9479,Baja California,no,
COLONET BANCK,342,1.0341,-116.645,30.937,Baja California,no,
COLONET PUNTA,157,1.0156,-116.329,30.976,Baja California,no,
COLONIA GUTIERREZ POLANCO,174,4.0174,-114.707,30.799,Baja California,no,
COLORADA LA,220,4.022,-115.3836,32.4675,Baja California,no,
COLORADA PUNTA,74,4.0074,-113.1442,28.9968,Baja California,no,
CAMPO COLORADA,74,4.0074,-113.1442,28.9968,Baja California,yes,
COLORADITO BOCA EL,13,4.0013,-112.8363,28.2378,Baja California,no,
COLORADO DE GUADALUPE CAMPO,72,4.0072,-113.6473,29.2266,Baja California,no,
COLORADO RÍO,217,4.0217,-114.8169,31.8009,Baja California,no,
COMPADRES CAMPO LOS,204,4.0204,-114.8732,31.11,Baja California,no,
CONO LITORAL PUNTA,284,1.0283,-114.58,28.9643,Baja California,no,
CONO PUNTA,285,1.0284,-114.58,28.9643,Baja California,no,
CONSUELO CAMPO EL,144,4.0144,-114.6593,30.56,Baja California,no,
CONSUELO EL,231,1.023,-115.7854,30.1586,Baja California,no,
CORONA PLAYA,90,1.0089,-116.6155,31.7846,Baja California,no,
CORONADO COSTA,3,1.0003,-117.12,32.484,Baja California,no,
CORONADO ISLA,65,4.0065,-113.5178,29.0831,Baja California,no,
CORONEL ESTEBÁN CANTÚ,117,1.0116,-116.6658,31.6121,Baja California,no,
CORTÉZ VILLAS DE,212,4.0212,-114.8807,31.1898,Baja California,no,
COSTILLA LA,124,4.0124,-114.651,30.2705,Baja California,no,
CRISTINA CAMPO,141,4.0141,-114.6499,30.5283,Baja California,no,
CRISTINA PLAYA,125,4.0125,-114.6531,30.2843,Baja California,no,
CUATRO CASAS,161,1.016,-116.2324,30.9352,Baja California,no,
CUCHILLO PUERTO,270,1.0269,-114.8218,29.2399,Baja California,no,
EL CUCHILLO,270,1.0269,-114.8218,29.2399,Baja California,yes,
CUCHILLO PUNTA,204,1.0203,-115.943,30.4389,Baja California,no,
CURBINA PLAYA,129,4.0129,-114.6409,30.3712,Baja California,no,
CÁLETE,107,1.0106,-116.7172,31.7114,Baja California,no,
CÓRBIN BAHÍA,272,1.0271,-114.8245,29.2309,Baja California,no,
DE JESUS MARÍA VILLA,327,1.0326,-114.0005,28.2338,Baja California,no,
DE TODOS SANTOS BAHÍA,88,1.0087,-116.6838,31.8031,Baja California,no,
DE TOVE CAMPO,131,4.0131,-114.6357,30.387,Baja California,no,
DEL CARDÓN VARADERO,309,1.0308,-114.067,28.386,Baja California,no,
DEL MAR VILLA,77,1.0077,-116.6796,31.8748,Baja California,no,
DELFINES LOS,8,1.0008,-117.0959,32.4282,Baja California,no,
DESCANSO BAHÍA EL,50,1.005,-116.9239,32.2303,Baja California,no,
DESCANSO BOCA EL,49,1.0049,-116.9239,32.2303,Baja California,no,
DESCANSO PUNTA EL,38,1.0038,-117.0301,32.28,Baja California,no,
DESTILADERO EL,147,1.0146,-116.4389,31.3237,Baja California,no,
DIABLO BAHIA PUNTA EL,289,1.0288,-114.4708,28.9067,Baja California,no,
DIABLO PUNTA EL,290,1.0289,-114.4608,28.9067,Baja California,no,
PUNTA DIABLO,290,1.0289,-114.4608,28.9067,Baja California,yes,
DIGGS PUNTA,175,4.0175,-114.7104,30.8045,Baja California,no,
DINA,215,1.0214,-115.9,30.3952,Baja California,no,
DON ABEL,213,4.0213,-114.878,31.219,Baja California,no,
DON ABEL CAMPO,211,4.0211,-114.8846,31.1736,Baja California,no,
DON JUAN PUNTA,48,4.0048,-113.4352,28.9567,Baja California,no,
DON PANCHO,176,4.0176,-114.7079,30.8198,Baja California,no,
DORADA PLAYA,143,4.0143,-114.6593,30.55,Baja California,no,
DOS MARES,95,1.0094,-116.7426,31.7438,Baja California,no,
DUNAS LAS,48,1.0048,-116.9245,32.2335,Baja California,no,
ECOLOGICA MARINA,209,1.0208,-115.945,30.42,Baja California,no,
EL ALACRÁN ENSENADA,41,4.0041,-113.3684,28.8894,Baja California,no,
EL FARO (ÁREA RESIDENCIAL),186,4.0186,-114.7269,30.9374,Baja California,no,
EL FARO GOLFO,219,4.0219,-115.3171,32.2837,Baja California,no,
EL HUERFANITO,119,4.0119,-114.6284,30.1214,Baja California,no,
EL ISLOTE,235,1.0234,-115.7782,30.1133,Baja California,no,
EL MAÑANA,31,1.0031,-117.038,32.293,Baja California,no,
EL MIRADOR,69,1.0069,-116.75,31.941,Baja California,no,
EL MORRO,39,1.0039,-117.026,32.277,Baja California,no,
EL PESCADOR ENSENADA,43,4.0043,-113.3864,28.9181,Baja California,no,
EL QUEMADO ENSENADA,47,4.0047,-113.4097,28.9378,Baja California,no,
ENCANTADA ISLA,114,4.0114,-114.4704,30.0149,Baja California,no,
ENCANTADA PLAYA,29,1.0029,-117.0418,32.3,Baja California,no,
ENCANTADAS LAS,111,4.0111,-114.4644,29.9076,Baja California,no,
ENSENADA,83,1.0082,-116.6007,31.8508,Baja California,no,
PUERTO ENSENADA,83,1.0082,-116.6007,31.8508,Baja California,yes,
ENSENADA PUNTA,85,1.0084,-116.6315,31.8476,Baja California,no,
ENTRADA PUNTA,223,1.0222,-115.9666,30.3638,Baja California,no,
ERÉNDIRA,150,1.0149,-116.381,31.2624,Baja California,no,
ERÉNDIRA EJIDO,151,1.015,-116.378,31.261,Baja California,no,
ESCARPADA PUNTA,92,4.0092,-114.0272,29.5946,Baja California,no,
ESCONDIDO PUERTO,110,1.0109,-116.7081,31.708,Baja California,no,
ESMERALDA CAMPO,160,4.016,-114.7014,30.685,Baja California,no,
ESPAÑA NUEVA,91,1.009,-116.619,31.7787,Baja California,no,
ESTANQUE ISLA,75,4.0075,-113.1166,29.0722,Baja California,no,
ESTERO PLAYA,93,1.0092,-116.619,31.77,Baja California,no,
ESTERO PUNTA,94,1.0093,-116.6264,31.7616,Baja California,no,
ESTRELLA PLAYA,183,4.0183,-114.7009,30.91,Baja California,no,
ESTRELLA PUNTA,181,4.0181,-114.6988,30.9023,Baja California,no,
FALSA BAHÍA,198,1.0197,-116.0001,30.4504,Baja California,no,
FALSA EL CHUTE BAHÍA,206,1.0205,-115.9838,30.4338,Baja California,no,
FARO EL,92,1.0091,-116.6159,31.7739,Baja California,no,
FARO PLAYA EL,108,4.0108,-114.4102,29.8408,Baja California,no,
