"Region","Stock","estimated_family_name","Major_Functional_Group","estimated_taxa_group","Landings_Datasource","Sufficient_No_Years","StartYear","EndYear","int_yr","btype","Flim","Fpa","Blim","Bpa","Bmsy","B40","FMSY","MSY","MSYBtrigger","M","Fofl","last_F","q.start","q.end","FisheryStatus_Circa2000","st_b.low","st_b.hi","int_b.low","int_b.hi","end_b.low","end_b.hi","r.low","r.hi","Resilience","Resilience_Source","Yes_Run","Comment"
"goc","oligoplites","carangidae","anchovy & sardine (small pelagics)","sardina","conapesca",TRUE,2000,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.4,0.6,0.01,0.4,NA,NA,"high","my_best_guess","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","opisthonema","clupeidae","anchovy & sardine (small pelagics)","sardina","conapesca",TRUE,2000,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high","my_best_guess","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","orthopristis","haemulidae","demersal marine fishes","otras","conapesca",TRUE,2000,2024,2014,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.1,0.3,0.1,0.4,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","panopea","hiatellidae","molluscs excl. cephalopods","almeja","conapesca",TRUE,2005,2024,2017,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.7,1,0.6,1,NA,NA,"medium","marea_priors","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","panulirus","palinuridae","crustaceans","langosta","conapesca",TRUE,2000,2024,2011,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.2,0.4,0.01,0.2,NA,NA,"medium","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","paralabrax","serranidae","demersal marine fishes","cabrilla","conapesca",TRUE,2000,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0,0.2,0.01,0.4,NA,NA,"low","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","paranthias","serranidae","demersal marine fishes","otras","conapesca",TRUE,2000,2024,2018,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.01,0.2,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","parapsettus","ephippidae","demersal marine fishes","otras","conapesca",TRUE,2000,2024,2009,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.7,1,0.6,1,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","penaeus","penaeidae","shrimps, prawns","camaron","conapesca",TRUE,2000,2024,2011,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,"high","sealifebase_penaeus californiensis","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","prionace","carcharhinidae","sharks","tiburon","conapesca",TRUE,2001,2024,2014,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,"low","best_guess_mycteroperca.jordani","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","pseudobatos","rhinobatidae","demersal marine fishes","raya y similares","conapesca",TRUE,2000,2024,2008,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.5,0.8,0.01,0.4,NA,NA,"low","my_best_guess","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","rimapenaeus","penaeidae","shrimps, prawns","camaron","conapesca",TRUE,2000,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0,0.2,0.01,0.4,NA,NA,"high","sealifebase_penaeus californiensis","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","sarda","carangidae","pelagic marine fish (excl. anchovy & sardine)","bonito","conapesca",TRUE,2000,2022,2010,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.4,0.6,0.3,0.5,NA,NA,"medium","my_best_guess","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","sardinops","clupeidae","anchovy & sardine (small pelagics)","sardina","conapesca",TRUE,2000,2024,2011,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.2,NA,NA,"high","my_best_guess","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","scomber","scombridae","pelagic marine fish (excl. anchovy & sardine)","macarela","conapesca",TRUE,2000,2024,2014,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.4,0.6,0.01,0.4,NA,NA,"medium","my_best_guess","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","scomberomorus","scombridae","pelagic marine fish (excl. anchovy & sardine)","sierra","conapesca",TRUE,2000,2024,2010,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,"medium","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","scorpaena","scorpaenidae","demersal marine fishes","otras","conapesca",TRUE,2000,2024,2007,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.5,0.8,0.01,0.1,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","selene","carangidae","pelagic marine fish (excl. anchovy & sardine)","ronco","conapesca",TRUE,2000,2024,2008,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.4,0.6,0.01,0.4,NA,NA,"medium","marea_priors","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","seriola","carangidae","pelagic marine fish (excl. anchovy & sardine)","esmedregal","conapesca",TRUE,2000,2024,2008,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.2,0.4,0.3,0.5,NA,NA,"medium","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","sphoeroides","tetraodontidae","demersal marine fishes","otras","conapesca",TRUE,2000,2024,2013,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.6,0.9,0.6,1,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","sphyraena","sphyraenidae","pelagic marine fish (excl. anchovy & sardine)","otras","conapesca",TRUE,2000,2024,2010,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.01,0.3,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","sphyrna","sphyrnidae","sharks","tiburon","conapesca",TRUE,2000,2024,2014,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.7,1,0.01,0.4,NA,NA,"low","best_guess_mycteroperca.jordani","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","squatina","squatinidae","sharks","tiburon","conapesca",TRUE,2000,2024,2013,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.5,0.8,0.6,0.9,NA,NA,"low","best_guess_mycteroperca.jordani","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","stereolepis","polyprionidae","demersal marine fishes","otras","conapesca",TRUE,2000,2024,2016,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","stomolophus","stomolophidae","jellies","otras","conapesca",TRUE,2011,2024,2017,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.7,1,0.6,0.9,NA,NA,NA,NA,"yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","synodus","synodontidae","demersal marine fishes","otras","conapesca",TRUE,2000,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","thunnus","scombridae","pelagic marine fish (excl. anchovy & sardine)","atun","conapesca",TRUE,2000,2024,2008,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.3,0.5,0.3,0.6,NA,NA,"medium","my_best_guess","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","trachinotus","carangidae","pelagic marine fish (excl. anchovy & sardine)","pampano","conapesca",TRUE,2000,2024,2005,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.4,0.6,0.01,0.2,NA,NA,"medium","fishbase_trachinotus paitensis","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","trichiurus","trichiuridae","pelagic marine fish (excl. anchovy & sardine)","cintilla","conapesca",TRUE,2008,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"healthy",0.5,0.8,0.5,0.8,0.01,0.3,NA,NA,"high","fishbase_trichiurus brevis","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","turbo","turbinidae","molluscs excl. cephalopods","caracol","conapesca",TRUE,2010,2024,2017,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","xenichthys","haemulidae","demersal marine fishes","otras","conapesca",TRUE,2000,2023,2013,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,NA,NA,"yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","xiphias","xiphiidae","pelagic marine fish (excl. anchovy & sardine)","otras","conapesca",TRUE,2000,2024,2007,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
