"Region","Stock","estimated_family_name","Major_Functional_Group","estimated_taxa_group","Landings_Datasource","Sufficient_No_Years","StartYear","EndYear","int_yr","btype","Flim","Fpa","Blim","Bpa","Bmsy","B40","FMSY","MSY","MSYBtrigger","M","Fofl","last_F","q.start","q.end","FisheryStatus_Circa2000","st_b.low","st_b.hi","int_b.low","int_b.hi","end_b.low","end_b.hi","r.low","r.hi","Resilience","Resilience_Source","Yes_Run","Comment"
"goc","cetengraulis","engraulidae","anchovy & sardine (small pelagics)","sardina","conapesca",TRUE,2000,2024,2011,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0,0.2,0.1,0.3,NA,NA,"high","my_best_guess","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","chanos","chanidae","diadromous fishes","otras","conapesca",TRUE,2000,2024,2013,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","chione","veneridae","molluscs excl. cephalopods","almeja","conapesca",TRUE,2012,2023,2017,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,"medium","marea_priors","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","coryphaena","coryphaenidae","pelagic marine fish (excl. anchovy & sardine)","otras","conapesca",TRUE,2000,2024,2008,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.4,0.6,0.3,0.5,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","cynoscion","sciaenidae","demersal marine fishes","corvina","conapesca",TRUE,2000,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,"medium","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","diapterus","gerreidae","demersal marine fishes","mojarra","conapesca",TRUE,2000,2024,2015,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.1,0.3,0.1,0.3,NA,NA,NA,"exclude_freshwater_fish","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","diplectrum","serranidae","demersal marine fishes","otras","conapesca",TRUE,2000,2024,2012,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0,0.2,0.1,0.4,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","dosidicus","ommastrephidae","cephalopods","calamar","conapesca",TRUE,2000,2024,2011,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.3,0.5,0.01,0.1,NA,NA,"high","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","dosinia","veneridae","molluscs excl. cephalopods","almeja","conapesca",TRUE,2000,2024,2011,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,"medium","marea_priors","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","epinephelus","serranidae","demersal marine fishes","mero","conapesca",TRUE,2000,2024,2009,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0,0.2,0.01,0.3,NA,NA,"very low","best_guess_mycteroperca.jordani","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
