"year","Stock","total_biomass_kg","total_revenue","Major_Functional_Group","estimated_taxa_group","new_estimated_family_name"
2000,"Ablennes",6864,59515,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2001,"Ablennes",1049,7960,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2002,"Ablennes",1439.5,9041,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2003,"Ablennes",1387.35,9781,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2004,"Ablennes",600.2,4140,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2005,"Ablennes",495.3,4044,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2006,"Ablennes",167.65,1709,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2007,"Ablennes",912.2,10350,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2008,"Ablennes",736.25,10718,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2009,"Ablennes",2424.2,22954,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2010,"Ablennes",4348.35,51903,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2011,"Ablennes",3308.4,37881,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2012,"Ablennes",3899.5,50626,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2013,"Ablennes",15125.7,173970,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2014,"Ablennes",17663.85,215863,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2015,"Ablennes",31507.75,443363,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2016,"Ablennes",40220.15,603348,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2017,"Ablennes",56252.85,944821,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2018,"Ablennes",82334.95,1073789,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2019,"Ablennes",64297,906270,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2020,"Ablennes",14231,271186,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2021,"Ablennes",23762.5,514195,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2022,"Ablennes",30911.45,733322,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2023,"Ablennes",32112,804009,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2024,"Ablennes",18387.9,426170,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2000,"Acanthurus",471,4169,"Demersal marine fishes","OTRAS","Acanthuridae"
2001,"Acanthurus",3661,67115,"Demersal marine fishes","OTRAS","Acanthuridae"
2002,"Acanthurus",10437,118477,"Demersal marine fishes","OTRAS","Acanthuridae"
2003,"Acanthurus",12022,157569,"Demersal marine fishes","OTRAS","Acanthuridae"
2004,"Acanthurus",4326,87264,"Demersal marine fishes","OTRAS","Acanthuridae"
2005,"Acanthurus",965,15360,"Demersal marine fishes","OTRAS","Acanthuridae"
2006,"Acanthurus",2638,41931,"Demersal marine fishes","OTRAS","Acanthuridae"
2007,"Acanthurus",3311,67204,"Demersal marine fishes","OTRAS","Acanthuridae"
2008,"Acanthurus",1731,38503,"Demersal marine fishes","OTRAS","Acanthuridae"
2009,"Acanthurus",17918,321797,"Demersal marine fishes","OTRAS","Acanthuridae"
2010,"Acanthurus",18900,401510,"Demersal marine fishes","OTRAS","Acanthuridae"
2011,"Acanthurus",38290,976474,"Demersal marine fishes","OTRAS","Acanthuridae"
2012,"Acanthurus",22773,422255,"Demersal marine fishes","OTRAS","Acanthuridae"
2013,"Acanthurus",53597,1096319,"Demersal marine fishes","OTRAS","Acanthuridae"
2014,"Acanthurus",24223,484065,"Demersal marine fishes","OTRAS","Acanthuridae"
2015,"Acanthurus",29494,705681,"Demersal marine fishes","OTRAS","Acanthuridae"
2016,"Acanthurus",14918,390185,"Demersal marine fishes","OTRAS","Acanthuridae"
2017,"Acanthurus",71866,2200730,"Demersal marine fishes","OTRAS","Acanthuridae"
2018,"Acanthurus",65580,2912660,"Demersal marine fishes","OTRAS","Acanthuridae"
2019,"Acanthurus",55508,2587015,"Demersal marine fishes","OTRAS","Acanthuridae"
2020,"Acanthurus",26199,977439,"Demersal marine fishes","OTRAS","Acanthuridae"
2021,"Acanthurus",8128,393077,"Demersal marine fishes","OTRAS","Acanthuridae"
2022,"Acanthurus",14828,686155,"Demersal marine fishes","OTRAS","Acanthuridae"
2023,"Acanthurus",10614,539510,"Demersal marine fishes","OTRAS","Acanthuridae"
2024,"Acanthurus",7179,345324,"Demersal marine fishes","OTRAS","Acanthuridae"
2000,"Aetobatus",10192.2,31213,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2001,"Aetobatus",17111.75,44653,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2002,"Aetobatus",7446.3,30569,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2003,"Aetobatus",29406.05,86480,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2004,"Aetobatus",39823.25,175277,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2005,"Aetobatus",1296,4463,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2006,"Aetobatus",2571,18710,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2007,"Aetobatus",19883,94580,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2008,"Aetobatus",7152.9,30555,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2009,"Aetobatus",8580.3,51804,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2010,"Aetobatus",13181.1,78961,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2011,"Aetobatus",11205.4,57071,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2012,"Aetobatus",9926.6,70635,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2013,"Aetobatus",10008,72090,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2014,"Aetobatus",39314,382898,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2015,"Aetobatus",24879,329906,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2016,"Aetobatus",122536.9,1829505,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2017,"Aetobatus",15482,249628,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2018,"Aetobatus",23415.2,440570,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2019,"Aetobatus",115954.2,1743297,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2020,"Aetobatus",55266.25,659255,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2021,"Aetobatus",17651.1,230880,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2022,"Aetobatus",76634.3,1694866,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2023,"Aetobatus",39225,687796,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2024,"Aetobatus",20008.9,353875,"Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae"
2001,"Alopias",51,510,"Sharks","TIBURON","Alopiidae"
2002,"Alopias",20372,159952,"Sharks","TIBURON","Alopiidae"
2003,"Alopias",42254.4,322938,"Sharks","TIBURON","Alopiidae"
2004,"Alopias",3386,26302,"Sharks","TIBURON","Alopiidae"
2005,"Alopias",20506,147116,"Sharks","TIBURON","Alopiidae"
2007,"Alopias",6567,58422,"Sharks","TIBURON","Alopiidae"
2008,"Alopias",3589,30942,"Sharks","TIBURON","Alopiidae"
2009,"Alopias",29935,207439,"Sharks","TIBURON","Alopiidae"
2010,"Alopias",87116,796671,"Sharks","TIBURON","Alopiidae"
2011,"Alopias",59465.8,537381,"Sharks","TIBURON","Alopiidae"
2012,"Alopias",174265.4,1469754,"Sharks","TIBURON","Alopiidae"
2013,"Alopias",68645.1,674653,"Sharks","TIBURON","Alopiidae"
2014,"Alopias",543814.45,5629403,"Sharks","TIBURON","Alopiidae"
2015,"Alopias",549037.318,6964387,"Sharks","TIBURON","Alopiidae"
2016,"Alopias",871651.85,13254612,"Sharks","TIBURON","Alopiidae"
2017,"Alopias",1710372.55,24455846,"Sharks","TIBURON","Alopiidae"
2018,"Alopias",1209216.8,19687947,"Sharks","TIBURON","Alopiidae"
2019,"Alopias",914303.9,16911520,"Sharks","TIBURON","Alopiidae"
2020,"Alopias",1189933.45,20129876,"Sharks","TIBURON","Alopiidae"
2021,"Alopias",1005623.1,13171073,"Sharks","TIBURON","Alopiidae"
2022,"Alopias",1003197.1,15281767,"Sharks","TIBURON","Alopiidae"
2023,"Alopias",1728924,25690031,"Sharks","TIBURON","Alopiidae"
2024,"Alopias",913881.05,11495539,"Sharks","TIBURON","Alopiidae"
2000,"Anisotremus",206167.1,1366815,"Demersal marine fishes","MOJARRA","Haemulidae"
2001,"Anisotremus",181395.3,1580988,"Demersal marine fishes","MOJARRA","Haemulidae"
2002,"Anisotremus",150619.1,871607,"Demersal marine fishes","MOJARRA","Haemulidae"
2003,"Anisotremus",160251.95,909824,"Demersal marine fishes","MOJARRA","Haemulidae"
2004,"Anisotremus",176514.65,1360077,"Demersal marine fishes","MOJARRA","Haemulidae"
2005,"Anisotremus",58034.2,692793,"Demersal marine fishes","MOJARRA","Haemulidae"
2006,"Anisotremus",31640.1,329145,"Demersal marine fishes","MOJARRA","Haemulidae"
2007,"Anisotremus",35529.3,487274,"Demersal marine fishes","MOJARRA","Haemulidae"
2008,"Anisotremus",96248.8,961753,"Demersal marine fishes","MOJARRA","Haemulidae"
2009,"Anisotremus",94976.9,921028,"Demersal marine fishes","MOJARRA","Haemulidae"
2010,"Anisotremus",114359.4,1563906,"Demersal marine fishes","MOJARRA","Haemulidae"
2011,"Anisotremus",104646.6,1780397,"Demersal marine fishes","MOJARRA","Haemulidae"
2012,"Anisotremus",136767.8,2651025,"Demersal marine fishes","MOJARRA","Haemulidae"
2013,"Anisotremus",139184.6,2921915,"Demersal marine fishes","MOJARRA","Haemulidae"
2014,"Anisotremus",102170.67,2419739.5,"Demersal marine fishes","MOJARRA","Haemulidae"
2015,"Anisotremus",65671.38,1616667,"Demersal marine fishes","MOJARRA","Haemulidae"
2016,"Anisotremus",67135.3,1615030,"Demersal marine fishes","MOJARRA","Haemulidae"
2017,"Anisotremus",86913,1899149,"Demersal marine fishes","MOJARRA","Haemulidae"
2018,"Anisotremus",69948.8,1475536,"Demersal marine fishes","MOJARRA","Haemulidae"
2019,"Anisotremus",101286.5,2754288,"Demersal marine fishes","MOJARRA","Haemulidae"
2020,"Anisotremus",54134.3,1465967,"Demersal marine fishes","MOJARRA","Haemulidae"
2021,"Anisotremus",71136,1758215,"Demersal marine fishes","MOJARRA","Haemulidae"
2022,"Anisotremus",121578.45,5341669,"Demersal marine fishes","MOJARRA","Haemulidae"
2023,"Anisotremus",227163,6282338,"Demersal marine fishes","MOJARRA","Haemulidae"
2024,"Anisotremus",484584.017,12406317.9,"Demersal marine fishes","MOJARRA","Haemulidae"
2000,"Anoplopoma",40013.5,437298,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2001,"Anoplopoma",50079,449151,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2002,"Anoplopoma",19657,138541,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2003,"Anoplopoma",30469.75,285778,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2004,"Anoplopoma",41344.3,450218,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2005,"Anoplopoma",6006.5,126477,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2006,"Anoplopoma",473.2,10906,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2007,"Anoplopoma",1400.5,43350,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2008,"Anoplopoma",4936.8,87314,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2009,"Anoplopoma",139,2685,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2010,"Anoplopoma",489,12760,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2011,"Anoplopoma",2477.5,67823,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2012,"Anoplopoma",993.2,38473,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2013,"Anoplopoma",2471.9,130525,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2014,"Anoplopoma",2465.05,122873.5,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2015,"Anoplopoma",464.3,17540,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2016,"Anoplopoma",3096.7,148480,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2017,"Anoplopoma",5544.6,226945,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2018,"Anoplopoma",5612.6,318965,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2019,"Anoplopoma",11992.9,461573,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2020,"Anoplopoma",6863.3,465590,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2021,"Anoplopoma",3249.6,226010,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2022,"Anoplopoma",5911.4,381600,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2023,"Anoplopoma",33343,1005875,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2024,"Anoplopoma",5326.6,340300,"Demersal marine fishes","OTRAS","Anoplopomatidae"
2000,"Argopecten",6172454,17114198,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2001,"Argopecten",2721614,13609568,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2002,"Argopecten",9850647,50140465,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2003,"Argopecten",6651563,32916037,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2004,"Argopecten",12819200,84829448,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2005,"Argopecten",101214,577110,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2006,"Argopecten",79214.39,242140.85,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2007,"Argopecten",23730,89130,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2008,"Argopecten",71720,327320,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2009,"Argopecten",807760,2936900,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2010,"Argopecten",761223,3633566,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2011,"Argopecten",6284873,20254452,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2012,"Argopecten",246853,874717,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2013,"Argopecten",35204,163120,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2014,"Argopecten",816476,3039456,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2015,"Argopecten",413726,1708712,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2016,"Argopecten",148532,856899,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2017,"Argopecten",194440,1753674,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2018,"Argopecten",1492928,8025455,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2019,"Argopecten",1042095,6284640,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2020,"Argopecten",755530,5683019,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2021,"Argopecten",3111656,29896021,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2022,"Argopecten",6231301,50340969,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2023,"Argopecten",317164,4632759,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2024,"Argopecten",387752,3740769,"Molluscs excl. Cephalopods","ALMEJA","Pectinidae"
2000,"Ariopsis",13638.5,95207,"Demersal marine fishes","BAGRE","Ariidae"
2001,"Ariopsis",28304,183940,"Demersal marine fishes","BAGRE","Ariidae"
2002,"Ariopsis",6361,34042,"Demersal marine fishes","BAGRE","Ariidae"
2003,"Ariopsis",11890,75444,"Demersal marine fishes","BAGRE","Ariidae"
2004,"Ariopsis",10325,73745,"Demersal marine fishes","BAGRE","Ariidae"
2005,"Ariopsis",5208,63527,"Demersal marine fishes","BAGRE","Ariidae"
2006,"Ariopsis",3738,45702,"Demersal marine fishes","BAGRE","Ariidae"
2007,"Ariopsis",6861,89144,"Demersal marine fishes","BAGRE","Ariidae"
2008,"Ariopsis",12162,113591,"Demersal marine fishes","BAGRE","Ariidae"
2009,"Ariopsis",13762,68755,"Demersal marine fishes","BAGRE","Ariidae"
2010,"Ariopsis",10971.3,71125,"Demersal marine fishes","BAGRE","Ariidae"
2011,"Ariopsis",6602,74896,"Demersal marine fishes","BAGRE","Ariidae"
2012,"Ariopsis",3882.8,36980,"Demersal marine fishes","BAGRE","Ariidae"
2013,"Ariopsis",7925,75567,"Demersal marine fishes","BAGRE","Ariidae"
2014,"Ariopsis",3277.6,44963,"Demersal marine fishes","BAGRE","Ariidae"
2015,"Ariopsis",8853,106590,"Demersal marine fishes","BAGRE","Ariidae"
2016,"Ariopsis",1768,28954,"Demersal marine fishes","BAGRE","Ariidae"
2017,"Ariopsis",127,1270,"Demersal marine fishes","BAGRE","Ariidae"
2019,"Ariopsis",3642.6,44516.5,"Demersal marine fishes","BAGRE","Ariidae"
2020,"Ariopsis",27047.4,404200,"Demersal marine fishes","BAGRE","Ariidae"
2021,"Ariopsis",19384.7,226903,"Demersal marine fishes","BAGRE","Ariidae"
2022,"Ariopsis",19487,391123,"Demersal marine fishes","BAGRE","Ariidae"
2023,"Ariopsis",25458,461780,"Demersal marine fishes","BAGRE","Ariidae"
2024,"Ariopsis",35526.8,421647,"Demersal marine fishes","BAGRE","Ariidae"
2000,"Balistes",1125040.4,14005018,"Demersal marine fishes","CARPA","Balistidae"
2001,"Balistes",704349.4,5616751,"Demersal marine fishes","CARPA","Balistidae"
2002,"Balistes",413427.15,3260652,"Demersal marine fishes","CARPA","Balistidae"
2003,"Balistes",1200494,10948933,"Demersal marine fishes","CARPA","Balistidae"
2004,"Balistes",1413083.35,13739323,"Demersal marine fishes","CARPA","Balistidae"
2005,"Balistes",1109784.55,12630447,"Demersal marine fishes","CARPA","Balistidae"
2006,"Balistes",1193580.25,9961342,"Demersal marine fishes","CARPA","Balistidae"
2007,"Balistes",1459820.85,15564180,"Demersal marine fishes","CARPA","Balistidae"
2008,"Balistes",1124303.9,11567418,"Demersal marine fishes","CARPA","Balistidae"
2009,"Balistes",1195550.6,11968108,"Demersal marine fishes","CARPA","Balistidae"
2010,"Balistes",1301160.05,13551431,"Demersal marine fishes","CARPA","Balistidae"
2011,"Balistes",1266966.35,13989509,"Demersal marine fishes","CARPA","Balistidae"
2012,"Balistes",1237017.25,13686488,"Demersal marine fishes","CARPA","Balistidae"
2013,"Balistes",1543012.6,18073635,"Demersal marine fishes","CARPA","Balistidae"
2014,"Balistes",2027190.325,25085836,"Demersal marine fishes","CARPA","Balistidae"
2015,"Balistes",3241838.33,38637077.5,"Demersal marine fishes","CARPA","Balistidae"
2016,"Balistes",4802859.525,57355615.4,"Demersal marine fishes","CARPA","Balistidae"
2017,"Balistes",4076738.55,56553813.4,"Demersal marine fishes","CARPA","Balistidae"
2018,"Balistes",4460159.925,63032995.97,"Demersal marine fishes","CARPA","Balistidae"
2019,"Balistes",2982076.3,44624950,"Demersal marine fishes","CARPA","Balistidae"
2020,"Balistes",2502574.65,37808967.6,"Demersal marine fishes","CARPA","Balistidae"
2021,"Balistes",2599955.25,40844821,"Demersal marine fishes","CARPA","Balistidae"
2022,"Balistes",2445170.9,45559853,"Demersal marine fishes","CARPA","Balistidae"
2023,"Balistes",3018157,52410947,"Demersal marine fishes","CARPA","Balistidae"
2024,"Balistes",2784333.28,47637766.1,"Demersal marine fishes","CARPA","Balistidae"
2000,"Brotula",842936.5,9320889,"Demersal marine fishes","LENGUADO","Ophidiidae"
2001,"Brotula",316844.7,3327553,"Demersal marine fishes","LENGUADO","Ophidiidae"
2002,"Brotula",32845.4,356028,"Demersal marine fishes","LENGUADO","Ophidiidae"
2003,"Brotula",180913.5,2018879,"Demersal marine fishes","LENGUADO","Ophidiidae"
2004,"Brotula",271368.6,3016360,"Demersal marine fishes","LENGUADO","Ophidiidae"
2005,"Brotula",341982.5,4105072,"Demersal marine fishes","LENGUADO","Ophidiidae"
2006,"Brotula",1715717,21984860,"Demersal marine fishes","LENGUADO","Ophidiidae"
2007,"Brotula",357262.1,4616968.5,"Demersal marine fishes","LENGUADO","Ophidiidae"
2008,"Brotula",915054.2,12828775,"Demersal marine fishes","LENGUADO","Ophidiidae"
2009,"Brotula",463487,7400725,"Demersal marine fishes","LENGUADO","Ophidiidae"
2010,"Brotula",174922.3,2843053,"Demersal marine fishes","LENGUADO","Ophidiidae"
2011,"Brotula",586138.4,8386475,"Demersal marine fishes","LENGUADO","Ophidiidae"
2012,"Brotula",1043836,14094436,"Demersal marine fishes","LENGUADO","Ophidiidae"
2013,"Brotula",730098.9,11071160,"Demersal marine fishes","LENGUADO","Ophidiidae"
2014,"Brotula",1060771.4,17033530,"Demersal marine fishes","LENGUADO","Ophidiidae"
2015,"Brotula",906695.1,13804188,"Demersal marine fishes","LENGUADO","Ophidiidae"
2016,"Brotula",970949.55,20880179.5,"Demersal marine fishes","LENGUADO","Ophidiidae"
2017,"Brotula",982167.7,20440701,"Demersal marine fishes","LENGUADO","Ophidiidae"
2018,"Brotula",852652.4,18584712,"Demersal marine fishes","LENGUADO","Ophidiidae"
2019,"Brotula",782825.55,18189477,"Demersal marine fishes","LENGUADO","Ophidiidae"
2020,"Brotula",931644.5,86902207,"Demersal marine fishes","LENGUADO","Ophidiidae"
2021,"Brotula",1597091.2,38768219,"Demersal marine fishes","LENGUADO","Ophidiidae"
2022,"Brotula",1570605,35571167,"Demersal marine fishes","LENGUADO","Ophidiidae"
2023,"Brotula",1535647,35005041,"Demersal marine fishes","LENGUADO","Ophidiidae"
2024,"Brotula",1228514.775,26156709.5,"Demersal marine fishes","LENGUADO","Ophidiidae"
2000,"Calamus",3421,16788,"Demersal marine fishes","MOJARRA","Sparidae"
2001,"Calamus",17774,76524,"Demersal marine fishes","MOJARRA","Sparidae"
2002,"Calamus",18015,91356,"Demersal marine fishes","MOJARRA","Sparidae"
2003,"Calamus",25890,138364,"Demersal marine fishes","MOJARRA","Sparidae"
2004,"Calamus",19364,101066,"Demersal marine fishes","MOJARRA","Sparidae"
2005,"Calamus",21668,102958,"Demersal marine fishes","MOJARRA","Sparidae"
2006,"Calamus",19608,94786,"Demersal marine fishes","MOJARRA","Sparidae"
2007,"Calamus",19220,108830,"Demersal marine fishes","MOJARRA","Sparidae"
2008,"Calamus",16557,98755,"Demersal marine fishes","MOJARRA","Sparidae"
2009,"Calamus",17545,168511,"Demersal marine fishes","MOJARRA","Sparidae"
2010,"Calamus",204366,377234,"Demersal marine fishes","MOJARRA","Sparidae"
2011,"Calamus",28517.5,195543,"Demersal marine fishes","MOJARRA","Sparidae"
2012,"Calamus",34318,226952,"Demersal marine fishes","MOJARRA","Sparidae"
2013,"Calamus",28883,198495,"Demersal marine fishes","MOJARRA","Sparidae"
2014,"Calamus",26283,229964,"Demersal marine fishes","MOJARRA","Sparidae"
2015,"Calamus",24733,200815,"Demersal marine fishes","MOJARRA","Sparidae"
2016,"Calamus",17001,134448,"Demersal marine fishes","MOJARRA","Sparidae"
2017,"Calamus",17004.5,180272,"Demersal marine fishes","MOJARRA","Sparidae"
2018,"Calamus",16527,158356,"Demersal marine fishes","MOJARRA","Sparidae"
2019,"Calamus",12834,147525,"Demersal marine fishes","MOJARRA","Sparidae"
2020,"Calamus",15151,238354,"Demersal marine fishes","MOJARRA","Sparidae"
2021,"Calamus",9946,150130,"Demersal marine fishes","MOJARRA","Sparidae"
2022,"Calamus",12445,144110,"Demersal marine fishes","MOJARRA","Sparidae"
2023,"Calamus",12459,166150,"Demersal marine fishes","MOJARRA","Sparidae"
2024,"Calamus",11628.5,126742,"Demersal marine fishes","MOJARRA","Sparidae"
2005,"Callinectes",443,5316,"Crustaceans","JAIBA","Portunidae"
2011,"Callinectes",4191,77097,"Crustaceans","JAIBA","Portunidae"
2012,"Callinectes",714,12852,"Crustaceans","JAIBA","Portunidae"
2013,"Callinectes",425543,7509245,"Crustaceans","JAIBA","Portunidae"
2014,"Callinectes",619867,16769044,"Crustaceans","JAIBA","Portunidae"
2015,"Callinectes",832879,18334788,"Crustaceans","JAIBA","Portunidae"
2016,"Callinectes",655164,19114795,"Crustaceans","JAIBA","Portunidae"
2017,"Callinectes",1209946,38437653,"Crustaceans","JAIBA","Portunidae"
2018,"Callinectes",1071105,35477877,"Crustaceans","JAIBA","Portunidae"
2019,"Callinectes",1402770,43098464,"Crustaceans","JAIBA","Portunidae"
2020,"Callinectes",1611933,53843296.85,"Crustaceans","JAIBA","Portunidae"
2021,"Callinectes",2261087,76449322.5,"Crustaceans","JAIBA","Portunidae"
2022,"Callinectes",2341690,90065895,"Crustaceans","JAIBA","Portunidae"
2023,"Callinectes",3691041,143127965,"Crustaceans","JAIBA","Portunidae"
2000,"Caranx",19287.2,1173688,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2001,"Caranx",34208.5,2115487,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2002,"Caranx",38570,1838110,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2003,"Caranx",51690.7,2561224,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2004,"Caranx",68944.9,5335840,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2005,"Caranx",58211.2,4317484,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2006,"Caranx",74643.3,4310339,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2007,"Caranx",59347.5,2888389,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2008,"Caranx",67103.7,4203856,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2009,"Caranx",70143.4,3362301,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2010,"Caranx",86484.7,4366896,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2011,"Caranx",114585.1,4320065,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2012,"Caranx",81667,6091763,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2013,"Caranx",171514.4,6435768,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2014,"Caranx",132854.5,7005868,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2015,"Caranx",85019.8,5634820,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2016,"Caranx",172871.4,6450268.52,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2017,"Caranx",130030.8,6969389,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2018,"Caranx",124233.6,6777468,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
2019,"Caranx",105322.1,5161845,"Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae"
