"region_id","2007","2025","condition_score"
1,0.947528189048171,0.947528189048171,100
2,0.959798727569909,0.887764259659011,92.4948360690912
3,0.943672387945381,0.980319463393905,100
4,0.985896706993129,0.995632619730064,100
6,0.909814336895943,0.981298074126244,100
7,0.928046802544723,0.957497097422247,100
8,0.697156153122584,0.854668817917506,100
9,0.95333333272073,0.955555554893282,100
