"region_id","year","Pressure","RHO_score","region_clean"
1,2007,0.052471810951829,0.947528189048171,"Region 1"
1,2008,0.0794627703726292,0.920537229627371,"Region 1"
1,2009,0.052471810951829,0.947528189048171,"Region 1"
1,2010,0.052471810951829,0.947528189048171,"Region 1"
1,2011,0.0762218106538057,0.923778189346194,"Region 1"
1,2012,0.052471810951829,0.947528189048171,"Region 1"
1,2013,0.103212770074606,0.896787229925394,"Region 1"
1,2014,0.103212770074606,0.896787229925394,"Region 1"
1,2015,0.0794627703726292,0.920537229627371,"Region 1"
1,2016,0.052471810951829,0.947528189048171,"Region 1"
1,2017,0.052471810951829,0.947528189048171,"Region 1"
1,2018,0.0762218106538057,0.923778189346194,"Region 1"
1,2019,0.052471810951829,0.947528189048171,"Region 1"
1,2020,0.052471810951829,0.947528189048171,"Region 1"
1,2021,0.0762218106538057,0.923778189346194,"Region 1"
1,2022,0.0762218106538057,0.923778189346194,"Region 1"
1,2023,0.052471810951829,0.947528189048171,"Region 1"
1,2024,0.052471810951829,0.947528189048171,"Region 1"
1,2025,0.052471810951829,0.947528189048171,"Region 1"
2,2007,0.0402012724300911,0.959798727569909,"Region 2"
2,2008,0.044504904541476,0.955495095458524,"Region 2"
2,2009,0.044504904541476,0.955495095458524,"Region 2"
2,2010,0.124631632504792,0.875368367495208,"Region 2"
2,2011,0.0829870202418031,0.917012979758197,"Region 2"
2,2012,0.0888309648324703,0.91116903516753,"Region 2"
2,2013,0.0859688320036592,0.914031167996341,"Region 2"
2,2014,0.0543584739468221,0.945641526053178,"Region 2"
2,2015,0.0866494528178511,0.913350547182149,"Region 2"
2,2016,0.0862395830195526,0.913760416980447,"Region 2"
2,2017,0.0686442764668629,0.931355723533137,"Region 2"
2,2018,0.0816956886957432,0.918304311304257,"Region 2"
2,2019,0.100789390247444,0.899210609752556,"Region 2"
2,2020,0.0870108003246373,0.912989199675363,"Region 2"
2,2021,0.0562813811261078,0.943718618873892,"Region 2"
2,2022,0.0165502300550198,0.98344976994498,"Region 2"
2,2023,0.0364081690023685,0.963591830997631,"Region 2"
2,2024,0.094774060208222,0.905225939791778,"Region 2"
2,2025,0.112235740340989,0.887764259659011,"Region 2"
3,2007,0.0563276120546189,0.943672387945381,"Region 3"
3,2008,0.0521156777712432,0.947884322228757,"Region 3"
3,2009,0.0402172935957258,0.959782706404274,"Region 3"
3,2010,0.0312779105522416,0.968722089447758,"Region 3"
3,2011,0.0607191635803743,0.939280836419626,"Region 3"
3,2012,0.0439071314917369,0.956092868508263,"Region 3"
3,2013,0.0341670421714132,0.965832957828587,"Region 3"
3,2014,0.0403034057129513,0.959696594287049,"Region 3"
3,2015,0.0293181931430643,0.970681806856936,"Region 3"
3,2016,0.0256923633542928,0.974307636645707,"Region 3"
3,2017,0.0434269779785113,0.956573022021489,"Region 3"
3,2018,0.0399183549664237,0.960081645033576,"Region 3"
3,2019,0.0293181931430643,0.970681806856936,"Region 3"
3,2020,0.0240868397734382,0.975913160226562,"Region 3"
3,2021,0.0196805366060951,0.980319463393905,"Region 3"
3,2022,0.0268716073848984,0.973128392615102,"Region 3"
3,2023,0.0116609158841046,0.988339084115895,"Region 3"
3,2024,0,1,"Region 3"
3,2025,0.0196805366060951,0.980319463393905,"Region 3"
4,2007,0.0141032930068706,0.985896706993129,"Region 4"
4,2008,0.0249716749217378,0.975028325078262,"Region 4"
4,2009,0.0159624329326065,0.984037567067394,"Region 4"
4,2010,0.0128738043769713,0.987126195623029,"Region 4"
4,2011,0.0164635872064922,0.983536412793508,"Region 4"
4,2012,0.00820730125299796,0.991792698747002,"Region 4"
4,2013,0.0216135839472443,0.978386416052756,"Region 4"
4,2014,0.00957589672045774,0.990424103279542,"Region 4"
4,2015,0.00739500400382802,0.992604995996172,"Region 4"
4,2016,0.00636881596756421,0.993631184032436,"Region 4"
4,2017,0.017328330551699,0.982671669448301,"Region 4"
4,2018,0.0116688692212654,0.988331130778735,"Region 4"
4,2019,0.00534278200724707,0.994657217992753,"Region 4"
4,2020,0.00441489409878507,0.995585105901215,"Region 4"
4,2021,0.00565242283217918,0.994347577167821,"Region 4"
4,2022,0.00253703108718318,0.997462968912817,"Region 4"
4,2023,0.00519773048189928,0.994802269518101,"Region 4"
4,2024,0.00253703108718318,0.997462968912817,"Region 4"
4,2025,0.00436738026993615,0.995632619730064,"Region 4"
6,2007,0.0901856631040573,0.909814336895943,"Region 6"
6,2008,0.115991033315659,0.884008966684341,"Region 6"
6,2009,0.115795592665672,0.884204407334328,"Region 6"
6,2010,0.117997966557741,0.882002033442259,"Region 6"
6,2011,0.0996495234966278,0.900350476503372,"Region 6"
6,2012,0.137795591950417,0.862204408049583,"Region 6"
6,2013,0.114132395386696,0.885867604613304,"Region 6"
6,2014,0.084509212821722,0.915490787178278,"Region 6"
6,2015,0.0586962974071503,0.94130370259285,"Region 6"
6,2016,0.11351881146431,0.88648118853569,"Region 6"
6,2017,0.162824645489454,0.837175354510546,"Region 6"
6,2018,0.0872339226305485,0.912766077369451,"Region 6"
6,2019,0.135201914012432,0.864798085987568,"Region 6"
6,2020,0.0158449065685272,0.984155093431473,"Region 6"
6,2021,0.0442096793651581,0.955790320634842,"Region 6"
6,2022,0.030379136800766,0.969620863199234,"Region 6"
6,2023,0.0427826201915741,0.957217379808426,"Region 6"
6,2024,0,1,"Region 6"
6,2025,0.0187019258737564,0.981298074126244,"Region 6"
7,2007,0.0719531974552766,0.928046802544723,"Region 7"
7,2008,0.0850903947554205,0.91490960524458,"Region 7"
7,2009,0.0579362097803665,0.942063790219633,"Region 7"
7,2010,0.066573722012665,0.933426277987335,"Region 7"
7,2011,0.0644479506041693,0.935552049395831,"Region 7"
7,2012,0.0678746677611185,0.932125332238881,"Region 7"
7,2013,0.0641421334251114,0.935857866574889,"Region 7"
7,2014,0.0766111135482788,0.923388886451721,"Region 7"
7,2015,0.0620642914072327,0.937935708592767,"Region 7"
7,2016,0.0800342393310174,0.919965760668983,"Region 7"
7,2017,0.0533050395872282,0.946694960412772,"Region 7"
7,2018,0.0584846685761991,0.941515331423801,"Region 7"
7,2019,0.0608412034485651,0.939158796551435,"Region 7"
7,2020,0.0533435966657556,0.946656403334244,"Region 7"
7,2021,0.046468699755876,0.953531300244124,"Region 7"
7,2022,0.0182485184591749,0.981751481540825,"Region 7"
7,2023,0.0425862289641214,0.957413771035879,"Region 7"
7,2024,0.0391217060063196,0.96087829399368,"Region 7"
7,2025,0.0425029025777527,0.957497097422247,"Region 7"
8,2007,0.302843846877416,0.697156153122584,"Region 8"
8,2008,0.146867512663205,0.853132487336794,"Region 8"
8,2009,0.228814818958441,0.771185181041559,"Region 8"
8,2010,0.192148151497046,0.807851848502954,"Region 8"
8,2011,0.190442864100138,0.809557135899862,"Region 8"
8,2012,0.258866818745931,0.741133181254069,"Region 8"
8,2013,0.241374278068542,0.758625721931457,"Region 8"
8,2014,0.153776196638743,0.846223803361257,"Region 8"
8,2015,0.192865529159705,0.807134470840295,"Region 8"
8,2016,0.258814818163713,0.741185181836287,"Region 8"
8,2017,0.190442864100138,0.809557135899862,"Region 8"
8,2018,0.192148151497046,0.807851848502954,"Region 8"
8,2019,0.245041483640671,0.754958516359329,"Region 8"
8,2020,0.153776196638743,0.846223803361257,"Region 8"
8,2021,0.222279466688633,0.777720533311367,"Region 8"
8,2022,0.153776196638743,0.846223803361257,"Region 8"
8,2023,0.131331182519595,0.868668817480405,"Region 8"
8,2024,0.190442864100138,0.809557135899862,"Region 8"
8,2025,0.145331182082494,0.854668817917506,"Region 8"
9,2007,0.04666666727927,0.95333333272073,"Region 9"
9,2008,0.04666666727927,0.95333333272073,"Region 9"
9,2009,0,1,"Region 9"
9,2010,0.04666666727927,0.95333333272073,"Region 9"
9,2011,0.04666666727927,0.95333333272073,"Region 9"
9,2012,0.04666666727927,0.95333333272073,"Region 9"
9,2013,0.0661948343945874,0.933805165605413,"Region 9"
9,2014,0.106666669663456,0.893333330336544,"Region 9"
9,2015,0.04666666727927,0.95333333272073,"Region 9"
9,2016,0.0444444451067183,0.955555554893282,"Region 9"
9,2017,0.0444444451067183,0.955555554893282,"Region 9"
9,2018,0.0444444451067183,0.955555554893282,"Region 9"
9,2019,0.0444444451067183,0.955555554893282,"Region 9"
9,2020,0,1,"Region 9"
9,2021,0,1,"Region 9"
9,2022,0.0444444451067183,0.955555554893282,"Region 9"
9,2023,0,1,"Region 9"
9,2024,0.0444444451067183,0.955555554893282,"Region 9"
9,2025,0.0444444451067183,0.955555554893282,"Region 9"
