"Year","Major_Functional_Group","Stock","Total_Landed_Biomass","n_Records"
2001,"Demersal marine fishes","Merluccius",655861.5,149
2001,"Demersal marine fishes","Micropogonias",2221869.5,1982
2001,"Demersal marine fishes","Mobula",896560.55,778
2001,"Demersal marine fishes","Mugil",2097096,2496
2001,"Demersal marine fishes","Mustelus",124934.25,76
2001,"Demersal marine fishes","Mycteroperca",531874,1339
2001,"Demersal marine fishes","Nematistius",1534.1,15
2001,"Demersal marine fishes","Nicholsina",517,2
2001,"Demersal marine fishes","Orthopristis",44721,125
2001,"Demersal marine fishes","Paralabrax",3298951.8,1723
2001,"Demersal marine fishes","Parapsettus",1744,3
2001,"Demersal marine fishes","Prionace",88338.5,39
2001,"Demersal marine fishes","Pseudobatos",1143684.9,1376
2001,"Demersal marine fishes","Pseudupeneus",24445.7,35
2001,"Demersal marine fishes","Scorpaena",110373.2,409
2001,"Demersal marine fishes","Sphoeroides",459686.4,1027
2001,"Demersal marine fishes","Sphyrna",4280.7,34
2001,"Demersal marine fishes","Squatina",937138.75,993
2001,"Demersal marine fishes","Stereolepis",131.5,4
2001,"Demersal marine fishes","Synodus",22726,82
2001,"Diadromous fishes","Chanos",7106,38
2001,"Marine algae","Gelidium",4765200,156
2001,"Marine fishes NEI","Epinephelus",49381.9,470
2001,"Miscellaneous aquatic animals","Mesocentrotus",1852527,1458
2001,"Miscellaneous aquatic animals","Strongylocentrotus",365383,303
2001,"Molluscs excl. Cephalopods","Argopecten",2721614,1375
2001,"Molluscs excl. Cephalopods","Dosinia",169168,40
2001,"Molluscs excl. Cephalopods","Haliotis",576130.98,1094
2001,"Molluscs excl. Cephalopods","Hexaplex",20000,1
2001,"Molluscs excl. Cephalopods","Lobatus",10000,1
2001,"Molluscs excl. Cephalopods","Megapitaria",1740347,958
2001,"Molluscs excl. Cephalopods","Megastraea",1762877,278
2001,"Pelagic marine fishes","Ablennes",669,5
2001,"Pelagic marine fishes","Caranx",33598.5,529
2001,"Pelagic marine fishes","Cetengraulis",124457771.12,886
2001,"Pelagic marine fishes","Coryphaena",129467.65,430
2001,"Pelagic marine fishes","Etrumeus",304453.6,6
2001,"Pelagic marine fishes","Katsuwonus",4803241,174
2001,"Pelagic marine fishes","Oligoplites",204,12
2001,"Pelagic marine fishes","Opisthonema",44310481.56,428
2001,"Pelagic marine fishes","Sarda",121931.1,140
2001,"Pelagic marine fishes","Sardinops",295729983.56,3032
2001,"Pelagic marine fishes","Scomber",13201205.64,164
2001,"Pelagic marine fishes","Scomberomorus",4321951.52,2688
2001,"Pelagic marine fishes","Selene",48132,115
2001,"Pelagic marine fishes","Seriola",1236730.2,1047
2001,"Pelagic marine fishes","Thunnus",90396228,424
2001,"Pelagic marine fishes","Trachinotus",155166.9,598
2001,"Pelagic marine fishes","Xiphias",575084.25,153
2001,"Shrimps, prawns","Farfantepenaeus",6004.2,7
2001,"Shrimps, prawns","Litopenaeus",39562.2,46
2001,"Shrimps, prawns","Penaeus",5258751.8,3208
2001,"Shrimps, prawns","Rimapenaeus",232031.2,378
2001,"Shrimps, prawns","Sicyonia",484839.6,132
2002,"Cephalopods","Dosidicus",41982182.95,3129
2002,"Crustaceans","Panulirus",1813627,1335
2002,"Demersal marine fishes","Acanthurus",9620,24
2002,"Demersal marine fishes","Aetobatus",7446.3,100
2002,"Demersal marine fishes","Alopias",20372,10
2002,"Demersal marine fishes","Anisotremus",139058.1,425
2002,"Demersal marine fishes","Anoplopoma",19357,91
2002,"Demersal marine fishes","Balistes",396933.15,858
2002,"Demersal marine fishes","Brotula",32845.4,108
2002,"Demersal marine fishes","Calamus",18015,100
2002,"Demersal marine fishes","Carcharhinus",86126.3,159
2002,"Demersal marine fishes","Caulolatilus",629178.95,845
2002,"Demersal marine fishes","Centropomus",305066.6,2549
2002,"Demersal marine fishes","Cynoscion",5055616.45,3241
2002,"Demersal marine fishes","Diapterus",8127,51
2002,"Demersal marine fishes","Diplectrum",72918.85,135
2002,"Demersal marine fishes","Eucinostomus argenteus",84346,350
2002,"Demersal marine fishes","Eugerres",21979,184
2002,"Demersal marine fishes","Galeocerdo",3712.5,42
2002,"Demersal marine fishes","Gerres",78452.9,206
2002,"Demersal marine fishes","Ginglymostoma",127.3,3
2002,"Demersal marine fishes","Haemulon",337195,1195
2002,"Demersal marine fishes","Haemulopsis",99760.1,315
2002,"Demersal marine fishes","Hoplopagrus",59900.6,294
2002,"Demersal marine fishes","Hypanus",1135406.3,865
2002,"Demersal marine fishes","Hyporthodus",183506.65,376
2002,"Demersal marine fishes","Hyporthodus niphobles",78589.2,194
2002,"Demersal marine fishes","Lamna",9310,37
2002,"Demersal marine fishes","Lutjanus",2142631.25,4941
2002,"Demersal marine fishes","Menticirrhus",227045.1,495
2002,"Demersal marine fishes","Merluccius",38756.2,40
2002,"Demersal marine fishes","Microlepidotus",242,1
2002,"Demersal marine fishes","Micropogonias",1139651.2,1157
2002,"Demersal marine fishes","Mobula",768506.65,739
2002,"Demersal marine fishes","Mugil",2818291,1946
2002,"Demersal marine fishes","Mustelus",94400.25,78
2002,"Demersal marine fishes","Mycteroperca",482056.85,1260
2002,"Demersal marine fishes","Nematistius",531.9,9
2002,"Demersal marine fishes","Orthopristis",46112,119
2002,"Demersal marine fishes","Paralabrax",4241628.9,1735
2002,"Demersal marine fishes","Parapsettus",890,3
2002,"Demersal marine fishes","Prionace",52406.25,47
2002,"Demersal marine fishes","Pseudobatos",919332.7,1112
2002,"Demersal marine fishes","Pseudupeneus",22963.7,27
2002,"Demersal marine fishes","Scorpaena",118980.1,481
2002,"Demersal marine fishes","Sphoeroides",448591.85,814
2002,"Demersal marine fishes","Sphyrna",693.75,9
2002,"Demersal marine fishes","Squatina",476902.55,740
2002,"Demersal marine fishes","Stereolepis",111.9,2
2002,"Demersal marine fishes","Synodus",15197,62
2002,"Diadromous fishes","Chanos",33938.5,71
2002,"Marine algae","Gelidium",5200598,217
2002,"Marine fishes NEI","Epinephelus",43640.8,398
2002,"Miscellaneous aquatic animals","Mesocentrotus",1623762,1302
2002,"Miscellaneous aquatic animals","Strongylocentrotus",442304,321
2002,"Molluscs excl. Cephalopods","Argopecten",9850647,1378
2002,"Molluscs excl. Cephalopods","Dosinia",83341,17
2002,"Molluscs excl. Cephalopods","Haliotis",602441.54,1192
2002,"Molluscs excl. Cephalopods","Hexaplex",51000,4
2002,"Molluscs excl. Cephalopods","Lobatus",400,2
2002,"Molluscs excl. Cephalopods","Megapitaria",1402369,774
2002,"Molluscs excl. Cephalopods","Megastraea",1751166,252
2002,"Pelagic marine fishes","Ablennes",1357.5,11
2002,"Pelagic marine fishes","Caranx",38570,370
2002,"Pelagic marine fishes","Coryphaena",123310.35,359
2002,"Pelagic marine fishes","Istiophorus",355,2
2002,"Pelagic marine fishes","Katsuwonus",418725,24
2002,"Pelagic marine fishes","Oligoplites",1183.2,2
2002,"Pelagic marine fishes","Sarda",201030.55,161
2002,"Pelagic marine fishes","Scomber",25745,81
2002,"Pelagic marine fishes","Scomberomorus",3622172.45,1950
2002,"Pelagic marine fishes","Selene",82687.3,185
2002,"Pelagic marine fishes","Seriola",902176.2,889
2002,"Pelagic marine fishes","Thunnus",1581409,35
2002,"Pelagic marine fishes","Trachinotus",190967.6,468
2002,"Pelagic marine fishes","Xiphias",62707,13
2002,"Shrimps, prawns","Litopenaeus",4128,8
2002,"Shrimps, prawns","Penaeus",2901581.4,1810
2002,"Shrimps, prawns","Rimapenaeus",42712.2,44
2002,"Shrimps, prawns","Sicyonia",14457.2,5
2003,"Cephalopods","Dosidicus",72912686.2,3778
2003,"Crustaceans","Panulirus",2019029,1509
2003,"Demersal marine fishes","Acanthurus",10281,29
2003,"Demersal marine fishes","Aetobatus",29406.05,77
2003,"Demersal marine fishes","Alopias",42254.4,39
2003,"Demersal marine fishes","Anisotremus",143474.95,487
2003,"Demersal marine fishes","Anoplopoma",27954.75,202
2003,"Demersal marine fishes","Balistes",1192403.8,1418
2003,"Demersal marine fishes","Brotula",180913.5,271
2003,"Demersal marine fishes","Calamus",25890,152
2003,"Demersal marine fishes","Carcharhinus",120291.1,272
2003,"Demersal marine fishes","Caulolatilus",823501.25,1279
2003,"Demersal marine fishes","Centropomus",399247.4,3281
2003,"Demersal marine fishes","Cynoscion",4390560,4010
2003,"Demersal marine fishes","Diapterus",20046,119
2003,"Demersal marine fishes","Diplectrum",68636.9,159
2003,"Demersal marine fishes","Eucinostomus argenteus",58807,595
2003,"Demersal marine fishes","Eugerres",31237,236
2003,"Demersal marine fishes","Galeocerdo",2347.5,13
2003,"Demersal marine fishes","Gerres",121955.8,226
2003,"Demersal marine fishes","Ginglymostoma",3810.4,33
2003,"Demersal marine fishes","Haemulon",443582.8,1885
2003,"Demersal marine fishes","Haemulopsis",239409.8,677
2003,"Demersal marine fishes","Hoplopagrus",73393,380
2003,"Demersal marine fishes","Hypanus",1790718,1369
2003,"Demersal marine fishes","Hyporthodus",328905.2,723
2003,"Demersal marine fishes","Hyporthodus niphobles",78671.1,212
2003,"Demersal marine fishes","Lamna",4357.1,34
2003,"Demersal marine fishes","Lutjanus",2642426.6,7469
2003,"Demersal marine fishes","Menticirrhus",288054.6,630
2003,"Demersal marine fishes","Merluccius",969268.3,122
2003,"Demersal marine fishes","Microlepidotus",8971.2,30
2003,"Demersal marine fishes","Micropogonias",2157318.25,2482
2003,"Demersal marine fishes","Mobula",1134278.25,898
2003,"Demersal marine fishes","Mugil",2390228.2,2540
2003,"Demersal marine fishes","Mustelus",306830.75,196
2003,"Demersal marine fishes","Mycteroperca",618412.35,1704
2003,"Demersal marine fishes","Nematistius",421.5,3
2003,"Demersal marine fishes","Nicholsina",3549.6,9
2003,"Demersal marine fishes","Orthopristis",35378,119
2003,"Demersal marine fishes","Paralabrax",5011745.8,2353
2003,"Demersal marine fishes","Paranthias",290,1
2003,"Demersal marine fishes","Parapsettus",1352,6
2003,"Demersal marine fishes","Prionace",221092.15,107
2003,"Demersal marine fishes","Pseudobatos",1464584,1646
2003,"Demersal marine fishes","Pseudupeneus",19498.1,9
2003,"Demersal marine fishes","Scorpaena",124359.1,400
2003,"Demersal marine fishes","Sphoeroides",740292.75,1424
2003,"Demersal marine fishes","Sphyrna",27133.85,47
2003,"Demersal marine fishes","Squatina",762652.7,897
2003,"Demersal marine fishes","Stereolepis",346,3
2003,"Demersal marine fishes","Synodus",51508,151
2003,"Diadromous fishes","Chanos",37411,102
2003,"Marine algae","Gelidium",5082790,229
2003,"Marine fishes NEI","Epinephelus",56882.1,532
2003,"Miscellaneous aquatic animals","Mesocentrotus",1559272,1345
2003,"Miscellaneous aquatic animals","Strongylocentrotus",263989,275
2003,"Molluscs excl. Cephalopods","Argopecten",6651563,1279
2003,"Molluscs excl. Cephalopods","Dosinia",195877,26
2003,"Molluscs excl. Cephalopods","Haliotis",710080.96,1049
2003,"Molluscs excl. Cephalopods","Hexaplex",33430,2
2003,"Molluscs excl. Cephalopods","Lobatus",16822,58
2003,"Molluscs excl. Cephalopods","Megapitaria",1727526,1005
2003,"Molluscs excl. Cephalopods","Megastraea",1269558,199
2003,"Pelagic marine fishes","Ablennes",1387.35,16
2003,"Pelagic marine fishes","Caranx",51450.7,537
2003,"Pelagic marine fishes","Cetengraulis",19058316.28,163
2003,"Pelagic marine fishes","Coryphaena",353930.65,456
2003,"Pelagic marine fishes","Etrumeus",8032614.88,80
2003,"Pelagic marine fishes","Istiophorus",15729.45,55
2003,"Pelagic marine fishes","Katsuwonus",5603099.3,253
2003,"Pelagic marine fishes","Opisthonema",149525466.24,1429
2003,"Pelagic marine fishes","Sarda",67426.45,193
2003,"Pelagic marine fishes","Sardinops",201260172.84,1529
2003,"Pelagic marine fishes","Scomber",10085197.52,369
2003,"Pelagic marine fishes","Scomberomorus",4170289.61,2980
2003,"Pelagic marine fishes","Selene",154540.6,301
2003,"Pelagic marine fishes","Seriola",1371344.6,1289
2003,"Pelagic marine fishes","Sphyraena",500,1
2003,"Pelagic marine fishes","Thunnus",82999504.5,291
2003,"Pelagic marine fishes","Trachinotus",200017.5,516
2003,"Pelagic marine fishes","Xiphias",34543.25,27
2003,"Shrimps, prawns","Farfantepenaeus",5757,14
2003,"Shrimps, prawns","Litopenaeus",50442.2,68
2003,"Shrimps, prawns","Penaeus",8971636,6169
2003,"Shrimps, prawns","Rimapenaeus",311860,319
2003,"Shrimps, prawns","Sicyonia",204262.6,46
2004,"Cephalopods","Dosidicus",55356458,3615
2004,"Crustaceans","Panulirus",1607551,1483
2004,"Demersal marine fishes","Acanthurus",4186,20
