"Major_Functional_Group","Region","stock_metadata","stock","start.yr","end.yr","btype","max.catch","catch.last","r.est","lcl.r.est","ucl.r.est","k.est","lcl.k.est","ucl.k.est","MSY.est","lcl.MSY.est","ucl.MSY.est","Fmsy","lcl.Fmsy","ucl.Fmsy","Fmsy.last","lcl.Fmsy.last","ucl.Fmsy.last","MSY","lcl.MSY","ucl.MSY","Bmsy","lcl.Bmsy","ucl.Bmsy","B.last","lcl.B.last","ucl.B.last","B.Bmsy.last","lcl.B.Bmsy.last","ucl.B.Bmsy.last","F.last","lcl.F.last","ucl.F.last","F.Fmsy.last","lcl.F.Fmsy.last","ucl.F.Fmsy.last"
"anchovy & sardine (small pelagics)","goc","etrumeus","etrumeus",2000,2024,"none",28279.0455,4705.06208,0.729788874269057,0.686087574351158,0.776273789115881,63350.383835197,56729.1694884917,70744.4013062967,11558.1013259003,10507.0602246925,12714.2800557888,0.364894437134528,0.343043787175579,0.388136894557941,0.364894437134528,0.343043787175579,0.388136894557941,11558.1013259003,10507.0602246925,12714.2800557888,31675.1919175985,28364.5847442459,35372.2006531484,31419.0577498085,25809.4352808599,39911.6235581156,0.991913729569302,0.814815434994108,1.26002783698813,0.149751851804934,0.117887012868543,0.18230007858751,0.410397738537527,0.323071554048056,0.499596760145455
"crustaceans","goc","panulirus","panulirus",2000,2024,"none",446.344,150.85266,0.358796465405952,0.296710014294045,0.433874481432991,2797.41892097811,2132.57172111386,3669.53783639172,250.926005276668,213.935752084296,294.312004939207,0.179398232702976,0.148355007147023,0.216937240716495,0.164551049082377,0.136076993038634,0.198983289896943,250.926005276668,213.935752084296,294.312004939207,1398.70946048905,1066.28586055693,1834.76891819586,641.475408138459,294.930894509475,834.179277540047,0.458619481928841,0.210859297688852,0.596392103652734,0.235165149101771,0.180839615729675,0.511484767477127,1.42913187374481,1.09898792343246,3.10836527830989
"crustaceans","goc","callinectes","callinectes",2005,2023,"none",3691.201,3691.201,0.565525438699537,0.407485471376748,0.784859938038403,6211.10913133867,3874.1249146192,9957.82983037618,878.135054077747,661.845297088464,1165.1078833564,0.282762719349769,0.203742735688374,0.392429969019201,0.230290381441836,0.165934152937751,0.319606656289266,878.135054077747,661.845297088464,1165.1078833564,3105.55456566934,1937.0624573096,4978.91491518809,1264.62807254264,645.409448904647,1839.31031474064,0.407214893765705,0.207824217947864,0.592264690845712,2.91880362309096,2.00683972161625,5.71916169846056,12.6744486887229,8.71438793514316,24.8345660928311
"demersal marine fishes","goc","acanthurus","acanthurus",2000,2024,"none",81.772,9.679,0.565525438699537,0.407485471376748,0.784859938038403,248.149030828839,164.143674455439,375.14660071783,35.083647380586,29.6683806492685,41.487343986725,0.282762719349769,0.203742735688374,0.392429969019201,0.282762719349769,0.203742735688374,0.392429969019201,35.083647380586,29.6683806492685,41.487343986725,124.074515414419,82.0718372277195,187.573300358915,82.7083127530038,51.4847060168346,98.5692413259972,0.666601940589903,0.414949885920338,0.794435835568388,0.117025721814746,0.0981949325143807,0.187997577316167,0.41386545611053,0.347269727565877,0.66485984343509
"demersal marine fishes","goc","balistes","balistes",2000,2024,"none",4833.803625,2811.78918,0.520742292353521,0.355537340033031,0.762711829425306,22725.6936108461,12808.6265120608,40321.0406367732,2958.55744655893,1736.83996246645,5039.64806991155,0.26037114617676,0.177768670016515,0.381355914712653,0.251096617943793,0.171436476249215,0.367771858838003,2958.55744655893,1736.83996246645,5039.64806991155,11362.8468054231,6404.31325603038,20160.5203183866,5479.04874436087,3253.31530919496,7044.3339973339,0.482189792591935,0.286311640463398,0.61994446620295,0.513189298214209,0.399156141810452,0.864284249378763,2.04379215624913,1.58965160534262,3.44203859238052
"demersal marine fishes","goc","centropomus","centropomus",2000,2024,"none",1670.501948,1560.412013,0.941764533584249,0.650021395812226,1.36444806652698,5540.19599009618,4375.6826687958,7014.62467275415,1304.39002314456,1075.97749614551,1581.29081562963,0.470882266792124,0.325010697906113,0.682224033263488,0.397777589549405,0.274552645338704,0.576308454622742,1304.39002314456,1075.97749614551,1581.29081562963,2770.09799504809,2187.8413343979,3507.31233637707,1170.01953672244,598.308798375795,1624.94871453655,0.422374781980277,0.215988315014613,0.586603332243608,1.3336632116171,0.960283853293823,2.60803788484473,3.35278619674841,2.41412256125745,6.55652292478083
"demersal marine fishes","goc","hypanus","hypanus",2000,2024,"none",3239.75311,3239.75311,0.282239296140523,0.163449696933239,0.487361076713619,18974.6975548775,9379.42845453005,38386.0433548256,1338.85132059197,981.641032006267,1826.04720076475,0.141119648070262,0.0817248484666194,0.24368053835681,0.141119648070262,0.0817248484666194,0.24368053835681,1338.85132059197,981.641032006267,1826.04720076475,9487.34877743877,4689.71422726502,19193.0216774128,6919.99454175915,4529.29678344952,8788.65170741028,0.7293918147307,0.477403844814933,0.926354866209829,0.468172784017314,0.368629138786824,0.715288325074736,3.31755918059133,2.61217444790741,5.06866573759172
"demersal marine fishes","goc","parapsettus","parapsettus",2000,2024,"none",35.705,11.65,0.565525438699537,0.407485471376748,0.784859938038403,76.3207918717366,48.8203919324455,119.312095650297,10.79033732629,8.54476072649187,13.6260549993105,0.282762719349769,0.203742735688374,0.392429969019201,0.246139728740543,0.177354291295945,0.341603045642533,10.79033732629,8.54476072649187,13.6260549993105,38.1603959358683,24.4101959662228,59.6560478251486,16.6089602014821,8.12431422686894,22.6163895880202,0.435240772380739,0.21289910724518,0.592666533807167,0.70142861796733,0.515113164046792,1.43396718475891,2.84971719744889,2.09276725330991,5.82582581079571
"demersal marine fishes","goc","gerres","gerres",2000,2024,"none",369.8386,369.8386,1.22140275816017,1.00425904405788,1.48549789665155,634.344905826423,464.839061969136,865.661887026722,193.697654400311,177.292580459932,211.620707549357,0.610701379080085,0.502129522028938,0.742748948325774,0.610701379080085,0.502129522028938,0.742748948325774,193.697654400311,177.292580459932,211.620707549357,317.172452913212,232.419530984568,432.830943513361,195.194169678458,136.277846815533,248.048720560548,0.61541968063623,0.429664826071206,0.782062623289741,1.8947215514133,1.49099176631199,2.71385708420105,3.10253360532339,2.44144162333137,4.44383650858789
"demersal marine fishes","goc","diapterus","diapterus",2000,2024,"none",180.504,59.456,1.22752506496318,1.01511306461572,1.48438419092091,163.192150847257,128.019454519561,208.028367236049,50.0806138925649,45.161800987084,55.5351609776026,0.613762532481589,0.507556532307859,0.742192095460457,0.613762532481589,0.507556532307859,0.742192095460457,50.0806138925649,45.161800987084,55.5351609776026,81.5960754236286,64.0097272597804,104.014183618025,69.5627313976069,50.0806994725407,80.9421348566473,0.852525455868468,0.613763581306245,0.991985637010283,0.854710544072245,0.734549442083528,1.18720386548514,1.39257530207399,1.1967974635297,1.93430488610146
