year,mexico_pop_millions,intl_tourist_arrivals_millions,source_notes
2018,124.74,41.313,CONAPO mid-year pop (approx); SECTUR/INEGI turistas internacionales
2019,126.15,45.024,CONAPO mid-year pop (approx); SECTUR/INEGI turistas internacionales
2020,126.01,24.284,INEGI Censo 2020 pop; SECTUR/INEGI turistas (COVID collapse)
2021,126.71,31.860,CONAPO projection/interp; SECTUR/INEGI turistas
2022,127.50,38.326,CONAPO projection/interp; SECTUR/INEGI turistas
2023,128.46,42.153,CONAPO projection/interp; SECTUR/INEGI turistas
2024,129.54,45.000,CONAPO projection/interp; SECTUR ~45M turistas internacionales
2025,130.50,47.787,CONAPO projection/interp; SECTUR RAT Dec 2025
2026,131.40,47.787,CONAPO projection/interp; tourism held at 2025 pending full-year release
