year,unit,plazas,mexico_pop_millions,plazas_per_million_people,index_plazas_2018,index_plazas_pop_2018
2018,PROFEPA,2242,124.74,17.973384640051307,100,100
2019,PROFEPA,2221,126.15,17.606024573919935,99.06333630686886,97.95608855266605
2020,PROFEPA,1942,126.01,15.411475279739703,86.61909009812668,85.74609395159368
2021,PROFEPA,1937,126.71,15.28687554257754,86.39607493309545,85.05284813475122
2022,PROFEPA,1964,127.5,15.403921568627451,87.60035682426405,85.70406674712704
2023,PROFEPA,1967,128.46,15.312159427059006,87.73416592328279,85.19352216464497
2024,PROFEPA,1969,129.54,15.199938243013742,87.82337198929527,84.56914792299439
2025,PROFEPA,1975,130.5,15.134099616858238,88.09099018733274,84.20283613768495
2026,PROFEPA,1975,131.4,15.030441400304413,88.09099018733274,83.62610438331724
