year,mdp_current,mexico_pop_millions,inpc_annual_avg,mdp_real_2018,mdp_real_per_million_people,index_current_2018,index_real_2018,index_real_pc_2018
2018,295.924032,124.74,100.255,295.924032,2.3723266955266955,100,100,100
2019,210.058312,126.15,103.817,202.8511329508655,1.6080153226386482,70.98386385868113,68.54838100842905,67.78220409822781
2020,219.514279,126.01,107.347,205.01182185943713,1.6269488283424898,74.179267400628,69.27853086951625,68.58030267965603
2021,158.177443,126.71,113.542,139.66707956496276,1.1022577504929585,53.45204373262933,47.19693720750695,46.46315166336056
2022,171.92767,127.5,122.508,140.69782019011004,1.1035123152165494,58.098583220169154,47.5452497856308,46.51603496674186
2023,182.040191,128.46,129.28,141.16985882352256,1.0989402056945552,61.51585248743839,47.70476323583025,46.32330815847319
2024,187.667354,129.54,135.385,138.9710128542305,1.072803866405979,63.41740910045453,46.96171916656992,45.22159061940661
2025,194.892551,130.5,140.542,139.02571971727312,1.0653311855729741,65.85898065892802,46.98020595950555,44.906596868879106
2026,161.853115,131.4,144.959,111.93912792117081,0.8518959506938417,54.69414359696207,37.826981189946345,35.909723239223034
