year,state,mdp_total,mdp_inspeccion
2018,Baja California,6.026,6.026
2018,Baja California Sur,3.572,3.572
2018,Jalisco,3.29,3.29
2018,Nayarit,2.162,2.162
2018,Sinaloa,3.29,3.29
2018,Sonora,6.0164,6.0164
2019,Baja California,4.282141,4.282141
2019,Baja California Sur,2.540108,2.540108
2019,Jalisco,2.336785,2.336785
2019,Nayarit,1.535998,1.535998
2019,Sinaloa,2.338911,2.338911
2019,Sonora,4.274523,4.274523
2020,Baja California,4.282141,4.282141
2020,Baja California Sur,2.540108,2.540108
2020,Jalisco,2.336785,2.336785
2020,Nayarit,1.535998,1.535998
2020,Sinaloa,2.5263560000000003,2.5263560000000003
2020,Sonora,4.274523,4.274523
2021,Baja California,3.10155,3.10155
2021,Baja California Sur,1.925506,1.925506
2021,Jalisco,1.849878,1.849878
2021,Nayarit,1.129427,1.129427
2021,Sinaloa,1.856307,1.856307
2021,Sonora,3.4091620000000002,3.4091620000000002
2022,Baja California,3.21795,3.21795
2022,Baja California Sur,1.9977690000000001,1.9977690000000001
2022,Jalisco,1.919306,1.919306
2022,Nayarit,1.171813,1.171813
2022,Sinaloa,1.925974,1.925974
2022,Sonora,3.537109,3.537109
2023,Baja California,3.408941,3.408941
2023,Baja California Sur,2.117309,2.117309
2023,Jalisco,2.033712,2.033712
2023,Nayarit,1.244139,1.244139
2023,Sinaloa,2.0390610000000002,2.0390610000000002
2023,Sonora,3.748554,3.748554
2024,Baja California,3.573444,3.573444
2024,Baja California Sur,2.219484,2.219484
2024,Jalisco,2.131852,2.131852
2024,Nayarit,1.304178,1.304178
2024,Sinaloa,2.1374589999999998,2.1374589999999998
2024,Sonora,3.929448,3.929448
2025,Baja California,3.7110220000000003,3.7110220000000003
2025,Baja California Sur,2.304934,2.304934
2025,Jalisco,2.21393,2.21393
2025,Nayarit,1.354388,1.354388
2025,Sinaloa,2.219752,2.219752
2025,Sonora,4.080732,4.080732
2026,Baja California,2.794996,2.794996
2026,Baja California Sur,1.716717,1.716717
2026,Jalisco,1.6155950000000001,1.6155950000000001
2026,Nayarit,0.9943919999999999,0.9943919999999999
2026,Sinaloa,1.660114,1.660114
2026,Sonora,3.004061,3.004061
